id,titre,phrase,motifs_phrase
1,Zola/1896_2_Rome._clean.txt,"Pendant la nuit , le train avait eu de grands retards entre Pise et Cività Vecchia , et il allait être neuf heures de le matin lorsque l' abbé Pierre Froment , après un dur voyage de vingt-cinq heures , débarqua enfin à Rome .","PHASE le NCT , le NCs avoir avoir un ADJ NCo entre NP et NP NP , et il aller être NUM NCT de le NCT lorsque le NCs NP NP , PHASE un ADJ NC de NUM NCT , VPS PHASE à NP ."
2,Zola/1896_2_Rome._clean.txt,"Il n' avait emporté qu' une valise , il sauta vivement de le wagon , à le milieu de la bousculade de l' arrivée , écartant les porteurs qui s' empressaient , se chargeant lui-même de son léger bagage , dans la hâte qu' il éprouvait d' être arrivé , de se sentir seul et de voir .","il ne avoir PPAS que un NCo , il VPS ADVINT de le NC , à le milieu de le NCmod de le NCmod , PPRES le NCo qui se VIMP , se PPRES soi-même de DETPOSS ADJ NCmod , dans le NC que il VSENT de être PPAS , de se sentir ADJ et de VCOG ."
3,Zola/1896_2_Rome._clean.txt,"Et , tout de suite , devant la gare , sur la place de les Cinq-Cents , étant monté dans une de les petites voitures découvertes , rangées le long de le trottoir , il posa la valise près de lui , après avoir donné l' adresse à le cocher : Via Giulia , palazzo Boccanera .","et , tout de NC , ADVLIEU le NC , sur le NCmod de le NCmod , être PPAS dans un de le ADJ NCmod PPAS , PPAS le NC de le NCmod , il VPS le NCo ADVLIEU de lui , PHASE avoir PPAS le NCo à le NC : NP NP , NC NP ."
4,Zola/1896_2_Rome._clean.txt,"C' était un lundi , le 3 septembre , par une matinée de ciel clair , d' une douceur , d' une légèreté délicieuses .","ce être un ADVT , le NUM MOIS , par un NC de NCmod ADJ , de un NC , de un NC ADJ ."
5,Zola/1896_2_Rome._clean.txt,"Le cocher , un petit homme rond , à les yeux brillants , à les dents blanches , avait eu un sourire en reconnaissant un prêtre français , à l' accent .","le NCs , un ADJ NC ADJ , à le NCCOR ADJ , à le NCCOR ADJCOL , avoir avoir un NCMAN en VCOG un NCo ADJ , à le NCmod ."
6,Zola/1896_2_Rome._clean.txt,"Il fouetta son maigre cheval , la voiture partit avec la vive allure de ces fiacres romains , si propres , si gais .","il VPS DETPOSS ADJ NCo , le NCs VPS avec le ADJ NCMAN de ce NCmod ADJ , si ADJ , si ADJ ."
7,Zola/1896_2_Rome._clean.txt,"Mais , presque aussitôt , après avoir longé les verdures de le petit square , arrivé sur la place de les Thermes , il se retourna , souriant toujours , désignant de son fouet de les ruines .","mais , presque aussitôt , PHASE avoir PPAS le NCo de le ADJ NCmod , PPAS sur le NC de le NCmod , il se VPS , PPRES ADVTEMPS , PPRES de DETPOSS NC de le NCmod ."
8,Zola/1896_2_Rome._clean.txt,"Les thermes de Dioclétien , dit -il en un mauvais français de cocher obligeant , désireux de plaire à les étrangers , pour s' assurer leur clientèle .","le NC de NP , VDIC il en un ADJ NC de NCmod ADJ , ADJ de INF à le NC , pour se INF lui NCo ."
9,Zola/1896_2_Rome._clean.txt,"De les hauteurs de le Viminal , où se trouve la gare , la voiture descendit à le grand trot la pente raide de la rue Nationale .","de le NC de le NP , où se PRES le NCs , le NCs PRES à le ADJ NC le NCo ADJ de le NCmod ADJ ."
10,Zola/1896_2_Rome._clean.txt,"Et , dès lors , il ne cessa plus , il tourna la tête à chaque monument , le montra de le même geste .","et , dès lors , il ne VASP plus , il VPS le NCCOR à chaque NC , le VPS de le même NC ."
