id,titre,phrase,motifs_phrase
1,1885_Greville_Le-mors-aux-dents_A.txt,"1 HAUTS DE PLAFOND , SOMPTUEUSEMENT meublés , peuplés de tableaux illustres chèrement disputés dans les ventes les plus célèbres de l' hôtel Drouot , les salons de Maxand Louvelot se désemplissaient sans trop de hâte .","NUM NP NP NP , NP ADJ , PPAS de NC ADJ ADV PPAS dans le NC le plus ADJ de le NCmod NP , le NC de NP NP se VIMP sans trop de NC ."
2,1885_Greville_Le-mors-aux-dents_A.txt,"L' intermède musical venait de se terminer , les artistes s' étaient retirés , et les hommes s' esquivaient discrètement .","le NCs ADJ venir de se VASP , le NCs se être PPAS , et le NCs se VIMP ADVMAN ."
3,1885_Greville_Le-mors-aux-dents_A.txt,"Dans le premier salon , on entendait déjà , chaque fois que la porte s' ouvrait pour laisser sortir quelqu'un , les explications à haute voix de ceux qui réclamaient leur paletot , affranchis de les bienséances sévères pour avoir fait un salut et tourné les talons .","dans le ADJ NC , on VCOG déjà , chaque fois que le NCs se VCOND pour laisser INF quelqu'un , le NC à ADJ NCMAN de celui qui VIMP lui NCo , PPAS de le NC ADJ pour avoir faire un NCo et PPAS le NCCOR ."
4,1885_Greville_Le-mors-aux-dents_A.txt,"À le fond de le troisième salon , à l' entrée de la salle de concert , Maxand Louvelot , lui-même , distribuait de les sourires et de les poignées de main à tout ce monde d' amis plus ou moins sincères , et d' envieux non patentés , mais néanmoins garantis , qui ne manquent jamais à une soirée de contrat .","à le NC de le ADJ NCmod , à le NC de le NCmod de NCmod , NP NP , soi-même , VIMP de le NCMAN et de le NC de NCCOR à tout ce NCmod de NCmod plus ou moins ADJ , et de NC non PPAS , mais ADV ADJ , qui ne PRES ADVTEMPS à un NCT de NCmod ."
5,1885_Greville_Le-mors-aux-dents_A.txt,"La grandeur de le financier lui assurait en une telle circonstance l' assemblée la plus brillante qui se puisse réunir , dans un milieu où tout est éblouissant .","le NCs de le NCmod lui VIMP en un tel NC le NCo le plus ADJ qui se pouvoir INF , dans un milieu où tout être ADJ ."
6,1885_Greville_Le-mors-aux-dents_A.txt,"Les femmes décolletées , traînant derrière elles , avec grâce ou pesanteur , suivant leur nature , les plis de leurs jupes de brocart , s' attardaient autour de les tables où s' étalaient les présents faits à la fiancée .","le NCs PPAS , PPRES ADVLIEU il , avec NC ou NC , PPRES lui NCo , le NC de DETPOSS NCmod de NCmod , se VIMP ADV de le NC où se VIMP le ADJ NCs à le NCmod ."
7,1885_Greville_Le-mors-aux-dents_A.txt,"Elles se penchaient , pour les examiner curieusement , sur les écrins où étincelaient les diamants irréprochables , sur les perles , qui dissimulaient leurs moelleuses rondeurs entre de les rainures de velours bleu , sur les dentelles pliées avec une fausse modestie dans les boîtes de santal , capitonnées de satin à les couleurs tendres , et parfumées d' essences rares .","il se VIMP , pour le INF ADVMAN , sur le NC où VIMP le NCs ADJ , sur le NC , qui VIMP DETPOSS ADJ NCo PRES de le NC de NCmod ADJCOL , sur le NC PPAS avec un ADJ NCSENT dans le NCmod de NCmod , NC de NCmod à le NCmod ADJ , et PPAS de NC ADJ ."
8,1885_Greville_Le-mors-aux-dents_A.txt,"Les amies , jeunes et vieilles , celles-ci avec l' air protecteur de les femmes qui ont vu mieux que cela , les autres avec la pointe de sarcasme sous-entendu que fournit la jalousie bien aiguisée , approuvaient les bijoux et les dentelles , réservant pour la fin le dernier mot , qui , sans paraître y prendre garde , détruisait l' éloge élégamment formulé .","le NCs , ADJ et ADJ , celui-ci avec le NCMAN ADJ de le NCmod qui avoir VCOG mieux que cela , le autre avec le NCmod de NCmod PPAS que PRES le NCo bien PPAS , VIMP le NCo et le NC , PPRES pour le NC le ADJ NC , qui , sans paraître y INF NC , VIMP le NCo ADV PPAS ."
9,1885_Greville_Le-mors-aux-dents_A.txt,"D' un air ennuyé , les maris se tenaient debout , changeant de pied de temps à autre , et causaient à bâtons rompus , sans chaleur et sans conviction , dissimulant avec politesse un bâillement derrière leur chapeau de soirée , et attendaient que les femmes eussent fini d' inventorier la corbeille; peu à peu , par couples ou par groupes , les attardés finirent par se rencontrer dans le dernier salon .","de un NCMAN VSENT , le NCs se VIMP ADV , PPRES de NCCOR de temps à autre , et VIMP à NC ADJ , sans NC et sans NC , PPRES avec NC un NCo ADVLIEU lui NCmod de NCT , et VIMP que le NCs PRES VASP de INF le corbeille; peu à peu , par NCmod ou par NC , le NCs VASP par se INF dans le ADJ NC ."
10,1885_Greville_Le-mors-aux-dents_A.txt,"La gentille fiancée , vêtue de rose très pâle , décolletée pour la première fois de sa vie , avait , sans le savoir , laissé un peu glisser de ses épaules la robe lâche qui encadrait si joliment sa petite poitrine fine , pure et délicate .","le NCs ADJ , PPAS de ADJCOL très ADJ , PPAS pour le ADJ fois de DETPOSS NCmod , avoir , sans le VCOG , laisser un peu INF de DETPOSS NCCOR le NCo ADJ qui VIMP si ADVINT DETPOSS ADJ NCo ADJ , ADJ et ADJ ."
