id,titre,phrase,motifs_phrase
1,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"LA FERME DE LE CHOQUARD I Il était trois ou quatre heures de l' après-midi quand le docteur Larrazet traversa dans sa calèche , dont le tablier était roulé et la capote relevée , un petit hameau dépendant de la commune de Mailly .","NP NP NP NP NP NUM il être NUM ou NUM NCT de le NCT quand le NCs NP VPS dans DETPOSS NC , dont le NCspas être PPAS et le NC PPAS , un ADJ NC PPRES de le NC de NP ."
2,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,Son cheval s' arrêta de lui-même devant la porte charretière de la ferme de le Choquard .,DETPOSS NCs se VPS de soi-même ADVLIEU le NC ADJ de le NCmod de le NP .
3,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Quoique M. Larrazet fût court et gros , quoiqu' il eût d' épais sourcils sel et poivre , qui lui retombaient en touffes sur les yeux et lui donnaient un air profond , quoique les lourdes breloques de sa montre à répétition chargeassent son vaste abdomen d' un poids inutile , il ne laissait pas d' être vif et prompt dans tous ses mouvements .","quoique monsieur NP être ADJ et ADJ , quoique il avoir de ADJ NCCOR NC et NC , qui lui VIMP en NC sur le NCCOR et lui VIMP un NCMAN ADJ , quoique le ADJ NCs de DETPOSS NCmod à NCmod PRES DETPOSS ADJ NCCOR de un NCmod ADJ , il ne laisser pas de être ADJ et ADJ dans tout DETPOSS NC ."
4,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Il sauta lestement à terre et dit: « Charmant , soyons sage .","il VPS ADVMAN à NC et dit: "" PPRES , NCo ADJ ."
5,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,Je suis à vous dans la minute .» Il aurait pu se dispenser de recommander à Charmant d' être sage .,je être à vous dans le NCT .» il avoir pouvoir se INF de INF à NP de être ADJ .
6,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"C' était une bonne bête , bien trottante lorsqu' il le fallait et que le cas était sérieux , mais qui aimait à s' arrêter .","ce être un ADJ NC , bien ADJ lorsque il le VIMP et que le NCs être ADJ , mais qui VSENT à se INF ."
7,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,Elle laissait à son maître tout le temps nécessaire pour écrire ses ordonnances .,il laisser à DETPOSS NC tout le temps ADJ pour INF DETPOSS NCo .
8,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Il était sûr de la retrouver où il l' avait laissée , immobile sur ses quatre paturons , la tête basse , chauvissant à peine de les oreilles et ne se servant que de loin en loin de sa queue mal fournie pour chasser les mouches qui attentaient à son repos .","il être ADJ de le INF où il le avoir laisser , ADJ sur DETPOSS NUM NC , le NCCOR ADJ , PPRES à NCSENT de le NCCOR et ne se PPRES que de ADVLIEU en ADVLIEU de DETPOSS NC mal PPAS pour INF le NCo qui VIMP à DETPOSS NC ."
9,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Sans songer à défendre son crâne contre les ardeurs d' un soleil de juillet , M. Larrazet entra dans la cour , tenant , selon son habitude , son chapeau à la main , sa main derrière son dos .","sans INF à INF DETPOSS NCo contre le NC de un NCmod de MOIS , monsieur NP VPS dans le NC , PPRES , selon DETPOSS NC , DETPOSS NCo à le NCCOR , DETPOSS NCCOR ADVLIEU DETPOSS NCCOR ."
10,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Il s' achemina tout droit vers la vacherie , où il comptait avec raison trouver le malade pour lequel on l' avait appelé , beau vacher suisse à le poil blond , à les yeux bleus , qui depuis plusieurs semaines ne mangeait plus , ne dormait plus , semblait dépérir .","il se VPS tout NCo vers le NC , où il VIMP avec NC INF le NCo pour lequel on le avoir PPAS , ADJ NC ADJ à le NCCOR ADJCOL , à le NCCOR ADJCOL , qui depuis plusieurs NC ne VIMP plus , ne VIMP plus , sembler INF ."
11,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Si inquiétant que fût son état , ce pauvre diable s' obstinait à travailler .","si VSENT que être DETPOSS NC , ce PRES ADJ se VIMP à INF ."
12,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"En ce moment même , assis sur un tabouret à un seul pied , serrant entre ses genoux un seau en fer battu , la tête penchée , la main à le trayon , il se disposait à tirer le lait d' une vache .","en ce NC même , PPAS sur un NC à un ADJ NCCOR , PPRES entre DETPOSS NCCOR un NCmod en NCmod PPAS , le NCCOR PPAS , le NCCOR à le NCmod , il se VIMP à INF le NCo de un NCmod ."
13,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Dès qu' il aperçut le docteur , il se releva bien vite , se découvrit , tortilla entre ses doigts son bonnet de coton , tandis que sa sellette attachée à sa taille par une courroie pendait derrière lui et lui battait les mollets .","dès que il VPS le NCo , il se VPS bien ADV , se VCOG , VPS entre DETPOSS NCCOR DETPOSS NCo de NCmod , PHASE que DETPOSS NCs PPAS à DETPOSS NC par un NC VIMP ADVLIEU lui et lui VIMP le NCCOR ."
14,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Le docteur le questionna ; il lui répondit de son mieux , c'est-à-dire fort mal .","le NCs le VDIC ; il lui VDIC de DETPOSS mieux , ADV fort mal ."
15,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"A peine écorchait -il quelques mots de français , dont il se servit bravement pour expliquer son affaire , comme Charmant se servait de sa queue trop courte pour s' émoucher .","à NCSENT VIMP il quelque NCo de NCmod , dont il se VPS ADVMAN pour VDIC DETPOSS NCo , comme NP se VIMP de DETPOSS NC trop ADJ pour se INF ."
16,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Par bonheur , M. Larrazet se piquait d' avoir de le coup d' œil , on n' avait pas besoin de lui en dire long , il avait bientôt fait de toiser un malade et une maladie .","par NCSENT , monsieur NP se VIMP de avoir de le NC de NCmod , on ne avoir pas NCo de lui en VDIC ADJ , il avoir bientôt NCo de INF un NCo et un NC ."
17,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"En sortant de la vacherie , il avisa une petite femme grisonnante , paysanne ou bourgeoise selon les cas , mais en général plus bourgeoise que paysanne , qui , l' ayant vu arriver , l' attendait le nez en l' air sur le seuil de sa cuisine .","en PPRES de le NC , il VPS un ADJ NCo ADJ , ADJ ou ADJ selon le NC , mais en NC plus ADJ que ADJ , qui , le avoir VCOG INF , le VIMP le NCCOR en le NCMAN sur le NC de DETPOSS NCmod ."
18,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"Chaussée de galoches de bois , coiffée d' un bonnet tuyauté , dont l' irréprochable blancheur faisait ressortir le hâle de son cou maigre et de sa nuque couleur de pain d' épices , elle portait par-dessus sa robe de coutil un grand tablier de toile grise , que boursouflait près de les hanches un épais trousseau de clefs qui ne la quittait jamais .","PPAS de NC de NCmod , PPAS de un NC ADJ , dont le ADJ NC faire INF le NCo de DETPOSS NCCOR ADJ et de DETPOSS ADJ NC de NCmod de NCmod , il VIMP ADV DETPOSS NCo de NCmod un ADJ NCo de NCmod ADJ , que VIMP ADVLIEU de le NCCOR un ADJ NC de NCmod qui ne le VIMP ADVTEMPS ."
19,1883_Cherbuliez_La-ferme-du-Choquard_A.txt,"A l' annulaire de sa main droite , aussi brune que son cou , brillait un anneau d' or massif , avec lequel on en eût fait cinq .","à le NC de DETPOSS NCCOR ADJ , aussi ADJ que DETPOSS NCCOR , VIMP un NCo de NCmod ADJ , avec lequel on en avoir faire cinq ."
