id,titre,phrase,motifs_phrase
1,1882_Albalat_L'inassouvie-roman-intime_A.txt,LES CHASTETÉS IMPURESPREMIERE PARTIEI .,le NP NP NP .
2,1882_Albalat_L'inassouvie-roman-intime_A.txt,Je ne sais pas pourquoi j' aimais cet étang .,je ne VCOG pas pourquoi je aimais ce NC .
3,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Il n' avait rien , cependant , de ce qui peut séduire un poète ou un artiste .","il ne avoir rien , cependant , de ce qui pouvoir VSENT un NCo ou un NC ."
4,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Figurez -vous une mare sous bois , d' aspect sauvage , impénétrable à le soleil ; un cloaque à les mousses fermentées , à les limons gluants , d' où les chaleurs d' août tirent de les relents humides , mêlés à les âpres senteurs de les feuilles .","IMP vous un NCo sous NCmod , de NC ADJ , ADJ à le NCmod ; un NC à le NCmod PPAS , à le NCmod ADJ , de où le NCmod de MOIS ADJ de le NCmod ADJ , PPAS à le ADJ NC de le NCmod ."
5,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Cette mare dort ainsi , tout le jour , désertée et paisible , sans autre bruit que le glissement de les bêtes fangeuses , le battement de les roseaux embrumés de fils d' araignée et l' expirante rafale de les arbres .","ce NCs PRES ainsi , tout le NCT , PPAS et ADJ , sans autre NC que le NC de le NCmod ADJ , le NC de le NCmod PPAS de NCmod de NCmod et le NC ADJ de le NCmod ."
6,1882_Albalat_L'inassouvie-roman-intime_A.txt,"L' eau , pesante et sans remous , montre , à les endroits ou les nénufars ne tapissent pas sa surface , de les reflets de feuillages en miniature .","le NCs , ADJ et sans NC , PRES , à le NCo ou le NC ne PRES pas DETPOSS NCo , de le NC de NCmod en NCmod ."
7,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Il faut , pour y venir , traverser un bois de chênes et de châtaigniers , embroussaillé d' orties , d' accès très difficile .","il PRES , pour y venir , INF un NCo de NCmod et de NC , PPAS de NC , de NCmod très ADJ ."
8,1882_Albalat_L'inassouvie-roman-intime_A.txt,"En été , lorsque la nuit regarde la terre par le trou d' or de les étoiles et que la lune sable le paysage dé poussière grise , le crapaud en maraude allonge ses pattes l' une après l' autre sur les pierres , et les grenouilles commencent leur rauque symphonie .","en NC , lorsque le NCT VCOG le NCo par le NC de NCmod de le NCmod et que le NCs PRES le NCo PPAS NC ADJ , le NC en NCmod PRES DETPOSS NCo le un PHASE le autre sur le NCmod , et le NCs VASP lui ADJ NCo ."
9,1882_Albalat_L'inassouvie-roman-intime_A.txt,"D' abord , tapageuses et entêtées , elles coassent à l' unisson ; puis , de les notes aiguës se traînent , se divisent ; un enrouement aqueux clapote dans la vase , gosiers de grenouille obstrués d' argile ; d' autres , à part , font la basse sur un seul ton , comme dans un chœur ; et l' éparpillement de ces larges cris remplit le silence nocturne , pendant que les arbres rythment de les bruissements de violon et qu' à le loin , régulièrement , les appels de les hiboux semblent marquer la mesure .","de NC , NC et NC , il PRES à le NC ; puis , de le NCs ADJ se PRES , se PRES ; un NCs ADJ PRES dans le NC , NCo de NCmod PPAS de NCmod ; de autre , à NC , faire le NCo sur un ADJ NC , comme dans un NC ; et le NC de ce ADJ NCmod VPS le NCo ADJ , PHASE que le NCs PRES de le NC de NCmod et que à le ADVLIEU , ADVTEMPS , le NCs de le NCmod sembler INF le NCo ."
10,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Que d' après-midi j' ai passées là , rêvant ou lisant , assis sur l' herbe .","que de NCT je avoir PPAS ADVLIEU , PPRES ou PPRES , PPAS sur le NC ."
11,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Le ciel embrasé luisait ; de les bêtes couraient sur les feuilles sèches ; de les faucheux , embarrassés dans leurs pattes , escaladaient mes mains .","le NCs VSENT VIMP ; de le NCs VIMP sur le NC ADJ ; de le NC , VSENT dans DETPOSS NC , VIMP DETPOSS NCCOR ."
12,1882_Albalat_L'inassouvie-roman-intime_A.txt,Une agitation d' insectes invisibles bourdonnait dans l' air fétide .,un NCs de NCmod ADJ VIMP dans le NCMAN ADJ .
13,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Moi , enivré de ces lentes exhalaisons de marais , je m' amusais à souffler sur l' éternelle danse sur place de les moucherons ou à soulever brusquement les cailloux embourbés , pour voir la fuite de les cloportes .","soi , VSENT de ce ADJ NC de NCmod , je lui VIMP à VSENT sur le ADJ NC sur NCmod de le NCmod ou à INF ADV le NCo PPAS , pour VCOG le NCo de le NCmod ."
14,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Un jour , j' y restai jusqu' à la nuit .","un NCT , je y VF jusque à le NCT ."
15,1882_Albalat_L'inassouvie-roman-intime_A.txt,"L' eau avait pris l' immobilité d' une plaque de métal , tachée de noir .","le NCs avoir PPAS le NCo de un NCmod de NCmod , PPAS de NC ."
16,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Les arbres , sans trêve , s' emplissaient de murmures .","le NCs , sans NCmod , se VIMP de NC ."
17,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Tout à coup , un bruit de chute dans l' eau , puis un cri , de les gémissements .","tout à NC , un NC de NCmod dans le NCmod , puis un NC , de le NC ."
18,1882_Albalat_L'inassouvie-roman-intime_A.txt,Je m' élance de ce côté .,je le NC de ce NCmod .
19,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Nouveau cri , et me voilà en face d' une jeune femme qui pleurait et dont je ne pus d' abord distinguer le visage .","ADJ NC , et me voilà en NCo de un ADJ NCmod qui VIMP et dont je ne PPAS de NC VCOG le NCCOR ."
20,1882_Albalat_L'inassouvie-roman-intime_A.txt,– Qui est là ?,– qui être ADVLIEU ?
21,1882_Albalat_L'inassouvie-roman-intime_A.txt,m' écriai-je .,se écriai-il .
22,1882_Albalat_L'inassouvie-roman-intime_A.txt,"– Je me suis égarée , Monsieur , fit l' inconnue en sanglotant .","– je me être PPAS , monsieur , faire le NCo en PPRES ."
23,1882_Albalat_L'inassouvie-roman-intime_A.txt,"– Ne pleurez pas , lui dis -je , je vais vous reconduire .","– ne IMP pas , lui VDIC je , je aller vous INF ."
24,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Mais elle se désolait , et joignait les mains:– Mon mari , qui m' attend !","mais il se VIMP , et VIMP le NP NP NP , qui lui PRES !"
25,1882_Albalat_L'inassouvie-roman-intime_A.txt,Louise qui me cherche .,NP qui me PRES .
26,1882_Albalat_L'inassouvie-roman-intime_A.txt,Qu' est -ce que je vais leur dire?– Vous n' étiez donc pas seule ?,que être ce que je aller lui NP vous ne PRES donc pas ADJ ?
27,1882_Albalat_L'inassouvie-roman-intime_A.txt,demandai-je .,demandai-il .
28,1882_Albalat_L'inassouvie-roman-intime_A.txt,"– Non , Monsieur ; Louise était avec moi , à la campagne , tout près d' ici .","– non , monsieur ; NP être avec soi , à le NCmod , tout ADVLIEU de ADVLIEU ."
29,1882_Albalat_L'inassouvie-roman-intime_A.txt,Nous courions comme deux folles après les cigales .,nous VIMP comme NUM NC PHASE le NCmod .
30,1882_Albalat_L'inassouvie-roman-intime_A.txt,Je me suis cachée .,je me être PPAS .
31,1882_Albalat_L'inassouvie-roman-intime_A.txt,histoire de faire une niche .,NC de faire un NCo .
32,1882_Albalat_L'inassouvie-roman-intime_A.txt,j' ai appelé .,je avoir PPAS .
33,1882_Albalat_L'inassouvie-roman-intime_A.txt,plus de Louise !,plus de NP !
34,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Je suis revenue sur mes pas ; mais je me suis encore plus égarée , et , tout en marchant dans le bois , la nuit m' a surprise .","je être PPAS sur DETPOSS pas ; mais je me être encore plus PPAS , et , tout en PPRES dans le NC , le NCT lui avoir NCSENT ."
35,1882_Albalat_L'inassouvie-roman-intime_A.txt,"A cette époque , j' étais très romanesque , et mon cœur battit malgré moi , en écoutant ce simple et extraordinaire récit .","à ce NC , je être très ADJ , et DETPOSS NCs VPS malgré soi , en VCOG ce ADJ et ADJ NCo ."
36,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Une femme qui demande son chemin , qu' on rencontre la nuit en plein bois , cela ne se voyait donc pas seulement dans les histoires de George Sand ou de Feuillet!– Voulez -vous prendre mon bras , Madame ?","un NCs qui PRES DETPOSS NCo , que on PRES le NCT en ADJ NCmod , cela ne se VCOG donc pas seulement dans le NC de NP NP ou de NP NP le INF DETPOSS NCCOR , madame ?"
37,1882_Albalat_L'inassouvie-roman-intime_A.txt,lui dis-je ; la forêt sera vite franchie .,lui PRES ; le NCspas être ADV PPAS .
38,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Elle accepta , tout en murmurant:– Ah !","il VPS , tout en NP NP !"
39,1882_Albalat_L'inassouvie-roman-intime_A.txt,"mon Dieu , ce qui m' arrive .","son NP , ce qui lui VSUBP ."
40,1882_Albalat_L'inassouvie-roman-intime_A.txt,ce qui m' arrive .,ce qui lui PRES .
41,1882_Albalat_L'inassouvie-roman-intime_A.txt,Je la conduisis péniblement à travers les branches enlacées qui barraient le chemin .,je le PPAS ADV à travers le NC PPAS qui VIMP le NCo .
42,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Les sauterelles , dérangées de leurs sérénades , nous sautaient en plein visage .","le NCs , VSENT de DETPOSS NC , nous VIMP en ADJ NCCOR ."
43,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Mes mains saignaient , à force de détacher de les buissons la robe de ma voyageuse , qui marchait à côté de moi , accrochée à mon bras avec un léger tremblement , laissant parfois échapper de petits cris inquiets : «Si j' avais su! .","DETPOSS NCCOR VIMP , à NCSENT de INF de le NC le NC de DETPOSS NCmod , qui VIMP à NC de soi , PPAS à DETPOSS NCCOR avec un ADJ NC , PPRES ADVTEMPS INF un ADJ NCo ADJ : «si je avoir su! ."
44,1882_Albalat_L'inassouvie-roman-intime_A.txt,que dira mon mari? .,que VDIC DETPOSS mari? .
45,1882_Albalat_L'inassouvie-roman-intime_A.txt,"nous n' en sortirons jamais!» Cette désolation , qui n' était que trop véritable , ôtait à mes rêves enthousiastes l' exaltation qu' un pareil tête-à-tête commençait à leur donner; et , quoique mon esprit battit un peu la campagne en sentant si près de mes lèvres une haleine si tiède , je compris tout de suite que mon rôle de sauveur devait s' arrêter à le respect et à la réserve d' une galanterie désintéressée .","nous ne en VF jamais!» ce NCs , qui ne être que trop véritable , VIMP à DETPOSS NC ADJ le NCSENT que un NCs ADJ VASP à lui donner; et , quoique DETPOSS NCs VPS un peu le NCo en sentir si ADVLIEU de DETPOSS NCCOR un NCmod si ADJ , je VCOG tout de NC que DETPOSS NCs de NCmod devoir se INF à le NC et à le NC de un NCmod PPAS ."
46,1882_Albalat_L'inassouvie-roman-intime_A.txt,La marche fut longue à le milieu de les taillis et de les feuilles fouettantes qui nous souffletaient dans l' ombre .,le NCs être ADJ à le milieu de le NCmod et de le NC ADJ qui nous VIMP dans le NC .
47,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Cependant , peu à peu , après beaucoup de lenteurs et de patience , le parfum de les plaines parvint jusqu' à nous ; de les brises chaudes nous apportèrent l' argentine sonnerie de les grillons dans les blés , et , derrière les raies de les arbres , nous aperçûmes enfin , la noire effilure de les collines .","cependant , peu à peu , PHASE beaucoup de NC et de NCSENT , le NCs de le NCmod VPS jusque à nous ; de le NC ADJ nous VPS le ADJ NCo de le NCmod dans le NC , et , ADVLIEU le NC de le NCmod , nous ADJ PHASE , le ADJ NC de le NCmod ."
48,1882_Albalat_L'inassouvie-roman-intime_A.txt,Bientôt nous atteignîmes la ville .,bientôt nous ADJ le NC .
49,1882_Albalat_L'inassouvie-roman-intime_A.txt,L' inconnue avait quitté mon bras .,le NCs avoir PPAS DETPOSS NCCOR .
50,1882_Albalat_L'inassouvie-roman-intime_A.txt,"– Merci , dit -elle , vous m' avez sauvée .","– INTJ , VDIC il , vous lui avoir PPAS ."
51,1882_Albalat_L'inassouvie-roman-intime_A.txt,"– Tout le bonheur est pour moi , Madame , puisque cela m' a permis de faire votre connaisance .","– tout le NCSENT être pour soi , madame , puisque cela lui avoir permettre de faire DETPOSS NCo ."
52,1882_Albalat_L'inassouvie-roman-intime_A.txt,Elle se mit à rire d' un rire forcé .,il se mettre à INF de un NCMAN ADJ .
53,1882_Albalat_L'inassouvie-roman-intime_A.txt,– Ce sont les cigales qui nous ont présentés l' un à l' autre .,– ce être le NC qui nous avoir PPAS le un à le autre .
54,1882_Albalat_L'inassouvie-roman-intime_A.txt,"– Eh bien , Madame , j' irai les remercier demain , en venant revoir l' étang , qui me rappellera désormais un cher souvenir .","– INTJ bien , madame , je VF le VDIC ADVT , en venir VCOG le NCo , qui me VF ADV un ADJ NCo ."
55,1882_Albalat_L'inassouvie-roman-intime_A.txt,Qu' auriez -vous dit à ma place ?,que avoir lui VDIC à DETPOSS NC ?
56,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Moi , j' ai toujours été très timide , et , la nuit , surtout , je n' ai de courage à rien .","soi , je avoir ADVTEMPS être très ADJ , et , le NCT , surtout , je ne avoir de NC à rien ."
57,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Nous nous étions engagée dans l' avenue de la ville , à côté d' une prairie .","nous nous être PPAS dans le NC de le NCmod , à NC de un NC ."
58,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Les sauterelles vertes sans reprendre haleine chantaient de les gammes sonores , gutturales et roulantes comme de les grelots .","le NCs ADJCOL sans INF NCo VIMP de le NC ADJ , ADJ et ADJ comme de le NC ."
59,1882_Albalat_L'inassouvie-roman-intime_A.txt,– La belle nuit !,– le ADJ NCT !
60,1882_Albalat_L'inassouvie-roman-intime_A.txt,dit la jeune femme en regardant autour d' elle dans une rapide rêverie .,VDIC le ADJ NCo en VCOG ADV de il dans un ADJ NC .
61,1882_Albalat_L'inassouvie-roman-intime_A.txt,"Et elle ajouta:– Savez -vous où je demeure , Monsieur?– Oui Madame .","et il NP VCOG vous où je PRES , NP oui madame ."
62,1882_Albalat_L'inassouvie-roman-intime_A.txt,– Eh bien !,– INTJ bien !
63,1882_Albalat_L'inassouvie-roman-intime_A.txt,"venez chez nous , demain .","venir chez nous , ADVT ."
