id,titre,phrase,motifs_phrase
1,Daudet/sapho copie_clean.txt,"Regardez -moi , voyons ... J' aime la couleur de vos yeux ... Comment vous appelez-vous ?","IMP soi , VCOG ... je VSENT le NCo de DETPOSS NCCOR ... comment vous appelez-vous ?"
2,Daudet/sapho copie_clean.txt,Jean .,NP .
3,Daudet/sapho copie_clean.txt,Jean tout court ?,NP tout ADJ ?
4,Daudet/sapho copie_clean.txt,Jean Gaussin .,NP NP .
5,Daudet/sapho copie_clean.txt,"De le Midi , j' entends ça ... Quel âge ?","de le NC , je VCOG ça ... quel NC ?"
6,Daudet/sapho copie_clean.txt,Vingt et un ans .,NP et un NCT .
7,Daudet/sapho copie_clean.txt,Artiste ?,NC ?
8,Daudet/sapho copie_clean.txt,"Non , madame .","non , madame ."
9,Daudet/sapho copie_clean.txt,Ah !,INTJ !
10,Daudet/sapho copie_clean.txt,"tant mieux ... Ces bouts de phrases , presque inintelligibles à le milieu de les cris , de les rires , de les airs de danse d' une fête travestie , s' échangeaient une nuit de juin entre un pifferaro et une femme fellah dans la serre de palmiers , de fougères arborescentes , qui faisait le fond de l' atelier de Déchelette .","tant mieux ... ce NCs de NCmod , presque ADJ à le milieu de le NCmod , de le NCMAN , de le NCMAN de NCmod de un NCmod ADJ , se VIMP un NCT de MOIS entre un NC et un NC ADJ dans le NC de NCmod , de NC ADJ , qui faire le NCo de le NCmod de NP ."
11,Daudet/sapho copie_clean.txt,"À le pressant interrogatoire de l' Égyptienne , le pifferaro répondait avec l' ingénuité de son âge tendre , l' abandon , le soulagement d' un Méridional resté longtemps sans parler .","à le ADJ NC de le NP , le NCs VDIC avec le NC de DETPOSS NCmod INF , le NC , le NCSENT de un NCmod PPAS longtemps sans INF ."
12,Daudet/sapho copie_clean.txt,"Étranger à tout ce monde de peintres , de sculpteurs , perdu dès en entrant dans le bal par l' ami qui l' avait amené , il se morfondait depuis deux heures , promenant sa jolie figure de blond hâlé et doré par le soleil , les cheveux en frisons serrés et courts comme la peau de mouton de son costume ; et un succès , dont il ne se doutait guère , se levait et chuchotait autour de lui .","INF à tout ce NC de NCmod , de NC , PPAS dès en PPRES dans le NC par le NC qui le avoir PPAS , il se VIMP depuis NUM NCT , PPRES DETPOSS ADJ NCCOR de ADJCOL PPAS et PPAS par le NC , le NCCOR en NCmod ADJ et ADJ comme le NCCOR de NCmod de DETPOSS NCmod ; et un NC , dont il ne se VIMP guère , se VIMP et VDIC ADV de lui ."
13,Daudet/sapho copie_clean.txt,"De les épaules de danseurs le bousculaient brusquement , de les rires de rapins blaguaient la cornemuse qu' il portait tout de travers et sa défroque de montagne , lourde et gênante dans cette nuit d' été .","de le NCCOR de NCmod le NCmod ADV , de le NCMAN de NCmod VIMP le NCo que il VIMP tout de travers et DETPOSS NC de NCmod , ADJ et ADJ dans ce NCT de NCmod ."
14,Daudet/sapho copie_clean.txt,"Une Japonaise à les yeux de faubourg , de les couteaux d' acier tenant son chignon remonté , fredonnait en l' agaçant : Ah !","un NP à le NCCOR de NCmod , de le NCmod de NCmod PPRES DETPOSS NCo VSENT , VIMP en le PPRES : INTJ !"
15,Daudet/sapho copie_clean.txt,"qu' il est beau , qu' il est beau , le postillon ...; tandis qu' une novio espagnole en blanches dentelles de soie , passant à le bras d' un chef apache , lui fourrait violemment sous le nez son bouquet de jasmins blancs .","que il être ADJ , que il être ADJ , le NC ...; PHASE que un NCs ADJ en ADJCOL NCmod de NCmod , PPRES à le NCCOR de un NCmod ADJ , lui VCOND ADVMAN sous le NCCOR DETPOSS NCo de NCmod ADJCOL ."
16,Daudet/sapho copie_clean.txt,"Il ne comprenait rien à ces avances , se croyait extrêmement ridicule et se réfugiait dans l' ombre fraîche de la galerie vitrée , bordée d' un large divan sous les verdures .","il ne VCOG rien à ce NCmod , se VCOG ADVINT ADJ et se VIMP dans le NC ADJ de le NCmod PPAS , PPAS de un ADJ NC sous le NCmod ."
17,Daudet/sapho copie_clean.txt,Tout de suite cette femme était venue s' asseoir près de lui .,tout de NC ce NCs être venir se INF ADVLIEU de lui .
18,Daudet/sapho copie_clean.txt,"Jeune , belle ?","ADJ , ADJ ?"
19,Daudet/sapho copie_clean.txt,"Il n' aurait su le dire ... De le long fourreau de lainage bleu où sa taille pleine ondulait , sortaient deux bras , ronds et fins , nus jusqu' à l' épaule ; et ses petites mains chargées de bagues , ses yeux gris larges ouverts et grandis par les bizarres ornements de fer lui tombant de le front , composaient un ensemble harmonieux .","il ne avoir VCOG le VDIC ... de le ADJ NC de NCmod ADJCOL où DETPOSS NCs ADJ VIMP , VIMP NUM NCCOR , NC et NC , ADJ jusque à le NCCOR ; et DETPOSS ADJ NCCOR PPAS de NC , DETPOSS NCCOR ADJCOL ADJ ADJ et ADV par le ADJ NCmod de NCmod lui PPRES de le NCCOR , VIMP un ensemble ADJ ."
20,Daudet/sapho copie_clean.txt,"Une actrice , sans doute .","un NC , sans NCSENT ."
21,Daudet/sapho copie_clean.txt,"Il en venait beaucoup chez Déchelette ; et cette pensée n' était pas pour le mettre à l' aise , ce genre de personnes lui faisant très peur .","il en venir beaucoup chez NP ; et ce VCOG ne être pas pour le mettre à le NC , ce NCs de NCmod lui faire très NCSENT ."
22,Daudet/sapho copie_clean.txt,"Elle lui parlait de tout près , un coude à le genou , la tête appuyée sur la main , avec une douceur grave , un peu lasse ... De le Midi vraiment ?","il lui VIMP de tout ADVLIEU , un NCCOR à le NCCOR , le NCCOR PPAS sur le NCCOR , avec un NCmod ADJ , un peu NC ... de le NC ADVINT ?"
23,Daudet/sapho copie_clean.txt,... Et de les cheveux de ce blond-là! ... Voilà une chose extraordinaire .,... et de le NCCOR de ce blond-là! ... voilà un chose ADJ .
24,Daudet/sapho copie_clean.txt,"Et elle voulait savoir depuis combien de temps il habitait Paris , si c' était très difficile cet examen pour les consulats qu' il préparait , s' il connaissait beaucoup de monde et comment il se trouvait à la soirée de Déchelette , rue de Rome , si loin de son quartier Latin .","et il vouloir VCOG depuis combien de temps il VIMP NP , si ce être très ADJ ce NC pour le NCmod que il VIMP , si il VIMP beaucoup de NC et comment il se VIMP à le NCT de NP , NC de NP , si ADVLIEU de DETPOSS NC ADJ ."
25,Daudet/sapho copie_clean.txt,"Quand il dit le nom de l' étudiant qui l' avait amené ... La Gournerie ... un parent de l' écrivain ... elle connaissait sans doute ... l' expression de ce visage de femme changea , s' assombrit subitement ; mais il n' y prit pas garde , ayant l' âge où les yeux brillent sans rien voir .","quand il VDIC le NCo de le NCmod qui le avoir PPAS ... le NP ... un NC de le NCmod ... il VIMP sans NCSENT ... le NCs de ce NCCOR de NCmod VPS , se VSENT ADV ; mais il ne y VPS pas NCo , avoir le NCo où le NCCOR PRES sans rien VCOG ."
26,Daudet/sapho copie_clean.txt,"La Gournerie lui avait promis que son cousin serait là , qu' il le présenterait .","le NP lui avoir PPAS que DETPOSS NCs être ADVLIEU , que il le VCOND ."
27,Daudet/sapho copie_clean.txt,"J' aime tant ses vers ... je serais si heureux de le connaître ... Elle eut un sourire de pitié pour sa candeur , un joli resserrement d' épaules , en même temps qu' elle écartait de sa main les feuilles légères d' un bambou et regardait dans le bal si elle ne lui découvrirait pas son grand homme .","je VSENT tant DETPOSS NCo ... je être si ADJ de le INF ... il avoir un NCMAN de VSENT pour DETPOSS NC , un ADJ NC de NCCOR , en même temps que il VIMP de DETPOSS NCCOR le NCo ADJ de un NCmod et VCOG dans le NC si il ne lui VCOG pas DETPOSS ADJ NCo ."
28,Daudet/sapho copie_clean.txt,La fête à ce moment étincelait et roulait comme une apothéose de féerie .,le NCs à ce NCmod VIMP et VIMP comme un NC de NCmod .
29,Daudet/sapho copie_clean.txt,"L' atelier , le hall plutôt , car on n' y travaillait guère , développé dans toute la hauteur de l' hôtel et n' en faisant qu' une pièce immense , recevait sur ses tentures claires , légères , estivales , ses stores de paille fine ou de gaze , ses paravents de laque , ses verreries multicolores , et sur le buisson de roses jaunes garnissant le foyer d' une haute cheminée Renaissance , l' éclairage varié et bizarre d' innombrables lanternes chinoises , persanes , mauresques , japonaises , les unes en fer ajouré , découpées d' ogives comme une porte de mosquée , d' autres en papier de couleur pareilles à de les fruits , d' autres déployées en éventail , ayant de les formes de fleurs , d' ibis , de serpents ; et tout à coup de grands jets électriques , rapides et bleuâtres , faisaient pâlir ces mille lumières et givraient d' un clair de lune les visages et les épaules nues , toute la fantasmagorie d' étoffes , de plumes , de paillons , de rubans qui se froissaient dans le bal , s' étageaient sur l' escalier hollandais à large rampe menant à les galeries de le premier que dépassaient les manches de les contrebasses et la mesure frénétique d' un bâton de chef d' orchestre .","le NC , le NC plutôt , car on ne y VIMP guère , PPAS dans tout le NC de le NCmod et ne en faire que un NCs ADJ , VIMP sur DETPOSS NC ADJ , ADJ , ADJ , DETPOSS NC de NCmod ADJ ou de NUM , DETPOSS NC de NCmod , DETPOSS NC ADJ , et sur le NC de ADJCOL ADJCOL PPRES le NCo de un ADJ NCmod NP , le NC ADJ et ADJ de ADJ NCmod ADJ , ADJ , ADJ , ADJ , le NC en NCmod PPAS , PPAS de NC comme un NCmod de NCmod , un autre en NCmod de NCmod NC à de le NCmod , un autre PPAS en NC , avoir de le NC de NCmod , de NC , de NC ; et tout à NC de ADJ NC ADJ , NC et ADJCOL , faire INF ce NUM NCo et VIMP de un NC de NCmod le NCCOR et le NCCOR ADJ , tout le NC de NCmod , de NC , de NC , de NC qui se VSENT dans le NC , se VIMP sur le NC ADJ à ADJ NCmod PPRES à le NC de le ADJ que VIMP le NCs de le NCmod et le NC ADJ de un NCmod de NCmod de NCmod ."
