id,titre,phrase,motifs_phrase
1,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,I La maison de le vieux garde .,NUM le NC de le ADJ NCmod .
2,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"Entièrement tapissée de vigne vierge et cachée sous l' ombrage d' un tilleul , la maison de le vieux Desnoyers faisait un charmant point de vue , et les promeneurs qui , de loin , l' apercevaient comme un nid sous les feuilles , ne manquaient pas de se dire : « Qu' on doit être bien là !","ADVINT PPAS de NC ADJ et PPAS sous le NC de un NCmod , le NCs de le ADJ NP faire un ADJ NCo de NCmod , et le NC qui , de ADVLIEU , le VIMP comme un NC sous le NCmod , ne VIMP pas de se VDIC : "" que on devoir être bien ADVLIEU !"
3,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,Quelle tranquillité !,quel NCSENT !
4,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,Que ces gazons sont frais !,que ce NCs être ADJ !
5,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,Que cette eau est limpide !,que ce NCs être ADJ !
6,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"Il fait bon vivre dans cette petite retraite .» C' était effectivement une retraite , et de les plus jolies , offerte par Mme d' Embrun à le vieux garde en qui son mari avait mis , à juste titre , toute sa confiance .","il faire ADJ PRES dans ce ADJ NC .» ce être ADVINT un NC , et de le plus ADJ , PPAS par madame de NP à le ADJ NC en qui DETPOSS NCs avoir mettre , à ADJ NC , tout DETPOSS NCo ."
7,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"Ce brave homme avait servi la famille de M. d' Embrun depuis l' âge de quinze ans , et il en avait plus de soixante .","ce ADJ NCs avoir PPAS le NCo de monsieur de NP depuis le NC de NUM NCT , et il en avoir plus de soixante ."
8,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"Son dernier maître venait de mourir , et le vieux garde l' avait pleuré comme un ami , car Albert était non seulement juste et bon , mais aimable .","DETPOSS ADJ NCs venir de INF , et le ADJ NCs le avoir PPAS comme un NC , car NP être non seulement ADJ et ADJ , mais ADJ ."
9,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"Dès les premiers jours qui avaient suivi la mort de le jeune chef de famille , le respectable Desnoyers avait été complètement rassuré sur son propre sort et celui de sa femme , la vieille Corentine .","dès le ADJ NCT qui avoir PPAS le NCo de le ADJ NCmod de NCmod , le ADJ NP avoir être ADVINT VSENT sur DETPOSS ADJ NC et celui de DETPOSS NCmod , le ADJ NP ."
10,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"La riche veuve , maîtresse absolue de la propriété , avait dit à le vieillard : « Rien n' est changé ici; mon bon mari a été rappelé de Dieu , mais son souvenir remplit ce domaine , et je respecterai jusqu' à les moindres désirs de M. d' Embrun .","le ADJ NCs , NC ADJ de le NCmod , avoir VDIC à le NC : "" rien ne être PPAS ici; DETPOSS ADJ NCspas avoir être PPAS de NP , mais DETPOSS NCs VPS ce NCo , et je VCOND jusque à le ADJ NCSENT de monsieur de NP ."
11,1888_Stolz-Madame-de_Violence-et-bonte_A.txt,"Il savait combien vous êtes fatigué , et il avait le projet de vous dire : « Repose -toi , mon vieil ami; voici un toit , un «foyer , tu ne nous quitteras jamais .","il VCOG combien vous être VSENT , et il avoir le NCo de vous VDIC : "" PRES soi , DETPOSS NCo ami; voici un NCo , un NC , je ne nous ADJ ADVTEMPS ."
