id,titre,phrase,motifs_phrase
1,Goncourt/Manette Salomon copie_clean.txt,Manette Salomon Le roman de l' art et de les artistes Manette Salomon On était à le commencement de novembre .,NP NP le NC de le NCmod et de le NC NP NP on être à le NC de NCmod .
2,Goncourt/Manette Salomon copie_clean.txt,"La dernière sérénité de l' automne , le rayonnement blanc et diffus d' un soleil voilé de vapeurs de pluie et de neige , flottait , en pâle éclaircie , dans un jour d' hiver .","le ADJ NCSENT de le NCmod , le NCs ADJCOL et ADJ de un NCmod PPAS de NC de NCmod et de NC , VIMP , en ADJ NC , dans un NCT de NCmod ."
3,Goncourt/Manette Salomon copie_clean.txt,"De le monde allait dans le Jardin de les Plantes , montait à le labyrinthe , un monde particulier , mêlé , cosmopolite , composé de toutes les sortes de gens de Paris , de la province et de l' étranger , que rassemble ce rendez-vous populaire .","de le NC aller dans le NC de le NP , VIMP à le NC , un NC ADJ , PPAS , NC , PPAS de tout le sorte de NCmod de NP , de le NC et de le NC , que PRES ce NCs ADJ ."
4,Goncourt/Manette Salomon copie_clean.txt,"C' était d' abord un groupe classique d' Anglais et d' Anglaises à voiles bruns , à lunettes bleues .","ce être de NC un NC ADJ de NP et de NC à NCmod ADJCOL , à NCmod ADJCOL ."
5,Goncourt/Manette Salomon copie_clean.txt,"Derrière les Anglais , marchait une famille en deuil .","ADVLIEU le NC , VIMP un NCo en NCmod ."
6,Goncourt/Manette Salomon copie_clean.txt,"Puis suivait , en traînant la jambe , un malade , un voisin de le jardin , de quelque rue d' à côté , les pieds dans de les pantoufles .","puis VIMP , en PPRES le NCCOR , un NCo , un NC de le NCmod , de quelque NC de à NC , le NCCOR dans de le NCmod ."
7,Goncourt/Manette Salomon copie_clean.txt,"Venaient ensuite : un sapeur , avec , sur sa manche , ses deux haches en sautoir surmontées d' une grenade ; un prince jaune , tout frais habillé de Dusautoy , accompagné d' une espèce d' heiduque à figure de Turc , à dolman d' Albanais ; un apprenti maçon , un petit gâcheur débarqué de le Limousin , portant le feutre mou et la chemise bise .","venir PHASE : un NCo , avec , sur DETPOSS NCmod , DETPOSS NUM NC en NCmod PPAS de un NC ; un NC ADJCOL , tout ADJ PPAS de NP , PPAS de un espèce de NCmod à NCCOR de NP , à NCmod de NCmod ; un NC NCmod , un ADJ NC PPAS de le NP , PPRES le NCo ADJ et le NC ADJCOL ."
8,Goncourt/Manette Salomon copie_clean.txt,"Un peu plus loin , grimpait un interne de la Pitié , en casquette , avec un livre et un cahier de notes sous le bras .","un peu plus ADVLIEU , VIMP un NCo de le VSENT , en NC , avec un NC et un NC de NCmod sous le NCCOR ."
9,Goncourt/Manette Salomon copie_clean.txt,"Et presque à côté de lui , sur la même ligne , un ouvrier en redingote , revenant d' enterrer un camarade à le Montparnasse , avait encore , de l' enterrement , trois fleurs d' immortelle à la boutonnière .","et presque à NC de lui , sur le même NCmod , un NCs en NCmod , PPRES de INF un NCo à le NP , avoir encore , de le NC , NUM NCo de NCmod à le NCmod ."
10,Goncourt/Manette Salomon copie_clean.txt,"Un père , à rudes moustaches grises , regardait courir devant lui un bel enfant , en robe russe de velours bleu , à boutons d' argent , à manches de toile blanche , à le cou de lequel battait un collier d' ambre .","un NCs , à NCmod NCCOR ADJCOL , VCOG INF ADVLIEU lui un ADJ NCo , en NC ADJ de NCmod ADJCOL , à NC de NCmod , à NC de NCmod ADJCOL , à le NCCOR de lequel VIMP un NCs de NCmod ."
11,Goncourt/Manette Salomon copie_clean.txt,"Au-dessous , un ménage de vieilles amours laissait voir sur sa figure la joie promise de le dîner de le soir en cabinet , sur le quai , à la Tour d' argent .","ADVLIEU , un NCs de NCmod NCmod laisser VCOG sur DETPOSS NCCOR le NCSENT ADJ de le NCmod de le NCT en NCmod , sur le NCmod , à le NCmod de NCmod ."
12,Goncourt/Manette Salomon copie_clean.txt,"Et , fermant la marche , une femme de chambre tirait et traînait par la main un petit négrillon , embarrassé dans sa culotte , et qui semblait tout triste d' avoir vu de les singes en cage .","et , PPRES le NCo , un NCs de NCmod VIMP et VIMP par le NCCOR un ADJ NCo , VSENT dans DETPOSS NC , et qui sembler tout ADJ de avoir VCOG de le NC en NC ."
13,Goncourt/Manette Salomon copie_clean.txt,"Toute cette procession cheminait dans l' allée qui s' enfonce à travers la verdure de les arbres verts , entre le petit bois froid d' ombre humide , à les troncs végétants de moisissure , à l' herbe couleur de mousse mouillée , à le lierre foncé et presque noir .","tout ce NCs VIMP dans le NC qui se PRES à travers le NC de le NCmod ADJCOL , entre le ADJ NC ADJ de NCmod ADJ , à le NC ADJ de NCmod , à le NC NC de NCmod PPAS , à le NC ADJ et presque ADJ ."
14,Goncourt/Manette Salomon copie_clean.txt,"Arrivé à le cèdre , l' Anglais le montrait , sans le regarder , à les miss , dans le Guide ; et la colonne , un moment arrêtée , reprenait sa marche , gravissant le chemin ardu de le labyrinthe d' où roulaient de les cerceaux de gamins fabriqués de cercles de tonneaux , et de les descentes folles de petites filles faisant sauter à leur dos de les cornets à bouquin peints en bleu .","PPAS à le NC , le NCs le VIMP , sans le VCOG , à le NC , dans le NC ; et le NC , un NC PPAS , VIMP DETPOSS NCo , PPRES le NCo ADJ de le NCmod de où VIMP de le NC de NCmod PPAS de NC de NCmod , et de le NC ADJ un ADJ NCmod faire INF à lui NCCOR de le NCmod à NCmod PPAS en ADJCOL ."
15,Goncourt/Manette Salomon copie_clean.txt,"Les gens avançaient lentement , s' arrêtant à la boutique d' ouvrages en perles sur le chemin , se frôlant et par moments s' appuyant à la rampe de fer contre la charmille d' ifs taillés , s' amusant , à le dernier tournant , de les micas qu' allume la lumière de trois heures sur les bois pétrifiés qui portent le belvédère , clignant de les yeux pour lire le vers latin qui tourne autour de son bandeau de bronze : Horas non numero nisi serenas .","le NCs VIMP ADV , se PPRES à le NC de NCmod en NCmod sur le NCmod , se PPRES et par NC se PPRES à le NC de NCmod contre le NCmod de NCmod ADJ , se PPRES , à le ADJ NC , de le NC que PRES le NCs de NUM NCT sur le NCmod ADJ qui PRES le NCo , PPRES de le NCCOR pour INF le NCo ADJ qui PRES ADV de DETPOSS NC de NCmod : NP non ADJ ADV ADV ."
16,Goncourt/Manette Salomon copie_clean.txt,"Puis , tous entrèrent un à un sous la petite coupole à jour .","puis , tout VPS NUM à NUM sous le ADJ NC à NCT ."
17,Goncourt/Manette Salomon copie_clean.txt,"Paris était sous eux , à droite , à gauche , partout .","NP être sous eux , à NC , à NC , ADV ."
18,Goncourt/Manette Salomon copie_clean.txt,"Entre les pointes de les arbres verts , là où s' ouvrait un peu le rideau de les pins , de les morceaux de la grande ville s' étendaient à perte de vue .","entre le NC de le NCmod ADJCOL , ADVLIEU où se VIMP un peu le NCs de le NCmod , de le NCmod de le ADJ NCmod se VIMP à NC de NCmod ."
