id,titre,phrase,motifs_phrase
1,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,"L' ENFANT Casu magis et felicitate rem gerit , quam virtute et consilio. Bruxelles .","le NP NP ADJ et ADJ NC NC , NC NCmod et NC NP ."
2,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,LIBRAIRIE UNIVERSELLE DE MARY-MÜLLER ET C ie .,NP NP NP NP NP C PRES .
3,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,"ANCIENNE MAISON TARLIER ET MELINE , RUE DE LA MONTAGNE , N º 51 .","NP NP NP NP NP , NP NP NP NP , N º NUM ."
4,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,— 1839 L' ENFANT CHAPITRE PREMIER .,— NUM le NP NP NP .
5,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,"«Nous n' arriverons jamais ce soir à Strasbourg , Mullern !","«le ne VF ADVTEMPS ce NCT à NP , NP !"
6,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,"... Dis donc à le postillon de fouetter ces maudits chevaux .—Je le lui ai déjà dit plus de vingt fois depuis une heure , mon colonel , et il m' a répondu qu' à moins de nous casser le cou à tous les trois , nous ne pouvions pas aller plus vite .— Henri ne sera plus à Strasbourg quand nous y arriverons .—Alors , mon colonel , nous continuerons de courir après lui .— Et peut-être ne l' atteindrons -nous pas assez à temps pour prévenir le malheur que je redoute !","... VDIC donc à le NC de INF ce NCo NCmod NP le lui avoir déjà VDIC plus de NUM fois depuis un NCT , DETPOSS NC , et il lui avoir VDIC que à moins de nous INF le NCCOR à tout le NUM , nous ne pouvoir pas aller plus ADV .— NP ne être plus à NP quand nous y VF ADV , DETPOSS NC , nous PRES de INF PHASE lui .— et peut-être ne le VF nous pas ADV à temps pour INF le NCo que je PRES !"
7,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,"...— Si cela arrive , mon colonel , vous n' aurez rien à vous reprocher; car , en vérité , depuis six semaines que nous ne faisons que courir , jour et nuit , de Framberg à Strasbourg , de Strasbourg à Paris , et de Paris à Framberg , ma culotte s' est tellement attachée à mes fesses , que je me verrai forcé , mon colonel , de montrer mon derrière à la première auberge où nous nous arrêterons .","...— si cela VSUBP , DETPOSS NCo , vous ne avoir rien à vous reprocher; car , en NC , depuis NUM NC que nous ne PRES que INF , NCT et NCT , de NP à NP , de NP à NP , et de NP à NP , DETPOSS NCs se être ADVINT PPAS à DETPOSS NCCOR , que je me VF PPAS , DETPOSS NC , de INF DETPOSS ADVLIEU à le ADJ NC où nous nous PRES ."
8,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,—Si de le moins le but de ce voyage était rempli!— Ah !,ADV de le moins le NCs de ce NCmod être rempli!— INTJ !
9,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,si quelque bonne bouteille de vin pouvait dissiper l' engourdissement de mes membres !,si quelque ADJ NCs de NCmod pouvoir VSENT le NCSENT de DETPOSS NCmod !
10,de Koch/1812_Kock-Paul-de_L-enfant-de-ma-femme.txt,"... Mais , rien !","... mais , rien !"
