id,titre,phrase,motifs_phrase
1,1888_Theuriet_Gertrude-et-Veronique_A.txt,"LE SECRET DE GERTRUDE I La journée tirait à sa fin — une pluvieuse journée de février — et bien que le ciel se fût éclairci , la lumière pénétrait déjà avec peine à travers les carreaux verdâtres de la pièce où se réunissait chaque soir la famille de Mauprié .","le NP NP NP NUM le NCT VCOND à DETPOSS NC — un ADJ NCT de MOIS — et bien que le NCs se être INTJ , le NCs VCOND déjà avec NCSENT à travers le NC ADJCOL de le NCmod où se VIMP chaque NCT le NCs de NP ."
2,1888_Theuriet_Gertrude-et-Veronique_A.txt,"Les fenêtres donnaient sur l' unique rue de le village ; en soulevant le rideau , on pouvait apercevoir la route détrempée par la pluie , la rue tournante , les maisons basses à les toits moussus , l' abside de la vieille église de Lachalade , et dans le fond , la forêt d' Argonne voilée d' une brume violette .","le NCs VIMP sur le ADJ NC de le NCmod ; en PPRES le NCo , on pouvoir INF le NCo PPAS par le NC , le NCo ADJ , le NC ADJ à le NCmod ADJ , le NC de le ADJ NCmod de NP , et dans le NC , le NC de NP PPAS de un NC ADJCOL ."
3,1888_Theuriet_Gertrude-et-Veronique_A.txt,"Près de l' une de les croisées , la veuve de David de Mauprié se tenait droite dans son fauteuil et raide dans ses vêtements noirs ; sa figure affilée et pointue se profilait sur la mousseline de le rideau , et l' on voyait ses mains sèches agiter mécaniquement les aiguilles .","ADVLIEU de le un de le NCmod , le NCs de NP de NP se VIMP ADJ dans DETPOSS NC et PRES dans DETPOSS NC ADJ ; DETPOSS NCCOR PPAS et ADJ se VIMP sur le NC de le NCmod , et l' on VCOG DETPOSS NCCOR ADJ INF ADV le NCo ."
4,1888_Theuriet_Gertrude-et-Veronique_A.txt,"Sa fille aînée , Honorine , élancée et maigre , surveillait devant la cheminée la cuisson d' un opiat pour le teint ; elle devait avoir passé la trentaine ; la flamme de le brasier éclairait à demi son visage couperosé et ses yeux noirs encore beaux sous leurs paupières déjà fatiguées .","DETPOSS NCs ADJ , NP , PPAS et ADJ , VIMP ADVLIEU le NC le NCo de un NCmod pour le NCmod ; il devoir avoir PPAS le NCo ; le NCs de le NCmod VCOND à ADJ DETPOSS NCCOR PPAS et DETPOSS NCCOR ADJ encore ADJ sous DETPOSS NCCOR déjà VSENT ."
5,1888_Theuriet_Gertrude-et-Veronique_A.txt,"Un garçon de vingt-trois ans , nommé Xavier , était assis à une table ronde devant un dessin qu' il terminait rapidement .","un NCs de NUM NCT , PPAS NP , être PPAS à un ADJ NC devoir un NC que il VASP ADVMAN ."
6,1888_Theuriet_Gertrude-et-Veronique_A.txt,"Près de lui , dans l' embrasure de la seconde fenêtre , sa sœur cadette , Reine , les coudes sur les genoux et les mains enfoncées dans ses épais cheveux bruns , profitait de les dernières heures de le jour pour dévorer un roman qui absorbait toute son attention .","ADVLIEU de lui , dans le NC de le ADJ NCmod , DETPOSS NCs ADJ , NP , le NCCOR sur le NCCOR et le NCCOR PPAS dans DETPOSS ADJ NCCOR ADJCOL , VIMP de le ADJ NCT de le NCT pour VSENT un NCo qui VIMP tout DETPOSS NCo ."
7,1888_Theuriet_Gertrude-et-Veronique_A.txt,"L' ombre envahissait de plus en plus la salle , et les meubles qui la garnissaient disparaissaient noyés dans l' obscurité .","le NCs VIMP de plus en plus le NCo , et le NC qui le VIMP VIMP PPAS dans le NC ."
8,1888_Theuriet_Gertrude-et-Veronique_A.txt,"Parfois seulement le feu se ranimait , un jet de flamme lançait çà et là de légères touches lumineuses , et on distinguait un coin de miroir , un panneau de tapisserie , un portrait enfumé dans son cadre terni , une console ventrue à poignées de cuivre , un râtelier d' armes de chasse … Puis la flamme s' évanouissait et tout se replongeait dans l' ombre , à l' exception de les silhouettes immobiles près de les fenêtres .","ADVTEMPS seulement le NCs se VIMP , un NCs de NCmod VIMP ADV et ADVLIEU un ADJ NCo ADJ , et on VCOG un NCo de NCmod , un NC de NCmod , un NC PPAS dans DETPOSS NC ADJ , un NC PPAS à NC de NCmod , un NC de NCmod de NCmod … puis le NCs se VIMP et tout se VIMP dans le NC , à le NC de le NCmod ADJ ADVLIEU de le NC ."
9,1888_Theuriet_Gertrude-et-Veronique_A.txt,"— Allons , fit Xavier en posant son crayon , on n' y voit plus .","— NP , faire NP en PPRES DETPOSS NCo , on ne y VCOG plus ."
10,1888_Theuriet_Gertrude-et-Veronique_A.txt,"— Reine , dit la sœur aînée d' une voix aigre-douce , le souper ne sera jamais prêt !","— NP , VDIC le NCo ADJ de un NCMAN ADJ , le INF ne être ADVTEMPS ADJ !"
