id,titre,phrase,motifs_phrase
1,1883_ Enne_La-Vie-simple_N.txt,Francis Enne La Vie simple A MON AMI ALPHONSE DAUDET Je dédie cette série d' observations et d' impressions brutales .,NP NP le NC ADJ à NP NP NP NP je PRES ce NCo de NCmod et de NC ADJ .
2,1883_ Enne_La-Vie-simple_N.txt,FRANCIS ENNE .,NP NP .
3,1883_ Enne_La-Vie-simple_N.txt,"L' ADULTÈRE Nous vivions heureux , Laure et moi ; et pourtant , comme nous avions tous deux le cœur droit et comme nous étions bons , il nous arrivait parfois de nous regarder avec de les yeux inquiets ; puis nous nous disions : — C' est mal , n' est -ce pas , ce que nous avons fait là ?","le NP nous NC ADJ , NP et soi ; et pourtant , comme nous avoir tout NUM le NC ADJ et comme nous être ADJ , il nous VIMP ADVTEMPS de nous VCOG avec de le NCCOR ADJ ; puis nous nous VIMP : — ce être mal , ne être ce pas , ce que nous avoir faire ADVLIEU ?"
4,1883_ Enne_La-Vie-simple_N.txt,"Elle n' avait alors , elle , que dix-sept ans , et moi vingt .","il ne avoir alors , il , que NUM NCT , et soi NUM ."
5,1883_ Enne_La-Vie-simple_N.txt,Nous étions dévorés par le remords .,nous être VSENT par le NCSENT .
6,1883_ Enne_La-Vie-simple_N.txt,"Pourtant , les amoureux sont égoïstes d' habitude , et nous pouvions oublier le monde entier dans ce petit coin exquis où nous avions été nous réfugier .","pourtant , le NCs être ADJ de NC , et nous pouvoir VCOG le NCo ADJ dans ce ADJ NC ADJ où nous avoir être nous INF ."
7,1883_ Enne_La-Vie-simple_N.txt,"C' était une de ces vieilles auberges à rouliers telles qu' on en trouve encore dans la banlieue de Versailles , à le fond de les bois , près d' un étang caché sous les roseaux emmêlés comme une tignasse de nègre , et bordé de hauts peupliers qui semblaient monter la garde , ainsi que de les grenadiers gigantesques .","ce être un de ce NCmod ADJ à NCmod tel que on en PRES encore dans le NC de NP , à le NC de le NCmod , ADVLIEU de un NC PPAS sous le NC PPAS comme un NC de NCmod , et PPAS de ADJ NC qui sembler INF le NCo , ainsi que de le NC ADJ ."
8,1883_ Enne_La-Vie-simple_N.txt,"Le vent , soufflant dans les hautes branches , les agitait lentement et nous charmait par ce bruissement intermittent et monotone qui imite le grand vacarme harmonieux de la mer .","le NCs , VSENT dans le ADJ NC , le VIMP ADV et nous VIMP par ce NC PRES et ADJ qui PRES le ADJ NCo ADJ de le NCmod ."
9,1883_ Enne_La-Vie-simple_N.txt,"Par nos fenêtres — c' était à la mi-juin — pénétraient les parfums de les fleurs de les haies voisines et de les clématites grimpant sur la façade de la maison ; la nuit , les rossignols lançaient leurs trilles dans les hautes branches de les vieux chênes et les grenouilles amoureuses coassaient avec rage accroupies sur les lits moelleux de les nénuphars à les fleurs jaunes .","par DETPOSS NC — ce être à le NC — VIMP le NCo de le NCmod de le NCmod ADJ et de le NC PPRES sur le NC de le NCmod ; le NCT , le NCs VIMP DETPOSS NCo dans le ADJ NC de le ADJ NCmod et le NCs ADJ VIMP avec NCSENT PPAS sur le NC ADJ de le NCmod à le NCmod ADJCOL ."
10,1883_ Enne_La-Vie-simple_N.txt,"Laure était belle , elle dormait languissamment , la tête appuyée sur ses bras nus , et je regardais avec amour ses cheveux d' or brun épandus autour d' elle ; son sommeil n' était pas régulier pourtant , ses paupières tremblotaient ; de les rêves l' agitaient , et moi , je restais anxieux .","NP être ADJ , il VIMP ADV , le NCCOR PPAS sur DETPOSS NCCOR ADJ , et je VCOG avec NCSENT DETPOSS NCCOR de NCmod ADJCOL PPAS ADV de il ; DETPOSS NCs ne être pas ADJ pourtant , DETPOSS NCCOR VIMP ; de le NCs le VIMP , et soi , je VIMP ADV ."
