id,titre,phrase,motifs_phrase
1,1886_Valles_L'Insurge_A.txt,"À les morts de 1871 À TOUS CEUX qui , victimes de l' injustice sociale , prirent les armes contre un monde mal fait et formèrent , sous le drapeau de la Commune , la grande fédération de les douleurs , Je dédie ce livre .","à le NC de NUM à NP NP qui , NC de le NCmod ADJ , VPS le NCo contre un NCmod mal faire et VPS , sous le NC de le NP , le ADJ NCo de le NCSENT , je PRES ce NCo ."
2,1886_Valles_L'Insurge_A.txt,Jules VALLÈS .,NP NP .
3,1886_Valles_L'Insurge_A.txt,"1 C' est peut-être vrai que je suis un lâche , ainsi que l' ont dit sous l' Odéon les bonnets rouges et les talons noirs .","NUM ce être peut-être vrai que je être un NC , ainsi que le avoir VDIC sous le NP le NCo ADJCOL et le NCCOR ADJ ."
4,1886_Valles_L'Insurge_A.txt,"Voilà de les semaines que je suis pion , et je ne ressens ni un chagrin ni une douleur ; je ne suis pas irrité et je n' ai point honte .","voilà de le NC que je être NC , et je ne VSENT ni un NCSENT ni un NCSENT ; je ne être pas VSENT et je ne avoir ADV NCSENT ."
5,1886_Valles_L'Insurge_A.txt,"J' avais insulté les fayots de collège ; il paraît que les haricots sont meilleurs dans ce pays -ci , car j' en avale de les platées et je lèche et relèche l' assiette .","je avoir PPAS le NCo de NCmod ; il paraître que le NCs être meilleur dans ce NC ci , car je en NCmod de le NCmod et je PRES et PRES le NCo ."
6,1886_Valles_L'Insurge_A.txt,"En plein silence de réfectoire , l' autre jour , j' ai crié , comme jadis , chez Richefeu : « Garçon , encore une portion !","en ADJ NC de NCmod , le autre NCT , je avoir VDIC , comme NC , chez NP : "" NP , encore un NC !"
7,1886_Valles_L'Insurge_A.txt,"» Tout le monde s' est retourné , et l' on a ri .",""" tout le NCmod se être PPAS , et l' on avoir PPAS ."
8,1886_Valles_L'Insurge_A.txt,"J' ai ri aussi – je suis en train de gagner l' insouciance de les galériens , le cynisme de les prisonniers , de me faire à mon bagne , de noyer mon cœur dans une chopine d' abondance – je vais aimer mon auge !","je avoir PPAS aussi – je être en NC de INF le NCSENT de le NCmod , le NC de le NC , de me faire à DETPOSS NC , de INF DETPOSS NCo dans un NC de NCmod – je aller VSENT DETPOSS NCo !"
9,1886_Valles_L'Insurge_A.txt,J' ai eu faim si longtemps !,je avoir avoir NCo si longtemps !
10,1886_Valles_L'Insurge_A.txt,"J' ai si souvent serré mes côtes , pour étouffer cette faim qui grognait et mordait mes entrailles , j' ai tant de fois brossé mon ventre sans faire reluire l' espoir d' un dîner , que je trouve une volupté d' ours couché dans une treille à pommader de sauce chaude mes boyaux secs .","je avoir ADV ADVTEMPS PPAS DETPOSS NCo , pour INF ce NCo qui VDIC et VIMP DETPOSS NC , je avoir tant de fois PPAS DETPOSS NCCOR sans faire INF le NCSENT de un NCmod , que je PRES un NCo de NCmod PPAS dans un NC à INF de NC ADJ DETPOSS NC ADJ ."
11,1886_Valles_L'Insurge_A.txt,C' est presque la joie d' une blessure guérie à chatouiller .,ce être presque le NCSENT de un NCSENT PRES à VSENT .
12,1886_Valles_L'Insurge_A.txt,Toujours est -il que je n' ai plus le teint verdâtre et l' œil creux ; il traîne souvent de l' œuf dans ma barbe .,ADVTEMPS être il que je ne avoir plus le NCo ADJCOL et le NC ADJ ; il PRES ADVTEMPS de le NC dans DETPOSS NCCOR .
13,1886_Valles_L'Insurge_A.txt,"Je ne la peignais pas autrefois , cette barbe ; mes doigts la fourrageaient et la maltraitaient , lorsque je songeais à mon impuissance et à ma misère .","je ne le VIMP pas ADVT , ce NCCOR ; DETPOSS NCCOR le VIMP et le VIMP , lorsque je VIMP à DETPOSS NC et à DETPOSS NC ."
