id,titre,phrase,motifs_phrase
1,Flaubert/Madame_Bovary_clean.txt,"Nous étions à l' étude , quand le proviseur entra , suivi d' un nouveau habillé en bourgeois et d' un garçon de classe qui portait un grand pupitre .","nous être à le NC , quand le NCmod ADJ , PPAS de un ADJ NC en NCmod et de un NC de NCmod qui VIMP un ADJ NCo ."
2,Flaubert/Madame_Bovary_clean.txt,"Ceux qui dormaient se réveillèrent , et chacun se leva comme surpris dans son travail .","celui qui VIMP se VPS , et chacun se VPS comme VSENT dans DETPOSS NC ."
3,Flaubert/Madame_Bovary_clean.txt,"Le proviseur nous fit signe de nous rasseoir ; puis , se tournant vers le maître d' études : Monsieur Roger , lui dit -il à demi-voix , voici un élève que je vous recommande , il entre en cinquième .","le NCs nous faire NCo de nous INF ; puis , se PPRES vers le NC de NCmod : monsieur NP , lui VDIC il à NUM , voici un NCo que je vous PRES , il PRES en NC ."
4,Flaubert/Madame_Bovary_clean.txt,"Si son travail et sa conduite sont méritoires , il passera dans les grands , où l' appelle son âge .","si DETPOSS NCs et DETPOSS NC être ADJ , il VF dans le NC , où le PRES DETPOSS NCo ."
5,Flaubert/Madame_Bovary_clean.txt,"Resté dans l' angle , derrière la porte , si bien qu' on l' apercevait à peine , le nouveau était un gars de la campagne , d' une quinzaine d' années environ , et plus haut de taille qu' aucun de nous tous .","PPAS dans le NC , ADVLIEU le NC , si bien que on le VIMP à NCSENT , le ADJ être un NC de le NCmod , de une NCmod de NCT environ , et plus ADJ de NC que aucun de nous tout ."
6,Flaubert/Madame_Bovary_clean.txt,"Il avait les cheveux coupés droit sur le front , comme un chantre de village , l' air raisonnable et fort embarrassé .","il avoir le NCCOR PPAS NC sur le NCCOR , comme un NCmod de NCmod , le NCMAN ADJ et fort VSENT ."
7,Flaubert/Madame_Bovary_clean.txt,"Quoiqu' il ne fût pas large de les épaules , son habit-veste de drap vert à boutons noirs devait le gêner à les entournures et laissait voir , par la fente de les parements , de les poignets rouges habitués à être nus .","quoique il ne être pas ADJ de le NCCOR , DETPOSS NCs de NCmod ADJCOL à NCmod ADJ devoir le VSENT à le NC et laisser VCOG , par le NC de le NCmod , de le NCCOR ADJCOL PPAS à être ADJ ."
8,Flaubert/Madame_Bovary_clean.txt,"Ses jambes , en bas bleus , sortaient d' un pantalon jaunâtre très tiré par les bretelles .","DETPOSS NCCOR , en NCmod ADJ , VIMP de un NC ADJCOL très PPAS par le NC ."
9,Flaubert/Madame_Bovary_clean.txt,"Il était chaussé de souliers forts , mal cirés , garnis de clous .","il être PPAS de NC fort , mal ADJ , NC de NCmod ."
10,Flaubert/Madame_Bovary_clean.txt,On commença la récitation de les leçons .,on VASP le NCo de le NCmod .
