id,titre,phrase,motifs_phrase
1,Zola/1885_13_Germinal._clean.txt,"Dans la plaine rase , sous la nuit sans étoiles , d' une obscurité et d' une épaisseur d' encre , un homme suivait seul la grand-route de Marchiennes à Montsou , dix kilomètres de pavé , coupant tout droit , à travers les champs de betteraves .","dans le NC ADJ , sous le NCT sans NCmod , de un NC et de un NC de NCmod , un NCs VIMP ADJ le NCo de NP à NP , NUM NCmod de NCmod , PPRES tout NCo , à travers le NC de NCmod ."
2,Zola/1885_13_Germinal._clean.txt,"Devant lui , il ne voyait même pas le sol noir , et il n' avait la sensation de l' immense horizon plat que par les souffles de le vent de mars , de les rafales larges comme sur une mer , glacées d' avoir balayé de les lieues de marais et de terres nues .","ADVLIEU lui , il ne VCOG même pas le NCo ADJ , et il ne avoir le NCSENT de le NCmod horizon NCmod que par le NC de le NCmod de MOIS , de le NC ADJ comme sur un NCmod , VSENT de avoir PPAS de le NC de NCmod et de NC ADJ ."
3,Zola/1885_13_Germinal._clean.txt,"Aucune ombre d' arbre ne tachait le ciel , le pavé se déroulait avec la rectitude d' une jetée , à le milieu de l' embrun aveuglant de les ténèbres .","aucun NCs de NCmod ne VIMP le NCo , le NCs se VIMP avec le NC de un NCmod , à le milieu de le NCmod PPRES de le NC ."
4,Zola/1885_13_Germinal._clean.txt,L' homme était parti de Marchiennes vers deux heures .,le NCs être PPAS de NP vers NUM NCT .
5,Zola/1885_13_Germinal._clean.txt,"Il marchait d' un pas allongé , grelottant sous le coton aminci de sa veste et de son pantalon de velours .","il VIMP de un pas ADJ , PPRES sous le NC ADV de DETPOSS NC et de DETPOSS NC de NCmod ."
6,Zola/1885_13_Germinal._clean.txt,"Un petit paquet , noué dans un mouchoir à carreaux , le gênait beaucoup ; et il le serrait contre ses flancs , tantôt d' un coude , tantôt de l' autre , pour glisser à le fond de ses poches les deux mains à la fois , de les mains gourdes que les lanières de le vent d' est faisaient saigner .","un ADJ NCs , PPAS dans un NC à NCmod , le VSENT beaucoup ; et il le VCOND contre DETPOSS NC , ADV de un NCCOR , ADV de le autre , pour INF à le NC de DETPOSS NCmod le NUM NCCOR à le fois , de le NCCOR ADJ que le NC de le NCmod de être faire INF ."
7,Zola/1885_13_Germinal._clean.txt,"Une seule idée occupait sa tête vide d' ouvrier sans travail et sans gîte , l' espoir que le froid serait moins vif après le lever de le jour .","un ADJ NCs VIMP DETPOSS NCCOR PRES de NC sans NC et sans NC , le NCSENT que le NCs être moins ADJ PHASE le NC de le NCT ."
8,Zola/1885_13_Germinal._clean.txt,"Depuis une heure , il avançait ainsi , lorsque sur la gauche , à deux kilomètres de Montsou , il aperçut de les feux rouges , trois brasiers brûlant à le plein air , et comme suspendus .","depuis un NCT , il VIMP ainsi , lorsque sur le NC , à NUM NCmod de NP , il VPS de le NC ADJCOL , NUM NCs PPRES à le ADJ NCMAN , et comme NC ."
9,Zola/1885_13_Germinal._clean.txt,"D' abord , il hésita , pris de crainte; puis , il ne put résister à le besoin douloureux de se chauffer un instant les mains .","de NC , il VPS , PPAS de crainte; puis , il ne pouvoir INF à le NC ADJ de se INF un NCo le NCCOR ."
10,Zola/1885_13_Germinal._clean.txt,Un chemin creux s' enfonçait .,un NCs ADJ se VIMP .
11,Zola/1885_13_Germinal._clean.txt,Tout disparut .,tout NC .
12,Zola/1885_13_Germinal._clean.txt,"L' homme avait à droite une palissade , quelque mur de grosses planches fermant une voie ferrée ; tandis qu' un talus d' herbe s' élevait à gauche , surmonté de pignons confus , d' une vision de village à les toitures basses et uniformes .","le NCs avoir à NC un NCo , quelque NC un ADJ NCmod PPRES un NCo ADJ ; PHASE que un NCs de NCmod se VIMP à NC , PPAS de NC ADJ , de un NCmod de NCmod à le NCmod ADJ et ADJ ."
13,Zola/1885_13_Germinal._clean.txt,Il fit environ deux cents pas .,il faire environ NUM NCo pas .
14,Zola/1885_13_Germinal._clean.txt,"Brusquement , à un coude de le chemin , les feux reparurent près de lui , sans qu' il comprit davantage comment ils brûlaient si haut dans le ciel mort , pareils à de les lunes fumeuses .","ADV , à un NCCOR de le NCmod , le NCs PRES ADVLIEU de lui , sans que il VCOG davantage comment il VIMP si ADV dans le NC ADJ , NC à de le NCmod ADJ ."
15,Zola/1885_13_Germinal._clean.txt,"Mais , à le ras de le sol , un autre spectacle venait de l' arrêter .","mais , à le NC de le NCmod , un autre NCs venir de le INF ."
16,Zola/1885_13_Germinal._clean.txt,"C' était une masse lourde , un tas écrasé de constructions , d' où se dressait la silhouette d' une cheminée d' usine ; de rares lueurs sortaient de les fenêtres encrassées , cinq ou six lanternes tristes étaient pendues dehors , à de les charpentes dont les bois noircis alignaient vaguement de les profils de tréteaux gigantesques ; et , de cette apparition fantastique , noyée de nuit et de fumée , une seule voix montait , la respiration grosse et longue d' un échappement de vapeur , qu' on ne voyait point .","ce être un NC ADJ , un NC PPAS de NC , de où se VIMP le NCs de un NCmod de NCmod ; un ADJ NCs VIMP de le NC PPAS , NUM ou NUM NC ADJ être PPAS ADV , à un le NC dont le NCs ADJ VIMP ADV de le NC de NCmod ADJ ; et , de ce NC ADJ , PPAS de NCT et de NC , un ADJ NCMAN VIMP , le NCo ADJ et ADJ de un NCmod de NCmod , que on ne VCOG ADV ."
17,Zola/1885_13_Germinal._clean.txt,"Alors , l' homme reconnut une fosse .","alors , le NCs VCOG un NCo ."
18,Zola/1885_13_Germinal._clean.txt,Il fut repris de honte : à quoi bon ?,il être PPAS de NCSENT : à quoi ADJ ?
19,Zola/1885_13_Germinal._clean.txt,il n' y aurait pas de travail .,il ne y avoir pas un NCo .
20,Zola/1885_13_Germinal._clean.txt,"À le lieu de se diriger vers les bâtiments , il se risqua enfin à gravir le terri , sur lequel brûlaient les trois feux de houille , dans de les corbeilles de fonte , pour éclairer et réchauffer la besogne .","à le NC de se INF vers le NC , il se VPS PHASE à INF le NCo , sur lequel VIMP le NUM NCs de NCmod , dans de le NC de NCmod , pour INF et INF le NCo ."
21,Zola/1885_13_Germinal._clean.txt,"Les ouvriers de la coupe à terre avaient dû travailler tard , on sortait encore les débris inutiles .","le NCs de le NCmod à NCmod avoir devoir INF tard , on VIMP encore le NCo ADJ ."
22,Zola/1885_13_Germinal._clean.txt,"Maintenant , il entendait les moulineurs pousser les trains sur les tréteaux , il distinguait de les ombres vivantes culbutant les berlines , près de chaque feu .","ADVT , il VCOG le NCo INF le NCo sur le NCmod , il VCOG de le NC ADJ PPRES le NCo , ADVLIEU de chaque NC ."
23,Zola/1885_13_Germinal._clean.txt,"Bonjour , dit -il en s' approchant d' une de les corbeilles .","INTJ , VDIC il en se PPRES de un de le NCmod ."
24,Zola/1885_13_Germinal._clean.txt,"Tournant le dos à le brasier , le charretier était debout , un vieillard vêtu d' un tricot de laine violette , coiffé d' une casquette en poil de lapin ; pendant que son cheval , un gros cheval jaune , attendait , dans une immobilité de pierre , qu' on eût vidé les six berlines montées par lui .","PPRES le NCCOR à le NC , le NCs être ADV , un NC PPAS de un NCmod de NCmod ADJCOL , PPAS de un NC en NCCOR de NCmod ; PHASE que DETPOSS NCs , un ADJ NC ADJCOL , VIMP , dans un NC de NCmod , que on avoir PPAS le NUM NCo PPAS par lui ."
25,Zola/1885_13_Germinal._clean.txt,"Le manœuvre employé à le culbuteur , un gaillard roux et efflanqué , ne se pressait guère , pesait sur le levier d' une main endormie .","le NCs PPAS à le NC , un NC ADJCOL et PPAS , ne se VIMP guère , VIMP sur le NC de un NCCOR PPAS ."
26,Zola/1885_13_Germinal._clean.txt,"Et , là-haut , le vent redoublait , une bise glaciale , dont les grandes haleines régulières passaient comme de les coups de faux .","et , ADVLIEU , le NCs VIMP , un NCo ADJ , dont le ADJ NCs ADJ VIMP comme de le NC de NCmod ."
27,Zola/1885_13_Germinal._clean.txt,"Bonjour , répondit le vieux .","INTJ , VDIC le ADJ ."
28,Zola/1885_13_Germinal._clean.txt,Un silence se fit .,un NCs se faire .
29,Zola/1885_13_Germinal._clean.txt,"L' homme , qui se sentait regardé d' un œil méfiant , dit son nom tout de suite .","le NC , qui se sentir VCOG de un NC ADJ , VDIC DETPOSS NCo tout de NCmod ."
30,Zola/1885_13_Germinal._clean.txt,"Je me nomme Étienne Lantier , je suis machineur ... Il n' y a pas de travail ici ?","je me PRES NP NP , je être NC ... il ne y avoir pas un NCo ADVLIEU ?"
31,Zola/1885_13_Germinal._clean.txt,"Les flammes l' éclairaient , il devait avoir vingt et un ans , très brun , joli homme , l' air fort malgré ses membres menus .","le NCs le VIMP , il devoir avoir NUM et NUM NCT , très ADJCOL , ADJ NC , le NCMAN fort malgré DETPOSS NCmod PPAS ."
32,Zola/1885_13_Germinal._clean.txt,"Rassuré , le charretier hochait la tête .","VSENT , le NCs VIMP le NCCOR ."
33,Zola/1885_13_Germinal._clean.txt,"De le travail pour un machineur , non , non ... Il s' en est encore présenté deux hier .","de le NC pour un NCmod , non , non ... il se en être encore PPAS NUM ADV ."
34,Zola/1885_13_Germinal._clean.txt,Il n' y a rien .,il ne y avoir rien .
