id,titre,phrase,motifs_phrase
1,1880_Debans_La-Peau-du-mort_A.txt,I – Ah ça !,NUM – NP ça !
2,1880_Debans_La-Peau-du-mort_A.txt,"Balkens , auriez -vous positivement le toupet d' appeler ça de le punch ?","NP , avoir lui ADVINT le NCo de INF ça de le NCmod ?"
3,1880_Debans_La-Peau-du-mort_A.txt,"– Écoutez , mon cher de Montussan … – À le diable la particule , maître flatteur .","– NP , DETPOSS NC de NP … – à le NC le NC , NC NCmod ."
4,1880_Debans_La-Peau-du-mort_A.txt,Mon père m' a laissé le nom de Montussan tout court et c' est bien assez pour ce que j' en fais .,DETPOSS NCs le avoir laisser le NCo de NP tout ADJ et ce être bien ADV pour ce que je en faire .
5,1880_Debans_La-Peau-du-mort_A.txt,Je n' ai point pour ancêtre la cuisse de Jupiter .,je ne avoir ADV pour INF le NCCOR de NP .
6,1880_Debans_La-Peau-du-mort_A.txt,– Je croyais … – De le reste cela n' empêche pas ma première question de subsister .,– je VIMP … – de le NC cela ne PRES pas DETPOSS ADJ NCo de INF .
7,1880_Debans_La-Peau-du-mort_A.txt,Vous osez appeler ça de le punch ?,vous PRES INF ça de le NC ?
8,1880_Debans_La-Peau-du-mort_A.txt,Celui qui parlait sur ce ton d' arrogante autorité était un grand gaillard encore à demi blond qui paraissait quarante-cinq ans et qui n' en avait que trente-huit .,celui qui VIMP sur ce NC de ADJ NCmod être un ADJ NC encore à ADJ ADJCOL qui paraître NUM NCT et qui ne en avoir que NUM .
9,1880_Debans_La-Peau-du-mort_A.txt,"Ses yeux , son front et sa face ravagée trahissaient la débauche hardie qui ne songeait ni à cacher ses vices ni à en faire parade .","DETPOSS NCCOR , DETPOSS NCCOR et DETPOSS NC ADJ VIMP le NCo ADJ qui ne VIMP ni à INF DETPOSS NCo ni à en faire NCo ."
10,1880_Debans_La-Peau-du-mort_A.txt,La scène se passait chez le peintre Balkens .,le NCs se VIMP chez le NC NP .
11,1880_Debans_La-Peau-du-mort_A.txt,"Debout à le milieu de l' atelier , ses longs cheveux rejetés en arrière , Lucien Montussan tenait par le plat de le pied un grand verre de Bohême à les formes capricieuses , dans lequel dansait une liqueur prodigue de rayons engageants .","ADV à le milieu de le NCmod , DETPOSS ADJ NCCOR PPAS en NC , NP NP VIMP par le NC de le NCCOR un ADJ NCo de NP à le NCmod ADJ , dans lequel VIMP un NCs ADJ de NCmod ADJ ."
12,1880_Debans_La-Peau-du-mort_A.txt,"Assis sur un escabeau , devant un chevalet , l' artiste s' était à demi retourné en souriant pour répondre à l' interpellation .","PPAS sur un NC , ADVLIEU un NC , le NCs se être à ADJ PPAS en PPRES pour VDIC à le NC ."
13,1880_Debans_La-Peau-du-mort_A.txt,"S' il y avait eu là quelque autre peintre , il eût sans doute admiré l' attitude de les personnages et gardé ce souvenir dans sa mémoire pour en faire un tableau de genre .","si il y avoir avoir ADVLIEU quelque autre NCo , il avoir sans NCSENT VSENT le NCo de le NCmod et PPAS ce NCo dans DETPOSS NC pour en faire un NCo de NCmod ."
14,1880_Debans_La-Peau-du-mort_A.txt,"Sur le chevalet , dans l' or de son cadre neuf , un tableautin exquis de couleur attirait l' admiration .","sur le NC , dans le NCmod de DETPOSS NCmod ADJ , un NCs ADJ de NCmod VSENT le NCSENT ."
15,1880_Debans_La-Peau-du-mort_A.txt,"On y remarquait sur tout un joli cavalier Louis XV , lancé à le galop et portant fièrement à travers la bataille un étendard bleu de ciel fleurdelisé .","on y VIMP sur tout un NC ADJ NP NUM , PPAS à le NC et PPRES ADVMAN à travers le NC un NCo ADJCOL de NCmod PPAS ."
16,1880_Debans_La-Peau-du-mort_A.txt,Ce cavalier donnait à la toile une allure véritablement triomphante .,ce NCs VIMP à le NC un NCMAN ADVINT ADJ .
17,1880_Debans_La-Peau-du-mort_A.txt,– Eh bien !,– INTJ bien !
18,1880_Debans_La-Peau-du-mort_A.txt,"cher ami , puisque vous exigez qu' on vous réponde .","ADJ NC , puisque vous PRES que on vous VDIC ."
19,1880_Debans_La-Peau-du-mort_A.txt,"oui , dans ce quartier-ci on appelle cela de le punch , dit le peintre .","oui , dans ce NP on PRES cela de le NC , VDIC le NCo ."
20,1880_Debans_La-Peau-du-mort_A.txt,"– Monsieur Balkens , vous vous moquez de moi .","– monsieur NP , vous vous PRES de soi ."
21,1880_Debans_La-Peau-du-mort_A.txt,"– Nullement , je vous assure .","– nullement , je vous PRES ."
22,1880_Debans_La-Peau-du-mort_A.txt,– Et il faut que vous soyez diantrement Belge pour me manquer ainsi d' égards .,– et il PRES que vous être ADV ADJ pour me INF ainsi de NC .
23,1880_Debans_La-Peau-du-mort_A.txt,– Oh !,– INTJ !
24,1880_Debans_La-Peau-du-mort_A.txt,fit Balkens scandalisé .,faire NP VSENT .
25,1880_Debans_La-Peau-du-mort_A.txt,"– Oui , vous me manquez d' égards .","– oui , vous me IMP de NC ."
26,1880_Debans_La-Peau-du-mort_A.txt,Vous n' êtes pas de ces gens à qui l' on demande un service .,vous ne être pas de ce NC à qui l' on PRES un NCo .
27,1880_Debans_La-Peau-du-mort_A.txt,"Avec vous , c' est donnant donnant .","avec vous , ce être ADJ ADJ ."
28,1880_Debans_La-Peau-du-mort_A.txt,J' ai de les amis qui me prêtent de temps en temps un louis et à qui je ne le rends jamais .,je avoir de le NC qui me PRES de temps en temps un NCo et à qui je ne le PRES ADVTEMPS .
29,1880_Debans_La-Peau-du-mort_A.txt,"Balkens fit un mouvement , comme s' il allait offrir sa bourse .","NP faire un NCo , comme si il aller INF DETPOSS NCo ."
30,1880_Debans_La-Peau-du-mort_A.txt,– Vous n' êtes pas de ces amis .,– vous ne être pas de ce NC .
31,1880_Debans_La-Peau-du-mort_A.txt,"– Je le regrette sincèrement , fit le peintre .","– je le PRES ADVMAN , faire le NCo ."
