id,titre,phrase,motifs_phrase
1,1881_Rod_Palmyre-Veulard_N.txt,"Palmyre Veulard Édouard Rod Publication : 1881 À ÉMILE ZOLA Édouard ROD Paris , Février 1881 Chapitre 1 Van Sighem avait déjà parlé de les théâtres , d' un concert à bénéfice et de le temps qu' il faisait .","NP NP NP NP NC : NUM à NP NP NP NP NP , NP NUM NC NUM NP NP avoir déjà PPAS de le NC , de un NCmod à NCmod et de le temps que il faire ."
2,1881_Rod_Palmyre-Veulard_N.txt,Son stock de conversation était épuisé .,DETPOSS NCspas de NCmod être PPAS .
3,1881_Rod_Palmyre-Veulard_N.txt,"Néanmoins , il parvint encore à raconter comment il venait de perdre cinquante louis à les courses de Nice , en jouant sur Boulotte et sur Triboulet .","ADV , il VPS encore à INF comment il venir de INF NUM NCo à le NC de NP , en PPRES sur NP et sur NP ."
4,1881_Rod_Palmyre-Veulard_N.txt,"– À ce qu' il paraît , dit -il , Triboulet est arrivé beau dernier ; quant à Boulotte , elle a démonté son jockey .","– à ce que il paraître , VDIC il , NP être PPAS ADJ ADJ ; quant à NP , il avoir PPAS DETPOSS NCo ."
5,1881_Rod_Palmyre-Veulard_N.txt,"Comme Palmyre , un peu moqueuse , lui apprenait que ces deux chevaux n' avaient jamais eu la moindre chance , il reprit : – C' est Lilas , de les écuries Blamont , qui a gagné .","comme NP , un peu ADJ , lui VCOG que ce NUM NCs ne avoir ADVTEMPS avoir le ADJ NCo , il VPS : – ce être NP , de le NC NP , qui avoir PPAS ."
6,1881_Rod_Palmyre-Veulard_N.txt,"D' un ton de parfaite indifférence , elle répéta : – Ah !","de un NC de ADJ VSENT , il VPS : – INTJ !"
7,1881_Rod_Palmyre-Veulard_N.txt,"vraiment , c' est Lilas !","ADVINT , ce être NP !"
8,1881_Rod_Palmyre-Veulard_N.txt,Et tous deux restèrent silencieux dans la pénombre de le salon .,et tout deux VPS ADJ dans le NC de le NCmod .
9,1881_Rod_Palmyre-Veulard_N.txt,"Dehors , à intervalles réguliers , le chemin de fer de Passy passait avec un sifflet aigu , et son houloulement résonnait dans le calme de le boulevard presque solitaire .","ADV , à NC ADJ , le NCs de NCmod de NP VIMP avec un NC ADJ , et DETPOSS NCs VIMP dans le NCSENT de le NCmod presque ADJ ."
10,1881_Rod_Palmyre-Veulard_N.txt,"Palmyre , les regards perdus dans le vague , avait évidemment certain souci .","NP , le NCMAN PPAS dans le NC , avoir ADV ADJ NCSENT ."
11,1881_Rod_Palmyre-Veulard_N.txt,"Van Sighem , trouvant ce silence gênant , cherchait un thème à banalités .","NP NP , PPRES ce NCo ADJ , VIMP un NCo à NCmod ."
12,1881_Rod_Palmyre-Veulard_N.txt,"Mais comme il n' avait qu' une seule pensée , – une pensée qu' il n' osait exprimer , – il ne trouvait rien ; et , malgré lui , il perdait son temps à rouler dans sa tête de les projets vagues et de les souvenirs .","mais comme il ne avoir que un ADJ NCo , – un NCo que il ne VIMP INF , – il ne VIMP rien ; et , malgré lui , il VIMP DETPOSS temps à INF dans DETPOSS NCCOR de le NCmod ADJ et de le NC ."
13,1881_Rod_Palmyre-Veulard_N.txt,"La première fois qu' il avait vu Palmyre , c' était à l' Opéra , où l' on donnait Faust .","le ADJ fois que il avoir VCOG NP , ce être à le NP , où l' on VIMP NP ."
14,1881_Rod_Palmyre-Veulard_N.txt,"Il y était venu après un dîner délicat , en compagnie de deux crevés de le high-life dont la conversation roulait exclusivement sur les femmes .","il y être venir PHASE un NC ADJ , en NCmod de NUM NCmod de le NCmod dont le NCs VIMP ADVMAN sur le NC ."
15,1881_Rod_Palmyre-Veulard_N.txt,"La digestion , la musique , les décors , les histoires égrillardes , tout cela lui troublait un peu le cerveau .","le NC , le NC , le NC , le NC ADJ , tout cela lui VIMP un peu le NCCOR ."
16,1881_Rod_Palmyre-Veulard_N.txt,"D' abord , il n' eut point une vue nette de les choses qui se passaient autour de lui : les têtes de les spectateurs dansèrent à ses yeux et se confondirent avec le corps de ballet , les dorures de les galeries avec les grosses couleurs de les décors .","de NC , il ne avoir ADV un NCo ADJ de le chose qui se VIMP ADV de lui : le NCCOR de le NCmod VPS à DETPOSS NCCOR et se VPS avec le NCCOR de NCmod , le NC de le NCmod avec le ADJ NCmod de le NCmod ."
17,1881_Rod_Palmyre-Veulard_N.txt,"Néanmoins , comme Bosquin et madame Miolan-Carvalho attaquaient leur duo : Laisse-moi contempler ton visage … il remarqua Palmyre .","ADV , comme NP et madame NP VIMP lui NCo : Laisse-moi INF DETPOSS NCCOR … il VPS NP ."
18,1881_Rod_Palmyre-Veulard_N.txt,Elle était appuyée à le balcon d' une avant-scène .,il être PPAS à le NC de un NCmod .
19,1881_Rod_Palmyre-Veulard_N.txt,"Sous les flots de lumière roulant dans la salle , sa chevelure d' un blond ardent avait de les reflets de flammes .","sous le NC de NCmod PPRES dans le NC , DETPOSS NCs de un ADJCOL ADJ avoir de le NC de NCmod ."
20,1881_Rod_Palmyre-Veulard_N.txt,"Les traits accentués , presque durs de son visage s' adoucissaient en se détachant sur le fond incertain de l' air rutilant de vapeurs .","le NCs PPAS , presque ADJ de DETPOSS NCCOR se VIMP en se PPRES sur le NC ADJ de le NCMAN PPRES de NC ."
21,1881_Rod_Palmyre-Veulard_N.txt,"Ses moindres mouvements étaient d' une souplesse féline , pleine de séductions .","DETPOSS ADJ NCs être de un NC ADJ , ADJ de NCSENT ."
22,1881_Rod_Palmyre-Veulard_N.txt,"Comme ses regards rencontraient toujours cette tête entre toutes les têtes , Van Sighem se mit à questionner ses compagnons .","comme DETPOSS NCMAN VIMP ADVTEMPS ce NCCOR entre tout le NCCOR , NP NP se mettre à VDIC DETPOSS NCo ."
23,1881_Rod_Palmyre-Veulard_N.txt,"Ceux-ci , heureux d' étourdir un peu sa naïveté provinciale , lui prodiguèrent les détails vrais ou faux sur Palmyre et sur son amant , Gabriel Métivier .","celui-ci , ADJ de VSENT un peu DETPOSS NCo ADJ , lui VPS le NCo vrai ou ADJ sur NP et sur DETPOSS NC , NP NP ."
24,1881_Rod_Palmyre-Veulard_N.txt,"Après le spectacle , tous allèrent souper à le Café Anglais , avec de les femmes .","PHASE le NC , tout aller INF à le NP NP , avec un le NC ."
25,1881_Rod_Palmyre-Veulard_N.txt,"Là , comme on le raillait sur sa passion naissante , Van Sighem , très excité , paria qu' il aurait Palmyre ; puis il emmena une Italienne qui lui ressemblait un peu .","ADVLIEU , comme on le VIMP sur DETPOSS NCSENT ADJ , NP NP , très VSENT , VPS que il avoir NP ; puis il VPS un NP qui lui VIMP un peu ."
26,1881_Rod_Palmyre-Veulard_N.txt,"Or , depuis quinze jours , ayant réussi à se lier avec Métivier , il lui rendait de fréquentes visites ; mais jamais encore il ne s' était trouvé seul avec sa maîtresse .","or , depuis NUM NCT , avoir PPAS à se INF avec NP , il lui VIMP un ADJ NCo ; mais ADVTEMPS encore il ne se être PPAS ADJ avec DETPOSS NC ."
