id,titre,phrase,motifs_phrase
1,Daudet/Le petit chose copie_clean.txt,"Je suis né le 13 mai 18 ... , dans une ville de le Languedoc où l' on trouve , comme dans toutes les villes de le Midi , beaucoup de soleil , pas mal de poussière , un couvent de Carmélites et deux ou trois monuments romains .","je être PPAS le NUM MOIS NUM ... , dans un NC de le NP où l' on PRES , comme dans tout le NC de le NCmod , beaucoup de NC , pas mal de NCmod , un NCo de NP et NUM ou NUM NC ADJ ."
2,Daudet/Le petit chose copie_clean.txt,"Mon père , M. Eyssette , qui faisait à cette époque le commerce de les foulards , avait , à les portes de la ville , une grande fabrique dans un pan de laquelle il s' était taillé une habitation commode , tout ombragée de platanes , et séparée de les ateliers par un vaste jardin .","DETPOSS NCs , monsieur NP , qui faire à ce NC le NCo de le NCmod , avoir , à le NC de le NCmod , un ADJ NCo dans un NCmod de lequel il se être PPAS un NCo ADJ , tout PPAS de NC , et PPAS de le NC par un ADJ NC ."
3,Daudet/Le petit chose copie_clean.txt,"C' est là que je suis venu à le monde et que j' ai passé les premières , les seules bonnes années de ma vie .","ce être ADVLIEU que je être venir à le NC et que je avoir PPAS le ADJ , le ADJ ADJ NCT de DETPOSS NCmod ."
4,Daudet/Le petit chose copie_clean.txt,"Aussi ma mémoire reconnaissante a -t -elle gardé de le jardin , de la fabrique et de les platanes un impérissable souvenir , et lorsque à la ruine de mes parents il m' a fallu me séparer de ces choses , je les ai positivement regrettées comme de les êtres .","aussi DETPOSS NCs ADJ avoir t il PPAS de le NC , de le NC et de le NC un ADJ NCo , et lorsque à le NC de DETPOSS NCmod il lui avoir PPAS me INF de ce chose , je le avoir ADVINT PPAS comme de le être ."
5,Daudet/Le petit chose copie_clean.txt,"Je dois dire , pour commencer , que ma naissance ne porta pas bonheur à la maison Eyssette .","je devoir VDIC , pour VASP , que DETPOSS NCs ne VPS pas NCSENT à le NC NP ."
6,Daudet/Le petit chose copie_clean.txt,"La vieille Annou , notre cuisinière , m' a souvent conté depuis comme quoi mon père , en voyage à ce moment , reçut en même temps la nouvelle de mon apparition dans le monde et celle de la disparition d' un de ses clients de Marseille , qui lui emportait plus de quarante mille francs ; si bien que M. Eyssette , heureux et désolé de le même coup , se demandait , comme l' autre , s' il devait pleurer pour la disparition de le client de Marseille , ou rire pour l' heureuse arrivée de le petit Daniel ... Il fallait pleurer , mon bon monsieur Eyssette , il fallait pleurer doublement .","le ADJ NP , DETPOSS NC , lui avoir ADVTEMPS PPAS depuis comme quoi DETPOSS NCo , en NCmod à ce NCmod , VPS en même temps le NCo de DETPOSS NCmod dans le NCmod et celui de le NCmod de un de DETPOSS NCmod de NP , qui lui VIMP plus de NUM NUM NC ; si bien que monsieur NP , ADJ et VSENT de le même NCmod , se VIMP , comme le autre , si il devoir INF pour le NC de le NCmod de NP , ou INF pour le ADJ NC de le ADJ NP ... il VIMP INF , DETPOSS ADJ monsieur NP , il VIMP INF ADVINT ."
7,Daudet/Le petit chose copie_clean.txt,C' est une vérité : je fus la mauvaise étoile de mes parents .,ce être un NC : je PPAS le ADJ NCo de DETPOSS NCmod .
8,Daudet/Le petit chose copie_clean.txt,"De le jour de ma naissance , d' incroyables malheurs les assaillirent par vingt endroits .","de le NCT de DETPOSS NCmod , un ADJ NCs le VPS par NUM NC ."
9,Daudet/Le petit chose copie_clean.txt,"D' abord nous eûmes donc le client de Marseille , puis deux fois le feu dans la même année , puis la grève de les ourdisseuses , puis notre brouille avec l' oncle Baptiste , puis un procès très coûteux avec nos marchands de couleurs , puis , enfin , la Révolution de 18 ... , qui nous donna le coup de grâce .","de NC nous ADJ donc le NCo de NP , puis NUM fois le NCmod dans le même NCT , puis le NC de le NCmod , puis DETPOSS NC avec le NCmod NP , puis un NC très ADJ avec DETPOSS NCmod de NCmod , puis , PHASE , le NCo de NUM ... , qui nous VPS le NCo de NCmod ."
10,Daudet/Le petit chose copie_clean.txt,"À partir de ce moment , la fabrique ne battit plus que d' une aile ; petit à petit , les ateliers se vidèrent : chaque semaine un métier à bas , chaque mois une table d' impression de moins .","à INF de ce NC , le NCs ne VPS plus que de un NC ; ADJ à ADJ , le NCs se VPS : chaque NCmod un NC à NCmod , chaque NCT un NCmod de NCmod de moins ."
