id,titre,phrase,motifs_phrase
1,Zola/1880_9_Nana._clean.txt,"À neuf heures , la salle de le théâtre de les Variétés était encore vide .","à NUM NCT , le NCs de le NCmod de le NP être encore ADJ ."
2,Zola/1880_9_Nana._clean.txt,"Quelques personnes , à le balcon et à l' orchestre , attendaient , perdues parmi les fauteuils de velours grenat , dans le petit jour de le lustre à demi-feux .","quelque NCs , à le NC et à le NC , VIMP , PPAS parmi le NC de NCmod ADJCOL , dans le ADJ NCT de le NCmod à NUM ."
3,Zola/1880_9_Nana._clean.txt,"Une ombre noyait la grande tache rouge de le rideau ; et pas un bruit ne venait de la scène , la rampe éteinte , les pupitres de les musiciens débandés .","un NCs VIMP le ADJ NCo ADJCOL de le NCmod ; et pas un NC ne venir de le NC , le NCo ADJ , le NC de le NCmod ADJ ."
4,Zola/1880_9_Nana._clean.txt,"En haut seulement , à la troisième galerie , autour de la rotonde de le plafond où de les femmes et de les enfants nus prenaient leur volée dans un ciel verdi par le gaz , de les appels et de les rires sortaient d' un brouhaha continu de voix , de les têtes coiffées de bonnets et de casquettes s' étageaient sous les larges baies rondes , encadrées d' or .","en NC seulement , à le ADJ NC , ADV de le NC de le NCmod où de le NCs et de le NC ADJ VIMP lui NCo dans un NC PPAS par le NC , de le NC et de le NCMAN VIMP de un NC ADJ de NCMAN , de le NCCOR PPAS de NC et de NC se VIMP sous le ADJ NC ADJ , PPAS de NC ."
5,Zola/1880_9_Nana._clean.txt,"Par moments , une ouvreuse se montrait , affairée , de les coupons à la main , poussant devant elle un monsieur et une dame qui s' asseyaient , l' homme en habit , la femme mince et cambrée , promenant un lent regard .","par NC , un NCs se VIMP , PPAS , de le NC à le NCCOR , PPRES ADVLIEU il un monsieur et un NC qui se VIMP , le NC en NCmod , le NC NC et NC , PPRES un ADJ NCMAN ."
6,Zola/1880_9_Nana._clean.txt,Deux jeunes gens parurent à l' orchestre .,NUM ADJ NCs VPS à le NC .
7,Zola/1880_9_Nana._clean.txt,"Ils se tinrent debout , regardant .","il se PRES ADV , VCOG ."
8,Zola/1880_9_Nana._clean.txt,"Que te disais -je , Hector ?","que me VDIC je , NP ?"
9,Zola/1880_9_Nana._clean.txt,"s' écria le plus âgé , un grand garçon à petites moustaches noires , nous venons trop tôt .","se VDIC le plus ADJ , un ADJ NC à ADJ NCCOR ADJ , nous venir trop tôt ."
10,Zola/1880_9_Nana._clean.txt,Tu aurais bien pu me laisser achever mon cigare .,je avoir bien pouvoir me laisser VASP DETPOSS NCo .
11,Zola/1880_9_Nana._clean.txt,Une ouvreuse passait .,un NCs VIMP .
12,Zola/1880_9_Nana._clean.txt,Oh !,INTJ !
13,Zola/1880_9_Nana._clean.txt,"monsieur Fauchery , dit -elle familièrement , ça ne commencera pas avant une demi-heure .","monsieur NP , VDIC il ADVMAN , ça ne VASP pas PHASE un NC ."
14,Zola/1880_9_Nana._clean.txt,"Alors , pourquoi affichent -ils pour neuf heures ?","alors , pourquoi PRES il pour NUM NCT ?"
15,Zola/1880_9_Nana._clean.txt,"murmura Hector , dont la longue figure maigre prit un air vexé .","VF NP , dont le ADJ NCCOR ADJ VPS un NCMAN VSENT ."
16,Zola/1880_9_Nana._clean.txt,"Ce matin , Clarisse , qui est de la pièce , m' a encore juré qu' on commencerait à neuf heures précises .","ce NCT , NP , qui être de le NC , lui avoir encore PPAS que on VASP à NUM NCT ADJ ."
17,Zola/1880_9_Nana._clean.txt,"Un instant , ils se turent , levant la tête , fouillant l' ombre de les loges .","un NC , il se PRES , PPRES le NCCOR , PPRES le NCo de le NCmod ."
18,Zola/1880_9_Nana._clean.txt,Mais le papier vert dont elles étaient tapissées les assombrissait encore .,mais le NCs ADJCOL dont il être PPAS le VIMP encore .
19,Zola/1880_9_Nana._clean.txt,"En bas , sous la galerie , les baignoires s' enfonçaient dans une nuit complète .","en NC , sous le NC , le NCs se VIMP dans un NCT ADJ ."
20,Zola/1880_9_Nana._clean.txt,"À les loges de balcon , il n' y avait qu' une grosse dame , échouée sur le velours de la rampe .","à le NC de NCmod , il ne y avoir que un ADJ NCo , PPAS sur le NC de le NCmod ."
21,Zola/1880_9_Nana._clean.txt,"À droite et à gauche , entre de hautes colonnes , les avant-scènes restaient vides , drapées de lambrequins à longues franges .","à NC et à NC , entre un ADJ NC , le NCs VIMP ADJ , PPAS de NC à NCmod ADJ ."
22,Zola/1880_9_Nana._clean.txt,"La salle blanche et or , relevée de vert tendre , s' effaçait , comme emplie d' une fine poussière par les flammes courtes de le grand lustre de cristal .","le NCs ADJCOL et ADJ , PPAS de ADJCOL INF , se VIMP , comme PPAS de un NC ADJ par le NC ADJ de le ADJ NCmod de NCmod ."
23,Zola/1880_9_Nana._clean.txt,Est -ce que tu as eu ton avant-scène pour Lucy ?,être ce que je avoir avoir DETPOSS NCo pour NP ?
24,Zola/1880_9_Nana._clean.txt,demanda Hector .,VPS NP .
25,Zola/1880_9_Nana._clean.txt,"Oui , répondit l' autre , mais ça n' a pas été sans peine ... Oh !","oui , VDIC le autre , mais ça ne avoir pas être sans NCSENT ... INTJ !"
26,Zola/1880_9_Nana._clean.txt,"il n' y a pas de danger que Lucy vienne trop tôt , elle !","il ne y avoir pas de NCo que NP venir trop tôt , il !"
