id,titre,phrase,motifs_phrase
1,Zola/1903_3_Verite._clean.txt,"La veille , le mercredi soir , Marc Froment , instituteur à Jonville , accompagné de sa femme Geneviève et de sa fillette Louise , était arrivé , comme il en avait l' habitude , à Maillebois , où il passait un mois de ses vacances , chez la grand-mère et la mère de sa femme , Mme Duparque et Mme Berthereau , ces dames , ainsi qu' on les nommait dans le pays .","le NC , le ADVT NCT , NP NP , NC à NP , PPAS de DETPOSS NC NP et de DETPOSS NC NP , être PPAS , comme il en avoir le NCo , à NP , où il VIMP un NCT de DETPOSS NCmod , chez le NCmod et le NC de DETPOSS NCmod , madame NP et madame NP , ce NC , ainsi que on le VIMP dans le NC ."
2,Zola/1903_3_Verite._clean.txt,"Maillebois , un chef-lieu de canton de mille habitants , n' était qu' à dix kilomètres de le village de Jonville , et à six seulement de Beaumont , la grande et vieille ville universitaire .","ADV , un NCs de NCmod de NUM NCmod , ne être que à NUM NC de le NCmod de NP , et à NUM seulement de NP , le ADJ et ADJ NC ADJ ."
3,Zola/1903_3_Verite._clean.txt,Ces premières journées d' août étaient accablantes .,ce ADJ NCT de MOIS être ADJ .
4,Zola/1903_3_Verite._clean.txt,"Le dimanche , pendant la distribution de les prix , il y avait eu un orage épouvantable .","le ADVT , PHASE le NC de le NCmod , il y avoir avoir un NCo ADJ ."
5,Zola/1903_3_Verite._clean.txt,"Cette nuit encore , vers deux heures , une pluie diluvienne était tombée , sans avoir rafraîchi le ciel , qui restait nuageux , bas et jaune , d' une lourdeur de plomb .","ce NCT encore , vers NUM NCT , un NCs ADJ être PPAS , sans avoir PPAS le NCo , qui VIMP ADJ , ADJ et ADJCOL , de un NC de NCmod ."
6,Zola/1903_3_Verite._clean.txt,"Et ces dames , levées dès six heures , pour assister à la messe de sept heures , se trouvaient déjà dans la petite salle à manger de le rez-de-chaussée , attendant le jeune ménage , qui ne se hâtait point de descendre .","et ce NCs , PPAS dès NUM NCT , pour INF à le NC de NUM NCT , se VIMP déjà dans le ADJ NC à INF de le NC , PPRES le ADJ NCo , qui ne se VIMP ADV de INF ."
7,Zola/1903_3_Verite._clean.txt,"Les quatre tasses étaient sur la toile cirée blanche , et Pélagie entra , la cafetière à la main .","le NUM NCs être sur le NC ADJ ADJCOL , et NP VPS , le NCo à le NCCOR ."
8,Zola/1903_3_Verite._clean.txt,"Petite , rousse , avec un grand nez et de les lèvres minces , depuis vingt ans à le service de Mme Duparque , elle avait la parole libre .","ADJ , ADJCOL , avec un ADJ NCCOR et de le NCCOR ADJ , depuis NUM NCT à le NCmod de madame NP , il avoir le NCo ADJ ."
9,Zola/1903_3_Verite._clean.txt,Ah bien !,INTJ bien !
10,Zola/1903_3_Verite._clean.txt,"dit -elle , le café va être froid , et ce ne sera pas ma faute .","VDIC il , le NCs aller être ADJ , et ce ne être pas DETPOSS NC ."
