id,titre,phrase,motifs_phrase
1,1889_ Descaves_Sous-Offs_N.txt,"Lucien Descaves SOUS-OFFS Roman militaire ( 1889 ) Ebooks libres et gratuits À TOUS CEUX dont la Patrie prend le sang , non pour le verser , mais pour le soumettre , dans l' obscure paix de les chais militaires , à les tares de le mouillage et de la sophistication , je dédie ces analyses de laboratoire .","NP NP NP NC ADJ ( NUM ) NC ADJ et ADJ à NP NP dont le NCs PRES le NCCOR , non pour le INF , mais pour le NC , dans le ADJ NCmod de le NCmod ADJ , à le NC de le NCmod et de le NC , je PPAS ce NC de NCmod ."
2,1889_ Descaves_Sous-Offs_N.txt,"CHRYSALIDE — 4e de le 2 , relisez .","NC — ADJ de le NUM , IMP ."
3,1889_ Descaves_Sous-Offs_N.txt,"— « Aujourd'hui , exécution de le tableau de service .","— "" ADVT , NC de le NCmod de NCmod ."
4,1889_ Descaves_Sous-Offs_N.txt,"Demain , quitteront le Havre et rejoindront à Dieppe le bataillon de dépôt de le 167e : les caporaux récemment promus : Favières , Devouge , Tétrelle , Chuard , et les soldats : Édeline , rayé de le peloton d' instruction ; Cœurdevey , perruquier ; Chanut , désigné pour remplacer le cordonnier en pied , libérable .","ADVT , VF le NP et VF à NP le NCo de NCmod de le NCmod : le NC ADV ADJ : NP , NP , NP , NP , et le NC : NP , PPAS de le NC de NCmod ; NP , NC ; NP , PPAS pour INF le NCo en NCCOR , ADJ ."
5,1889_ Descaves_Sous-Offs_N.txt,L' adjudant Laprévotte recevra les instructions de détail de le major et prendra le commandement de le détachement .,le NCs NP VF le NCo de NCmod de le NCmod et VF le NCo de le NCSENT .
6,1889_ Descaves_Sous-Offs_N.txt,» — Le rapport est terminé .,""" — le NCs être VASP ."
7,1889_ Descaves_Sous-Offs_N.txt,Rompez .,NP .
8,1889_ Descaves_Sous-Offs_N.txt,"* * * Bercés par les lacets de le wagon , les trois Parisiens impliqués dans la relégation , éparpillent à le vent de le rêve les fanes de leurs dix premiers mois de régiment .","* * * PPAS par le NC de le NCmod , le NUM NCs PPAS dans le NC , PRES à le NC de le NCmod le NCo de DETPOSS NUM ADJ NCT de NCmod ."
9,1889_ Descaves_Sous-Offs_N.txt,Pas un événement .,pas un NC .
10,1889_ Descaves_Sous-Offs_N.txt,"Rien que de menus faits , posés sur la mémoire , légèrement , comme de les moineaux sur les fils télégraphiques .","rien que un NC ADJ , PPAS sur le NC , ADVINT , comme de le NC sur le NCmod ADJ ."
11,1889_ Descaves_Sous-Offs_N.txt,"* * * C' était , d' abord , la porte de Vanves , évoquant une rumeur de marché , le piétinement moutonnier de les recrues , vaguant sous la pourriture d' un ciel dont les violets gangréneux , en dépit de copieuses ponctions , publiaient la décomposition hivernale .","* * * ce être , de NC , le NCs de NP , PPRES un NCo de NCmod , le NC ADJ de le NCmod , PPRES sous le NC de un NCmod dont le ADJCOL ADJ , en NCSENT de ADJ NCmod , VIMP le NCo ADJ ."
12,1889_ Descaves_Sous-Offs_N.txt,"Autour de les poteaux indicateurs arborant un nom de ville et un numéro de régiment , de les paquets d' hommes faisaient de les taches d' ilots , dans l' archipel vaseux de le bastion 12 , un espace désolé , enclos de palissades en fer de lance , comme un pacage .","NCs de le NCmod ADJ PPRES un NCo de NCmod et un NC de NCmod , de le NC de NCmod faire de le NC de NCmod , dans le NC ADJ de le NCmod NUM , un NC VSENT , NC de NCmod en NCmod de NCmod , comme un NCmod ."
13,1889_ Descaves_Sous-Offs_N.txt,"Sur le boulevard Brune , grossi de ses affluents , l' avenue de Châtillon , les rues de Vanves et Didot , une épave humaine , compacte , flottait , battue , sans arrêt , par de les lames de parents et d' amis déferlant sur le poste-caserne , y déposant les conscrits , puis refluant , brisées , vers un traiteur et une bibine peinte à la lie de vin , lesquels délivraient de les litres , de le pain et de les cervelas .","sur le NC NP , PPAS de DETPOSS NC , le NC de NP , le NC de NP et NP , un NC ADJ , NC , VIMP , PPAS , sans NC , NCs un le NCmod de NCmod et de NC PPRES sur le NC , y PPRES le NCo , puis PPRES , PPAS , vers un NC et un NC ADJ à le NCmod de NCmod , lequel VIMP de le NC , de le NC et de le NC ."
14,1889_ Descaves_Sous-Offs_N.txt,"Près de s' éloigner , résorbant une de ces mornes pluies de novembre qui font de la boue dans la pensée , une dernière fois , les Parisiens s' emplissaient les yeux de paysage .","ADVLIEU de se INF , PPRES un de ce ADJ NCmod de NCmod qui faire de le NC dans le NC , un ADJ fois , le NP se VIMP le NCCOR de NCmod ."
15,1889_ Descaves_Sous-Offs_N.txt,Quel paysage !,quel NC !
16,1889_ Descaves_Sous-Offs_N.txt,"L' excentrique désolation d' une zone militaire , un quartier écartelé , à petites maisons sales , basses , espacées comme par de les trouées d' obus , de les bicoques édifiant d' incertains revenus sur un sol maraîcher ravaudé , couturé de reprises , ainsi qu' une culotte de pauvre .","le ADJ NC de un NCmod ADJ , un NC PPAS , à ADJ NCmod ADJ , ADJ , PPAS comme NC de le NCmod de NCmod , de le NC PPRES un incertain NC sur un NCmod ADJ PPAS , PPAS de NC , ainsi que un NC de NCmod ."
17,1889_ Descaves_Sous-Offs_N.txt,"Plus loin , s' alignaient de hautes bâtisses , les approches de le Paris ouvrier , un véritable mur d' enceinte percé de petites croisées en meurtrières , donnant bien , l' été , la vision d' ouvrages avancés , avec leurs gazons en caisse , leur miracle de floraison rudérale , cette transplantation d' arbustes condamnés , revivant dans les suints prolifiques et l' ordure clémente de les vieux plombs .","plus ADVLIEU , se VIMP de haut NC , le NC de le NP NCmod , un véritable NC de NCmod PPAS un ADJ NCo en NCmod , PPRES bien , le NC , le NC de NCmod ADJ , avec DETPOSS NC en NCmod , lui NC de NCmod ADJ , ce NC de NCmod PPAS , PPRES dans le NC ADJ et le NC ADJ de le ADJ NCmod ."
18,1889_ Descaves_Sous-Offs_N.txt,"Aujourd'hui , tout ce printemps de ménage coule dans la lessive de les premières pluies , entraînant à l' égout les jardins empotés dont se farde la décrépitude immobilière de les banlieues ; et le clocher de Saint-Pierre de Montrouge , à droite , s' érige seul dignement , dans la déroute diluvienne de la perspective .","ADVT , tout ce NC de NCmod couler dans le NC de le ADJ NCmod , PPRES à le NC le NC PPAS dont se PRES le NCs ADJ de le NCmod ; et le NCs de NP de NP , à NCmod , se PRES ADJ ADVMAN , dans le NCmod ADJ de le NCmod ."
19,1889_ Descaves_Sous-Offs_N.txt,"Une fois encore , le sergent chargé de la conduite de le détachement à destination de le Havre ressassait sa liste d' appel : « Favières , Devouges , Édeline … » Puis il ordonnait le départ .","un fois encore , le NCs PPAS de le NC de le NCSENT à NCmod de le NP VIMP DETPOSS NCo de NCmod : "" NP , NP , NP … "" puis il VIMP le NCo ."
