id,titre,phrase,motifs_phrase
1,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Comme quoi Blanche de Cazalis s' enfuit avec Philippe Cayol .,comme quoi NP de NP se PRES avec NP NP .
2,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"L' homme fit un détour pour éviter le château et alla s' asseoir à le fond d' un bois de pins , qui s' étendait derrière l' habitation .","le NCs faire un NCo pour INF le NCo et alla se INF à le NC de un NCmod de NCmod , qui se VIMP ADVLIEU le NC ."
3,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Là , écartant les branches , inquiet et fiévreux , il interrogea les sentiers de le regard , semblant attendre quelqu'un avec impatience .","ADVLIEU , PPRES le NCo , ADJ et ADJ , il VDIC le NCo de le NCMAN , sembler INF quelqu'un avec NCSENT ."
4,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Par moments , il se levait , faisait quelques pas , puis s' asseyait de nouveau en frémissant .","par NC , il se VIMP , faire quelque pas , puis se VIMP de ADJ en PPRES ."
5,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Cet homme , haut de taille et de tournure étrange , portait de larges favoris noirs .","ce NCs , NC de NCmod et de NC ADJ , VIMP un ADJ NCo ADJ ."
6,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Son visage allongé , creusé de traits énergiques , avait une sorte de beauté violente et emportée .","DETPOSS NCCOR PPAS , PPAS de NC ADJ , avoir un sorte de NCmod ADJ et PPAS ."
7,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Et , brusquement , ses yeux s' adoucirent , ses lèvres épaisses eurent un sourire tendre .","et , ADV , DETPOSS NCCOR se VSENT , DETPOSS NCCOR ADJ avoir un NCMAN ADJ ."
8,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Une jeune fille venait de sortir de le château , et , se courbant comme pour se cacher , elle accourait vers le bois de pins .","un ADJ NCs venir de INF de le NC , et , se PPRES comme pour se INF , il VCOND vers le NC de NCmod ."
9,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Haletante , toute rose , elle arriva sous les arbres .","ADJ , tout ADJCOL , il VPS sous le NC ."
10,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Elle avait à peine seize ans .,il avoir à NCSENT NUM NCT .
11,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"À le milieu de les rubans bleus de son chapeau de paille , son jeune visage souriait d' un air joyeux et effarouché .","à le milieu de le NCmod ADJCOL de DETPOSS NCmod de NCmod , DETPOSS ADJ NCCOR VIMP de un NCMAN ADJ et VSENT ."
12,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Ses cheveux blonds tombaient sur ses épaules ; ses petites mains , appuyées contre sa poitrine , tâchaient de calmer les bonds de son cœur .","DETPOSS NCCOR ADJCOL VIMP sur DETPOSS NCCOR ; DETPOSS ADJ NCCOR , PPAS contre DETPOSS NC , VIMP de VSENT le NCo de DETPOSS NCmod ."
13,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Comme vous vous faites attendre , Blanche !","comme vous vous faire INF , NP !"
14,Zola/1867_Les_mysteres_de_Marseille._clean.txt,dit le jeune homme .,VDIC le ADJ NC .
15,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Je n' espérais plus vous voir .,je ne VCOND plus vous VCOG .
16,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Et il la fit asseoir à son côté , sur la mousse .","et il le faire INF à DETPOSS NC , sur le NC ."
17,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Pardonnez -moi , Philippe , répondit la jeune fille .","IMP soi , NP , VDIC le ADJ NCo ."
18,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Mon oncle est allé à Aix pour acheter une propriété ; mais je ne pouvais me débarrasser de ma gouvernante .,DETPOSS NCs être aller à NP pour INF un NCo ; mais je ne pouvoir me INF de DETPOSS NC .
19,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Elle s' abandonna à l' étreinte de celui qu' elle aimait , et les deux amoureux eurent une de ces longues causeries , si niaises et si douces .","il se VPS à le NC de celui que il VSENT , et le NUM NCs avoir un de ce ADJ NCmod , si ADJ et si ADJ ."
20,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Blanche était une grande enfant qui jouait avec son amant comme elle aurait joué avec une poupée .,ADJ être un ADJ NC qui VIMP avec DETPOSS NC comme il avoir PPAS avec un NC .
21,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Philippe , ardent et muet , serrait et regardait la jeune fille avec tous les emportements de l' ambition et de la passion .","NP , ADJ et ADJ , VIMP et VCOG le ADJ NCo avec tout le NCSENT de le NCSENT et de le NCSENT ."
22,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Et , comme ils étaient là , oubliant le monde , ils aperçurent , en levant la tête , de les paysans qui suivaient le sentier voisin et qui les regardaient en riant .","et , comme il être ADVLIEU , VCOG le NCo , il VPS , en PPRES le NCCOR , de le NC qui VIMP le NCo ADJ et qui le VCOG en NC ."
23,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Blanche , effrayée , s' écarta de son amant .","ADJ , VSENT , se VPS de DETPOSS NC ."
24,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Je suis perdue !,je être PPAS !
25,Zola/1867_Les_mysteres_de_Marseille._clean.txt,dit -elle toute pâle .,VDIC il tout ADJ .
26,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Ces hommes vont avertir mon oncle .,ce NCs aller INF DETPOSS NCo .
27,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Ah !,INTJ !
28,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"par pitié , sauvez -moi , Philippe .","par VSENT , IMP soi , NP ."
29,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"À ce cri , le jeune homme se leva d' un mouvement brusque .","à ce NC , le ADJ NCs se PRES de un NC ADJ ."
30,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Si vous voulez que je vous sauve , répondit -il avec feu , il faut que vous me suiviez .","si vous vouloir que je vous PRES , VDIC il avec ADJ , il PRES que vous me PRES ."
31,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Venez , fuyons ensemble .","venir , IMP ensemble ."
32,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Demain , votre oncle consentira à notre mariage ... Nous contenterons éternellement nos tendresses .","ADVT , DETPOSS NCs VF à DETPOSS NC ... nous VSENT ADV DETPOSS NCSENT ."
33,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Fuir , fuir ... répétait l' enfant .","NP , NC ... VIMP le NCo ."
34,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Ah !,INTJ !
35,Zola/1867_Les_mysteres_de_Marseille._clean.txt,je ne m' en sens pas le courage .,je ne se en sentir pas le NCo .
36,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Je suis trop faible , trop craintive ... Je te soutiendrai , Blanche ... Nous vivrons une vie d' amour .","je être trop ADJ , trop ADJ ... je me VF , NP ... nous VF un NCo de NCSENT ."
37,Zola/1867_Les_mysteres_de_Marseille._clean.txt,"Blanche , sans entendre , sans répondre , laissa tomber sa tête sur l' épaule de Philippe .","ADJ , sans VCOG , sans VDIC , laisser INF DETPOSS NCCOR sur le NCCOR de NP ."
38,Zola/1867_Les_mysteres_de_Marseille._clean.txt,Oh !,INTJ !
