id,titre,phrase,motifs_phrase
1,1884_Alis_Reine-Soleil_N.txt,"Harry Alis Reine Soleil , une fille de la glèbe A MON AMI JULES AUBRY Paris 1884 .","NP NP NP NP , un NC de le NCmod à NP NP NP NP NP NUM ."
2,1884_Alis_Reine-Soleil_N.txt,"I En quittant Moulot , la route s' élève jusqu' à les régions perdues de les communes de la montagne par une série de lacets qui serpentent autour de les renflements , s' enfoncent en biais dans les profondeurs de les gorges , gravissant toujours avec la patience et l' entêtement de les choses .","NUM en PPRES NP , le NCs se PRES jusque à le NC PPAS de le NC de le NCmod par un NC de NCmod qui PRES ADV de le NC , se PRES en NC dans le NC de le NCCOR , PPRES ADVTEMPS avec le NCSENT et le NC de le chose ."
3,1884_Alis_Reine-Soleil_N.txt,"Les aspects de les paysages , variables déjà par leur disposition naturelle , se métamorphosent encore suivant les saisons , passant de les tons délicats , fondus de les prairies et de les feuillages naissants à les nuances crues de la pleine verdure inondée de soleil , sauf dans les coins sombres que surplombent les rocs ; — puis , de les roussissures de l' automne qui noie de ses grisailles épandues les tristesses de les arbres jaunissants , à les immensités blanches de les neiges alpestres , enveloppant les étendues d' un tapis immaculé , attachant à le sommet de les cascades de transparentes stalactites .","le NCs de le NCmod , NC déjà par lui NCmod ADJ , se PRES encore suivant le NC , PPRES de le NC ADJ , PPAS de le NC et de le NC ADJ à le NC PPAS de le ADJ NC PPAS de NC , sauf dans le NCmod ADJ que PRES le NCs ; — puis , de le NC de le NCmod qui PRES de DETPOSS NC ADJ le NCSENT de le NCmod ADJ , à le NCmod ADJCOL de le NCmod ADJ , PPRES le NCo de un NCmod ADJ , PPRES à le NC de le NCmod de ADJ NCmod ."
4,1884_Alis_Reine-Soleil_N.txt,"Là , dans cette forte nature qui garde l' empreinte de convulsions gigantesques , les métamorphoses ont un caractère plus accusé , les moindres variations atmosphériques apportent de les changements profonds .","ADVLIEU , dans ce fort NC qui PRES le NCo de NCmod ADJ , le NCs avoir un NCo plus PPAS , le ADJ NCs ADJ PRES de le NC ADJ ."
5,1884_Alis_Reine-Soleil_N.txt,"Les eaux qui sourdent entre les fentes et bruissent joyeusement à le printemps autour de les brins d' herbes , élégantes et mignardes , ont dans la saison cruelle de les horreurs glacées .","le NCs qui PRES entre le NC et PRES ADVMAN à le NC ADV de le NC de NCmod , ADJ et ADJ , avoir dans le NC ADJ de le NCmod ADJ ."
6,1884_Alis_Reine-Soleil_N.txt,"Silencieuses , elles rappellent à l' esprit les cavernes insondées qui les ont vomies et les abîmes où elles rouleront de les blocs puissants en mugissant de fureur .","ADJ , il PRES à le NC le NCo PPAS qui le avoir PPAS et le NC où il VF de le NC ADJ en PPRES de NC ."
7,1884_Alis_Reine-Soleil_N.txt,"Ce pays , pauvre de productions , mais riche de violentes et grandioses beautés , les Savoyards de la région de les chalets l' aiment avec un attachement brutal , irraisonné .","ce NCs , NC de NCmod , mais ADJ de ADJ et ADJ NC , le NP de le NCmod de le NCmod le VSENT avec un NC ADJ , PPAS ."
8,1884_Alis_Reine-Soleil_N.txt,"Souvent , chassés par le besoin , ils s' expatrient et vont dans les villes exercer de pénibles métiers qui leur permettent d' amasser une fortune relative .","ADVTEMPS , PPAS par le NC , il se PRES et aller dans le NC INF un ADJ NCo qui lui permettre de INF un NCo ADJ ."
9,1884_Alis_Reine-Soleil_N.txt,"Et , soit enrichis , soit aussi pauvres qu' avant , ils reviennent un jour vers ces sommets dont le souvenir de sauvage séduction leur est demeuré à le cœur .","et , VSUBP PPAS , soit aussi ADJ que PHASE , il PRES un NCT vers ce NC dont le INF de ADJ NCSENT lui être PPAS à le NC ."
10,1884_Alis_Reine-Soleil_N.txt,"Cette affection pour la contrée natale est décuplée chez ceux qui possèdent une parcelle , si petite qu' elle soit , de le sol ingrat où le défrichement devient une lutte acharnée .","ce NCSENT pour le NCmod ADJ être PPAS chez celui qui PRES un NCo , si ADJ que il être , de le NC ADJ où le NCs devenir un NC PPAS ."
11,1884_Alis_Reine-Soleil_N.txt,"L' amour de la terre est , dans les montagnes plus qu' ailleurs , une passion étrange , absorbante .","le NCSENT de le NCmod être , dans le NC plus que ADVLIEU , un NCSENT ADJ , ADJ ."
12,1884_Alis_Reine-Soleil_N.txt,"A Entrevernes , où aboutit la vallée de le Borne , la barrière granitique a l' air d' être fendue sous le choc d' une arme fabuleuse .","à NP , où PRES le NCs de le NP , le NCs ADJ PRES le NCMAN de être ADJ sous le NCSENT de un NCmod ADJ ."
13,1884_Alis_Reine-Soleil_N.txt,"Par la découpure étroite , à pic , s' engouffre le torrent qui disparaît plus loin dans de les cavités souterraines pareilles à la porte de le Rhône .","par le NC ADJ , à NC , se PRES le NCs qui PRES plus ADVLIEU dans de le NC ADJ ADJ à le NCmod de le NP ."
14,1884_Alis_Reine-Soleil_N.txt,"Un grand lac intérieur existe sous la croûte solide et se prolonge , dit -on , jusqu' à les cascades de la Balme de Thuy .","un ADJ NCs ADJ PRES sous le NC ADJ et se PRES , VDIC on , jusque à le NC de le NP de NP ."
15,1884_Alis_Reine-Soleil_N.txt,Les paysans content sur ce gouffre de les récits effrayants .,le NC ADJ sur ce NCmod de le NCmod ADJ .
16,1884_Alis_Reine-Soleil_N.txt,"Un chemin , sur le bord de les eaux , conduit à les pâturages de les plateaux élevés .","un NC , sur le NCmod de le NCmod , PPAS à le NC de le NCmod ADJ ."
17,1884_Alis_Reine-Soleil_N.txt,"Le long de la route carrossable , de les châlets sont plantés sans alignement , à le hasard , et sur leurs toits de lourdes pierres empêchent les ouragans d' enlever les tavaillons en bois durci .","le NCspas de le NCmod ADJ , de le NC être PPAS sans NC , à le NC , et sur DETPOSS NC de ADJ NCmod PRES le NCo de INF le NCo en NCmod INTJ ."
18,1884_Alis_Reine-Soleil_N.txt,"À le milieu de la place de le marché domine l' église paroissiale , dont le clocher de métal resplendit , par les coups de soleil , d' un éclat bleuâtre , et tout auprès , deux maisons à les murs maçonnés représentent les derniers vestiges de la construction de les villes .","à le milieu de le NCmod de le NCmod PRES le NCo ADJ , dont le NCs de NCmod VPS , par le NC de NCmod , de un NC ADJCOL , et tout ADV , NUM NCs à le NCmod ADJ PRES le ADJ NCo de le NCmod de le NCmod ."
19,1884_Alis_Reine-Soleil_N.txt,"C' est le village de Saint-Possoz , le dernier qui se trouve sur ce versant .","ce être le NC de NP , le NC qui se PRES sur ce NC ."
20,1884_Alis_Reine-Soleil_N.txt,"À le delà , il n' y a plus de route , seulement de les sentiers qui rampent autour de les rocs , et mènent à les terrains cultivés dans les affaissements .","à le delà , il ne y avoir plus de NC , seulement de le NC qui PRES ADV de le NC , et PRES à le NC PPAS dans le NC ."
21,1884_Alis_Reine-Soleil_N.txt,La vallée finit à les petits torrents qui alimentent le Borne .,le NCs VASP à le ADJ NC qui PRES le NP .
22,1884_Alis_Reine-Soleil_N.txt,"Là commencent les forêts de sapins quasi-vierges où l' on escalade pendant de les heures avec toujours devant soi de nouvelles montagnes plus élevées , jusqu' à les neiges éternelles , que parcourent seule les chasseurs de faisans et do chamois .","ADVLIEU VASP le NCo de NCmod ADJ où l' on PRES PHASE de le NCT avec ADVTEMPS ADVLIEU soi un ADJ NCmod plus PPAS , jusque à le NC ADJ , que PRES ADJ le NCs de NCmod et do NC ."
23,1884_Alis_Reine-Soleil_N.txt,"II Tout là-bas , derrière les Aravis , le soleil montait et ses premiers rayons arrivaient obliquement sur le village ensommeillé .","NUM tout ADVLIEU , ADVLIEU le NP , le NCs VIMP et DETPOSS ADJ NCs VIMP ADV sur le NC PPAS ."
24,1884_Alis_Reine-Soleil_N.txt,"De petits nuages blancs ascendaient contre-mont et , pareils à de les amas laineux , s' accrochaient à les pointes aiguës de les sapins .","un ADJ NCs ADJCOL VIMP NCo et , NCs à de le NCmod ADJ , se VIMP à le NC ADJ de le NCmod ."
25,1884_Alis_Reine-Soleil_N.txt,"Dans les cours , les coqs , dressés sur leurs pattes , chantaient .","dans le NC , le NCs , PPAS sur DETPOSS NC , VIMP ."
26,1884_Alis_Reine-Soleil_N.txt,"Terrier Catherin parut sur le pas de sa porte et , s' étirant les bras , il descendit les quatre marches de l' escalier de bois .","NP NP paraître sur le pas de DETPOSS NCmod et , se PPRES le NCCOR , il VPS le NUM NCo de le NCmod de NCmod ."
27,1884_Alis_Reine-Soleil_N.txt,Son premier coup d' œil fut pour le ciel .,DETPOSS ADJ NCs de NCmod être pour le NC .
28,1884_Alis_Reine-Soleil_N.txt,"A l' exception de les brumes humides , deux vapeurs noires seulement fuyaient vers le faîte de le Danay .","à le NC de le NCmod ADJ , NUM NCs ADJ seulement VIMP vers le NC de le NP ."
29,1884_Alis_Reine-Soleil_N.txt,"La fumée de le boulanger , contre l' église , montait droite dans le ciel bleu .","le NCs de le NCmod , contre le NCmod , VIMP NCo dans le NC ADJCOL ."
30,1884_Alis_Reine-Soleil_N.txt,Il fut très satisfait : depuis quelques jours il pleuvait vraiment trop pour les récoltes .,il être très ADJ : depuis quelque NCT il VIMP ADVINT trop pour le NC .
31,1884_Alis_Reine-Soleil_N.txt,"Par exemple , l' herbe devait pousser ferme là-haut .","par NC , le NCs devoir INF NCo ADVLIEU ."
32,1884_Alis_Reine-Soleil_N.txt,Mais Terrier Catherin qui n' avait pas de vaches s' en moquait .,mais NP NP qui ne avoir pas un NCo se en VIMP .
33,1884_Alis_Reine-Soleil_N.txt,"Ce qui l' inquiétait , c' était son champ de les Lézardoux où les épis verts , comme énervés par cette pluie continuelle , prenaient de les attitudes affaissées , tandis que les gouttelettes frappant la terre avec force , coulant en rigoles , découvraient les racines de la vigne et maculaient de boue les feuilles et les ramures .","ce qui le VSENT , ce être DETPOSS NC de le NP où le NCs ADJCOL , comme PPAS par ce NC ADJ , VIMP de le NC PPAS , PHASE que le NCs frapper le NCo avec NCSENT , PPRES en NC , VCOG le NCo de le NCmod et VIMP de NC le NCo et le NC ."
34,1884_Alis_Reine-Soleil_N.txt,"Catherin , tout joyeux , cria : — Allons , la Bâloise , dépêchons-nous .","NP , tout ADJ , NC : — NP , le NP , dépêchons-le ."
35,1884_Alis_Reine-Soleil_N.txt,"Pendant que la femme préparait la soupe à les oignons et la lèta , le lait caillé , il inspecta les ceps qui grimpaient le long de les troncs de sapins croisés pour former les murs .","PHASE que le NCs VIMP le NCo à le NCmod et le NC , le NC PPAS , il VPS le NCo qui VIMP le NCo de le NCmod de NCmod PPAS pour INF le NCo ."
