id,titre,phrase,motifs_phrase
1,Daudet/la_belle_Nivernaise copie_clean.txt,"La rue de les Enfants-Rouges , à le quartier de le Temple .","le NC de le NP , à le NCmod de le NP ."
2,Daudet/la_belle_Nivernaise copie_clean.txt,"Une rue étroite comme un égout , de les ruisseaux stagnants , de les flaques de boue noire , de les odeurs de moisi et d' eau sale sortant de les allées béantes .","un NC PPAS comme un NC , de le NC ADJ , de le NC de NCmod ADJ , de le NC de NCmod et de NC ADJ PPRES de le NC ADJ ."
3,Daudet/la_belle_Nivernaise copie_clean.txt,"De chaque côté , de les maisons très hautes , avec de les fenêtres de casernes , de les vitres troubles , sans rideaux , de les maisons de journaliers , d' ouvriers en chambre , de les hôtels de maçons et de les garnis à la nuit .","de chaque NC , de le NCmod très ADJ , avec de le NCmod de NCmod , de le NC NCSENT , sans NC , de le NC de NCmod , de NC en NCmod , de le NC de NCmod et de le NC à le NCT ."
4,Daudet/la_belle_Nivernaise copie_clean.txt,"À le rez-de-chaussée , de les boutiques .","à le NC , de le NCmod ."
5,Daudet/la_belle_Nivernaise copie_clean.txt,"Beaucoup de charcutiers , de marchands de marrons ; de les boulangeries de gros pain , une boucherie de viandes violettes et jaunes .","beaucoup de NC , de NC de ADJCOL ; de le NC de ADJ NCmod , un NC de NCmod ADJ et ADJCOL ."
6,Daudet/la_belle_Nivernaise copie_clean.txt,"Pas d' équipages dans la rue , de falbalas , ni de flâneurs sur les trottoirs , mais de les marchands de quatre saisons criant le rebut de les Halles , et une bousculade d' ouvriers sortant de les fabriques , la blouse roulée sous le bras .","pas de NC dans le NC , de NC , ni un NC sur le NCmod , mais de le NC de NUM NCmod VDIC le NCo de le NP , et un NC de NCmod PPRES de le NC , le NC PPAS sous le NCCOR ."
7,Daudet/la_belle_Nivernaise copie_clean.txt,"C' est le huit de le mois , jour où les pauvres payent leur terme , où les propriétaires , las d' attendre , mettent la misère à la porte .","ce être le NC de le NCT , NCT où le NCs PRES lui NCo , où le NCs , NC de INF , mettre le NCo à le NC ."
8,Daudet/la_belle_Nivernaise copie_clean.txt,"C' est le jour où l' on voit passer dans de les carrioles de les déménagements de lits de fer et de tables boiteuses , entassés les pieds en l' air , avec les matelas éventrés et la batterie de cuisine .","ce être le NCT où l' on VCOG INF dans de le NC de le NCmod de NCmod de NCmod et de NC ADJ , PPAS le NCCOR en le NCMAN , avec le NC ADJ et le NC de NCmod ."
9,Daudet/la_belle_Nivernaise copie_clean.txt,"Et pas même une botte de paille pour emballer tous ces pauvres meubles estropiés , douloureux , las de dégringoler les escaliers crasseux et de rouler de les greniers à les caves !","et pas même un NC de NCmod pour VSENT tout ce ADJ NCo PPAS , ADJ , NC de INF le NCo ADJ et de INF de le NC à le NCmod !"
10,Daudet/la_belle_Nivernaise copie_clean.txt,La nuit tombe .,le NCT PRES .
11,Daudet/la_belle_Nivernaise copie_clean.txt,"Un à un les becs de gaz s' allument , reflétés dans les ruisseaux et dans les devantures de boutiques .","un à un le NCmod de NCmod se ADV , PPAS dans le NC et dans le NC de NCmod ."
12,Daudet/la_belle_Nivernaise copie_clean.txt,Le brouillard est froid .,le NCs être ADJ .
13,Daudet/la_belle_Nivernaise copie_clean.txt,Les passants se hâtent .,le NCs se PRES .
14,Daudet/la_belle_Nivernaise copie_clean.txt,"Adossé à le comptoir d' un marchand de vin , dans une bonne salle bien chauffée , le père Louveau trinque avec un menuisier de la Villette .","PPAS à le NC de un NCmod de NCmod , dans un ADJ NC bien PPAS , le NCs NP PRES avec un NC de le NP ."
