id,titre,phrase,motifs_phrase
1,1886_Caze__Grand'mere_N.txt,"Robert Caze Grand' mère A EDMOND DE GONCOURT À le parfait gentilhomme de lettres , à le représentant le plus sincère de la probité artistique , je dédie cette étude simple de la brave femme R.C. PREMIÈRE PARTIE Les petits enfants font mal à la tête ; Les grands enfants font mal à le cœur .","NP NP Granun NC à NP NP NP à le ADJ NC de NCmod , à le NC le plus ADJ de le NCmod ADJ , je PRES ce NCo ADJ de le ADJ NCmod ADV NP NP le ADJ NCs faire mal à le NCCOR ; le ADJ NCs faire mal à le NC ."
2,1886_Caze__Grand'mere_N.txt,( Proverbe allemand ) .,( NP ADJ ) .
3,1886_Caze__Grand'mere_N.txt,"I MADAME Vandière évoquait parfois , dans de les heures de solitude et de songerie , tout un passé , toute une vie de Parisienne , bourgeoise simple mais douée d' élégances natives .","NUM madame NP VIMP ADVTEMPS , dans un le NCT de NCmod et de NC , tout un NCo , tout un NC de NP , NC ADJ mais ADJ de NC ADJ ."
4,1886_Caze__Grand'mere_N.txt,"Elle se revoyait petite fille , vivant avec les siens dans l' entresol noir d' une maison ancienne de la rue Jean-Jacques-Rousseau .","il se VIMP ADJ NCo , PPRES avec le NC dans le NCmod ADJ de un NCmod ADJ de le NCmod NP ."
5,1886_Caze__Grand'mere_N.txt,"À le rez-de-chausaée , se trouvait le magasin de M. Mercier , son père , lequel vendait de les draps et de les velours en gros .","à le NC , se VIMP le NCs de monsieur NP , DETPOSS NC , lequel VIMP de le NC et de le NC en NCmod ."
6,1886_Caze__Grand'mere_N.txt,"Dans les premières années de son enfance , Mme Vandière était peu souvent descendue à le magasin .","dans le ADJ NCT de DETPOSS NCmod , madame NP être peu ADVTEMPS PPAS à le NC ."
7,1886_Caze__Grand'mere_N.txt,On lui en défendait les abords .,on lui en VIMP le NCo .
8,1886_Caze__Grand'mere_N.txt,"Sa gaieté , son babillage intarissable , ses gros rires et ses petites chansons auraient trop fait contraste avec la solennité de cette boutique un peu humide et assez obscure .","DETPOSS NCSENT , DETPOSS NC ADJ , DETPOSS ADJ NCMAN et DETPOSS ADJ NCs avoir trop faire NCo avec le NC de ce NCmod un peu ADJ et ADV ADJ ."
9,1886_Caze__Grand'mere_N.txt,"Vers trois heures de l' après-dinée , en toutes saisons , l' on était obligé d' éclairer le fond de ce local .","vers NUM NCT de le NCmod , en tout NCmod , l' on être PPAS de INF le NCo de ce NCmod ."
10,1886_Caze__Grand'mere_N.txt,"Il ressemblait ainsi vaguement , avec ses étoffes entassées de les deux côtés , à une nef d' église encadrée par de les piliers multicolores .","il VIMP ainsi ADV , avec DETPOSS NC PPAS de le NUM NC , à un NCmod de NCmod PPAS par de le NC ADJ ."
11,1886_Caze__Grand'mere_N.txt,C' était de le moins l' impression première mais restée très nette qu' en avait gardée Mme Vandière .,ce être de le moins le NC ADJ mais PPAS très ADJ que en avoir PPAS madame NP .
12,1886_Caze__Grand'mere_N.txt,"Elle se sentait , en ces temps lointains , fort attristée par la sévérité de cette maison de commerce où il n' y avait pas , comme à Saint-Eustache , la paroisse voisine , le parfum de l' encens , la variété de les vitraux , les prêtres à les vêtements chamarrés d' or et le suisse en uniforme de général en chef de les tambours-majors .","il se sentir , en ce temps ADJ , fort VSENT par le NC de ce NCmod de NCmod où il ne y avoir pas , comme à NP , le NC ADJ , le NC de le NCmod , le NC de le NCmod , le NC à le NCmod PPAS de NC et le ADJ en NCmod de NC en NCmod de le NCmod ."
13,1886_Caze__Grand'mere_N.txt,"En revanche , le magasin de M. Mercier gardait l' odeur âcre de les velours de coton , une odeur qui prenait à la gorge .","en NC , le NCs de monsieur NP VIMP le NCo ADJ de le NCmod de NCmod , un NC qui VIMP à le NCCOR ."
