id,titre,phrase,motifs_phrase
1,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,Apparition à le Rigi-Kulm .,NC à le NP .
2,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,— Qui ?,— qui ?
3,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,— Ce qu' on dit autour d' une table de six cents couverts .,— ce que on VDIC ADV de un NC de NUM NCmod ADJ .
4,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,— Riz et pruneaux .,— NP et NC .
5,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,— Un bal improvisé .,— un NC ADJ .
6,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,— L' inconnu signe son nom sur le registre de l' hôtel .,— le NCs PRES DETPOSS NCo sur le NC de le NCmod .
7,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,— P. .,— P. .
8,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,"A. Le août , à l' heure fabuleuse de ce coucher de soleil sur les Alpes , si fort vanté par les guides Joanne et Baedeker , un brouillard jaune hermétique , compliqué d' une tourmente de neige en blanches spirales , enveloppait la cime de le Rigi ( Regina montium ) et cet hôtel gigantesque , extraordinaire à voir dans l' aride paysage de les hauteurs , ce Rigi-Kulm vitré comme un observatoire , massif comme une citadelle , où pose pour un jour et une nuit la foule de les touristes adorateurs de le soleil .","A. le MOIS , à le NCT ADJ de ce NCmod de NCmod sur le NP , si fort PPAS par le NC NP et NP , un NC ADJCOL ADJ , PPAS de un NC de NCmod en NCmod ADJ , VIMP le NCs de le NP ( NP NP ) et ce NC ADJ , ADJ à VCOG dans le NC ADJ de le NCmod , ce NP PPAS comme un NC , NC comme un NCmod , où PRES pour un NCT et un NCT le NCo de le NCmod ADJ de le NCmod ."
9,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,"En attendant le second coup de le dîner , les passagers de l' immense et fastueux caravansérail , morfondus en haut dans les chambres ou pâmés sur les divans de les salons de lecture dans la tiédeur moite de les calorifères allumés , regardaient , à défaut de les splendeurs promises , tournoyer les petites mouchetures blanches et s' allumer devant le perron les grands lampadaires dont les doubles verres de phares grinçaient à le vent .","en PPRES le ADJ NCo de le NCmod , le NCs de le ADJ et ADJ NCmod , PPAS en NC dans le NC ou PPAS sur le NC de le NCmod de NCmod dans le NC ADJ de le NCmod PPAS , VCOG , à NC de le NCmod ADJ , INF le ADJ NCo ADJCOL et se INF ADVLIEU le NC le NCo ADJ dont le ADJ NCs de NCmod VIMP à le NC ."
10,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,"Monter si haut , venir de les quatre coins de le monde pour voir cela ... Ô Baedeker !","INF si ADV , venir de le NUM NC de le NCmod pour VCOG cela ... INTJ NP !"
11,Daudet/1885_Daudet_tartarin_sur_les_alpes_N.txt,"... Soudain quelque chose émergea de le brouillard , s' avançant vers l' hôtel avec un tintement de ferrailles , une exagération de mouvements causée par d' étranges accessoires .","... soudain quelque chose VPS de le NC , se PPRES vers le NC avec un NCmod de NCmod , un NC de NCmod PPAS par un ADJ NC ."
