id,titre,phrase,motifs_phrase
1,Goncourt/1884_Goncourt_cherie_N.txt,"petites amies à peu près de son âge , de les places où se retrouvait la hiérarchie de les parents dans l' ordre administratif .","ADJ NC à peu ADVLIEU de DETPOSS NC , de le NC où se VIMP le NCs de le NCmod dans le NC ADJ ."
2,Goncourt/1884_Goncourt_cherie_N.txt,"Alors les petites filles se mettent à s' asseoir , toutes remuantes de trémoussements coquets , se dégantent avec de les grâces lentes et , leur petit corps rejeté en arrière , déposent dans l' un de leurs verres leurs gants minuscules , roulés correctement , répètent enfin , ainsi que de les miniatures de femmes , les attitudes , les mines , les élégances de leurs mères .","alors le ADJ NCs se mettre à se INF , tout NC de NCmod NCmod , se PRES avec de le NC ADJ et , lui ADJ NCCOR PPAS en NC , PRES dans le un de DETPOSS NCmod DETPOSS NC ADJ , PPAS ADV , PRES PHASE , ainsi que de le NCmod de NCmod , le NC , le NC , le NC de DETPOSS NCmod ."
3,Goncourt/1884_Goncourt_cherie_N.txt,"Puis c' est chez les bambines un premier instant d' inspection respective de leurs toilettes , un de ces examens fait dans un coup d' œil , et de ce regard , de ce regard particulier à la femme même en herbe , qui a vu , en une seconde , la couleur , la coupe , la matière de ce qui habille une autre femme , et en a déjà fait un inventaire critique de les pieds à la tête .","puis ce être chez le NP un ADJ NC de NCmod ADJ de DETPOSS NCmod , un de ce NCmod faire dans un NC de NCmod , et de ce NCMAN , de ce NCMAN ADJ à le NCmod même en NC , qui avoir VCOG , en un NCT , le NC , le NC , le NC de ce qui PRES un autre NC , et en avoir déjà faire un NCo NC de le NCCOR à le NCCOR ."
4,Goncourt/1884_Goncourt_cherie_N.txt,"Le diner commence , les domestiques servant les petites amies de Mademoiselle avec le sérieux de domestiques servant de grandes personnes .","le NCs VASP , le NCs PPRES le ADJ NC de NP avec le ADJ de NC PPRES un ADJ NCo ."
5,Goncourt/1884_Goncourt_cherie_N.txt,"Une invitée , trouvant sa soupe trop chaude , ouvre son éventail , et évente gentiment , de haut en bas , son assiette , à demi juchée sur le barreau de sa chaise .","un NC , PPRES DETPOSS NCo trop ADJ , PRES DETPOSS NCo , et PRES ADVMAN , de NC en NC , DETPOSS NC , à ADJ PPAS sur le NC de DETPOSS NCmod ."
6,Goncourt/1884_Goncourt_cherie_N.txt,"L' amusant spectacle que la réunion autour de la table de ces petites Parisiennes , à le minois futé , à les yeux éveillés de souris , à l' intelligence hâtive de la physionomie , à l' enfance menue , distinguée , raffinée , quintessenciée de l' enfant de les capitales et de les salons , gracieux petits êtres dont la pâleur intéressante avait été enjolivée par les mères avec tout le goût possible , bouts de femmes déjà montrés en les galants arrangements que la mode fashionable crée pour les petites filles de les riches !","le NCs PRES que le NC ADV de le NC de ce ADJ NP , à le NCmod PPAS , à le NCCOR PPAS de NC , à le NC NC de le NCmod , à le NCmod PPAS , VCOG , ADJ , PPAS de le NC de le NC et de le NC , ADJ ADJ être dont le NCspas ADJ avoir être PPAS par le NC avec tout le NCmod ADJ , NC de NC déjà PPAS en le ADJ NC que le NCs ADJ PPAS pour le ADJ NC de le NCmod !"
7,Goncourt/1884_Goncourt_cherie_N.txt,"Elles paraissent , en effet , mises à le mieux , les jeunes convives de la petite fille de le maréchal , en leurs jupes courtes , ballonnées par deux ou trois jupons à baguettes très empesés , en leurs corsages décolletés sur lesquels court une guimpe transparente , et avec leurs cheveux séparés en deux nattes disposées en couronne ou formant deux petits tortillons au-dessus de l' oreille , attachés par un nœud .","il paraître , en NC , mettre à le mieux , le ADJ NC de le ADJ NCmod de le NCmod , en DETPOSS NC ADJ , PPAS par NUM ou NUM IMP à NC très PPAS , en DETPOSS NC PPAS sur lequel PRES un NCs ADJ , et avec DETPOSS NCCOR PPAS en NUM NC PPAS en NC ou PPRES NUM ADJ NC ADVLIEU de le NCCOR , PPAS par un NC ."
8,Goncourt/1884_Goncourt_cherie_N.txt,"Chez les plus élégantes , les cheveux , retenus par un ruban autour de la tête , se divisent par derrière en huit grosses boucles tombant sur le dos .","chez le plus ADJ , le NCCOR , PPAS par un NC ADV de le NCCOR , se PRES par ADVLIEU en NUM NC NC PPRES sur le NCCOR ."
9,Goncourt/1884_Goncourt_cherie_N.txt,"Et toutes sont chaussées de bottines lacées en satin blanc , à l' exception de portant , sur de les bas à jour , de les souliers de satin noir à la Reine .","et tout être PPAS de NC PPAS en NC ADJCOL , à le NC de NCmod , sur un le NCmod à NCT , de le NC de NCmod ADJ à le NP ."
10,Goncourt/1884_Goncourt_cherie_N.txt,"Celle - qui a un petit nez écrasé , à l' image de ces nez d' enfants qu' on aperçoit à travers un carreau , contre lequel ils regardent appuyés , celle- est habillée d' une robe blanche toute soufflée , où de gros noeuds d' un ruban moiré rouge remuent sur ses épaules à chacun de ses mouvements .","celui - qui avoir un ADJ NCCOR ADJ , à le NC de ce NCCOR de NCmod que on PRES à travers un NC , contre lequel il VCOG PPAS , ADV être PPAS de un NC ADJCOL tout VSENT , où un ADJ NC de un NCmod PPAS ADJCOL PRES sur DETPOSS NCCOR à chacun de DETPOSS NC ."
11,Goncourt/1884_Goncourt_cherie_N.txt,"Celle -là , à les très grands yeux , à la toute petite bouche , porte une robe de taffetas bleu changeant , semée de boutons de rose brochés bleu et blanc , à le corsage plat boutonné dans le dos et garni d' une berthe frangée d' effilés Tom Pouce .","celui ADVLIEU , à le très ADJ NCCOR , à le ADV ADJ NCCOR , PRES un NCo de NCmod ADJCOL NC , PPAS de NC de ADJCOL PPAS ADJCOL et ADJCOL , à le NCmod ADJ PPAS dans le NCCOR et PPAS de un NC ADJ de NCmod NP NCCOR ."
12,Goncourt/1884_Goncourt_cherie_N.txt,"Une autre , à la figure vieillotte de les enfants procréés par de les vieillards , a une robe de soie grise , sur laquelle court une guimpe de mousseline bouillonnée , où chaque bouillon est divisé par un étroit velours noir .","un autre , à le NCCOR ADJ de le NCs PPAS par de le NC , avoir un NC de NCmod ADJ , sur lequel PRES un NCs de NC ADJ , où chaque NC être PPAS par un ADJ NC ADJ ."
13,Goncourt/1884_Goncourt_cherie_N.txt,"Une autre , fébrile , remuante , à les gentillesses de singe , se démène dans une robe de popeline de Lyon , à le grand écossais fond blanc , et dont le corsage est à basques découpées et ornées d' un petit agrément faisant brandebourg .","un autre , NC , ADJ , à le NCSENT de NCmod , se PRES dans un NC de NCmod de NP , à le ADJ ADJ NC ADJCOL , et dont le NC être à NC PPAS et PPAS de un ADJ ADV faire NCo ."
14,Goncourt/1884_Goncourt_cherie_N.txt,"est habillée d' une robe de mousseline blanche à fleurettes roses , à les sept volants froncés et bordés de valenciennes , à le corsage décolleté à la vierge , sur laquelle croisent de les bretelles en ruban rose façonné , formant ceinture , et allant se nouer derrière par un nœud à longs pans .","être PPAS de un NC de NCmod ADJCOL à NC ADJCOL , à le NUM NC PPAS et PPAS de NC , à le NC PPAS à le NC , sur lequel PRES de le NC en NCmod ADJCOL PPAS , PPRES NCo , et aller se INF ADVLIEU par un NC à ADJ NC ."
15,Goncourt/1884_Goncourt_cherie_N.txt,"Elle a à le cou un collier de perles roses , où les grosses perles alternent avec de petites perles fines .","il avoir à le NCCOR un NCo de NCmod ADJCOL , où le ADJ NCs PRES avec un ADJ NC ADJ ."
16,Goncourt/1884_Goncourt_cherie_N.txt,A ses oreilles sont suspendues de les poires en corail qui jouent dans ses cheveux courts et bouclés .,à DETPOSS NCCOR être ADJ de le NC en NCmod qui PRES dans DETPOSS NCCOR ADJ et ADJ .
17,Goncourt/1884_Goncourt_cherie_N.txt,"Les enfants vivant dans le monde ne s' étonnent , ne s' intimident plus guère ; ils ont conquis une assurance calme , une froideur digne , une tenue flegmatique et , jusqu' à ce qu' une excitation les rende soudainement à leur âge , la vivacité de le plaisir ou de l' amusement chez eux se cache et se dissimule .","le NCs PPRES dans le NC ne se VSENT , ne se PRES plus guère ; il avoir VSENT un NCSENT NCSENT , un NC ADJ , un NC ADJ et , jusque à ce que un NCSENT le PRES ADV à lui NC , le NCSENT de le NCSENT ou de le NCSENT chez eux se PRES et se PRES ."
18,Goncourt/1884_Goncourt_cherie_N.txt,"Quant à , elle fait les honneurs de la table , donne les ordres , surveille le service , s' occupe de tout le monde , et cela dans la langue et avec les formules d' une vraie maîtresse de maison , et où ne se révèle de son enfance que le mot grand-papa , revenant amoureusement dans toutes ses phrases et à tout propos , et surtout dans la recommandation de les plats qu' elle veut qu' on mange .","quant à , il faire le NCSENT de le NCs , PRES le NCo , PRES le NCo , se PRES de tout le NC , et cela dans le NCCOR et avec le NC de un vrai NCmod de NC , et où ne se PRES de DETPOSS NC que le NCs ADJ , PPRES ADVMAN dans tout DETPOSS NC et à tout NC , et surtout dans le NC de le NCmod que il vouloir que on VSUBP ."
19,Goncourt/1884_Goncourt_cherie_N.txt,"Pour la surveiller et jouer un rien à la maternité , plaçait à sa gauche une petite fille de cinq ans , qui a encore de le bébé dans sa figure joufflue et comme de le ciel de le matin .","pour le INF et INF un rien à le NCmod , VIMP à DETPOSS NC un ADJ NC de NUM NCT , qui avoir encore de le NC dans DETPOSS NCCOR PRES et comme de le NC de le NCT ."
20,Goncourt/1884_Goncourt_cherie_N.txt,"dans le bleu de ses yeux , et qu' on nommait Jésus , de le nom d' adoration que sa mère , une veuve , lui avait donné , l' appelant à le milieu de ses embrassades """" ma Jésus """" .","dans le ADJCOL de DETPOSS NCCOR , et que on VIMP NP , de le NC de NCSENT que DETPOSS NCmod , un NCs , lui avoir PPAS , le PPRES à le milieu de DETPOSS NC """" DETPOSS NP """" ."
21,Goncourt/1884_Goncourt_cherie_N.txt,"L' enfant tout occupée d' une petite croix de grenat , attachée à son cou pour la première fois , laisse les bonnes choses que lui fait mettre sur son assiette .","le NC tout PPAS de un ADJ NC de ADJCOL , PPAS à DETPOSS NCCOR pour le ADJ fois , laisser le ADJ chose que lui faire mettre sur DETPOSS NC ."
22,Goncourt/1884_Goncourt_cherie_N.txt,"Avec le champagne qu' on avait commencé à verser à moitié de les verres , les petites langues commencent à se délier .","avec le NC que on avoir VASP à INF à NC de le NCmod , le ADJ NCCOR VASP à se INF ."
23,Goncourt/1884_Goncourt_cherie_N.txt,"Une petite fille , de les attendrissements comiques dans la voix , se plaint près de sa voisine de ce que , pendant qu' elle est à Paris l' hiver , les hérissons viennent habiter et tout abîmer la belle maison de les poupées , que ses sœurs et elle sont obligées , tous les étés , de reconstruire dans le parc où elles vont à la campagne .","un ADJ NCs , de le VSENT ADJ dans le NCMAN , se PRES ADVLIEU de DETPOSS NC de ce que , PHASE que il être à NP le NC , le NCs venir INF et tout INF le ADJ NC de le NCmod , que DETPOSS NCmod et il être PPAS , tout le NC , de INF dans le NC où il aller à le NC ."
24,Goncourt/1884_Goncourt_cherie_N.txt,"Une autre dit qu' elle sortait de jouer à la marquise chez de petites amies , avec de les robes prêtées par leur maman , en sorte qu' elles avaient de très grandes queues et aussi l' estomac déshabillé , ce qui était très amusant .","un autre VDIC que il VIMP de INF à le NC chez un ADJ NC , avec de le NCmod PPAS par lui NC , en sorte que il avoir de très ADJ NC et aussi le NCCOR PPAS , ce qui être très ADJ ."
25,Goncourt/1884_Goncourt_cherie_N.txt,"La plus bavarde de la troupe raconte longuement un guignol vu la veille , à une matinée d' enfants : D' abord c' était un polichinelle ... après c' était un pierrot .","le plus ADJ de le NCmod PRES ADV un NC VCOG le NCmod , à un NC de NCmod : de NC ce être un NC ... PHASE ce être un NC ."
26,Goncourt/1884_Goncourt_cherie_N.txt,"après un homme qui disait qu ' allait faire la bataille ... alors a appelé Rigolo ... qui n' est jamais là , disait son maître , quand on l' appelle , et toujours là quand on n' en a pas besoin ... enfin venait ... alors , lui demandait s ' voulait se battre en duel à la place de lui ... avec un homme habillé de bleu qu ' lui a montré ... Oui , oui , qu' a fait , mais faut donner de l' argent ... Deux francs ?","PHASE un NC qui VDIC que ' aller faire le NCo ... alors avoir PPAS NP ... qui ne être ADVTEMPS ADVLIEU , VDIC DETPOSS NCo , quand on le VSUBP , et ADVTEMPS ADVLIEU quand on ne en avoir pas NCo ... PHASE venir ... alors , lui VIMP s ' vouloir se INF en NC à le NC de lui ... avec un NC PPAS de ADJCOL qu ' lui avoir PPAS ... oui , oui , que avoir faire , mais PRES INF de le NC ... NUM NCo ?"
27,Goncourt/1884_Goncourt_cherie_N.txt,Non !,non !
28,Goncourt/1884_Goncourt_cherie_N.txt,……. Vingt francs ?,……. NUM NCs ?
29,Goncourt/1884_Goncourt_cherie_N.txt,Non !,non !
30,Goncourt/1884_Goncourt_cherie_N.txt,... Cinquante francs !,... NUM NC !
31,Goncourt/1884_Goncourt_cherie_N.txt,"Non! ... fallait donner cent francs ... Après , après ... après on a goûté ….. après on a tiré la loterie ... après on a dansé ... et y a eu un petit qui avait mis sur sa tête de le papier doré et qui avait l' air d' un roi .","NP ... VIMP INF NUM NCo ... PHASE , PHASE ... PHASE on avoir PPAS ….. PHASE on avoir PPAS le NCo ... PHASE on avoir PPAS ... et y avoir avoir un NCo qui avoir mettre sur DETPOSS NCCOR de le NC PPAS et qui avoir le NCMAN de un NCmod ."
