id,titre,phrase,motifs_phrase
1,Daudet/tartarin_sur_les_alpes copie_clean.txt,Apparition à le Rigi-Kulm .,NC à le NP .
2,Daudet/tartarin_sur_les_alpes copie_clean.txt,Qui ?,Qui ?
3,Daudet/tartarin_sur_les_alpes copie_clean.txt,Ce qu' on dit autour d' une table de six cents couverts .,ce que on VDIC ADV de un NC de NUM NCmod ADJ .
4,Daudet/tartarin_sur_les_alpes copie_clean.txt,Riz et pruneaux .,IMP et NC .
5,Daudet/tartarin_sur_les_alpes copie_clean.txt,Un bal improvisé .,un NC ADJ .
6,Daudet/tartarin_sur_les_alpes copie_clean.txt,L' inconnu signe son nom sur le registre de l' hôtel .,le NCs PRES DETPOSS NCo sur le NC de le NCmod .
7,Daudet/tartarin_sur_les_alpes copie_clean.txt,P. C .,ADV NC .
8,Daudet/tartarin_sur_les_alpes copie_clean.txt,A .,à .
9,Daudet/tartarin_sur_les_alpes copie_clean.txt,"Le 10 août 1880 , à l' heure fabuleuse de ce coucher de soleil sur les Alpes , si fort vanté par les guides Joanne et Baedeker , un brouillard jaune hermétique , compliqué d' une tourmente de neige en blanches spirales , enveloppait la cime de le Rigi ( Regina montium ) et cet hôtel gigantesque , extraordinaire à voir dans l' aride paysage de les hauteurs , ce Rigi-Kulm vitré comme un observatoire , massif comme une citadelle , où pose pour un jour et une nuit la foule de les touristes adorateurs de le soleil .","le NUM MOIS NUM , à le NCT ADJ de ce NCmod de NCmod sur le NP , si fort PPAS par le NC NP et NP , un NC ADJCOL ADJ , PPAS de un NC de NCmod en NCmod ADJ , VIMP le NCo de le NP ( NP NP ) et ce NC ADJ , ADJ à VCOG dans le NC ADJ de le NCmod , ce NP PPAS comme un NC , NC comme un NCmod , où PRES pour un NCT et un NCT le NCo de le NCmod ADJ de le NCmod ."
10,Daudet/tartarin_sur_les_alpes copie_clean.txt,"En attendant le second coup de le dîner , les passagers de l' immense et fastueux caravansérail , morfondus en haut dans les chambres ou pâmés sur les divans de les salons de lecture dans la tiédeur moite de les calorifères allumés , regardaient , à défaut de les splendeurs promises , tournoyer les petites mouchetures blanches et s' allumer devant le perron les grands lampadaires dont les doubles verres de phares grinçaient à le vent .","en PPRES le ADJ NCo de le NCmod , le NCs de le ADJ et ADJ NCmod , PPAS en NC dans le NC ou PPAS sur le NC de le NCmod de NCmod dans le NC ADJ de le NCmod PPAS , VCOG , à NC de le NCmod ADJ , INF le ADJ NCo ADJCOL et se INF ADVLIEU le NC le NCo ADJ dont le ADJ NCs de NCmod VIMP à le NC ."
