id,titre,phrase,motifs_phrase
1,Daudet/1892_Daudet_rose_et_ninette_N.txt,"Divorcé depuis quinze jours , et tout à l' ivresse de la fin de sa peine , Régis de Fagan , ce matin-là , par les fenêtres large ouvertes de son nouvel appartement de garçon , guettait l' apparition de ses fillettes que le tribunal lui accordait deux dimanches par mois .","PPAS depuis NUM NCT , et tout à le NCSENT de le NCmod de DETPOSS NCSENT , NP de NP , ce matin-là , par le NCmod ADJ PPAS de DETPOSS ADJ NC de NCmod , VIMP le NCo de DETPOSS NCmod que le NCs lui VIMP NUM ADVT par NCT ."
2,Daudet/1892_Daudet_rose_et_ninette_N.txt,"C' était leur premier dimanche ; et dans l' amas de lettres de femmes , tombées depuis vingt ans sur sa table de vaudevilliste à la mode , bien peu lui avaient secoué le cœur d' autant d' émotion que ce simple billet arrivé la veille : « Mon cher Père , Nous serons à Passy , demain matin , par le train de heures .","ce être lui ADJ ADVT ; et dans le NC de NCmod de NCmod , PPAS depuis NUM NCT sur DETPOSS NC de NCmod à le NCmod , bien peu lui avoir PPAS le NCo de autant de NCSENT que ce ADJ NCmod PPAS le NCo : "" DETPOSS ADJ NC , nous PRES à NP , ADVT NCT , par le NC de NCT ."
3,Daudet/1892_Daudet_rose_et_ninette_N.txt,"Mademoiselle nous laissera devant le , boulevard Beauséjour , et nous y prendra , le soir , à neuf heures très précises .","monsieur nous laisser ADVLIEU le , NC NP , et nous y VF , le NCT , à NUM NCT très ADJ ."
4,Daudet/1892_Daudet_rose_et_ninette_N.txt,Ta fille respectueuse et bien affectionnée .,NP NC ADJ et bien VSENT .
5,Daudet/1892_Daudet_rose_et_ninette_N.txt,Rose de Fagan .,ADJCOL de NP .
6,Daudet/1892_Daudet_rose_et_ninette_N.txt,"» Au-dessous , la grosse écriture encore un peu bègue de la plus jeune sœur avait signé « Ninette » .",""" ADVLIEU , le ADJ NCs encore un peu NC de le plus ADJ NCmod avoir PPAS "" NP "" ."
7,Daudet/1892_Daudet_rose_et_ninette_N.txt,"Et maintenant , dans l' angoisse de l' attente , se demandait si bien réellement elles viendraient , si , à le dernier moment , la mère rusée et fourbe , ou cette impénétrable Mademoiselle , n' inventeraient pas quelque prétexte pour les retenir .","et ADVT , dans le NCSENT de le NCmod , se VIMP si bien ADVINT il VIMP , si , à le ADJ NC , le NCs ADJ et ADJ , ou ce ADJ NP , ne VCOND pas quelque NCo pour le INF ."
8,Daudet/1892_Daudet_rose_et_ninette_N.txt,Non qu ' doutât de la tendresse de ses enfants .,non que ' NC de le NCSENT de DETPOSS NCmod .
9,Daudet/1892_Daudet_rose_et_ninette_N.txt,"Mais les sentait si jeunes , — Rose seize ans à peine , Nina pas encore douze , — si faibles toutes deux pour résister à une hostile influence ; d' autant que sorties de le couvent depuis le divorce , elles restaient livrées à la mère et à la gouvernante .","mais le sentir si ADJ , — ADJCOL NUM NCT à NCSENT , NP pas encore NUM , — si ADJ tout NUM pour INF à un ADJ NC ; de autant que NC de le NCmod depuis le NCmod , il VIMP PPAS à le NC et à le NC ."
10,Daudet/1892_Daudet_rose_et_ninette_N.txt,"Son avocat le lui avait bien dit : « La partie n' est pas égale , mon pauvre Régis ; vous n' aurez que deux jours par mois , vous , pour vous faire aimer .","DETPOSS NCs le lui avoir bien VDIC : "" le NCs ne être pas ADJ , DETPOSS ADJ NP ; vous ne avoir que NUM NCT par NCT , vous , pour vous faire VSENT ."
