id,titre,phrase,motifs_phrase
1,1885_Adam_Chair-molle_N.txt,"Paul Adam Chair molle Roman naturaliste PREMIÈRE PARTIE I A la gare de Douai , Lucie Thirache était descendue .","NP NP NP ADJ NC ADJ NP NP NUM à le NC de NP , NP NP être PPAS ."
2,1885_Adam_Chair-molle_N.txt,Elle se faufila parmi les commissionnaires chargés de malles et parvint sous la marquise extérieure : les portières d' omnibus béaient à le bord de le trottoir .,il se VPS parmi le NC PPAS de NC et VPS sous le NC ADJ : le NCs de NCmod VIMP à le NC de le NCmod .
3,1885_Adam_Chair-molle_N.txt,"De l' une à l' autre elle allait , indifférente à les boniments de les conducteurs , s' attardant à déchiffrer les enseignes .","de le un à le autre il aller , ADJ à le NC de le NCmod , se PPRES à INF le NCo ."
4,1885_Adam_Chair-molle_N.txt,"L' inscription « Hôtel de Versailles » l' arrêta ; dans sa dernière lettre , la patronne avait désigné cette voiture .","le NC "" NP de NP "" le NC ; dans DETPOSS ADJ NC , le NCs avoir PPAS ce NCo ."
5,1885_Adam_Chair-molle_N.txt,Elle monta .,il VPS .
6,1885_Adam_Chair-molle_N.txt,"Pour lui faire place , un monsieur ramassa sur ses genoux les pans de sa redingote une jeune fille amoncela un châle , de les paquets , plusieurs cartons .","pour lui faire NC , un monsieur VPS sur DETPOSS NCCOR le NCo de DETPOSS NCmod un ADJ NCs VPS un NCo , de le NC , plusieurs NC ."
7,1885_Adam_Chair-molle_N.txt,"Lucie remercia , recueillit un coup de chapeau et un sourire .","NP VDIC , VPS un NCo de NCmod et un NCMAN ."
8,1885_Adam_Chair-molle_N.txt,"Flattée de ces politesses , elle examinait ses compagnons avec sympathie ; par les regards , rapidement , une intimité s' établissait : — Où va Mademoiselle ?","PPAS de ce NC , il VIMP DETPOSS NCo avec NCSENT ; par le NCMAN , ADVMAN , un NCs se VIMP : — où aller NP ?"
9,1885_Adam_Chair-molle_N.txt,interrogea le cocher .,VDIC le INF .
10,1885_Adam_Chair-molle_N.txt,"Elle rougit , par embarras : indiquer l' adresse , sans doute bien connue , de la maison Donard , c' était , devant tous , dénoncer son métier de fille .","il VPS , par NCSENT : INF le NCo , sans NCSENT bien PPAS , de le NC NP , ce être , ADVLIEU tout , INF DETPOSS NCo de NCmod ."
11,1885_Adam_Chair-molle_N.txt,"Muette , elle espéra d' inopinées recommandations qui , données par les autres voyageurs , étoufferaient peut-être sa réponse .","NC , il VCOG un ADJ NCo qui , PPAS par le autre NC , VIMP peut-être DETPOSS NCo ."
12,1885_Adam_Chair-molle_N.txt,Personne ne parla .,personne ne VPS .
13,1885_Adam_Chair-molle_N.txt,Elle dut se décider .,il devoir se INF .
14,1885_Adam_Chair-molle_N.txt,"— 7 , rue Pépin .","— NUM , NC NP ."
15,1885_Adam_Chair-molle_N.txt,Un rire montra les dents gâtées de le cocher .,un NCMAN VPS le NCCOR PPAS de le NCmod .
16,1885_Adam_Chair-molle_N.txt,"Il reclaqua la portière , proclamant à un collègue : — Hé !","il VPS le NCo , PPRES à un NC : — NP !"
17,1885_Adam_Chair-molle_N.txt,"Flachaut , nous nous mettons bien : nous conduisons une nouvelle pour le 7 .","NP , nous nous mettre bien : nous PRES un NCo pour le NUM ."
18,1885_Adam_Chair-molle_N.txt,"Avec un bruit étourdisseur de vitres dansant en leurs , châssis , l' omnibus cahota par la ville .","avec un NC ADJ de NCmod PPRES en DETPOSS , NC , le NCs VPS par le NC ."
19,1885_Adam_Chair-molle_N.txt,Le monsieur avait mis un binocle .,le monsieur avoir mettre un NCo .
20,1885_Adam_Chair-molle_N.txt,"Partout , il scrutait Lucie , dans une étude insolente de sa toilette et de ses gestes .","ADV , il VIMP NP , dans un NC ADJ de DETPOSS NCmod et de DETPOSS NC ."
21,1885_Adam_Chair-molle_N.txt,"Sous ce regard la fille , détourna la tête .","sous ce NCMAN le NCs , VPS le NCCOR ."
22,1885_Adam_Chair-molle_N.txt,"Par le vasistas elle fixait les yeux sur une place caillouteuse , vers un kiosque à musique militaire , renfermant de les chaises en piles .","par le NC il VIMP le NCCOR sur un NCmod ADJ , vers un NC à NCmod ADJ , PPRES de le NC en NCmod ."
23,1885_Adam_Chair-molle_N.txt,"Elle songea : Ainsi on la méprisait , tout de suite , sitôt sa condition décélée et , pourtant , elle n' était pas encore à le bordel !","il VPS : ainsi on le VSENT , tout de NC , PRES DETPOSS NCo PPAS et , pourtant , il ne être pas encore à le NC !"
24,1885_Adam_Chair-molle_N.txt,"Que serait -ce quand elle en porterait la livrée , ces hardes voyantes qu' elle imaginait bleues , rouges , vertes , très décolletées ; et , si on lui donnait de les peignoirs de gazé , ils lui siéraient parfaitement , car elle avait la peau fort blanche .","que être ce quand il en VCOND le NCo , ce ADJ NC que il VCOG ADJCOL , ADJCOL , ADJCOL , très PPAS ; et , si on lui VIMP de le NC de NCmod , il lui VIMP ADVINT , car il avoir le NCCOR fort ADJCOL ."
25,1885_Adam_Chair-molle_N.txt,"Elle s' oublia en une minutieuse analyse de ses beautés corporelles et , ayant pensé à les costumes qui lui conviendraient le mieux , les magasins l' intéressèrent .","il se VCOG en un ADJ NC de DETPOSS NCmod ADJ et , avoir VCOG à le NC qui lui VIMP le mieux , le NCs le VSENT ."
