id,titre,phrase,motifs_phrase
1,1881_Ceard_Une-belle-journee_N.txt,Henry Céard UNE BELLE JOURNÉE À Gabriel Thyébaut1 PREMIÈRE PARTIE Le quartier de Picpus1 ne mit jamais en doute la vertu de Mme Duhamain .,NP NP NP NP NCT à NP NUM NP NP le NCs de NP ne mettre ADVTEMPS en NCSENT le NCo de madame NP .
2,1881_Ceard_Une-belle-journee_N.txt,"Les voisines qui , de leurs fenêtres , la voyaient chez elle , aller , venir , faire ses repassages , boucher ses confitures , saler ses conserves de haricots verts , la trouvaient un peu bien « pot-au-feu » pour son âge : trente ans , à peine .","le NCs qui , de DETPOSS NCmod , le VCOG chez il , aller , venir , faire DETPOSS NCo , INF DETPOSS NCo , INF DETPOSS NCo de NCmod ADJCOL , le VIMP un peu bien "" NC "" pour DETPOSS NC : NUM NCT , à NCSENT ."
3,1881_Ceard_Une-belle-journee_N.txt,"Mais , volontiers , on partageait l' opinion de sa femme de ménage : elle la déclarait « une bonne personne » à cause d' un croûton de pain et d' un verre de vin régulièrement reçus , chaque samedi de quinzaine , quand le récurage de les chaudrons de cuivre et le lavage de les carreaux de la cuisine , avec de le lait , la retenaient dans la matinée au-delà de onze heures .","mais , ADV , on VIMP le NCo de DETPOSS NCmod de NCmod : il le VIMP "" un ADJ NCs "" à NCmod de un NCmod de NCmod et de un NC de NCmod ADVTEMPS PPAS , chaque ADVT de NCmod , quand le NCs de le NCmod de NCmod et le NC de le NCmod de le NCmod , avec de le NCmod , le VIMP dans le NC ADV de NUM NCT ."
4,1881_Ceard_Une-belle-journee_N.txt,"— C' est sa rente , disait Mme Duhamain .","— ce être DETPOSS NC , VDIC madame NP ."
5,1881_Ceard_Une-belle-journee_N.txt,"Trois ou quatre rues à les alentours la citaient pour les habiles retapages avec lesquels elle faisait durer ses toilettes , les prolongeant d' une mode dans une autre ; et , de le boulevard de Reuilly à l' avenue de Saint-Mandé , les louanges ne tarissaient pas sur son bon goût et son économie .","NUM ou NUM NCs à le NCmod le VIMP pour le NC ADJ avec lequel il faire INF DETPOSS NC , le PPRES de un NC dans un autre ; et , de le NC de NP à le NCmod de NP , le NCs ne VIMP pas sur DETPOSS ADJ NC et DETPOSS NC ."
6,1881_Ceard_Une-belle-journee_N.txt,"Sa tenue ne sentait jamais le rococo , les plus difficiles y découvraient même de les élégances .","DETPOSS NCs ne sentir ADVTEMPS le NCo , le plus ADJ y VIMP même de le NC ."
7,1881_Ceard_Une-belle-journee_N.txt,"Aussi , le dimanche , quand on le voyait marchant à côté de sa femme et portant dans son bras le pliant sur lequel elle se reposait à le bois de Vincennes en regardant les boutiquiers jouer d' innombrables parties de boules , M. Duhamain , architecte , était un mari envié .","aussi , le ADVT , quand on le VCOG PPRES à NC de DETPOSS NC et PPRES dans DETPOSS NCCOR le PPRES sur lequel il se PRES à le NC de NP en VCOG le NCo INF un ADJ NCo de NCmod , monsieur NP , NCmod , être un NC PPAS ."
8,1881_Ceard_Une-belle-journee_N.txt,Elle lui faisait honneur .,il lui faire NCSENT .
9,1881_Ceard_Une-belle-journee_N.txt,"Les concierges , assis , prenant le frais , près de le ruisseau , les connaissances qui les saluaient en les rencontrant se répétaient qu' ils formaient un petit ménage bien uni .","le NCs , NC , PPRES le NCo , ADVLIEU de le NC , le NC qui le VIMP en le PPRES se VIMP que il VIMP un ADJ NCo bien ADJ ."
10,1881_Ceard_Une-belle-journee_N.txt,"Le fait était acquis , indiscutable .","le NCspas être PPAS , ADJ ."
