id,titre,phrase,motifs_phrase
1,Flaubert/L'education_sentimentale_clean.txt,"Le 15 septembre 1840 , vers six heures de le matin , la Ville-de-Montereau , près de partir , fumait à gros tourbillons devant le quai Saint-Bernard .","le NUM MOIS NUM , vers NUM NCT de le NCT , le NP , ADVLIEU de INF , VIMP à ADJ NC ADVLIEU le NC NP ."
2,Flaubert/L'education_sentimentale_clean.txt,"De les gens arrivaient hors d' haleine ; de les barriques , de les câbles , de les corbeilles de linge gênaient la circulation ; les matelots ne répondaient à personne; on se heurtait ; les colis montaient entre les deux tambours , et le tapage s' absorbait dans le bruissement de la vapeur , qui , s' échappant par de les plaques de tôle , enveloppait tout d' une nuée blanchâtre , tandis que la cloche , à l' avant , tintait sans discontinuer .","de le NC VIMP ADV de NC ; de le NCs , de le NC , de le NC de NCmod VIMP le NCo ; le NCs ne VIMP à personne; on se VSENT ; le NCs VIMP entre le NUM NC , et le NCs se VIMP dans le NC de le NCmod , qui , se PPRES par de le NC de NCmod , VIMP tout de un NCmod ADJCOL , PHASE que le NCs , à le PHASE , VIMP sans INF ."
3,Flaubert/L'education_sentimentale_clean.txt,"Enfin le navire partit ; et les deux berges , peuplées de magasins , de chantiers et d' usines , filèrent comme deux larges rubans que l' on déroule .","PHASE le NCs ADJ ; et le NUM NC , PPAS de NC , de NC et de NC , VPS comme NUM ADJ NC que l' on VSUBP ."
4,Flaubert/L'education_sentimentale_clean.txt,"Un jeune homme de dix-huit ans , à longs cheveux et qui tenait un album sous son bras , restait auprès de le gouvernail , immobile .","un ADJ NCs de NUM NCT , à ADJ NCCOR et qui VIMP un NCo sous DETPOSS NCCOR , VIMP ADV de le NC , ADJ ."
5,Flaubert/L'education_sentimentale_clean.txt,"À travers le brouillard , il contemplait de les clochers , de les édifices dont il ne savait pas les noms ; puis il embrassa , dans un dernier coup d' œil , l' île Saint-Louis , la Cité , Notre-Dame ; et bientôt , Paris disparaissant , il poussa un grand soupir .","à travers le NC , il VIMP de le NC , de le NCmod dont il ne VCOG pas le NCo ; puis il VPS , dans un ADJ NC de NCmod , le NCo NP , le NP , NP ; et bientôt , NP PPRES , il VPS un ADJ NCo ."
6,Flaubert/L'education_sentimentale_clean.txt,"M. Frédéric Moreau , nouvellement reçu bachelier , s' en retournait à Nogent-sur-Seine , où il devait languir pendant deux mois , avant d' aller faire son droit .","monsieur NP NP , ADVTEMPS PPAS NCo , se en VIMP à NP , où il devoir INF PHASE NUM NCT , PHASE de aller faire DETPOSS NCo ."
7,Flaubert/L'education_sentimentale_clean.txt,"Sa mère , avec la somme indispensable , l' avait envoyé à le Havre voir un oncle , dont elle espérait , pour lui , l' héritage ; il en était revenu la veille seulement ; et il se dédommageait de ne pouvoir séjourner dans la capitale , en regagnant sa province par la route la plus longue .","DETPOSS NCs , avec le NCmod ADJ , le avoir PPAS à le NP VCOG un NCo , dont il VCOG , pour lui , le NC ; il en être PPAS le NCo seulement ; et il se VIMP de ne pouvoir INF dans le NC , en PPRES DETPOSS NCo par le NC le plus ADJ ."
8,Flaubert/L'education_sentimentale_clean.txt,"Le tumulte s' apaisait ; tous avaient pris leur place ; quelques -uns , debout , se chauffaient autour de la machine , et la cheminée crachait avec un râle lent et rythmique son panache de fumée noire ; de les gouttelettes de rosée coulaient sur les cuivres ; le pont tremblait sous une petite vibration intérieure , et les deux roues , tournant rapidement , battaient l' eau .","le NCs se VSENT ; tout avoir PPAS lui NCo ; quelque NCs , ADV , se VIMP ADV de le NC , et le NCs VIMP avec un NC ADJ et ADJ DETPOSS NCo de NCmod ADJ ; de le NCs de NCmod VIMP sur le NC ; le NCs VIMP sous un ADJ NC ADJ , et le NUM NC , PPRES ADVMAN , VIMP le NCo ."
9,Flaubert/L'education_sentimentale_clean.txt,La rivière était bordée par de les grèves de sable .,le NCspas être PPAS par de le NC de NCmod .
10,Flaubert/L'education_sentimentale_clean.txt,"On rencontrait de les trains de bois qui se mettaient à onduler sous le remous de les vagues , ou bien , dans un bateau sans voiles , un homme assis pêchait ; puis les brumes errantes se fondirent , le soleil parut , la colline qui suivait à droite le cours de la Seine peu à peu s' abaissa , et il en surgit une autre , plus proche , sur la rive opposée .","on VCOND de le NC de NCmod qui se VIMP à INF sous le NC de le NCmod , ou bien , dans un NCmod sans NCmod , un NCs ADJ VIMP ; puis le NCs ADJ se VPS , le NCs VPS , le NC qui VIMP à NC le NCs de le NP peu à peu si VPS , et il en VPS un autre , plus ADJ , sur le NC PPAS ."
