id,titre,phrase,motifs_phrase
1,1879_Perret_L'Ame-muree_A.txt,L' AME MURÉE ILE SAINT DE BOIS .,le NP NP NP NP NP NP .
2,1879_Perret_L'Ame-muree_A.txt,"Nous sommes dans une ville de l' Ouest arrosée par trois rivières , dont la plus considérable est une de les grandes voies navigables de France .","nous être dans un NCs de le NCmod PPAS par NUM NC , dont le plus ADJ être un de le ADJ NCmod ADJ de NP ."
3,1879_Perret_L'Ame-muree_A.txt,"L' habitant de cette grande région maritime est rude pêcheur , matelot solide , excellent soldat .","le NCs de ce ADJ NCmod ADJ être ADJ NC , NC ADJ , ADJ NC ."
4,1879_Perret_L'Ame-muree_A.txt,"Quant à la ville elle-même , c' est une cité populeuse et riche .","quant à le NC elle-même , ce être un NC ADJ et ADJ ."
5,1879_Perret_L'Ame-muree_A.txt,"Beaucoup d' affaires , beaucoup d' intérêts ennemis , passablement de crimes et beaucoup de procès .","beaucoup de NC , beaucoup de NCSENT ADJ , ADVINT de NC et beaucoup de NC ."
6,1879_Perret_L'Ame-muree_A.txt,"En1853 , le juge d' instruction près le tribunal de M… était M. Mériadec-Yves de la Pénissière , fils d' Henri-François de la Pénissière , ancien président , les derniers tous deux d' une vieille famille .","En1853 , le NC de NCmod ADVLIEU le NCs de NP être monsieur NP de le NP , NC de NP de le NP , ADJ NC , le NC tout NUM de un ADJ NCmod ."
7,1879_Perret_L'Ame-muree_A.txt,"Monsieur Mériadec ( on le nommait ainsi dans la maison pour le distinguer de son père ) , était né en1823: il allait avoir trente ans .","monsieur NP ( on le VIMP ainsi dans le NC pour le VCOG de DETPOSS NC ) , être PPAS en1823: il aller avoir NUM NCT ."
8,1879_Perret_L'Ame-muree_A.txt,"C' était le19mai , jour de la Saint-Yves , un grand saint quoique avocat .","ce être ADJ , NCT de le NP , un ADJ NC quoique NCmod ."
9,1879_Perret_L'Ame-muree_A.txt,"M. Mériadec fit mettre un double louis dans le tronc de l' église paroissiale , pour honorer son deuxième patron La fête de le saint tombant un vendredi , il dîna de poisson et de légumes .","monsieur NP faire mettre un ADJ NCo dans le NC de le NCmod ADJ , pour VSENT DETPOSS ADJ NCo le NC de le NCmod PPRES un ADVT , il VPS de NC et de NC ."
10,1879_Perret_L'Ame-muree_A.txt,"Après quoi , il rentra dans son cabinet d' études .","PHASE quoi , il VPS dans DETPOSS NC de NCmod ."
11,1879_Perret_L'Ame-muree_A.txt,"Le président dînait seul , à le même instant , dans une petite salle à manger tendue de tapisseries de Beauvais .","le NCs VIMP ADJ , à le même NC , dans un ADJ NC à INF NCo de NCmod de NP ."
12,1879_Perret_L'Ame-muree_A.txt,Ces bergeries auraient effarouché monsieur son fils .,ce NCs avoir VSENT monsieur DETPOSS NCo .
13,1879_Perret_L'Ame-muree_A.txt,Ne jetons pas de regards indiscrets sur le menu délicat de ce petit festin solitaire !,ne IMP pas un NCMAN ADJ sur le NCmod ADJ de ce ADJ NCmod ADJ !
14,1879_Perret_L'Ame-muree_A.txt,Le cabinet de M. Mériadec était une pièce fort vaste à les boiseries de chêne .,le NCs de monsieur NP être un NC fort ADJ à le NCmod de NCmod .
15,1879_Perret_L'Ame-muree_A.txt,"Comme le principal repas se faisait à cinq heures à l' hôtel de la Pénissière , le soleil était encore très-haut .","comme le ADJ NCs se faire à NUM NCT à le NC de le NP , le NCs être encore ADV ."
16,1879_Perret_L'Ame-muree_A.txt,"Le jardin , rempli de feuillages frais et de fleurs nouvelles , aurait attiré tout autre que le jeune magistrat .","le NCs , PPAS de NC ADJ et de NC ADJ , avoir VSENT tout autre que le ADJ NC ."
17,1879_Perret_L'Ame-muree_A.txt,"Une assez lourde chaleur régnait , à le contraire , dans cette grande salle , dont les fenêtres .étaient closes .","un ADV ADJ NCs VIMP , à le NC , dans ce ADJ NC , dont le NCs VIMP NCo ."
18,1879_Perret_L'Ame-muree_A.txt,M. Mériadec ne songea pas même à les entre-bâiller .,monsieur NP ne VPS pas même à le INF .
19,1879_Perret_L'Ame-muree_A.txt,"La chaleur n' avait pas de prise sur ce corps maigre , cette peau sèche et ce tempérament fait de bile et de nerfs .","le NCs ne avoir pas un NCo sur ce NCCOR ADJ , ce NCCOR ADJ et ce NCs faire de NC et de NCCOR ."
