id,titre,phrase,motifs_phrase
1,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Ma première visite à Tartarin de Tarascon est restée dans ma vie comme une date inoubliable ; il y a douze ou quinze ans de cela , mais je m' en souviens mieux que d' hier .","DETPOSS ADJ NCspas à NP de NP être PPAS dans DETPOSS NC comme un NCmod ADJ ; il y avoir NUM ou NUM NCT de cela , mais je lui en PRES mieux que de ADV ."
2,Daudet/de_tartarin_de_tarascon copie_clean.txt,"L' intrépide Tartarin habitait alors , à l' entrée de la ville , la troisième maison à gauche sur le chemin d' Avignon .","le ADJ NP VIMP alors , à le NC de le NCmod , le ADJ NCo à NCmod sur le NCmod de NP ."
3,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Jolie petite villa tarasconnaise avec jardin devant , balcon derrière , de les murs très blancs , de les persiennes vertes , et sur le pas de la porte une nichée de petits Savoyards jouant à la marelle ou dormant à le bon soleil , la tête sur leurs boîtes à cirage .","NP ADJ NCmod ADJ avec NCmod ADVLIEU , NC ADVLIEU , de le NC très ADJCOL , de le NC ADJCOL , et sur le pas de le NCmod un NC de ADJ NCmod PPRES à le NC ou PPRES à le ADJ NC , le NCCOR sur DETPOSS NCmod à NCmod ."
4,Daudet/de_tartarin_de_tarascon copie_clean.txt,"De le dehors , la maison n' avait l' air de rien .","de le NC , le NCs ne avoir le NCMAN de rien ."
5,Daudet/de_tartarin_de_tarascon copie_clean.txt,Jamais on ne se serait cru devant la demeure d' un héros .,ADVTEMPS on ne se être PPAS ADVLIEU le NC de un NCmod .
6,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Mais quand on entrait , coquin de sort! ... De la cave à le grenier , tout le bâtiment avait l' air héroïque , même le jardin !","mais quand on VIMP , NCo de sort! ... de le NC à le NCmod , tout le NCs avoir le NCMAN ADJ , même le NCmod !"
7,Daudet/de_tartarin_de_tarascon copie_clean.txt,"... Ô le jardin de Tartarin , il n' y en avait pas deux comme celui-là en Europe .","... INTJ le NCs de NP , il ne y en avoir pas NUM comme celui-là en NP ."
8,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Pas un arbre de le pays , pas une fleur de France ; rien que de les plantes exotiques , de les gommiers , de les calebassiers , de les cotonniers , de les cocotiers , de les manguiers , de les bananiers , de les palmiers , un baobab , de les nopals , de les cactus , de les figuiers de Barbarie , à se croire en pleine Afrique centrale , à dix mille lieues de Tarascon .","pas un NC de le NCmod , pas un NC de NP ; ADV que de le NC ADJ , de le NC , de le NC , de le NC , de le NC , de le NC , de le NC , de le NC , un NC , de le NC , de le NC , de le NC de NP , à se VCOG en ADJ NP ADJ , à NUM NUM NC de NP ."
9,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Tout cela , bien entendu , n' était pas de grandeur naturelle ; ainsi les cocotiers n' étaient guère plus gros que de les betteraves , et le baobab ( arbre géant , arbos gigantea ) tenait à l' aise dans un pot de réséda ; mais c' est égal !","tout cela , bien VCOG , ne être pas un NC ADJ ; ainsi le NCs ne être guère plus ADJ que de le NC , et le NC ( NC ADJ , arbos gigantea ) VIMP à le NC dans un NC de NCmod ; mais ce être ADJ !"
10,Daudet/de_tartarin_de_tarascon copie_clean.txt,"pour Tarascon , c' était déjà bien joli , et les personnes de la ville , admises le dimanche à l' honneur de contempler le baobab de Tartarin , s' en retournaient pleines d' admiration .","pour NP , ce être déjà bien ADJ , et le NCs de le NCmod , PPAS le ADVT à le NCSENT de INF le NCo de NP , se en VIMP NCo de NCSENT ."
11,Daudet/de_tartarin_de_tarascon copie_clean.txt,Pensez quelle émotion je dus éprouver ce jour -là en traversant ce jardin mirifique !,VCOG quel NCSENT je devoir VSENT ce NCT ADVLIEU en PPRES ce NCo ADJ !
12,Daudet/de_tartarin_de_tarascon copie_clean.txt,... Ce fut bien autre chose quand on m' introduisit dans le cabinet de le héros .,... ce être bien autre chose quand on lui VPS dans le NC de le NCmod .
13,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Ce cabinet , une de les curiosités de la ville , était à le fond de le jardin , ouvrant de plain-pied sur le baobab par une porte vitrée .","ce NCs , un de le NCSENT de le NCmod , être à le NC de le NCmod , PPRES de NC sur le NC par un NCmod PPAS ."
14,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Imaginez -vous une grande salle tapissée de fusils et de sabres , depuis en haut jusqu' en bas ; toutes les armes de tous les pays de le monde : carabines , rifles , tromblons , couteaux corses , couteaux catalans , couteaux revolvers , couteaux poignards , kriss malais , flèches caraïbes , flèches de silex , coups-de-poing , casse-tête , massues hottentotes , lassos mexicains , est -ce que je sais !","IMP vous un ADJ NCo ADJ de NCmod et de NC , depuis en NC jusque en NC ; tout le NCs de tout le NCmod de le NCmod : NC , NC , NC , NC ADJ , ADJ NC , NC ADJ , NC ADJ , NC ADJ , NC ADJ , NC de NCmod , NC , NC , NC ADJ , NC ADJ , être ce que je VCOG !"
15,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Par là-dessus , un grand soleil féroce qui faisait luire l' acier de les glaives et les crosses de les armes à feu , comme pour vous donner encore plus la chair de poule ... Ce qui rassurait un peu pourtant , c' était le bon air d' ordre et de propreté qui régnait sur toute cette yataganerie .","par ADV , un ADJ NC ADJ qui faire INF le NCo de le NCmod et le NC de le NCmod à NCmod , comme pour vous INF encore plus le NCCOR de NCmod ... ce qui VIMP un peu pourtant , ce être le ADJ NCMAN de NCmod et de NC qui VIMP sur tout ce NC ."
16,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Tout y était rangé , soigné , brossé , étiqueté comme dans une pharmacie ; de loin en loin , un petit écriteau bonhomme sur lequel on lisait : Flèches empoisonnées , n' y touchez pas !","tout y être PPAS , ADJ , PPAS , PPAS comme dans un NC ; de ADVLIEU en ADVLIEU , un ADJ NC NC sur lequel on VIMP : NCs ADJ , ne y IMP pas !"
17,Daudet/de_tartarin_de_tarascon copie_clean.txt,"ou : Armes chargées , méfiez-vous !","ou : NC ADJ , méfiez-le !"
18,Daudet/de_tartarin_de_tarascon copie_clean.txt,"Sans ces écriteaux , jamais je n' aurais osé entrer .","sans ce NC , ADVTEMPS je ne avoir PPAS INF ."
19,Daudet/de_tartarin_de_tarascon copie_clean.txt,"À le milieu de le cabinet , il y avait un guéridon .","à le milieu de le NCmod , il y avoir un NCo ."
