id,titre,phrase,motifs_phrase
1,Zola/1898_3_Paris._clean.txt,"Ce matin -là , vers la fin de janvier , l' abbé Pierre Froment , qui avait une messe à dire à le Sacré-Cœur de Montmartre , se retrouvait dès huit heures sur la Butte devant la basilique .","ce NCT ADVLIEU , vers le NC de NCmod , le NCs NP NP , qui avoir un NCo à VDIC à le NP de NP , se VIMP dès NUM NCT sur le NP ADVLIEU le NC ."
2,Zola/1898_3_Paris._clean.txt,"Et , avant d' entrer , un instant il regarda Paris , dont la mer immense se déroulait à ses pieds .","et , PHASE de INF , un NC il VCOG NP , dont le NCs ADJ se VIMP à DETPOSS NCCOR ."
3,Zola/1898_3_Paris._clean.txt,"C' était , après deux mois de froid terrible , de neige et de glace , un Paris noyé sous un dégel morne et frissonnant .","ce être , PHASE NUM NCT de NCmod ADJ , de NCmod et de NC , un NP PPAS sous un NC ADJ et ADJ ."
4,Zola/1898_3_Paris._clean.txt,"De le vaste ciel , couleur de plomb , tombait le deuil d' une brume épaisse .","de le ADJ NC , NCs de NCmod , VIMP le NCo de un NCmod ADJ ."
5,Zola/1898_3_Paris._clean.txt,"Tout l' est de la ville , les quartiers de misère et de travail , semblaient submergés dans de les fumées roussâtres , où l' on devinait le souffle de les chantiers et de les usines ; tandis que , vers l' ouest , vers les quartiers de richesse et de jouissance , la débâcle de le brouillard s' éclairait , n' était plus qu' un voile fin , immobile de vapeur .","tout le NC de le NCmod , le NCs de NCmod et de NC , VIMP PPAS dans un le NC ADJ , où l' on VCOG le NCo de le NCmod et de le NC ; PHASE que , vers le NC , vers le NC de NCmod et de NCSENT , le NCs de le NCmod se VCOND , ne être plus que un NC NCmod , ADJ de NC ."
6,Zola/1898_3_Paris._clean.txt,"On devinait à peine la ligne ronde de l' horizon , le champ sans bornes de les maisons apparaissait tel qu' un chaos de pierres , semé de mares stagnantes , qui emplissaient les creux d' une buée pâle , et sur lesquelles se détachaient les crêtes de les édifices et de les rues hautes , d' un noir de suie .","on VCOG à NCSENT le NCo ADJ de le NCmod , le NC sans NCmod de le NCmod VIMP tel que un NC de NCmod , PPAS de NC ADJ , qui VIMP le NCo de un NCmod ADJ , et sur lequel se VIMP le NCo de le NCmod et de le NC ADJ , de un NCmod de NCmod ."
7,Zola/1898_3_Paris._clean.txt,"Un Paris de mystère , voilé de nuées , comme enseveli sous la cendre de quelque désastre , disparu à demi déjà dans la souffrance et dans la honte de ce que son immensité cachait .","un NP de NCmod , PPAS de NC , comme NCmod sous le NCmod de quelque NCmod , PPAS à ADJ déjà dans le NCSENT et dans le NCSENT de ce que DETPOSS ADJ NCs ."
8,Zola/1898_3_Paris._clean.txt,"Pierre regardait , maigre et sombre , vêtu de sa soutane mince , lorsque l' abbé Rose , qui semblait s' être abrité derrière un pilier de le porche , pour le guetter , vint à sa rencontre .","NP VCOG , ADJ et ADJ , vêtu de DETPOSS ADJ NCmod , lorsque le NCs NP , qui sembler se être PPAS ADVLIEU un NC de le NCmod , pour le INF , venir à DETPOSS NC ."
9,Zola/1898_3_Paris._clean.txt,Ah !,INTJ !
10,Zola/1898_3_Paris._clean.txt,"c' est vous enfin , mon cher enfant .","ce être vous PHASE , DETPOSS ADJ NC ."
11,Zola/1898_3_Paris._clean.txt,J' ai quelque chose à vous demander .,je avoir quelque chose à vous INF .
12,Zola/1898_3_Paris._clean.txt,"Il semblait gêné , inquiet .","il sembler VSENT , ADJ ."
13,Zola/1898_3_Paris._clean.txt,"D' un regard méfiant , il s' assura que personne n' était là .","de un NCMAN ADJ , il se VPS que personne ne être ADVLIEU ."
14,Zola/1898_3_Paris._clean.txt,"Puis , comme si la solitude ne suffisait pas à la rassurer il l' emmena à quelque distance , dans la bise glaciale qui soufflait , et qu' il paraissait ne pas sentir .","puis , comme si le NCs ne VIMP pas à le VSENT il le VPS à quelque NC , dans le NC ADJ qui VIMP , et que il paraître ne pas sentir ."
15,Zola/1898_3_Paris._clean.txt,"Voici , c' est un pauvre homme dont on m' a parlé , un ancien ouvrier peintre , un vieillard de soixante-dix ans , qui naturellement ne peut plus travailler , et qui est en train de mourir de faim , dans un taudis de la rue de les Saules ... Alors , mon cher enfant , j' ai songé à vous , j' ai pensé que vous consentiriez à lui porter ces trois francs de ma part , pour qu' il ait à le moins de le pain pendant quelques jours .","voici , ce être un ADJ NC dont on lui avoir PPAS , un ADJ NC NC , un NC de NUM NCT , qui ADVINT ne pouvoir plus INF , et qui être en NC de INF de NC , dans un NC de le NCmod de le NP ... alors , DETPOSS ADJ NC , je avoir PPAS à vous , je avoir VCOG que vous PRES à lui INF ce NUM NCo de DETPOSS NCmod , pour que il avoir à le moins de le NC PHASE quelque NCT ."
16,Zola/1898_3_Paris._clean.txt,Mais pourquoi n' allez -vous pas lui faire votre aumône vous-même ?,mais pourquoi ne aller vous pas lui faire DETPOSS NCo ADV ?
