id,titre,phrase,motifs_phrase
1,1879_Huysmans_Les-soeurs-Vatard_N.txt,I » Deux heures de le matin sonnèrent .,"NUM "" NUM NCT de le NCT ADJ ."
2,1879_Huysmans_Les-soeurs-Vatard_N.txt,Céline fit à sa sœur cette inepte plaisanterie qui consiste à placer son doigt près de le nez d' une personne endormie et à la réveiller brusquement .,NP faire à DETPOSS NC ce ADJ NCo qui PRES à INF DETPOSS NCCOR ADVLIEU de le NCCOR de un NCmod ADJ et à le INF ADV .
3,1879_Huysmans_Les-soeurs-Vatard_N.txt,Désirée frappa sa narine gauche contre l' index de Céline .,NP frapper DETPOSS NCCOR ADJ contre le NC de NP .
4,1879_Huysmans_Les-soeurs-Vatard_N.txt,— Que c' est bête !,— que ce être ADJ !
5,1879_Huysmans_Les-soeurs-Vatard_N.txt,cria -t -elle .,VDIC t il .
6,1879_Huysmans_Les-soeurs-Vatard_N.txt,Les femmes se tordirent .,le NCs se PRES .
7,1879_Huysmans_Les-soeurs-Vatard_N.txt,"— Allons , mesdames , un peu de silence , hasarda la contre-maître .","— NP , NC , un peu de NC , VPS le NCo ."
8,1879_Huysmans_Les-soeurs-Vatard_N.txt,"L' on entendit comme un long bourdonnement que traversa soudain la flûte d' un rire , puis deux voix claironnèrent , soutenues par le ronflement de les presses , une chanson patriotique .","l' on VCOG comme un ADJ NC que VPS soudain le NCs de un NCMAN , puis NUM NCMAN VPS , PPAS par le NC de le NCmod , un NC ADJ ."
9,1879_Huysmans_Les-soeurs-Vatard_N.txt,"Les gosiers de les hommes , de les gosiers saccagés par le trois-six , tonnèrent également , trouant de leur toux rauque les cris grêles de les filles : « Il est mort , soldat stoïque , Il est mort pour la républi-ique !","le NCs de le NCmod , de le NCmod PPAS par le NC , VPS également , PPRES de lui NC PRES le NCo ADJ de le NCmod : "" il être PPAS , NC ADJ , il être PPAS pour le NC !"
10,1879_Huysmans_Les-soeurs-Vatard_N.txt,"» — Allons , mesdames , un peu de silence , hasarda la contre-maître .",""" — NP , NC , un peu de NC , VPS le NCo ."
11,1879_Huysmans_Les-soeurs-Vatard_N.txt,"La presse haleta et mugit plus fort , les massiquots grincèrent , les couteaux de bois firent entendre leur sifflement doux sur le papier ; les petits bancs qui tombent , les ballots qu' on jette sur la table , retentirent , interrompus par le jet vibrant de les gaz , par le bourdon de le poêle .","le NCs VPS et VDIC plus fort , le NCs VPS , le NC de NCmod faire VCOG lui NCo ADJ sur le NCmod ; le ADJ NCs qui PRES , le NC que on PRES sur le NC , VPS , PPAS par le NC PPRES de le NC , par le NC de le NCmod ."
12,1879_Huysmans_Les-soeurs-Vatard_N.txt,"De les rires fusèrent d' un bout de l' atelier à l' autre , s' éteignirent , puis reprirent en un long roulement .","de le NCMAN VPS de un NC de le NCmod à le autre , se VPS , puis VPS en un ADJ NC ."
13,1879_Huysmans_Les-soeurs-Vatard_N.txt,"— Mesdames , mesdames !","— NP , NC !"
14,1879_Huysmans_Les-soeurs-Vatard_N.txt,un peu de silence !,un peu de NCs !
15,1879_Huysmans_Les-soeurs-Vatard_N.txt,hasarda la contre-maître .,VPS le NCo .
16,1879_Huysmans_Les-soeurs-Vatard_N.txt,"Çà , de gros rhumes grondaient , là , de les joies dégingandées s' étouffaient à braire , çà et là , de les raclements ; de les roulades de gorges déchiraient la tempête qui allait croissant .","ADV , un ADJ NCs VIMP , ADVLIEU , de le NCSENT PPAS se VIMP à NC , ADV et ADVLIEU , de le NCs ; de le NCmod de NCCOR VCOND le NCo qui aller ADJ ."
17,1879_Huysmans_Les-soeurs-Vatard_N.txt,"Dans un coin , un rire aigu sautilla , seul , dansant au-dessus de le tumulte .","dans un NC , un NCMAN ADJ VPS , ADJ , PPRES ADVLIEU de le NC ."
18,1879_Huysmans_Les-soeurs-Vatard_N.txt,— Il y eut un instant de répit .,— il y avoir un NCo de NCmod .
19,1879_Huysmans_Les-soeurs-Vatard_N.txt,"— Un chat en chaleur miaula furieusement , puis une voix larmoyante s' éleva : — Mesdames , je vous ai respectées , toute la nuit !","— un NCs en NCmod VPS ADVINT , puis un NCMAN ADJ se PRES : — NP , je vous avoir PPAS , tout le NCT !"
20,1879_Huysmans_Les-soeurs-Vatard_N.txt,Le coup de tonnerre d' une énorme pile qui s' écroule coupa net l' engueulée de le chœur qui huait la femme .,le NCs de NCmod de un NCmod ADJ qui se PRES coupa PRES le NCo de le NCmod qui VIMP le NCo .
21,1879_Huysmans_Les-soeurs-Vatard_N.txt,— Personne n' avait reçu la pile sur la tête .,— personne ne avoir PPAS le NCo sur le NCCOR .
22,1879_Huysmans_Les-soeurs-Vatard_N.txt,— Les chansons reprirent .,— le NCs VPS .
23,1879_Huysmans_Les-soeurs-Vatard_N.txt,"— Voyons , mesdames , mesdames , un peu de silence !","— NP , ADJ , ADJ , un peu de NC !"
24,1879_Huysmans_Les-soeurs-Vatard_N.txt,supplia la contre-maître .,VPS le NCo .
25,1879_Huysmans_Les-soeurs-Vatard_N.txt,"Alors , dans un crescendo immense , quarante femmes crièrent : La paie !","alors , dans un NC ADJ , NUM NCs VDIC : le NCo !"
26,1879_Huysmans_Les-soeurs-Vatard_N.txt,la paie !,le NC !
