id,titre,phrase,motifs_phrase
1,Daudet/soutien_de_famille copie_clean.txt,"Prélude Un garçon de salle majestueux passait , porteur d' une lampe .","NP un NCs de NCmod ADJ VIMP , NCo de un NCmod ."
2,Daudet/soutien_de_famille copie_clean.txt,Victor Eudeline toussa pour se donner de le ton et demanda qu' on voulût bien rappeler sa présence à M. le proviseur .,NP NP VPS pour se INF de le NC et VPS que on vouloir bien INF DETPOSS NCo à monsieur le NC .
3,Daudet/soutien_de_famille copie_clean.txt,"L' homme , sans se retourner , fit signe oui et disparut dans le noir d' une double porte .","le NCs , sans se INF , faire NCo oui et ADJ dans le NC de un ADJ NCmod ."
4,Daudet/soutien_de_famille copie_clean.txt,"Assis sur la moleskine d' un coffre à bois , le solliciteur attendait depuis une heure dans cette longue antichambre de lycée parisien à les carreaux dérougis , à les murs couverts d' une immense carte géologique vernissée .","PPAS sur le NC de un NCmod à NCmod , le NCs VIMP depuis un NCT dans ce ADJ NCmod de NCmod ADJ à le NCmod ADJ , à le NCmod ADJ de un ADJ NCmod ADJ PPAS ."
5,Daudet/soutien_de_famille copie_clean.txt,"Le jour défaillait , un jour de la fin de le printemps , et par la fenêtre de l' antichambre il voyait de hauts rectangles de gaz s' aligner à tous les étages sur cette cour assombrie qui , pour lui , débordait de triomphants souvenirs .","le NCT VIMP , un NCT de le NCmod de le NCmod , et par le NC de le NCmod il VCOG un ADJ NCo de NCmod se INF à tout le NC sur ce NC PRES qui , pour lui , VIMP un ADJ NCo ."
6,Daudet/soutien_de_famille copie_clean.txt,"C' est là que trois ans de suite , et l' été dernier encore , Raymond et Antonin , ses deux garçons , têtes de classe à Charlemagne , lui avaient donné la joie d' entendre acclamer , fanfarer , ce nom si humble d' Eudeline , le nom d' un ouvrier de le meuble , devenu patron à coup de chance et d' énergie ... Oh !","ce être ADVLIEU que NUM NCT de NCmod , et le NC ADJ encore , NP et NP , DETPOSS NUM NCs , NCCOR de NCmod à NP , lui avoir PPAS le NCSENT de VCOG INF , INF , ce NC si ADJ de NP , le NC de un NCmod de le NCmod , devenir ADV à NC de NCmod et de NC ... INTJ !"
7,Daudet/soutien_de_famille copie_clean.txt,"cette cour en rumeur , remplie d' enfants , de parents en gala , où circulaient les hermines , les chamarrures ; et son passage dans la foule , entre ses deux fils chargés de couronnes et de succès ; les murmures de gloire autour d' eux et de ce pauvre papa à barbe fauve , crevant d' orgueil et de santé dans une redingote reluisante , le papa Eudeline , successeur de Guillaume Aillaume , un de les plus gros fabricants de le faubourg de le temple .","ce NCs en NCmod , PPAS de NC , de NC en NCmod , où VIMP le NCs , le NC ; et DETPOSS NCs dans le NCmod , entre DETPOSS NUM NCmod PPAS de NC et de NC ; le NCs de NCmod ADV de eux et de ce NC VPS à NCCOR ADJ , PPRES de NCSENT et de NC dans un NC ADJ , le NC NP , NC de NP NP , un de le plus ADJ NCmod de le NCmod de le NCmod ."
8,Daudet/soutien_de_famille copie_clean.txt,"Puis , sitôt après la distribution , le bonheur de sauter en voiture avec les enfants , voiture découverte où flambait la dorure de les livres et de les couronnes , traverser Paris , se montrer sur tous les boulevards en allant chez leur ami Pierre Izoard , à le Palais-Bourbon , de là chez Mlle Javel , leur propriétaire , dans son hôtel de les Champs-Élysées ... Monsieur le proviseur vous fait demander .","puis , ADV PHASE le NC , le NCSENT de INF en NC avec le NC , NC ADJ où VIMP le NCs de le NCmod et de le NC , INF NP , se INF sur tout le NC en aller chez lui NC NP NP , à le NP , de ADVLIEU chez NP NP , lui NC , dans DETPOSS NCmod de le NP ... monsieur le NC vous faire INF ."
9,Daudet/soutien_de_famille copie_clean.txt,"À cet appel jeté d' un ton rogne , Eudeline sortit en sursaut de son rêve , pénétra dans le bureau où un vieux monsieur tout en gris , coiffé en casseur d' un bonnet de velours sur l' oreille , achevait d' écrire une lettre et , sans même regarder le bon géant debout devant lui , commença d' une voix distraite : J' espère , monsieur , que vous venez enfin vous mettre en règle avec l' administration .","à ce NC PPAS de un NC rogne , NP VPS en NC de DETPOSS NCmod , VF dans le NC où un ADJ monsieur tout en ADJCOL , PPAS en NC de un NCmod de NCmod sur le NCCOR , VASP de INF un NCo et , sans même VCOG le ADJ NCo ADV ADVLIEU lui , VASP de un NCMAN ADJ : je VCOG , monsieur , que vous venir PHASE vous mettre en NC avec le NC ."
10,Daudet/soutien_de_famille copie_clean.txt,"Malheureusement non , monsieur le proviseur ; je venais , à le contraire , vous prier … vous prier avec instance ... Et le pauvre diable , décontenancé de cet accueil inattendu , bégayait , s' étranglait , les joues violettes d' une montée de sang .","malheureusement non , monsieur le NC ; je PRES , à le NC , vous INF … vous INF avec NC ... et le NCs ADJ , VSENT de ce NC ADJ , VDIC , se VIMP , le ADJ NC de un NCmod de NCCOR ."
11,Daudet/soutien_de_famille copie_clean.txt,"Excusez -moi , murmura -t -il enfin , posant sur la table un haut de forme trop neuf et gigantesque qui le gênait presque autant que ce qu' il avait à dire ... Vous me connaissez à peine , monsieur , et rien que par mes enfants .","IMP soi , VF t il PHASE , PPRES sur le NC un NCo de NCmod trop ADJ et ADJ qui le VIMP presque autant que ce que il avoir à VDIC ... vous me PRES à NCSENT , monsieur , et rien que par DETPOSS NC ."
12,Daudet/soutien_de_famille copie_clean.txt,"J' aurais voulu , avant de vous présenter ma requête , vous raconter qui je suis et quels sont mes répondants ... Le fonctionnaire allait protester contre une trop longue histoire , mais le mot de répondants le mit en garde .","je avoir vouloir , PHASE de vous INF DETPOSS NCo , vous INF qui je être et quel être DETPOSS NC ... le NCs aller VDIC contre un trop ADJ NC , mais le NCs de NCmod le mettre en NC ."
13,Daudet/soutien_de_famille copie_clean.txt,"Par ces temps de démagogie , les tout petits ont parfois de les protecteurs tout en haut .","par ce temps de NCmod , le tout ADJ avoir ADVTEMPS de le NC tout en NC ."
14,Daudet/soutien_de_famille copie_clean.txt,"Il se résigna donc à apprendre que Victor Eudeline , fils de ses œuvres , était né rue de l' Orillon , dans les copeaux d' une boutique de menuisier .","il se VPS donc à VCOG que NP NP , NC de DETPOSS NCmod , être PPAS NC de le NP , dans le NC de un NCmod de NCmod ."
15,Daudet/soutien_de_famille copie_clean.txt,"Après deux ou trois années de primaire , il entrait comme apprenti chez Guillaume Aillaume , et n' en était plus sorti .","PHASE NUM ou NUM NCT de NCmod , il VIMP comme NC chez NP NP , et ne en être plus PPAS ."
16,Daudet/soutien_de_famille copie_clean.txt,"Le patron , après lui avoir donné sa fille , lui laissait aussi son commerce qui , malheureusement , ne devait pas prospérer entre les mains d' Eudeline comme dans les siennes .","le NCs , PHASE lui avoir PPAS DETPOSS NCo , lui laisser aussi DETPOSS NCo qui , malheureusement , ne devoir pas INF entre le NCCOR de NP comme dans le sien ."
17,Daudet/soutien_de_famille copie_clean.txt,"Vous le voyez pourtant , monsieur le proviseur , j' ai l' air d' un bon garçon , sans rien pour rebuter la clientèle .","vous le VCOG pourtant , monsieur le NC , je avoir le NCMAN de un ADJ NCmod , sans rien pour VSENT le NCo ."
