id,titre,phrase,motifs_phrase
1,1889_France_Thais_A.txt,Anatole France THAÏS ( 1890 ) Livre I LE LOTUS .,NP NP NP ( NUM ) NP NUM Le NP .
2,1889_France_Thais_A.txt,"En ce temps -là , le désert était peuplé d' anachorètes .","en ce temps ADVLIEU , le NCs être PPAS de NC ."
3,1889_France_Thais_A.txt,"Sur les deux rives de le Nil , d' innombrables cabanes , bâties de branchages et d' argile par la main de les solitaires , étaient semées à quelque distance les unes de les autres , de façon que ceux qui les habitaient pouvaient vivre isolés et pourtant s' entr' aider à le besoin .","sur le NUM NC de le NP , un ADJ NCs , NC de NCmod et de NC par le NCCOR de le NCmod , être PPAS à quelque NC le NCo de le autre , de façon que celui qui le VIMP pouvoir INF PPAS et ADV se entr' INF à le NC ."
4,1889_France_Thais_A.txt,"De les églises , surmontées de le signe de la croix , s' élevaient de loin en loin au-dessus de les cabanes et les moines s' y rendaient dans les jours de fête , pour assister à la célébration de les mystères et participer à les sacrements .","de le NC , PPAS de le NC de le NCmod , se VIMP de ADVLIEU en ADVLIEU ADVLIEU de le NC et le NC se y VIMP dans le NCT de NCmod , pour INF à le NC de le NCmod et INF à le NC ."
5,1889_France_Thais_A.txt,"Il y avait aussi , tout à le bord de le fleuve , de les maisons où les cénobites , renfermés chacun dans une étroite cellule , ne se réunissaient qu' afin de mieux goûter la solitude .","il y avoir aussi , tout à le NC de le NCmod , de le NC où le NCs , PPAS chacun dans un ADJ NC , ne se VIMP que ADV de mieux INF le NCo ."
6,1889_France_Thais_A.txt,"Anachorètes et cénobites vivaient dans l' abstinence , ne prenant de nourriture qu' après le coucher de le soleil , mangeant pour tout repas leur pain avec un peu de sel et d' hysope .","NCs et NC VIMP dans le NC , ne PPRES de NC que PHASE le NC de le NCmod , PPRES pour tout NC lui NC avec un peu de NCmod et de NC ."
7,1889_France_Thais_A.txt,"Quelques-uns , s' enfonçant dans les sables , faisaient leur asile d' une caverne ou d' un tombeau et menaient une vie encore plus singulière .","quelqu'un , se PPRES dans le NC , faire lui NCo de un NC ou de un NC et VIMP un NCo encore plus ADJ ."
8,1889_France_Thais_A.txt,"Tous gardaient la continence , portaient le cilice et la cuculle , dormaient sur la terre nue après de longues veilles , priaient , chantaient de les psaumes , et pour tout dire , accomplissaient chaque jour les chefs-d'œuvre de la pénitence .","tout VIMP le NCo , VIMP le NCs et le NC , VIMP sur le NC ADJ PHASE un ADJ NC , VIMP , VIMP de le NC , et pour tout VDIC , VIMP chaque NCT le NCo de le NCmod ."
9,1889_France_Thais_A.txt,"En considération de le péché originel , ils refusaient à leur corps , non seulement les plaisirs et les contentements , mais les soins mêmes qui passent pour indispensables selon les idées de le siècle .","en NC de le NCmod ADJ , il VIMP à lui NCCOR , non seulement le NCSENT et le NCSENT , mais le NC même qui PRES pour NC selon le NC de le NCT ."
10,1889_France_Thais_A.txt,Ils estimaient que les maladies de nos membres assainissent nos âmes et que la chair ne saurait recevoir de plus glorieuses parures que les ulcères et les plaies .,il VSENT que le NCs de DETPOSS NCmod PRES DETPOSS NCo et que le NCCOR ne VCOND INF de plus ADJ NC que le NCs et le NC .
