id,titre,phrase,motifs_phrase
1,Zola/1882_10_Pot-bouille._clean.txt,"Rue Neuve-Saint-Augustin , un embarras de voitures arrêta le fiacre chargé de trois malles , qui amenait Octave de la gare de Lyon .","NP NP , un NCSENT de NCmod VPS le NCo PPAS de NUM NC , qui VIMP NP de le NCmod de NP ."
2,Zola/1882_10_Pot-bouille._clean.txt,"Le jeune homme baissa la glace d' une portière , malgré le froid déjà vif de cette sombre après-midi de novembre .","le ADJ NCs VPS le NCo de un NCmod , malgré le NC déjà ADJ de ce ADJ NCT de NCmod ."
3,Zola/1882_10_Pot-bouille._clean.txt,"Il restait surpris de la brusque tombée de le jour , dans ce quartier à les rues étranglées , toutes grouillantes de foule .","il VIMP NCo de le ADJ NCmod de le NCT , dans ce NC à le NCmod ADJ , tout NC de NCmod ."
4,Zola/1882_10_Pot-bouille._clean.txt,"Les jurons de les cochers tapant sur les chevaux qui s' ébrouaient , les coudoiements sans fin de les trottoirs , la file pressée de les boutiques débordantes de commis et de clients , l' étourdissaient ; car , s' il avait rêvé Paris plus propre , il ne l' espérait pas d' un commerce aussi âpre , il le sentait publiquement ouvert à les appétits de les gaillards solides .","le NC de le NCmod PPRES sur le NC qui se VIMP , le NC sans NCmod de le NCmod , le NC ADJ de le NCmod ADJ de NCmod et de NC , le NC ; car , si il avoir PPAS NP plus ADJ , il ne le VCOG pas de un NC aussi ADJ , il le sentir ADV ADJ à le NC de le NCmod ADJ ."
5,Zola/1882_10_Pot-bouille._clean.txt,Le cocher s' était penché .,le NCs se être PPAS .
6,Zola/1882_10_Pot-bouille._clean.txt,C' est bien passage Choiseul ?,ce être bien NC NP ?
7,Zola/1882_10_Pot-bouille._clean.txt,"Mais non , rue de Choiseul ... Une maison neuve , je crois .","mais non , NC de NP ... un NC ADJ , je VCOG ."
8,Zola/1882_10_Pot-bouille._clean.txt,"Et le fiacre n' eut qu' à tourner , la maison se trouvait la seconde , une grande maison de quatre étages , dont la pierre gardait une pâleur à peine roussie , à le milieu de le plâtre rouillé de les vieilles façades voisines .","et le NCs ne avoir que à INF , le NCs se VIMP le NCT , un ADJ NC de NUM NCmod , dont le NCs VIMP un NCo à NCSENT PPAS , à le milieu de le NCmod PPAS de le NC ADJ ADJ ."
9,Zola/1882_10_Pot-bouille._clean.txt,"Octave , qui était descendu sur le trottoir , la mesurait , l' étudiait d' un regard machinal , depuis le magasin de soierie de le rez-de-chaussée et de l' entresol , jusqu' à les fenêtres en retrait de le quatrième , ouvrant sur une étroite terrasse .","NP , qui être PPAS sur le NC , le NC , le NC de un NCMAN ADJ , depuis le NC de NCmod de le NCmod et de le NC , jusque à le NC en NCmod de le NCmod , PPRES sur un ADJ NC ."
10,Zola/1882_10_Pot-bouille._clean.txt,"À le premier , de les têtes de femme soutenaient un balcon à rampe de fonte très ouvragée .","à le ADJ , de le NCCOR de NCmod VIMP un NCo à NCmod de NCmod très PPAS ."
11,Zola/1882_10_Pot-bouille._clean.txt,"Les fenêtres avaient de les encadrements compliqués , taillés à la grosse sur de les poncifs ; et , en bas , au-dessus de la porte cochère , plus chargée encore d' ornements , deux amours déroulaient un cartouche , où était le numéro , qu' un bec de gaz intérieur éclairait la nuit .","le NCs avoir de le NC PPAS , PPAS à le ADJ NC un le NCmod ; et , en NC , ADVLIEU de le NC ADJ , plus PPAS encore de NC , NUM NCSENT VIMP un NCo , où être le NC , que un NCs de NCmod ADJ VIMP le NCT ."
12,Zola/1882_10_Pot-bouille._clean.txt,"Un gros monsieur blond , qui sortait de le vestibule , s' arrêta net , en apercevant Octave .","un ADJ monsieur ADJCOL , qui VIMP de le NC , se VPS ADV , en PPRES NP ."
13,Zola/1882_10_Pot-bouille._clean.txt,Comment !,comment !
14,Zola/1882_10_Pot-bouille._clean.txt,vous voilà !,vous voilà !
15,Zola/1882_10_Pot-bouille._clean.txt,cria -t -il .,VDIC t il .
16,Zola/1882_10_Pot-bouille._clean.txt,Mais je ne comptais sur vous que demain !,mais je ne VIMP sur vous que ADVT !
17,Zola/1882_10_Pot-bouille._clean.txt,"Ma foi , répondit le jeune homme , j' ai quitté Plassans un jour plus tôt ... Est -ce que la chambre n' est pas prête ?","DETPOSS NCs , VDIC le ADJ NCo , je avoir PPAS Plassans un NCT plus tôt ... être ce que le NCs ne être pas ADJ ?"
18,Zola/1882_10_Pot-bouille._clean.txt,Oh !,INTJ !
19,Zola/1882_10_Pot-bouille._clean.txt,"si ... J' avais loué depuis quinze jours , et j' ai meublé ça tout de suite , comme vous me le demandiez .","si ... je avoir PPAS depuis NUM NCT , et je avoir PPAS ça tout de NC , comme vous me le VSUBP ."
20,Zola/1882_10_Pot-bouille._clean.txt,"Attendez , je veux vous installer .","IMP , je vouloir vous INF ."
21,Zola/1882_10_Pot-bouille._clean.txt,"Il rentra , malgré les instances d' Octave .","il VPS , malgré le NC de NP ."
22,Zola/1882_10_Pot-bouille._clean.txt,Le cocher avait descendu les trois malles .,le NCs avoir PPAS le NUM NCo .
23,Zola/1882_10_Pot-bouille._clean.txt,"Debout dans la loge de le concierge , un homme digne , à longue face rasée de diplomate , parcourait gravement le Moniteur .","ADV dans le NC de le NCmod , un NCs ADJ , à ADJ NCmod PPAS de NC , VCOND ADVMAN le NCo ."
24,Zola/1882_10_Pot-bouille._clean.txt,"Il daigna pourtant s' inquiéter de ces malles qu' on déposait sous sa porte ; et , s' avançant , Il demanda à son locataire , l' architecte de le troisième , comme il le nommait : Monsieur Campardon , est -ce la personne ?","il VPS pourtant se VSENT de ce NC que on VIMP sous DETPOSS NC ; et , se PPRES , il VPS à DETPOSS NC , le NC de le NCmod , comme il le VIMP : monsieur NP , être ce le NC ?"
25,Zola/1882_10_Pot-bouille._clean.txt,"Oui , monsieur Gourd , c' est M. Octave Mouret , pour qui j' ai loué la chambre de le quatrième .","oui , monsieur NP , ce être monsieur NP NP , pour qui je avoir PPAS le NCo de le NCmod ."
26,Zola/1882_10_Pot-bouille._clean.txt,"Il couchera là-haut et il prendra ses repas chez nous ... M. Mouret est un ami de les parents de ma femme , que je vous recommande .","il VF ADVLIEU et il VF DETPOSS NCo chez nous ... monsieur NP être un NC de le NCmod de DETPOSS NCmod , que je vous PRES ."
27,Zola/1882_10_Pot-bouille._clean.txt,"Octave regardait l' entrée , à les panneaux de faux marbre , et dont la voûte était décorée de rosaces .","NP VCOG le NCo , à le NCmod de ADJ NCmod , et dont le NCspas être PPAS de NC ."
28,Zola/1882_10_Pot-bouille._clean.txt,"La cour , à le fond , pavée et cimentée , avait un grand air de propreté froide ; seul , un cocher , à la porte de les écuries , frottait un mors avec une peau .","le NCs , à le NCmod , PPAS et PPAS , avoir un ADJ NCMAN de NCmod ADJ ; ADJ , un NC , à le NC de le NCmod , VIMP un NCo avec un NCCOR ."
29,Zola/1882_10_Pot-bouille._clean.txt,Jamais le soleil ne devait descendre là .,ADVTEMPS le NCs ne devoir INF ADVLIEU .
30,Zola/1882_10_Pot-bouille._clean.txt,"Cependant , M. Gourd examinait les malles .","cependant , monsieur NP VIMP le NCo ."
31,Zola/1882_10_Pot-bouille._clean.txt,"Il les poussa de le pied , devint respectueux devant leur poids , et parla d' aller chercher un commissionnaire , pour les faire monter par l' escalier de service .","il le VPS de le NCCOR , devenir ADJ ADVLIEU lui NC , et VPS de aller INF un NCo , pour le faire INF par le NC de NCmod ."
32,Zola/1882_10_Pot-bouille._clean.txt,"Madame Gourd , je sors , cria -t -il en se penchant dans la loge .","madame NP , je NC , VDIC t il en se PPRES dans le NC ."
33,Zola/1882_10_Pot-bouille._clean.txt,"Cette loge était un petit salon , à les glaces claires , garni d' une moquette à fleurs rouges et meublé de palissandre ; et , par une porte entrouverte , on apercevait un coin de la chambre à coucher , un lit drapé de reps grenat .","ce NCs être un ADJ NC , à le NCmod ADJ , PPAS de un NC à NCmod ADJCOL et PPAS de INF ; et , par un NC ADJ , on VIMP un NCo de le NCmod à INF , un NCo PPAS de NC ADJCOL ."
34,Zola/1882_10_Pot-bouille._clean.txt,"Mme Gourd , très grasse , coiffée de rubans jaunes , était allongée dans un fauteuil , les mains jointes , à ne rien faire .","madame NP , très ADJ , PPAS de NC ADJCOL , être PPAS dans un NC , le NCCOR ADJ , à ne rien faire ."
35,Zola/1882_10_Pot-bouille._clean.txt,Eh bien !,INTJ bien !
36,Zola/1882_10_Pot-bouille._clean.txt,"montons , dit l' architecte .","NC , VDIC le NCo ."
37,Zola/1882_10_Pot-bouille._clean.txt,"Et , comme il poussait la porte d' acajou de le vestibule , il ajouta , en voyant l' impression causée à le jeune homme par la calotte de velours noir et les pantoufles bleu ciel de M. Gourd : Vous savez , c' est l' ancien valet de chambre de le duc de Vaugelade .","et , comme il VIMP le NCo de NCmod de le NCmod , il VPS , en VCOG le NCo PPAS à le ADJ NC par le NC de NCmod ADJ et le NC ADJCOL NC de monsieur NP : vous VCOG , ce être le ADJ NC de NCmod de le NCmod de NP ."
38,Zola/1882_10_Pot-bouille._clean.txt,Ah !,INTJ !
39,Zola/1882_10_Pot-bouille._clean.txt,dit simplement Octave .,VDIC ADVMAN NP .
40,Zola/1882_10_Pot-bouille._clean.txt,"Parfaitement , et il a épousé la veuve d' un petit huissier de Mort-la-Ville .","ADVINT , et il avoir PPAS le NCo de un ADJ NCmod de NP ."
41,Zola/1882_10_Pot-bouille._clean.txt,Ils possèdent même une maison là-bas .,il PRES même un NCo ADVLIEU .
42,Zola/1882_10_Pot-bouille._clean.txt,Mais ils attendent d' avoir trois mille francs de rente pour s' y retirer ... Oh !,mais il PRES de avoir NUM NUM NCo de NCmod pour se y INF ... INTJ !
43,Zola/1882_10_Pot-bouille._clean.txt,de les concierges convenables !,de le NC ADJ !
44,Zola/1882_10_Pot-bouille._clean.txt,Le vestibule et l' escalier étaient d' un luxe violent .,le NCs et le NC être de un NC ADJ .
45,Zola/1882_10_Pot-bouille._clean.txt,"En bas , une figure de femme , une sorte de Napolitaine toute dorée , portait sur la tête une amphore , d' où sortaient trois becs de gaz , garnis de globes dépolis .","en NC , un NCCOR de NCmod , un sorte de NP tout ADJCOL , VIMP sur le NCCOR un NCo , de où VIMP NUM NCs de NCmod , NC de NCmod ADJ ."
46,Zola/1882_10_Pot-bouille._clean.txt,"Les panneaux de faux marbre , blancs à bordures roses , montaient régulièrement dans la cage ronde ; tandis que la rampe de fonte , à bois d' acajou , imitait le vieil argent , avec de les épanouissements de feuilles d' or .","le NCs de ADJ NCmod , ADJCOL à NCmod ADJCOL , VIMP ADVTEMPS dans le NC ADJ ; PHASE que le NCs de NCmod , à NCmod de NCmod , VIMP le ADJ NCo , avec de le NCSENT de NCmod de NCmod ."
47,Zola/1882_10_Pot-bouille._clean.txt,"Un tapis rouge , retenu par de les tringles de cuivre , couvrait les marches .","un NCs ADJCOL , PPAS par de le NC de NCmod , VCOND le NCo ."
48,Zola/1882_10_Pot-bouille._clean.txt,"Mais ce qui frappa surtout Octave , ce fut , en entrant , une chaleur de serre , une haleine tiède qu' une bouche lui soufflait à le visage .","mais ce qui frapper surtout NP , ce être , en PPRES , un NCo de NCmod , un NCs PRES que un NCCOR lui VIMP à le NCCOR ."
49,Zola/1882_10_Pot-bouille._clean.txt,Tiens !,tenir !
50,Zola/1882_10_Pot-bouille._clean.txt,"dit -il , l' escalier est chauffé ?","VDIC il , le NCs être PPAS ?"
51,Zola/1882_10_Pot-bouille._clean.txt,"Sans doute , répondit Campardon .","sans NCSENT , VDIC NP ."
52,Zola/1882_10_Pot-bouille._clean.txt,"Maintenant , tous les propriétaires qui se respectent , font cette dépense ... La maison est très bien , très bien ... Il tournait la tête , comme s' il en eût sondé les murs , de son œil d' architecte .","ADVT , tout le NCs qui se PRES , faire ce NCo ... le NCs être très bien , très bien ... il VIMP le NCCOR , comme si il en avoir PPAS le NCo , de DETPOSS NC de NCmod ."
53,Zola/1882_10_Pot-bouille._clean.txt,"Mon cher , vous allez voir , elle est tout à fait bien ... Et habitée rien que par de les gens comme il faut !","DETPOSS NC , vous aller VCOG , il être tout à NC bien ... et PPAS rien que par de le NCmod comme il PRES !"
54,Zola/1882_10_Pot-bouille._clean.txt,"Alors , montant avec lenteur , il nomma les locataires .","alors , PPRES avec NC , il VPS le NCo ."
55,Zola/1882_10_Pot-bouille._clean.txt,"À chaque étage , il y avait deux appartements , l' un sur la rue , l' autre sur la cour , et dont les portes d' acajou verni se faisaient face .","à chaque NC , il y avoir NUM NCo , le un sur le NCmod , le autre sur le NCmod , et dont le NCs de NCmod ADJ se faire ADV ."
56,Zola/1882_10_Pot-bouille._clean.txt,"D' abord , il dit un mot de M. Auguste Vabre : c' était le fils aîné de le propriétaire ; il avait pris , à le printemps , le magasin de soierie de le rez-de-chaussée , et occupait également tout l' entresol .","de NC , il VDIC un NCo de monsieur NP NP : ce être le NC ADJ de le NCmod ; il avoir PPAS , à le NC , le NCo de NCmod de le NCmod , et VIMP également tout le NCo ."
