id,titre,phrase,motifs_phrase
1,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Denise était venue à pied de la gare Saint-Lazare , où un train de Cherbourg l' avait débarquée avec ses deux frères , après une nuit passée sur la dure banquette d' un wagon de troisième classe .","NP être venir à NCCOR de le NCmod NP , où un NCs de NP le avoir PPAS avec DETPOSS NUM NC , PHASE un NCT PPAS sur le ADJ NC de un NCmod de ADJ NCmod ."
2,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Elle tenait par la main Pépé , et Jean la suivait , tous les trois brisés de le voyage , effarés et perdus , à le milieu de le vaste Paris , le nez levé sur les maisons , demandant à chaque carrefour la rue de la Michodière , dans laquelle leur oncle Baudu demeurait .","il VIMP par le NCCOR NP , et NP le VIMP , tout le NUM NC de le NCmod , VSENT et PPAS , à le milieu de le ADJ NP , le NCCOR PPAS sur le NC , PPRES à chaque NC le NCo de le NP , dans lequel lui NCs NP VIMP ."
3,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Mais , comme elle débouchait enfin sur la place Gaillon , la jeune fille s' arrêta net de surprise .","mais , comme il VIMP PHASE sur le NC NP , le ADJ NCs se VPS ADV de NCSENT ."
4,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Oh !,INTJ !
5,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"dit -elle , regarde un peu , Jean !","VDIC il , VCOG un peu , NP !"
6,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Et ils restèrent plantés , serrés les uns contre les autres , tout en noir , achevant les vieux vêtements de le deuil de leur père .","et il VPS PPAS , PPAS le un contre le autre , tout en NC , VASP le ADJ NCo de le NCmod de lui NCmod ."
7,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Elle , chétive pour ses vingt ans , l' air pauvre , portait un léger paquet ; tandis que , de l' autre côté , le petit frère , âgé de cinq ans , se pendait à son bras , et que , derrière son épaule , le grand frère , dont les seize ans superbes florissaient , était debout , les mains ballantes .","il , NC pour DETPOSS NUM NCT , le NCMAN ADJ , VIMP un ADJ NCo ; PHASE que , de le autre NCmod , le ADJ NCs , ADJ de NUM NCT , se VIMP à DETPOSS NCCOR , et que , ADVLIEU DETPOSS NCCOR , le ADJ NC , dont le NUM NCT ADJ VIMP , être ADV , le NCCOR ADJ ."
8,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Ah bien !,INTJ bien !
9,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"reprit -elle après un silence , en voilà un magasin !","VPS il PHASE un NC , en voilà un NC !"
10,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"C' était , à l' encoignure de la rue de la Michodière et de la rue Neuve-Saint-Augustin , un magasin de nouveautés dont les étalages éclataient en notes vives , dans la douce et pâle journée d' octobre .","ce être , à le NC de le NCmod de le NP et de le NC NP , un NC de NCmod dont le NCs VIMP en NC ADJ , dans le NC et ADJ NCT de MOIS ."
11,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Huit heures sonnaient à Saint-Roch , il n' y avait sur les trottoirs que le Paris matinal , les employés filant à leurs bureaux et les ménagères courant les boutiques .","NUM NCT VIMP à NP , il ne y avoir sur le NC que le NP NC , le NCs PPRES à DETPOSS NC et le NC PPRES le NCo ."
12,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Devant la porte , deux commis , montés sur une échelle double , finissaient de pendre de les lainages , tandis que , dans une vitrine de la rue Neuve-Saint-Augustin , un autre commis , agenouillé et le dos tourné , plissait délicatement une pièce de soie bleue .","ADVLIEU le NC , NUM NC , PPAS sur un NC ADJ , VIMP de INF de le NC , PHASE que , dans un NC de le NCmod NP , un autre NC , PPAS et le NCCOR PPAS , VIMP ADVMAN un NCo de NCmod ADJCOL ."
13,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Le magasin , vide encore de clientes , et où le personnel arrivait à peine , bourdonnait à l' intérieur comme une ruche qui s' éveille .","le NCs , PRES encore de NC , et où le NCs VIMP à NCSENT , VIMP à le NC comme un NC qui se PRES ."
14,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Fichtre !,NP !
15,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,dit Jean .,VDIC NP .
16,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Ça enfonce Valognes ... Le tien n' était pas si beau .,ça PRES NP ... le tien ne être pas si ADJ .
17,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Denise hocha la tête .,NP VPS le NCCOR .
18,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Elle avait passé deux ans là-bas , chez Cornaille , le premier marchand de nouveautés de la ville ; et ce magasin , rencontré brusquement , cette maison énorme pour elle , lui gonflait le cœur , la retenait , émue , intéressée , oublieuse de le reste .","il avoir PPAS NUM NCT ADVLIEU , chez NP , le ADJ NC de NCmod de le NCmod ; et ce NCs , PPAS ADV , ce NCo ADJ pour il , lui VIMP le NCo , le VIMP , VSENT , VSENT , NC de le NCmod ."
19,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Dans le pan coupé donnant sur la place Gaillon , la haute porte , toute en glace , montait jusqu' à l' entresol , à le milieu d' une complication d' ornements , chargés de dorures .","dans le NC PPAS PPRES sur le NC NP , le ADJ NCs , tout en NC , VIMP jusque à le NC , à le milieu de un NCmod de NCmod , PPAS de NC ."
20,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Deux figures allégoriques , deux femmes riantes , la gorge nue et renversée , déroulaient l' enseigne : À le Bonheur de les dames .","NUM NCCOR ADJ , NUM NCs ADJ , le NCCOR ADJ et PPAS , VIMP le NCo : à le NCSENT de le NCmod ."
21,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Puis , les vitrines s' enfonçaient , longeaient la rue de la Michodière et la rue Neuve-Saint-Augustin , où elles occupaient , outre la maison d' angle , quatre autres maisons , deux à gauche , deux à droite , achetées et aménagées récemment .","puis , le NCs se VIMP , VIMP le NCo de le NP et le NC NP , où il VIMP , ADV le NCo de NCmod , NUM autre NC , NUM à NCmod , NUM à NCmod , PPAS et PPAS ADV ."
22,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"C' était un développement qui lui semblait sans fin , dans la fuite de la perspective , avec les étalages de le rez-de-chaussée et les glaces sans tain de l' entresol , derrière lesquelles on voyait toute la vie intérieure de les comptoirs .","ce être un NC qui lui sembler sans NC , dans le NC de le NCmod , avec le NC de le NCmod et le NC sans NCmod de le NCmod , ADVLIEU lequel on VCOG tout le NCo ADJ de le NCmod ."
23,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"En haut , une demoiselle , habillée de soie , taillait un crayon , pendant que , près d' elle , deux autres dépliaient de les manteaux de velours .","en NC , un NCs , PPAS de NC , VIMP un NCo , PHASE que , ADVLIEU de il , NUM autre VIMP de le NC de NCmod ."
24,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"À le Bonheur de les dames , lut Jean avec son rire tendre de bel adolescent , qui avait eu déjà une histoire de femme à Valognes .","à le NCSENT de le NCmod , PRES NP avec DETPOSS NCMAN ADJ de ADJ NCmod , qui avoir avoir déjà un NCo de NCmod à NP ."
25,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Hein ?,NP ?
26,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"c' est gentil , c' est ça qui doit faire courir le monde !","ce être ADJ , ce être ça qui devoir faire INF le NCo !"
27,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Mais Denise demeurait absorbée , devant l' étalage de la porte centrale .","mais NP VIMP PPAS , ADVLIEU le NC de le NCmod ADJ ."
28,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Il y avait là , à le plein air de la rue , sur le trottoir même , un éboulement de marchandises à bon marché , la tentation de la porte , les occasions qui arrêtaient les clientes à le passage .","il y avoir ADVLIEU , à le ADJ NCMAN de le NCmod , sur le NC même , un NCo de NCmod à ADJ NCmod , le NCSENT de le NCmod , le NC qui VIMP le NCo à le NCmod ."
29,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Cela partait de haut , de les pièces de lainage et de draperie , mérinos , cheviottes , molletons , tombaient de l' entresol , flottantes comme de les drapeaux , et dont les tons neutres , gris ardoise , bleu marine , vert olive , étaient coupés par les pancartes blanches de les étiquettes .","cela VIMP de NC , de le NC de NCmod et de NC , NC , NC , NC , VIMP de le NC , ADJ comme de le NC , et dont le NCspas ADJ , ADJCOL NC , ADJCOL NC , ADJCOL NC , être PPAS par le NC ADJCOL de le NCmod ."
30,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"À côté , encadrant le seuil , pendaient également de les lanières de fourrure , de les bandes étroites pour garnitures de robe , la cendre fine de les dos de petit-gris , la neige pure de les ventres de cygne , les poils de lapin de la fausse hermine et de la fausse martre .","à NC , PPRES le NCo , VIMP également de le NC de NCmod , de le NC ADJ pour NCmod de NCmod , le NC ADJ de le NCmod de NCmod , le NC ADJ de le NCCOR de NCmod , le NCCOR de NCmod de le ADJ NCmod et de le ADJ NC ."
31,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Puis , en bas , dans de les casiers , sur de les tables , à le milieu d' un empilement de coupons , débordaient de les articles de bonneterie vendus pour rien , gants et fichus de laine tricotés , capelines , gilets , tout un étalage d' hiver , à les couleurs bariolées , chinées , rayées , avec de les taches saignantes de rouge .","puis , en NC , dans de le NC , sur un le NC , à le milieu de un NCmod de NCmod , VIMP de le NC de NCmod PPAS pour rien , ADJ et PPAS de NUM NCmod , NC , NC , tout un NC de NCmod , à le NC PPAS , NC , PPAS , avec de le NC ADJ de ADJCOL ."
32,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Denise vit une tartanelle à quarante-cinq centimes , de les bandes de vison d' Amérique à un franc , et de les mitaines à cinq sous .","NP PRES un NCo à NUM NC , de le NC de NCmod de NP à un NCmod , et de le NC à NUM NCmod ."
33,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"C' était un déballage géant de foire , le magasin semblait crever et jeter son trop-plein à la rue .","ce être un NC ADJ de NCmod , le NCs sembler INF et INF DETPOSS NCo à le NC ."
34,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,L' oncle Baudu était oublié .,le NCs NP être VCOG .
35,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Pépé lui-même , qui ne lâchait pas la main de sa sœur , ouvrait de les yeux énormes .","PPAS soi-même , qui ne VIMP pas le NCCOR de DETPOSS NCmod , VCOND de le NCCOR ADJ ."
36,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Une voiture les força tous trois à quitter le milieu de la place ; et , machinalement , ils prirent la rue Neuve-Saint-Augustin , ils suivirent les vitrines , s' arrêtant de nouveau devant chaque étalage .","un NCs le VPS tout NUM à INF le milieu de le NCmod ; et , ADV , il VPS le NCo NP , il VPS le NCo , se PPRES de ADJ ADVLIEU chaque NC ."
37,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"D' abord , ils furent séduits par un arrangement compliqué : en haut , de les parapluies , posés obliquement , semblaient mettre un toit de cabane rustique ; dessous , de les bas de soie , pendus à de les tringles , montraient de les profils arrondis de mollets , les uns semés de bouquets de roses , les autres de toutes nuances , les noirs à jour , les rouges à coins brodés , les chairs dont le grain satiné avait la douceur d' une peau de blonde ; enfin , sur le drap de l' étagère , de les gants étaient jetés symétriquement , avec leurs doigts allongés , leur paume étroite de vierge byzantine , cette grâce raidie et comme adolescente de les chiffons de femme qui n' ont pas été portés .","de NC , il être VSENT par un NC PPAS : en NC , de le NC , PPAS ADV , VIMP mettre un NCo de NCmod ADJ ; ADV , de le NC de NCmod , PPAS à de le NC , VIMP de le ADJ NC de NCCOR , le un PPAS de NC de ADJCOL , le autre de tout NCmod , le NC à NCT , le ADJCOL à NCmod ADJ , le NCCOR dont le NCs ADJ avoir le NCo de un NCCOR de NCmod ; PHASE , sur le NC de le NCmod , de le NC être PPAS ADV , avec DETPOSS NCCOR PPAS , lui NC ADJ de ADJ NCmod , ce NC ADJ et comme NC de le NCmod de NCmod qui ne avoir pas être PPAS ."
38,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,Mais la dernière vitrine surtout les retint .,mais le ADJ NCs surtout le VPS .
39,Zola/1883_11_Au_Bonheur_des_dames._clean.txt,"Une exposition de soies , de satins et de velours , y épanouissait , dans une gamme souple et vibrante , les tons les plus délicats de les fleurs : à le sommet , les velours , d' un noir profond , d' un blanc de lait caillé ; plus bas , les satins , les roses , les bleus , à les cassures vives , se décolorant en pâleurs d' une tendresse infinie ; plus bas encore , les soies , toute l' écharpe de l' arc-en-ciel , de les pièces retroussées en coques , plissées comme autour d' une taille qui se cambre , devenues vivantes sous les doigts savants de les commis; et , entre chaque motif , entre chaque phrase colorée de l' étalage , courait un accompagnement discret , un léger cordon bouillonné de foulard crème .","un NCs de NCmod , de NC et de NC , y VSENT , dans un NC ADJ et ADJ , le NCo le plus ADJ de le NCmod : à le NCmod , le NC , de un NCmod ADJ , de un ADJCOL de NCmod PPAS ; plus ADJ , le NC , le ADJCOL , le ADJCOL , à le NC ADJ , se PPRES en NC de un NCSENT ADJ ; plus ADJ encore , le NC , tout le NC de le NCmod , de le NC PPAS en NC , PPAS comme ADV de un NC qui se PRES , devenir ADJ sous le NCCOR ADJ de le commis; et , entre chaque NC , entre chaque NCmod PPAS de le NC , VCOND un NCo ADJ , un ADJ NC VSENT de NC ADJ ."
