id,titre,phrase,motifs_phrase
1,Daudet/robert_helmont copie_clean.txt,"Journal d' un solitaire À l' Ermitage , ce 3 septembre Il y a eu hier six semaines que je me suis cassé la jambe .","NC de un NCmod à le NP , ce NUM MOIS il y avoir avoir ADV NUM NCo que je me être PPAS le NCCOR ."
2,Daudet/robert_helmont copie_clean.txt,C' était juste le jour de la déclaration de la guerre .,ce être ADV le NCT de le NCmod de le NCmod .
3,Daudet/robert_helmont copie_clean.txt,"Pendant -que M. de Gramont soulevait à le Sénat tant de bruit -et d' enthousiasme , moi , en revenant de pêcher à l' épervier , je trébuchais à le bord de la Seine contre un poteau caché par l' herbe , et j' étais rapporté à mon ermitage de la forêt de Sénart dans un chariot de bûcheron ... Ce matin , je suis sorti pour la première fois après cinquante jours de fièvre , de souffrances encore accrues par les nouvelles de la guerre .","PHASE que monsieur de NP VIMP à le NC tant de NC ADJ de NCmod , soi , en PPRES de INF à le NC , je VIMP à le NC de le NP contre un NC PPAS par le NC , et je être PPAS à DETPOSS NC de le NCmod de NP dans un NCmod de NCmod ... ce NCT , je être PPAS pour le ADJ fois PHASE NUM NCT de VSENT , de NCSENT encore PPAS par le NC de le NCmod ."
4,Daudet/robert_helmont copie_clean.txt,"J' ai eu de les cauchemars faits de les batailles lointaines ; et les sinistres dépêches de Forbach , de Reischoffen , restent pour moi confondues avec mes douleurs de blessé , la chaleur de le bandage en plâtre , cette immobilité dans l' agitation qui est le plus cruel de les supplices .","je avoir avoir de le NC faire de le NC ADJ ; et le NCs ADJ de NP , de NP , PRES pour soi PPAS avec DETPOSS NCSENT de NCmod , le NC de le NCmod en NCmod , ce NC dans le NCmod qui être le plus ADJ de le NCSENT ."
5,Daudet/robert_helmont copie_clean.txt,"Enfin , c' est fini !","PHASE , ce être ADJ !"
6,Daudet/robert_helmont copie_clean.txt,"Après n' avoir si longtemps regardé que la cime de les arbres et ces grandes nappes de ciel bleu où ne passent que de les ailes , je me suis senti tout heureux de poser mes pieds à terre et de descendre mon escalier en hésitant .","PHASE ne avoir ADV longtemps VCOG que le NCs de le NCmod et ce ADJ NC de NCmod ADJCOL où ne PRES que de le NC , je me être sentir tout ADJ de INF DETPOSS NCCOR à NCmod et de INF DETPOSS NCo en NC ."
7,Daudet/robert_helmont copie_clean.txt,Mais quelle faiblesse !,mais quel NC !
8,Daudet/robert_helmont copie_clean.txt,La tête me tournait .,le NCCOR me VIMP .
9,Daudet/robert_helmont copie_clean.txt,"Ma jambe , tant de jours immobile , avait oublié l' équilibre , le mouvement .","DETPOSS NCCOR , tant de NCmod ADJ , avoir VCOG le NCSENT , le NC ."
10,Daudet/robert_helmont copie_clean.txt,"Il me semblait qu' elle ne faisait plus partie de moi-même , que je n' étais plus maître de la diriger .","il me sembler que il ne faire plus NCo de soi-même , que je ne être plus NC de le INF ."
11,Daudet/robert_helmont copie_clean.txt,"Pourtant , à petits pas avec cette méfiance extrême qui double l' infirmité , j' ai pu aller jusqu' à la basse-cour et pousser sa petite porte à claire-voie , enfouie sous les hautes herbes .","pourtant , à ADJ pas avec ce NCmod ADJ qui PRES le NCo , je avoir pouvoir aller jusque à le NC et INF DETPOSS ADJ NCo à NCmod , PPAS sous le ADJ NC ."
