id,titre,phrase,motifs_phrase
1,Zola/1877_7_L_assommoir._clean.txt,Gervaise avait attendu Lantier jusqu' à deux heures de le matin .,NP avoir PPAS NP jusque à NUM NCT de le NCT .
2,Zola/1877_7_L_assommoir._clean.txt,"Puis , toute frissonnante d' être restée en camisole à l' air vif de la fenêtre , elle s' était assoupie , jetée en travers de le lit , fiévreuse , les joues trempées de larmes .","puis , tout NC de être PPAS en NC à le NCMAN ADJ de le NCmod , il se être PPAS , PPAS en travers de le NC , NC , le NCCOR PPAS de NCmod ."
3,Zola/1877_7_L_assommoir._clean.txt,"Depuis huit jours , à le sortir de le Veau-à-Deux-Têtes , où ils mangeaient , il l' envoyait se coucher avec les enfants et ne reparaissait que tard dans la nuit , en racontant qu' il cherchait de le travail .","depuis NUM NCT , à le NC de le NP , où il VIMP , il le VIMP se INF avec le NC et ne VIMP que tard dans le NCT , en PPRES que il VIMP de le NC ."
4,Zola/1877_7_L_assommoir._clean.txt,"Ce soir -là , pendant qu' elle guettait son retour , elle croyait l' avoir vu entrer à le bal de le Grand-Balcon , dont les dix fenêtres flambantes éclairaient d' une nappe d' incendie la coulée noire de les boulevards extérieurs ; et , derrière lui , elle avait aperçu la petite Adèle , une brunisseuse qui dînait à leur restaurant , marchant à cinq ou six pas , les mains ballantes , comme si elle venait de lui quitter le bras pour ne pas passer ensemble sous la clarté crue de les globes de la porte .","ce NCT ADVLIEU , PHASE que il VIMP DETPOSS NCo , il VCOG le avoir VCOG INF à le NC de le NP , dont le NUM NC ADJ VCOND de un NC de NCmod le NCo ADJ de le NCmod ADJ ; et , ADVLIEU lui , il avoir PPAS le ADJ NP , un NC qui VIMP à lui NC , PPRES à NUM ou NUM pas , le NCCOR ADJ , comme si il venir de lui INF le NCCOR pour ne pas INF ensemble sous le NC ADJ de le NCmod de le NCmod ."
5,Zola/1877_7_L_assommoir._clean.txt,"Quand Gervaise s' éveilla , vers cinq heures , raidie , les reins brisés , elle éclata en sanglots .","quand NP se VPS , vers NUM NCT , NC , le NCCOR PPAS , il VPS en NC ."
6,Zola/1877_7_L_assommoir._clean.txt,Lantier n' était pas rentré .,NP ne être pas PPAS .
7,Zola/1877_7_L_assommoir._clean.txt,"Pour la première fois , il découchait .","pour le ADJ fois , il VIMP ."
8,Zola/1877_7_L_assommoir._clean.txt,"Elle resta assise à le bord de le lit , sous le lambeau de perse déteinte qui tombait de la flèche attachée à le plafond par une ficelle .","il VPS PPAS à le NC de le NCmod , sous le NC de NCmod ADJ qui VIMP de le NC PPAS à le NC par un NC ."
9,Zola/1877_7_L_assommoir._clean.txt,"Et , lentement , de ses yeux voilés de larmes , elle faisait le tour de la misérable chambre garnie , meublée d' une commode de noyer dont un tiroir manquait , de trois chaises de paille et d' une petite table graisseuse , sur laquelle traînait un pot à eau ébréché .","et , ADV , de DETPOSS NCCOR PPAS de NC , il faire le NCo de le ADJ NCmod PPAS , PPAS de un NC de NCmod dont un NCs VIMP , de NUM NC de NCmod et de un ADJ NC ADJ , sur lequel VIMP un NCs à NCmod PPAS ."
10,Zola/1877_7_L_assommoir._clean.txt,"On avait ajouté , pour les enfants , un lit de fer qui barrait la commode et emplissait les deux tiers de la pièce .","on avoir PPAS , pour le NC , un NCo de NCmod qui VIMP le NCo et VIMP le NUM NCo de le NCmod ."
