id,titre,phrase,motifs_phrase
1,Daudet/1890_Daudet_port_tarascon_N.txt,"« Franquebalme , mon bon … Je ne suis pas content de la France !",""" NP , DETPOSS NC … je ne être pas ADJ de le NP !"
2,Daudet/1890_Daudet_port_tarascon_N.txt,… Nos gouvernants nous font de tout .,… DETPOSS NCs nous faire de tout .
3,Daudet/1890_Daudet_port_tarascon_N.txt,"» Proférées un soir par Tartarin devant la cheminée de le cercle , avec le geste et l' accent qu' on imagine , ces paroles mémorables résument bien ce qui se pensait et disait à Tarascon-sur-Rhône deux ou trois mois avant l' émigration .",""" PPAS un NCT par NP ADVLIEU le NC de le NCmod , avec le NC et le NC que on VCOG , ce NCo ADJ ADV bien ce qui se VCOG et VDIC à NP NUM ou NUM NCT PHASE le NCmod ."
4,Daudet/1890_Daudet_port_tarascon_N.txt,"Le Tarasconnais en général ne s' occupe pas de politique : indolent de nature , indifférent à tout ce qui ne l' atteint pas localement , il tient pour l' état de choses , comme il dit .","le NP en NC ne se PRES pas de NC : PRES de NC , VSENT à tout ce qui ne le PRES pas ADV , il PRES pour le NC de chose , comme il VDIC ."
5,Daudet/1890_Daudet_port_tarascon_N.txt,"Pas moins , depuis quelque temps , on lui reprochait un tas de choses , à l' état de choses !","pas moins , depuis quelque temps , on lui VIMP un NCo de chose , à le NC de chose !"
6,Daudet/1890_Daudet_port_tarascon_N.txt,« Nos gouvernants nous font de tout !,""" DETPOSS NCs nous faire de tout !"
7,Daudet/1890_Daudet_port_tarascon_N.txt,» disait Tartarin .,""" VDIC NP ."
8,Daudet/1890_Daudet_port_tarascon_N.txt,Dans ce « de tout » il y avait d' abord l' interdiction de les courses de taureaux .,"dans ce "" de tout "" il y avoir de NC le NCo de le NCmod de NCmod ."
9,Daudet/1890_Daudet_port_tarascon_N.txt,"Vous connaissez sans doute l' histoire de ce Tarasconnais très mauvais chrétien et garnement de la pire espèce , lequel après sa mort s' étant introduit à le Paradis par surprise , pendant que saint Pierre avait le dos tourné , n' en voulait plus sortir , malgré les supplications de le divin porte-clefs .","vous PRES sans NCSENT le NCo de ce NCmod très ADJ NC et NC de le ADJ espèce , lequel PHASE DETPOSS NC se être PPAS à le NP par NCSENT , PHASE que NCs NP avoir le NCCOR ADJ , ne en vouloir plus INF , malgré le NC de le ADJ NCmod ."
10,Daudet/1890_Daudet_port_tarascon_N.txt,"Alors , que fit le grand saint Pierre ?","alors , que faire le ADJ NCs NP ?"
