id,titre,phrase,motifs_phrase
1,Zola/1865_La_confession_de_Claude._clean.txt,"Voici l' hiver : l' air , à le matin , devient plus frais , et Paris met son manteau de brouillard .","voici le NCo : le NCMAN , à le NCT , devenir plus ADJ , et NP mettre DETPOSS NCo de NCmod ."
2,Zola/1865_La_confession_de_Claude._clean.txt,Voici la saison de les soirées intimes .,voici le NCo de le NCT ADJ .
3,Zola/1865_La_confession_de_Claude._clean.txt,"Les lèvres frileuses cherchent les baisers ; les amants , chassés de les campagnes , se réfugient dans les mansardes , et , se pressant devant le foyer , jouissent , à le bruit de la pluie , de leur printemps éternel .","le NCCOR ADJ PRES le NCo ; le NCs , PPAS de le NC , se PRES dans le NC , et , se PPRES ADVLIEU le NC , PRES , à le NC de le NCmod , de lui NC ADJ ."
4,Zola/1865_La_confession_de_Claude._clean.txt,"Moi , frères , je vis tristement : j' ai l' hiver sans printemps , sans amoureuse .","soi , NC , je VPS ADV : je avoir le NCo sans NC , sans NC ."
5,Zola/1865_La_confession_de_Claude._clean.txt,"Mon grenier , tout à le haut d' un escalier humide , est grand et irrégulier ; les angles se perdent dans l' ombre , les murs , nus et obliques , font de la chambre une sorte de corridor qui s' allonge en forme de bière .","DETPOSS NCs , tout à le NC de un NCmod ADJ , être ADJ et ADJ ; le NCs se PRES dans le NC , le NC , ADJ et ADJ , faire de le NC un sorte de NCmod qui se PRES en NC de NCmod ."
6,Zola/1865_La_confession_de_Claude._clean.txt,"De pauvres meubles , minces planches mal ajustées et peintes d' une horrible couleur rouge , craquent funèbrement dès qu' on les touche .","un ADJ NCs , mince NC mal ADJ et ADJ de un ADJ NCmod ADJCOL , PRES ADV dès que on le PRES ."
7,Zola/1865_La_confession_de_Claude._clean.txt,"De les lambeaux de damas déteint pendent au-dessus de le lit , et la fenêtre , privée de rideaux , s' ouvre sur une grande muraille noire , éternellement debout et sévère .","de le NCs de NCmod ADJ PRES ADVLIEU de le NC , et le NC , PPAS de NC , se PRES sur un ADJ NC ADJ , ADV ADV et ADJ ."
8,Zola/1865_La_confession_de_Claude._clean.txt,"Le soir , quand le vent ébranle la porte et que les murs vacillent avec la flamme de ma lampe , je sens peser sur moi un ennui morne et glacé .","le NCT , quand le NCs PRES le NCo et que le NCs PRES avec le NC de DETPOSS NCmod , je sentir INF sur soi un NCSENT ADJ et ADJ ."
9,Zola/1865_La_confession_de_Claude._clean.txt,"Je m' arrête à le foyer mourant , à les laides rosaces brunes de le papier peint , à les vases de faïence où se sont fanées les dernières fleurs , et je crois entendre chaque chose se plaindre de solitude et de pauvreté .","je se PRES à le NC ADJ , à le ADJ NC ADJCOL de le NCmod ADJ , à le NC de NCmod où se être PPAS le ADJ NCs , et je VCOG VCOG chaque chose se INF de NC et de NC ."
10,Zola/1865_La_confession_de_Claude._clean.txt,Cette plainte est navrante .,ce NCs être ADJ .
11,Zola/1865_La_confession_de_Claude._clean.txt,"La mansarde entière me réclame les rires , les richesses de ses sœurs .","le NCs ADJ me PRES le NCMAN , le NC de DETPOSS NCmod ."
12,Zola/1865_La_confession_de_Claude._clean.txt,"Le foyer demande de grands feux joyeux ; les vases , oubliant la neige , veulent de les roses fraîches ; la couche soupire , me parlant de cheveux blonds et de blanches épaules .","le NCs PRES un ADJ NCo ADJ ; le NC , VCOG le NCo , NC de le ADJCOL ADJ ; le NC ADJ , me PPRES de NCCOR ADJCOL et de ADJCOL NCCOR ."
13,Zola/1865_La_confession_de_Claude._clean.txt,"J' écoute , je ne puis que me désoler .","je VCOG , je ne puis que me VSENT ."
14,Zola/1865_La_confession_de_Claude._clean.txt,"Je n' ai pas de lustre à suspendre à le plafond , pas de tapis pour cacher les dalles inégales et brisées .","je ne avoir pas un INF à INF à le NC , pas un NCo pour INF le NCo ADJ et ADJ ."
15,Zola/1865_La_confession_de_Claude._clean.txt,"Et , lorsque ma chambre ne veut pour sourire que de belle toile blanche , de les meubles simples et luisants , je me désole encore davantage de ne pouvoir la contenter .","et , lorsque DETPOSS NCs ne vouloir pour INF que de ADJ NC ADJCOL , de le NC ADJ et ADJ , je me PRES encore davantage de ne pouvoir le VSENT ."
16,Zola/1865_La_confession_de_Claude._clean.txt,"Alors elle me paraît plus déserte et plus misérable : le vent y pénètre plus froid , l' ombre y flotte plus épaisse ; la poussière s' amasse sur les planches , la tapisserie se déchire montrant le plâtre .","alors il me paraître plus ADJ et plus ADJ : le NCs y PRES plus ADJ , le NCs y PRES plus ADJ ; le NCs se PRES sur le NC , le NCs se PRES montrer le NC ."
17,Zola/1865_La_confession_de_Claude._clean.txt,"Tout se tait : j' entends , dans le silence , les sanglots de mon cœur .","tout se VIMP : je VCOG , dans le NC , le NCo de DETPOSS NCmod ."
18,Zola/1865_La_confession_de_Claude._clean.txt,"Frères , vous souvenez -vous de les jours où la vie était en songe pour nous ?","NP , vous PRES vous de le NCT où le NCs être en NC pour nous ?"
