id,titre,phrase,motifs_phrase
1,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,"ANDRÉ colophon PARIS COLLECTION GEORGES BARBA 7 , RUE CHRISTINE , 7 1869 CHAPITRE I La neige tombait par gros flocons ; elle cou- vrait les routes , elle rendait encore plus diffici- les les sentiers pratiqués dans les montagnes et les chemins , souvent bordés de précipices , qui entourent la petite ville de l' Hôpital , située près de le Mont-Blanc .","André NC NP NP NP NP NUM , NP NP , NUM NP NUM le NCs VIMP par ADJ NC ; il ADV VIMP le NCo , il VIMP encore plus ADV le le NCo PPAS dans le NC et le NC , ADVTEMPS ADJ de NCmod , qui PRES le ADJ NCo de le NP , PPAS ADVLIEU de le NP ."
2,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,Notre chaumière s' élevait près d' une route que le mauvais temps rendait déserte depuis quelques jours .,DETPOSS NCs se VIMP ADVLIEU de un NC que le ADJ temps VIMP ADJ depuis quelque NCT .
3,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,Déjà plus d' un pied de neige - couvrait la terre : et cependant ni moi ni mes frères ne songions à rentrer pour nous mettre à .,déjà plus de un NCCOR de NCmod - VIMP le NCo : et cependant ni soi ni DETPOSS NCs ne NC à INF pour nous mettre à .
4,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,l' abri .,le NC .
5,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,"J' étais couché près d' un bloc de rocher ; et là , je me trouvais aussi bien que sur un épais gazon : mes petites mains formaient de les boules avec de - la neige , et les lançaient à mes frères , qui , de leur côté , m' assaillaient également de boules , glacées .","je être PPAS ADVLIEU de un NC de NCmod ; et ADVLIEU , je me VIMP aussi bien que sur un ADJ NC : DETPOSS ADJ NCCOR VIMP de le NC avec de - le NCmod , et le VIMP à DETPOSS NC , qui , de lui NC , lui VIMP également de NC , VSENT ."
6,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,"Pierre , accroupi dans , un enfoncement que formait la route , ne se montrait que rare- ment , tâchant de viser adroitement , et se cachant aussitôt ; Jacques courait de côté et d' à le - Il tre , sans se fixer à aucune place , se baissant Ce pour ramasser de quoi faire de les boules , et s' es- ra quivant lestement après nous les avoir lancées .","NP , PPAS dans , un NC que VIMP le NCs , ne se VIMP que ADJ NC , PPRES de INF ADVMAN , et se PPRES aussitôt ; NP VIMP de NC et de à le - il INF , sans se INF à aucun NC , se PPRES ce pour INF de quoi faire de le NC , et se ADV VF ADV ADVMAN PHASE nous le avoir PPAS ."
7,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,à le Quel plaisir nous éprouvions lorsque nous par - venions à nous attraper !,à le quel NCSENT nous VSENT lorsque nous par - NCmod à nous INF !
8,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,"... Quels cris de joie ge quand Jacques recevait , en fuyant , de la neige pè sur son dos; lorsque Pierre , à le moment où sa m petite tète blonde sortait de sa cachette , était atteint à la figure par la boule qui s' éparpillait ve sur son visage !","... quel NC de NCSENT ADJ quand NP VIMP , en PPRES , de le NC NP sur DETPOSS dos; lorsque NP , à le NCmod où DETPOSS NCs ADJ ADJ ADJCOL VIMP de DETPOSS NC , être PPAS à le NCCOR par le NC qui se VIMP ADJ sur DETPOSS NCCOR !"
9,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,Le vaincu mêlait ses ris à ceux de le vainqueur ; la victoire ne coûtait jamais .une ei larme .,le NCs VIMP DETPOSS NCo à celui de le NCmod ; le NCs ne VIMP ADVTEMPS NCo ei NCmod .
10,de Koch/1826_Kock-Paul-de_Andre-le-Savoyard.txt,Pouvions -nous sentir le froid ?,pouvoir le sentir le NCo ?
