id,titre,phrase,motifs_phrase
1,Zola/1868_Madeleine_Ferat._clean.txt,Guillaume et Madeleine descendirent de wagon à la station de Fontenay .,NP et NP VPS de NC à le NCmod de NP .
2,Zola/1868_Madeleine_Ferat._clean.txt,"C' était un lundi , le train se trouvait presque vide .","ce être un ADVT , le NCs se VIMP presque ADJ ."
3,Zola/1868_Madeleine_Ferat._clean.txt,"Cinq ou six compagnons de voyage , de les habitants de le pays qui rentraient chez eux , se présentèrent à la barrière avec les jeunes gens , et s' en allèrent chacun de son côté , sans donner un coup d' œil à les horizons , en gens pressés de regagner leur logis .","NUM ou NUM NCs de NCmod , de le NCmod de le NCmod qui VIMP chez eux , se VPS à le NC avec le ADJ NC , et se en aller chacun de DETPOSS NCmod , sans INF un NCo de NCmod à le NC , en NC ADJ de INF lui NCo ."
4,Zola/1868_Madeleine_Ferat._clean.txt,"À le sortir de la gare , le jeune homme offrit son bras à la jeune femme , comme s' ils n' avaient pas quitté les rues de Paris .","à le NC de le NCmod , le ADJ NCs VPS DETPOSS NCCOR à le ADJ NCmod , comme si il ne avoir pas PPAS le NCo de NP ."
5,Zola/1868_Madeleine_Ferat._clean.txt,Ils tournèrent à gauche et remontèrent doucement la magnifique allée d' arbres qui va de Sceaux à Fontenay .,il VPS à NC et VSENT ADVMAN le ADJ NCo de NCmod qui aller de NC à NP .
6,Zola/1868_Madeleine_Ferat._clean.txt,"Tout en montant , ils regardaient , à le bas de le talus , le train qui se remettait en marche , avec de les hoquets sourds et profonds .","tout en PPRES , il VCOG , à le NC de le NCmod , le NC qui se VIMP en NC , avec un le NC ADJ et ADJ ."
7,Zola/1868_Madeleine_Ferat._clean.txt,"Quand le train se fut perdu à le milieu de les feuillages , Guillaume se tourna vers sa compagne et lui dit avec un sourire : Je vous ai prévenue , je ne connais pas de le tout le pays , et je ne sais trop où nous allons .","quand le NCs se être PPAS à le milieu de le NCmod , NP se VPS vers DETPOSS NC et lui VDIC avec un NCMAN : je vous avoir PPAS , je ne PRES pas de le tout le NCo , et je ne VCOG trop où nous aller ."
8,Zola/1868_Madeleine_Ferat._clean.txt,"Prenons ce sentier , répondit simplement Madeleine , il nous évitera de traverser les rues de Sceaux .","IMP ce NCo , VDIC ADVMAN NP , il nous VF de INF le NCo de NCmod ."
9,Zola/1868_Madeleine_Ferat._clean.txt,Ils prirent la ruelle de les Champs-Girard .,il VPS le NCo de le NP .
10,Zola/1868_Madeleine_Ferat._clean.txt,"Là , brusquement , le rideau d' arbres de la grande allée s' ouvre et laisse voir le coteau de Fontenay ; en bas , il y a de les jardins , de les carrés de prairie dans lesquels se dressent , droits et vigoureux , d' énormes bouquets de peupliers ; puis de les cultures montent , coupant les terrains en bandes brunes et vertes , et , tout en haut , à le bord de l' horizon , blanchissent , à travers les feuilles , les maisons basses de le village .","ADVLIEU , ADV , le NCs de NCmod de le ADJ NCmod se PRES et laisser VCOG le NCo de NP ; en NC , il y avoir de le NC , de le NCmod de NCmod dans lequel se PRES , NC et NC , un ADJ NC de NCmod ; puis de le NC PRES , PPRES le NCo en NCmod ADJCOL et ADJCOL , et , tout en NC , à le NC de le NCmod , PRES , à travers le NC , le NCo ADJ de le NCmod ."
11,Zola/1868_Madeleine_Ferat._clean.txt,"Vers la fin septembre , entre quatre et cinq heures , le soleil , en s' inclinant , rend adorable ce bout de nature .","vers le NC MOIS , entre NUM et NUM NCT , le NC , en se PPRES , PRES ADJ ce NCo de NCmod ."
12,Zola/1868_Madeleine_Ferat._clean.txt,"Les jeunes gens , seuls dans le sentier , s' arrêtèrent instinctivement devant ce coin de terre d' une verdure presque noire , à peine dorée par les premières rousseurs de l' automne .","le ADJ NCs , ADJ dans le NC , se VPS ADV ADVLIEU ce NC de NCmod de un NCmod presque ADJ , à NCSENT ADJ par le ADJ NC de le NCmod ."
13,Zola/1868_Madeleine_Ferat._clean.txt,Ils se donnaient toujours le bras .,il se VIMP ADVTEMPS le NCCOR .
14,Zola/1868_Madeleine_Ferat._clean.txt,Il y avait entre eux cette vague gêne d' une intimité récente qui a marché trop vite .,il y avoir entre eux ce NCo ADJ de un NCmod ADJ qui avoir PPAS trop ADV .
15,Zola/1868_Madeleine_Ferat._clean.txt,"Lorsqu' ils venaient à songer qu' ils se connaissaient depuis huit jours à le plus , ils éprouvaient une sorte de malaise à se trouver ainsi seul à seul , en pleins champs , comme de les amants heureux .","lorsque il venir à INF que il se VIMP depuis NUM NCT à le plus , il VIMP un sorte de NCmod à se INF ainsi ADJ à ADJ , en ADJ NC , comme de le NC ADJ ."
16,Zola/1868_Madeleine_Ferat._clean.txt,"Se sentant encore étrangers et forcés de se traiter en camarades , ils osaient à peine se regarder ; ils ne se parlaient qu' en hésitant , par crainte de se blesser sans le vouloir .","se sentir encore ADJ et PPAS de se INF en NC , il VIMP à NCSENT se VCOG ; il ne se VIMP que en PPRES , par NCSENT de se VSENT sans le vouloir ."
17,Zola/1868_Madeleine_Ferat._clean.txt,"Ils étaient l' inconnu l' un pour l' autre , l' inconnu qui effraie et qui attire .","il être le NC le un pour le autre , le NC qui PRES et qui VSENT ."
18,Zola/1868_Madeleine_Ferat._clean.txt,"Dans leurs allures lentes d' amoureux , dans leurs paroles vides et douces , même dans les sourires qu' ils échangeaient dès que leurs yeux se rencontraient , on lisait l' inquiétude et l' embarras de deux êtres qu' un hasard marie brutalement .","dans DETPOSS NC ADJ de NCmod , dans DETPOSS NC ADJ et ADJ , même dans le NCMAN que il VIMP dès que DETPOSS NCCOR se VIMP , on VIMP le NCSENT et le NCSENT de NUM être que un NCs PRES ADVMAN ."
19,Zola/1868_Madeleine_Ferat._clean.txt,"Jamais Guillaume n' aurait cru souffrir autant de sa première aventure , et il en attendait le dénouement avec une véritable angoisse .","ADVTEMPS NP ne avoir PPAS VSENT autant de DETPOSS ADJ NC , et il en VIMP le NCo avec un véritable NCSENT ."
