id,titre,phrase,motifs_phrase
1,de Koch/1828_Kock-Paul-de_Jean.txt,ŒUVRES DE PAUL DE KOCK. XI .,NP NP NP NP NP NUM .
2,de Koch/1828_Kock-Paul-de_Jean.txt,JEAN .,NP .
3,de Koch/1828_Kock-Paul-de_Jean.txt,"PARIS.— IMPRIMERIE D' ÉVERAT , rue de le Cadran , n º 16 .","NP NP NP NP , NC de le NP , n º NUM ."
4,de Koch/1828_Kock-Paul-de_Jean.txt,"l' image de """" L' accouchement """" est pas disponible L' ACCOUCHEMENT JEAN , par CH. PAUL DE KOCK .","le NCs de """" le NCmod """" être pas ADJ le NC NP , par NP NP NP NP ."
5,de Koch/1828_Kock-Paul-de_Jean.txt,Notre gloire est souvent l' ouvrage d' un sourire .,DETPOSS NCs être ADVTEMPS le NC de un NCMAN .
6,de Koch/1828_Kock-Paul-de_Jean.txt,Legouvé .,PPAS .
7,de Koch/1828_Kock-Paul-de_Jean.txt,Mérite de les femmes .,NC de le NCmod .
8,de Koch/1828_Kock-Paul-de_Jean.txt,PARIS .,NP .
9,de Koch/1828_Kock-Paul-de_Jean.txt,"GUSTAVE BARBA , LIBRAIRE , ÉDITEUR DE LES ŒUVRES DE PIGAULT-LEBRUN ET DE PAUL DE KOCK .","NP NP , NP , NP NP NP NP NP NP NP NP NP NP NP ."
10,de Koch/1828_Kock-Paul-de_Jean.txt,"RUE MAZARINE , N º 34 .","NP NP , N º NUM ."
11,de Koch/1828_Kock-Paul-de_Jean.txt,1835 .,NUM .
12,de Koch/1828_Kock-Paul-de_Jean.txt,JEAN .,NP .
13,de Koch/1828_Kock-Paul-de_Jean.txt,I. L' ACCOUCHEMENT .,NUM le NP .
14,de Koch/1828_Kock-Paul-de_Jean.txt,"Une heure après minuit venait de sonner à l' église de Saint-Paul; depuis long-temps le silence régnait dans les rues devenues désertes ; les habitans de le septième arrondissement dormaient , ou de le moins étaient couchés , ce qui n' est pas absolument synonyme .","un NCT PHASE NCmod venir de INF à le NC de NP depuis ADV le NCs VIMP dans le NC PPAS ADV ; le NCs de le ADJ NCmod VIMP , ou de le moins être PPAS , ce qui ne être pas ADVINT ADJ ."
15,de Koch/1828_Kock-Paul-de_Jean.txt,"Le quartier populeux de la rue Saint-Antoine n' était plus fréquenté que par quelques retardataires , ou par ces gens qui , par état , se mettent , en course la nuit .","le NCs ADJ de le NCmod NP ne être plus PPAS que par quelque NC , ou par ce NC qui , par NC , se mettre , en NC le NCT ."
