id,titre,phrase,motifs_phrase
1,Flaubert/SALAMMBÔ_clean.txt,"C' était à Mégara , faubourg de Carthage , dans les jardins d' Hamilcar .","ce être à NP , NC de NP , dans le NCmod de NP ."
2,Flaubert/SALAMMBÔ_clean.txt,"Les soldats qu' il avait commandés en Sicile se donnaient un grand festin pour célébrer le jour anniversaire de la bataille d' Éryx , et , comme le maître était absent et qu' ils se trouvaient nombreux , ils mangeaient et ils buvaient en pleine liberté .","le NCs que il avoir PPAS en NP se VIMP un ADJ NCo pour INF le NCT ADJ de le NCmod de NP , et , comme le NC être ADJ et que il se VIMP ADJ , il VIMP et il VIMP en ADJ NC ."
3,Flaubert/SALAMMBÔ_clean.txt,"Les capitaines , portant de les cothurnes de bronze , s' étaient placés dans le chemin de le milieu , sous un voile de pourpre à franges d' or , qui s' étendait depuis le mur de les écuries jusqu' à la première terrasse de le palais ; le commun de les soldats était répandu sous les arbres , où l' on distinguait quantité de bâtiments à toit plat , pressoirs , celliers , magasins , boulangeries et arsenaux , avec une cour pour les éléphants , de les fosses pour les bêtes féroces , une prison pour les esclaves .","le NCs , PPRES de le NC de NCmod , se être PPAS dans le NC de le milieu , sous un NC de ADJCOL à NCmod de NCmod , qui se VIMP depuis le NC de le NCmod jusque à le ADJ NC de le NCmod ; le commun de le NCmod être PPAS sous le NC , où l' on VCOG NCo de NCmod à NCmod ADJ , NC , NC , NC , NC et NC , avec un NC pour le NCmod , de le NC pour le NCmod ADJ , un NC pour le NCmod ."
4,Flaubert/SALAMMBÔ_clean.txt,"De les figuiers entouraient les cuisines ; un bois de sycomores se prolongeait jusqu' à de les masses de verdure , où de les grenades resplendissaient parmi les touffes blanches de les cotonniers ; de les vignes , chargées de grappes , montaient dans le branchage de les pins ; un champ de roses s' épanouissait sous de les platanes ; de place en place sur de les gazons , se balançaient de les lis ; un sable noir , mêlé à de la poudre de corail , parsemait les sentiers ; et , à le milieu , l' avenue de les cyprès faisait d' un bout à l' autre comme une double colonnade d' obélisques verts .","de le NC VIMP le NCo ; un NCs de NCmod se VIMP jusque à un le NC de NCmod , où de le NCs VIMP parmi le NC ADJCOL de le NCmod ; de le NC , PPAS de NC , VIMP dans le NC de le NCmod ; un NCs de ADJCOL se VIMP sous de le NC ; de NC en NCmod sur un le NCmod , se VIMP de le NC ; un NC ADJ , PPAS à de le NC de NCmod , VIMP le NCo ; et , à le milieu , le NC de le NCmod faire de un NC à le autre comme un ADJ NC de NCmod ADJCOL ."
5,Flaubert/SALAMMBÔ_clean.txt,"Le palais , bâti en marbre numidique tacheté de jaune , superposait tout à le fond , sur de larges assises , ses quatre étages en terrasses .","le NCs , PPAS en NC ADJ PPAS de ADJCOL , VIMP tout à le NC , sur un ADJ NC , DETPOSS NUM NCo en NCmod ."
6,Flaubert/SALAMMBÔ_clean.txt,"Avec son grand escalier droit en bois d' ébène , portant à les angles de chaque marche la proue d' une galère vaincue , ses portes rouges écartelées d' une croix noire , ses grillages d' airain qui le défendaient en bas de les scorpions , et ses treillis de baguettes dorées qui bouchaient en haut ses ouvertures , il semblait à les soldats , dans son opulence farouche , aussi solennel et impénétrable que le visage d' Hamilcar .","avec DETPOSS ADJ NC ADJ en NCmod de NCmod , PPRES à le NC de chaque NCmod le NCo de un NCmod PPAS , DETPOSS NC ADJCOL PPAS de un NC ADJ , DETPOSS NC de NCmod qui le VIMP en NC de le NC , et DETPOSS NC de NCmod ADJCOL qui VIMP en NC DETPOSS NCo , il sembler à le NC , dans DETPOSS NC ADJ , aussi ADJ et ADJ que le NCCOR de NP ."
7,Flaubert/SALAMMBÔ_clean.txt,"Le Conseil leur avait désigné sa maison pour y tenir ce festin ; les convalescents qui couchaient dans le temple d' Eschmoûn , se mettant en marche dès l' aurore , s' y étaient traînés sur leurs béquilles .","le NCs lui avoir PPAS DETPOSS NCo pour y INF ce NCo ; le NCs qui VIMP dans le NC de NP , se mettre en NC dès le NC , se y être PPAS sur DETPOSS NC ."
8,Flaubert/SALAMMBÔ_clean.txt,"À chaque minute , d' autres arrivaient .","à chaque NCT , un autre VIMP ."
9,Flaubert/SALAMMBÔ_clean.txt,"Par tous les sentiers , il en débouchait incessamment , comme de les torrents qui se précipitent dans un lac .","par tout le NC , il en VIMP ADVTEMPS , comme de le NC qui se PRES dans un NC ."
10,Flaubert/SALAMMBÔ_clean.txt,"On voyait entre les arbres courir les esclaves de les cuisines , effarés et à demi nus ; les gazelles sur les pelouses s' enfuyaient en bêlant ; le soleil se couchait , et le parfum de les citronniers rendait encore plus lourde l' exhalaison de cette foule en sueur .","on VCOG entre le NC INF le NCo de le NCmod , VSENT et à ADJ NC ; le NCs sur le NCmod se VIMP en NC ; le NCs se VIMP , et le NCs de le NCmod VIMP encore plus ADJ le NCo de ce NCmod en NC ."
11,Flaubert/SALAMMBÔ_clean.txt,"Il y avait là de les hommes de toutes les nations , de les Ligures , de les Lusitaniens , de les Baléares , de les Nègres et de les fugitifs de Rome .","il y avoir ADVLIEU de le NC de tout le NCmod , de le NP , de le NP , de le NP , de le NP et de le NC de NP ."
12,Flaubert/SALAMMBÔ_clean.txt,"On entendait , à côté de le lourd patois dorien , retentir les syllabes celtiques bruissantes comme de les chars de bataille , et les terminaisons ioniennes se heurtaient à les consonnes de le désert , âpres comme de les cris de chacal .","on VCOG , à NC de le ADJ NC ADJ , INF le NCo ADJ ADJ comme de le NC de NCmod , et le NC ionien se VIMP à le NC de le NCmod , âprès comme de le NC de NCmod ."
