id,titre,phrase,motifs_phrase
1,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"UNE CANAILLE 1 QUAND LE CHRONIQUEUR LAVERNIÉ eut expliqué que son ex-ami Laurianne le traitait couramment de canaille à cause d' un service , que lui , Lavernié , avait dernièrement rendu audit Laurianne , il y en eut qui bétonnèrent , d' autres qui hochèrent la tête , d' un air fixé et entendu de gens blasés sur les surprises de l' existence et que ses petites vilenies n' en sont plus à faire rêver .","NP NP NUM NP NP NP NP avoir VDIC que DETPOSS NCs NP le VIMP ADV de NC à NCmod de un NCmod , que lui , NP , avoir ADV PPAS NCo NP , il y en avoir qui VPS , un autre qui VPS le NCCOR , de un NCMAN PPAS et VCOG de NC PPAS sur le NCSENT de le NCmod et que DETPOSS ADJ NCspas ne en être plus à faire INF ."
2,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"– Il y a service et service , déclara cependant Christian Lestenet , il ne s' agit que de s' entendre .","– il y avoir NCo et NC , VF cependant NP NP , il ne se PRES que de se VCOG ."
3,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"– Oh , c' est bien simple , dit très sérieusement Lavernié , j' ai couché avec une maîtresse à lui .","– INTJ , ce être bien ADJ , VDIC très ADVMAN PPAS , je avoir PPAS avec un NC à lui ."
4,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"Lestenet éclata de rire et appliqua une claque sonore sur la cuisse de le journaliste en le traitant d' aimable farceur , mais le poète Georges Lahrier qui était philosophe à ses moments perdus , dit simplement: – Eh !","NP VPS de NCMAN et VPS un NCo ADJ sur le NCCOR de le NCmod en le NCmod de ADJ NCmod , mais le NCs NP NP qui être NC à DETPOSS NCmod PPAS , VDIC simplement: – INTJ !"
5,1888_Courteline-Georges_es-femmes-d-amis_A.txt,ne blaguons pas sans savoir !,ne VF pas sans VCOG !
6,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"D' abord , c' est toujours l' obliger que débarrasser un ami d' une femme assez misérable pour consentir à le tromper sans motif .","de NC , ce être ADVTEMPS le INF que INF un NCo de un NCmod ADV ADJ pour INF à le NC sans NCmod ."
7,1888_Courteline-Georges_es-femmes-d-amis_A.txt,Voilà déjà qui tombe sous le sens .,voilà déjà qui PRES sous le NC .
8,1888_Courteline-Georges_es-femmes-d-amis_A.txt,– Parbleu !,– NP !
9,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"exclama Lavernié , et puis enfin , si je l' ai fait , c' est parce que l' ami lui-même m' avait engagé à le faire .","exclason NP , et puis PHASE , si je le avoir faire , ce être parce que le NCs soi-même lui avoir PPAS à le faire ."
10,1888_Courteline-Georges_es-femmes-d-amis_A.txt,Oh !,INTJ !
11,1888_Courteline-Georges_es-femmes-d-amis_A.txt,"mon cas est assez spécial , mais il n' a en soi rien d' extraordinaire , étant basé sur l' éternelle niaiserie humaine et ce besoin de forfanterie qui est la première manifestation de la bêtise , comme l' instinct de la conservation est la première manifestation de l' intelligence .","DETPOSS NCs être ADV ADJ , mais il ne avoir en soi rien de ADJ , être PPAS sur le ADJ NC ADJ et ce NC de NCmod qui être le ADJ NC de le NCmod , comme le NCmod de le NCmod être le ADJ NC de le NCmod ."
