id,titre,phrase,motifs_phrase
1,Daudet/Le trésor d'arlatan copie_clean.txt,"LE TRÉSOR D' ARLATAN Monsieur Henri Danjou , Paris .","le NC de NP monsieur NP NP , NP ."
2,Daudet/Le trésor d'arlatan copie_clean.txt,"À le reçu de votre lettre , mon cher enfant , le vieux Tim a flambé de joie comme un feu de la Saint-Jean .","à le NC de DETPOSS NCmod , DETPOSS ADJ NCs , le ADJ NP avoir PPAS de NCSENT comme un NCmod de le NP ."
3,Daudet/Le trésor d'arlatan copie_clean.txt,"Oui , si ce que vous dites est vrai , si sérieusement vous voulez en finir avec Madeleine Ogé , vite , votre malle , et arrivez-moi ; j' ai ce qu' il vous faut .","oui , si ce que vous VDIC être vrai , si ADVMAN vous vouloir en VASP avec NP NP , ADV , DETPOSS NC , et NC ; je avoir ce que il vous PRES ."
4,Daudet/Le trésor d'arlatan copie_clean.txt,"Non pas ici , dans les pins de Montmajour .","non pas ADVLIEU , dans le NC de NP ."
5,Daudet/Le trésor d'arlatan copie_clean.txt,"Pour l' expérience que vous tentez , l' endroit n' est pas assez sauvage ; je reçois de les revues , de les journaux où vous trouveriez le nom de votre diva et le détail de ses prouesses , sans compter qu' elle adore le Midi et serait bien capable , vous devinant à Montmajour , de venir jouer Madame Camargo ou la Périchole à le théâtre d' Arles , comme il y a dix ans .","pour le NC que vous PRES , le NCs ne être pas ADV ADJ ; je PRES de le NC , de le NC où vous VSUBP le NCo de DETPOSS NCmod et le NC de DETPOSS NCmod , sans INF que il VSENT le NCo et être bien ADJ , vous VCOG à NP , de venir INF madame NP ou le NP à le NC de NP , comme il y avoir NUM NCT ."
6,Daudet/Le trésor d'arlatan copie_clean.txt,"De Montmajour , quand le ciel est clair , nous entendons chanter les filles d' Arles .","de NP , quand le NCs être ADJ , nous VCOG INF le NCo de NP ."
7,Daudet/Le trésor d'arlatan copie_clean.txt,"La voix de Madeleine vous arriverait encore plus sûrement , mon pauvre Franciot [ 356 ] , et vous seriez rebouclé tout de suite .","le NCMAN de NP vous VCOND encore plus ADVINT , DETPOSS ADJ NP [ NUM ] , et vous être PPAS tout de NC ."
8,Daudet/Le trésor d'arlatan copie_clean.txt,"Aussi , le refuge que je vous offre est -il un coin , bien autrement perdu et loin de tout , où les périodiques n' arrivent pas , où il n' y a pas de vitrine pour les photographies de les jolies actrices , et dont voici le très exact itinéraire : Arrivé en Arles par le train de Paris , le train de nuit , vous gagnez le quai de le Rhône , seul vivant à cette heure matinale .","aussi , le NCs que je vous PRES être il un NC , bien ADVINT PPAS et ADVLIEU de tout , où le NCs ne PRES pas , où il ne y avoir pas un NCo pour le NCmod de le ADJ NCmod , et dont voici le très ADJ NCo : PPAS en NP par le NC de NP , le NC de NCT , vous PRES le NCo de le NP , ADJ PPRES à ce NCT ADJ ."
9,Daudet/Le trésor d'arlatan copie_clean.txt,Le bateau à vapeur qui fait le service de la Camargue chauffe à le bas de les marches .,le NCs à NCmod qui faire le NCo de le NP PRES à le NC de le NCmod .
10,Daudet/Le trésor d'arlatan copie_clean.txt,"Six heures , on embarque .","NUM NCT , on PRES ."
11,Daudet/Le trésor d'arlatan copie_clean.txt,"Avec la triple vitesse de le courant , de l' hélice et de le mistral , se déroulent les deux rivages .","avec le ADJ NC de le NCmod , de le NCmod et de le NC , se PRES le NUM NCs ."
12,Daudet/Le trésor d'arlatan copie_clean.txt,"À gauche , la Crau , une plaine aride , pétrée ; en face , la Camargue prolongeant jusqu' à la mer son immense delta de moissons d' herbe courte et de marécages .","à NCmod , le NP , un NC ADJ , PPAS ; en NCmod , le NP PPRES jusque à le NC DETPOSS ADJ NCo de NCmod de NCmod ADJ et de NC ."
13,Daudet/Le trésor d'arlatan copie_clean.txt,"De temps en temps , sur bâbord ou tribord , vers Empire ou vers Royaume , pour parler comme nos mariniers de le Rhône , le bateau s' arrête à quelque ponton , débarque de les tâcherons chargés d' outils , de les filles de journée , le panier à le bras , sous leurs longues mantes brunes .","de temps en temps , sur NC ou NC , vers NCmod ou vers NC , pour INF comme DETPOSS NC de le NP , le NCs se PRES à quelque NC , NC de le NCmod PPAS de NC , de le NC de NCT , le NC à le NCCOR , sous DETPOSS ADJ NC ADJCOL ."
14,Daudet/Le trésor d'arlatan copie_clean.txt,"À la quatrième ou cinquième escale en rive de Camargue , quand vous entendrez appeler le mas de Giraud , descendez .","à le ADJ ou ADJ NC en NCmod de NP , quand vous VCOG INF le NCo de NP , IMP ."
