id,titre,phrase,motifs_phrase
1,Goncourt/cherie_Goncourt copie_clean.txt,"petites amies à peu près de son âge , de les places où se retrouvait la hiérarchie de les parents dans l' ordre administratif .","ADJ NC à peu ADVLIEU de DETPOSS NC , de le NCmod où se VIMP le NCs de le NCmod dans le NC ADJ ."
2,Goncourt/cherie_Goncourt copie_clean.txt,"Alors les petites filles se mettent à s' asseoir , toutes remuantes de trémoussements coquets , se dégantent avec de les grâces lentes et , leur petit corps rejeté en arrière , déposent dans l' un de leurs verres leurs gants minuscules , roulés correctement , répètent enfin , ainsi que de les miniatures de femmes , les attitudes , les mines , les élégances de leurs mères .","alors le ADJ NCs se mettre à se INF , tout NC de NCmod ADJ , se PRES avec de le NC ADJ et , lui ADJ NCCOR PPAS en NC , PRES dans le un de DETPOSS NCmod DETPOSS NCo ADJ , PPAS ADV , PRES PHASE , ainsi que de le NC de NCmod , le NC , le NC , le NC de DETPOSS NCmod ."
3,Goncourt/cherie_Goncourt copie_clean.txt,"Puis c' est chez les bambines un premier instant d' inspection respective de leurs toilettes , un de ces examens fait dans un coup d' œil , et de ce regard , de ce regard particulier à la femme même en herbe , qui a vu , en une seconde , la couleur , la coupe , la matière de ce qui habille une autre femme , et en a déjà fait un inventaire critique de les pieds à la tête .","puis ce être chez le NP un ADJ NC de NCmod ADJ de DETPOSS NCmod , un de ce NCmod faire dans un NC de NCmod , et de ce NCMAN , de ce NCMAN ADJ à le NCmod même en NCmod , qui avoir VCOG , en un NCT , le NCo , le NC , le NC de ce qui PRES un autre NCo , et en PRES déjà faire un NCo ADJ de le NCCOR à le NCCOR ."
4,Goncourt/cherie_Goncourt copie_clean.txt,"Le diner commence , les domestiques servant les petites amies de Mademoiselle avec le sérieux de domestiques servant de grandes personnes .","le NCs VASP , le NCs PPRES le ADJ NCo de NP avec le NCmod de NCmod PPRES un ADJ NCo ."
5,Goncourt/cherie_Goncourt copie_clean.txt,"Une invitée , trouvant sa soupe trop chaude , ouvre son éventail , et évente gentiment , de haut en bas , son assiette , à demi juchée sur le barreau de sa chaise .","un NCs , PPRES DETPOSS NCo trop ADJ , PRES DETPOSS NCo , et PRES ADVMAN , de NC en NC , DETPOSS NCo , à ADJ PPAS sur le NC de DETPOSS NCmod ."
6,Goncourt/cherie_Goncourt copie_clean.txt,"L' amusant spectacle que la réunion autour de la table de ces petites Parisiennes , à le minois futé , à les yeux éveillés de souris , à l' intelligence hâtive de la physionomie , à l' enfance menue , distinguée , raffinée , quintessenciée de l' enfant de les capitales et de les salons , gracieux petits êtres dont la pâleur intéressante avait été enjolivée par les mères avec tout le goût possible , bouts de femmes déjà montrés en les galants arrangements que la mode fashionable crée pour les petites filles de les riches !","le NCs PRES que le NCspas ADV de le NC de ce ADJ NP , à le NC ADJ , à le NCCOR ADJ de NCmod , à le NC ADJ de le NCmod , à le NC PPAS , VCOG , ADJ , PPAS de le NC de le NCmod et de le NC , ADJ ADJ être dont le NC ADJ avoir être PPAS par le NC avec tout le NC ADJ , NC de NCmod déjà PPAS en le ADJ NC que le NCs ADJ PPAS pour le ADJ NC de le NCmod !"
7,Goncourt/cherie_Goncourt copie_clean.txt,"Elles paraissent , en effet , mises à le mieux , les jeunes convives de la petite fille de le maréchal , en leurs jupes courtes , ballonnées par deux ou trois jupons à baguettes très empesés , en leurs corsages décolletés sur lesquels court une guimpe transparente , et avec leurs cheveux séparés en deux nattes disposées en couronne ou formant deux petits tortillons au-dessus de l' oreille , attachés par un nœud .","il paraître , en NC , mettre à le mieux , le ADJ NCo de le ADJ NCmod de le NCmod , en DETPOSS NC ADJ , PPAS par NUM ou NUM NCo à NCmod très PPAS , en DETPOSS NCmod PPAS sur lequel PRES un NCs ADJ , et avec DETPOSS NCCOR PPAS en NUM NC PPAS en NC ou PPRES NUM ADJ NCo ADVLIEU de le NCCOR , PPAS par un NC ."
8,Goncourt/cherie_Goncourt copie_clean.txt,"Chez les plus élégantes , les cheveux , retenus par un ruban autour de la tête , se divisent par derrière en huit grosses boucles tombant sur le dos .","chez le plus ADJ , le NCCOR , PPAS par un NC ADV de le NCCOR , se PRES par ADVLIEU en NUM NC ADJ PPRES sur le NCCOR ."
9,Goncourt/cherie_Goncourt copie_clean.txt,"Et toutes sont chaussées de bottines lacées en satin blanc , à l' exception de Chérie portant , sur de les bas à jour , de les souliers de satin noir à la Reine .","et tout être PPAS de NC PPAS en NC ADJCOL , à le NC de NP PPRES , sur un le NC à NCT , de le NC de NCmod ADJ à le NP ."
10,Goncourt/cherie_Goncourt copie_clean.txt,"Celle-ci qui a un petit nez écrasé , à l' image de ces nez d' enfants qu' on aperçoit à travers un carreau , contre lequel ils regardent appuyés , celle-ci est habillée d' une robe blanche toute soufflée , où de gros noeuds d' un ruban moiré rouge remuent sur ses épaules à chacun de ses mouvements .","celui-ci qui avoir un ADJ NCCOR ADJ , à le NC de ce NCCOR de NCmod que on PRES à travers un NC , contre lequel il VCOG PPAS , celui-ci être PPAS de un NC ADJCOL tout VSENT , où un ADJ NCs de un NCmod PPAS ADJCOL PRES sur DETPOSS NCCOR à chacun de DETPOSS NCmod ."
