id,titre,phrase,motifs_phrase
1,Zola/1890_17_La_bete_humaine._clean.txt,"En entrant dans la chambre , Roubaud posa sur la table le pain d' une livre , le pâté et la bouteille de vin blanc .","en PPRES dans le NC , NP VPS sur le NC le NCo de un NCmod , le NC et le NC de NCmod ADJCOL ."
2,Zola/1890_17_La_bete_humaine._clean.txt,"Mais , le matin , avant de descendre à son poste , la mère Victoire avait dû couvrir le feu de son poêle , d' un tel poussier , que la chaleur était suffocante .","mais , le NCT , PHASE de INF à DETPOSS NC , le NCs NP avoir devoir INF le NCo de DETPOSS NCmod , de un tel NC , que le NCs être ADJ ."
3,Zola/1890_17_La_bete_humaine._clean.txt,"Et le sous-chef de gare , ayant ouvert une fenêtre , s' y accouda .","et le NCs de NCmod , avoir PPAS un NCo , si y VPS ."
4,Zola/1890_17_La_bete_humaine._clean.txt,"C' était impasse d' Amsterdam , dans la dernière maison de droite , une haute maison où la Compagnie de l' Ouest logeait certains de ses employés .","ce être PRES de NP , dans le ADJ NC de NCmod , un ADJ NCo où le NCs de le NCmod VIMP certain de DETPOSS NCmod ."
5,Zola/1890_17_La_bete_humaine._clean.txt,"La fenêtre , à le cinquième , à l' angle de le toit mansardé qui faisait retour , donnait sur la gare , cette tranchée large trouant le quartier de l' Europe , tout un déroulement brusque de l' horizon , que semblait agrandir encore , cet après-midi-là , un ciel gris de le milieu de février , d' un gris humide et tiède , traversé de soleil .","le NCs , à le NCmod , à le NCmod de le NCmod PPAS qui faire NCo , VIMP sur le NC , ce NCs ADJ PPRES le NCo de le NP , tout un NC ADJ de le NCmod , que sembler INF encore , ce ADV , un NC ADJCOL de le milieu de MOIS , de un ADJCOL ADJ et ADJ , PPAS de NCmod ."
6,Zola/1890_17_La_bete_humaine._clean.txt,"En face , sous ce poudroiement de rayons , les maisons de la rue de Rome se brouillaient , s' effaçaient , légères .","en NC , sous ce NC de NCmod , le NCs de le NCmod de NP se VIMP , se VIMP , ADJ ."
7,Zola/1890_17_La_bete_humaine._clean.txt,"À gauche , les marquises de les halles couvertes ouvraient leurs porches géants , à les vitrages enfumés , celle de les grandes lignes , immense , où l' œil plongeait , et que les bâtiments de la poste et de la bouillotterie séparaient de les autres , plus petites , celles d' Argenteuil , de Versailles et de la Ceinture ; tandis que le pont de l' Europe , à droite , coupait de son étoile de fer la tranchée , que l' on voyait reparaître et filer au-delà , jusqu' à le tunnel de les Batignolles .","à NC , le NCs de le NCmod ADJ VIMP DETPOSS NCo ADJ , à le NC PPAS , celui de le ADJ NCmod , immense , où le NCs VIMP , et que le NCs de le NCmod et de le NC VIMP de le autre , plus ADJ , celui de NP , de NP et de le NC ; PHASE que le NCs de le NP , à NCmod , VIMP de DETPOSS NC de NCmod le NCo , que l' on VCOG INF et INF ADV , jusque à le NC de le NP ."
8,Zola/1890_17_La_bete_humaine._clean.txt,"Et , en bas de la fenêtre même , occupant tout le vaste champ , les trois doubles voies qui sortaient de le pont , se ramifiaient , s' écartaient en un éventail dont les branches de métal , multipliées , innombrables , allaient se perdre sous les marquises .","et , en NC de le NCmod même , PPRES tout le ADJ NCo , le NUM ADJ NCs qui VIMP de le NC , se VIMP , se VIMP en un NC dont le NC de NCmod , PPAS , ADJ , aller se INF sous le NC ."
9,Zola/1890_17_La_bete_humaine._clean.txt,"Les trois postes d' aiguilleur , en avant de les arches , montraient leurs petits jardins nus .","le NUM NCs de NCmod , en PHASE de le NCmod , VIMP DETPOSS ADJ NCo ADJ ."
10,Zola/1890_17_La_bete_humaine._clean.txt,"Dans l' effacement confus de les wagons et de les machines encombrant les rails , un grand signal rouge tachait le jour pâle .","dans le NC ADJ de le NCmod et de le NC PPRES le NCo , un ADJ NCs ADJCOL VIMP le NCT ADJ ."
