id,titre,phrase,motifs_phrase
1,1885_Dubut-de-Laforest_Le Gaga_N.txt,I .,NUM .
2,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Et comme le sénateur comte Jacques de Mauval , l' un de les membres les plus respectés de le Parlement , faisait force grimaces pour amuser la société .","et comme le NC NC NP de NP , le un de le NCmod le plus PPAS de le NCmod , faire NCSENT NCmod pour VSENT le NCo ."
3,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Émilie Plock eut un haussement d' épaules : — Gaga , va !","NP NP avoir un NCo de NCCOR : — NP , aller !"
4,1885_Dubut-de-Laforest_Le Gaga_N.txt,"murmura -t -elle en déposant un baiser sur la tête grisonnante de le vieillard , à l' endroit même où les cheveux étaient rares .","VPS t il en PPRES un NCo sur le NCCOR ADJ de le NCmod , à le NCmod même où le NCCOR être ADJ ."
5,1885_Dubut-de-Laforest_Le Gaga_N.txt,"M. de Mauval – un petit homme à la figure glabre , à le corps maigre serré dans un habit noir fleuri d' une rose – n' en continua pas moins sa pantomime .","monsieur de NP – un ADJ NC à le NCCOR ADJ , à le NCCOR ADJ PPAS dans un NC ADJ PPAS de un ADJCOL – ne en VPS pas moins DETPOSS NCo ."
6,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Il envoyait de les pieds de nez à droite et à gauche , tirait sa langue enflammée par l' alcool , claquait de la mâchoire , roulait de les yeux dont on ne voyait plus que le blanc , poussait de les « gnouf !","il VIMP de le NCCOR de NCCOR à NCmod et à NC , VCOND DETPOSS NCCOR VSENT par le NC , VIMP de le NCCOR , VIMP de le NCCOR dont on ne VCOG plus que le ADJCOL , VIMP de le "" NC !"
7,1885_Dubut-de-Laforest_Le Gaga_N.txt,gnouf !,NC !
8,1885_Dubut-de-Laforest_Le Gaga_N.txt,"» à la façon de feu Grassot , de le Palais-Royal , tout ceci et tout cela , dans l' accompagnement tumultueux de les bravos et de les rires d' Augustine Beaudoin , une grosse blonde réjouie , toute de bleu vêtue .",""" à le façon de NCmod NP , de le NP , tout ceci et tout cela , dans le NCmod ADJ de le NCmod et de le NCMAN de NP NP , un ADJ NC PPAS , tout de ADJCOL PPAS ."
9,1885_Dubut-de-Laforest_Le Gaga_N.txt,"C' était un simple thé d' après minuit , à un entresol de la rue de Rome , dans un élégant salon-boudoir tendu d' étoffes claires .","ce être un ADJ NC de PHASE NCmod , à un NCmod de le NCmod de NP , dans un ADJ NCmod PPAS de NC ADJ ."
10,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Çà et là , sur un guéridon , de les cristaux et de les orfèvreries , de les serviettes éparses ou jetées en tas , de les fleurs effeuillées , de les bouteilles vides , de les flacons de liqueurs rayonnant , sous les lampes à les abat -jours festonnés de blanches dentelles , dans l' atmosphère chargée de les odeurs de tabac où flottait un vague parfum de vétiver et d' ylang-ylang .","ADV et ADVLIEU , sur un NC , de le NC et de le NC , de le NC ADJ ou PPAS en NC , de le NC PPAS , de le NC ADJ , de le NC de NCmod PPRES , sous le NC à le NCmod NCT PPAS de ADJ NCmod , dans le NC PPAS de le NC de NCmod où VIMP un ADJ NCs de INF et de NC ."
11,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Émilie Plock avait déjà congédié Malvina , sa vieille tante , qui lui servait de domestique , et la femme en bonnet tuyauté , à faveurs jaunes , aussi raide qu' une mitre d' évêque , s' en était allée , clopin-clopant , pour dormir sur une chaise , à côté de le fourneau de la cuisine .","NP NP avoir déjà PPAS NP , DETPOSS ADJ tant , qui lui VIMP de NC , et le NC en NCmod ADJ , à NCmod ADJCOL , aussi ADJ que un NC de NCmod , se en être aller , PPRES , pour INF sur un NC , à NC de le NC de le NCmod ."
12,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Mollement étendu sur un sofa , un homme de haute taille , à l' ossature puissante , vêtu de le frac , cravaté de rouge , fumait son quatrième cigare , indifférent à la pantomime de le sénateur , à lequel il abandonnait volontiers les deux filles , et paraissant suivre , avec une grande attention , les spirales bleues qui s' échappaient de ses lèvres minces , tourbillonnaient au-dessus de sa tête à les cheveux ras , à couronne d' ivoire , comme celle d' un capucin , pour se perdre dans les dorures de le plafond .","ADV PPAS sur un NC , un NC de ADJ NCmod , à le NC ADJ , PPAS de le NC , PPAS de ADJCOL , VIMP DETPOSS ADJ NCo , ADJ à le NC de le NCmod , à lequel il VIMP ADV le NUM NCo , et paraître INF , avec un ADJ NC , le NC ADJ qui se VIMP de DETPOSS NCCOR ADJ , VIMP ADVLIEU de DETPOSS NCCOR à le NCCOR ADJ , à NC de NCmod , comme celui de un NCmod , pour se INF dans le NC de le NCmod ."
13,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Il portait de longues moustaches blanches tombantes qui donnaient plus de relief encore à ses traits anguleux formant un triangle , mais un triangle singulièrement vivant , s' il advenait qu' une idée sensuelle traversât l' esprit et flambât dans le regard .","il VIMP un ADJ NCCOR ADJCOL ADJ qui VIMP plus de NC encore à DETPOSS NCmod ADJ PPRES un NCo , mais un NC ADVINT ADJ , si il VIMP que un NCo ADJ VSUBI le NCo et NC dans le NCMAN ."
14,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Cet homme se nommait Pierre-Antoine-César , marquis de Sombreuse ; il était le cousin-germain de son compagnon de plaisir , M. de Mauval .","ce NCs se VIMP NP , NC de NP ; il être le NC de DETPOSS NCmod de NCSENT , monsieur de NP ."
15,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Tous deux , ils revenaient d' un grand bal à le faubourg ; ils s' étaient fait conduire à le quartier de l' Europe , chez Émilie Plock , une horizontale qu' ils avaient rencontrée , la semaine précédente , à les Folies-Bergère .","tout NUM , il VIMP de un ADJ NC à le NCmod ; il se être faire INF à le NC de le NP , chez NP NP , un NC que il avoir PPAS , le NC ADJ , à le NP ."
16,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Une étrange fille que cette Émilie Plock avec son nom bizarre , – un nom de chien , disaient les bonnes camarades , – sa tête petite et longue , son cou à la sveltesse vipérine , son corps très mince moulé dans un péplum de satin cerise , ses veux verts langoureux , son nez toujours à le vent , ouvragé d' un coup de pouce en pleine pâte rose et blanche , comme dans une jolie figure de Chaplin , et sa chevelure à les éclats de cuivre aussi rouge d' or que les épis bien murs , sous les splendeurs défaillantes de le soleil couchant .","un ADJ NCs que ce NP NP avec DETPOSS NCmod ADJ , – un NC de NCmod , VDIC le ADJ NCo , – DETPOSS NCCOR ADJ et ADJ , DETPOSS NCCOR à le NCmod ADJ , DETPOSS NCCOR très ADJ PPAS dans un NC de NCmod ADJ , DETPOSS ADJ ADJCOL ADJ , DETPOSS NCCOR ADVTEMPS à le NCmod , PPAS de un NC de NCCOR en ADJ NCmod ADJCOL et ADJCOL , comme dans un ADJ NCCOR de NP , et DETPOSS NC à le NCmod de NCmod aussi ADJCOL de NCmod que le NCs bien ADJ , sous le NCmod ADJ de le NCmod ADJ ."
17,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Depuis l' heureuse rencontre de les gentilshommes dont elles ignoraient encore les noms , les deux filles ne se quittaient pour ainsi dire plus .","depuis le ADJ NC de le NCmod dont il VIMP encore le NCo , le NUM NCs ne se VIMP pour ainsi VDIC plus ."
18,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Augustine Beaudoin – une débutante logée à le quatrième étage de la même maison – descendait à l' entresol et elle passait avec la Plock une partie de ses journées et de ses nuits , à s' amuser , à s' instruire , à faire les cartes , attendant , à toute heure , les deux vieux messieurs d' une générosité sans exemple , qui désiraient continuer la fête à quatre .","NP NP – un NC PPAS à le ADJ NC de le même NCmod – VIMP à le NC et il VIMP avec le NP un NCo de DETPOSS NCT et de DETPOSS NCT , à se VSENT , à se INF , à faire le NCo , PPRES , à tout NCT , le NUM ADJ NCo de un NCSENT sans NCmod , qui VSENT INF le NCo à NUM ."
19,1885_Dubut-de-Laforest_Le Gaga_N.txt,On s' était croisé dans le promenoir de les Folies-Bergère .,on se être PPAS dans le NC de le NP .
20,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Émilie et Augustine faisaient de les pas , bras dessus , bras dessous , lorsque M. de Sombreuse les avait arrêtées , touchant de le coude son cousin , le sénateur .","NP et NP faire de le pas , NCCOR ADV , NCCOR ADV , lorsque monsieur de NP le avoir PPAS , PPRES de le NCCOR DETPOSS NC , le NC ."
21,1885_Dubut-de-Laforest_Le Gaga_N.txt,Celui-ci ne voulait pas se compromettre ; les filles prirent les devants .,celui-ci ne vouloir pas se INF ; le NCs VPS le ADVLIEU .
22,1885_Dubut-de-Laforest_Le Gaga_N.txt,"On soupa à le Helder en cabinet particulier ; le marquis et le comte promirent d' aller retrouver leurs nouvelles connaissances , à domicile .","on VPS à le NP en NC ADJ ; le NCs et le NC VPS de aller INF DETPOSS ADJ NCo , à NC ."
23,1885_Dubut-de-Laforest_Le Gaga_N.txt,Ils avaient tenu parole .,il avoir PPAS NCo .
24,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Maintenant , on essayait de se distraire , à quatre , dans l' appartement de la Plock , beaucoup plus confortable que celui d' Augustine Beaudoin .","ADVT , on VIMP de se VSENT , à NUM , dans le NC de le NP , beaucoup plus ADJ que celui de NP NP ."
25,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Pendant qu' Augustine dite le Poupard – un nom de guerre bien porté , à en juger par sa tête ébouriffée d' enfant – jouait à la main chaude avec son vieux , Émilie , très en beauté , sans aucun souci de pensées jalouses , – ses visiteurs l' avaient édifiée à ce sujet , – Émilie mettait tout en couvre pour réveiller de sa torpeur M. de Sombreuse .","PHASE que NP VDIC le NP – un NC de NCmod bien PPAS , à en INF par DETPOSS NCCOR PPAS de NC – VIMP à le NCCOR ADJ avec DETPOSS ADJ , NP , très en NC , sans aucun NCSENT de NCmod ADJ , – DETPOSS NCs le avoir PPAS à ce NC , – NP mettre tout en NC pour INF de DETPOSS NC monsieur de NP ."
26,1885_Dubut-de-Laforest_Le Gaga_N.txt,Ah !,INTJ !
27,1885_Dubut-de-Laforest_Le Gaga_N.txt,"vraiment , celui-là , elle ne le reconnaissait plus .","ADVINT , celui-là , il ne le VCOG plus ."
28,1885_Dubut-de-Laforest_Le Gaga_N.txt,"Pourquoi était -il si grave , lui , le boute-en-train de la noce de le Helder ?","pourquoi être il si ADJ , lui , le NC de le NCmod de le NP ?"
29,1885_Dubut-de-Laforest_Le Gaga_N.txt,... C' était à n' y rien comprendre .,... ce être à ne y rien VCOG .
30,1885_Dubut-de-Laforest_Le Gaga_N.txt,"— Voyons , est -ce que tu en as déjà assez ?","— NP , être ce que je en PRES déjà ADV ?"
31,1885_Dubut-de-Laforest_Le Gaga_N.txt,... Est -ce que tu te réserves pour ta femme ?,... être ce que je me NC pour ta NC ?
32,1885_Dubut-de-Laforest_Le Gaga_N.txt,"... Nous avons été bien gentilles , mon amie et moi ... Allons , grand bébé ... un bec !","... nous avoir être bien ADJ , DETPOSS NC et soi ... NP , ADJ NC ... un NC !"
