id,titre,phrase,motifs_phrase
1,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Dans la chaleur de l' ardente après-midi de juillet , la salle , à les volets soigneusement clos , était pleine d' un grand calme .","dans le NC de le NCmod NCT de MOIS , le NCs , à le NCmod ADV PPAS , être ADJ de un ADJ NCSENT ."
2,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Il ne venait , de les trois fenêtres , que de minces flèches de lumière , par les fentes de les vieilles boiseries ; et c' était , à le milieu de l' ombre , une clarté très douce , baignant les objets d' une lueur diffuse et tendre .","il ne venir , de le NUM NC , que de mince NC de NCmod , par le NCmod de le ADJ NCmod ; et ce être , à le milieu de le NCmod , un NC très ADJ , PPRES le NCs de un NCmod PRES et INF ."
3,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Il faisait là relativement frais , dans l' écrasement torride qu' on sentait au-dehors , sous le coup de soleil qui incendiait la façade .","il faire ADVLIEU ADVINT ADJ , dans le NC ADJ que on sentir ADV , sous le NC de NCmod qui VIMP le NCo ."
4,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Debout devant l' armoire , en face de les fenêtres , le docteur Pascal cherchait une note , qu' il y était venu prendre .","ADV ADVLIEU le NC , en NCmod de le NCmod , le NCs NP VIMP un NCo , que il y être venir INF ."
5,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Grande ouverte , cette immense armoire de chêne sculpté , à les fortes et belles ferrures , datant de le dernier siècle , montrait sur ses planches , dans la profondeur de ses flancs , un amas extraordinaire de papiers , de dossiers , de manuscrits , s' entassant , débordant , pêle-mêle .","ADJ PPAS , ce ADJ NCs de NCmod ADJ , à le fort et ADJ NC , PPRES de le ADJ NCT , VIMP sur DETPOSS NC , dans le NC de DETPOSS NCmod , un NC ADJ de NCmod , de NC , de NC , se PPRES , PPRES , NC ."
6,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Il y avait plus de trente ans que le docteur y jetait toutes les pages qu' il écrivait , depuis les notes brèves jusqu' à les textes complets ses grands travaux sur l' hérédité .","il y avoir plus de NUM NCT que le NCs y VIMP tout le NCo que il VIMP , depuis le NC ADJ jusque à le NCmod ADJ DETPOSS ADJ NC sur le NCmod ."
7,Zola/1893_20_Le_docteur_Pascal._clean.txt,Aussi les recherches n' y étaient -elles pas toujours faciles .,aussi le NCs ne y être il pas ADVTEMPS ADJ .
8,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Plein de patience , il fouillait , et il eut un sourire , quand il trouva enfin .","ADV de NCSENT , il VIMP , et il avoir un NCMAN , quand il VPS PHASE ."
9,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Un instant encore , il demeura près de l' armoire , lisant la note , sous un rayon doré qui tombait de la fenêtre de le milieu .","un NC encore , il VPS ADVLIEU de le NC , PPRES le NCo , sous un NC ADJCOL qui VIMP de le NC de le milieu ."
10,Zola/1893_20_Le_docteur_Pascal._clean.txt,"Lui-même , dans cette clarté d' aube , apparaissait , avec sa barbe et ses cheveux de neige , d' une solidité vigoureuse bien qu' il approchât de la soixantaine , la face si fraîche , les traits si fins , les yeux restés limpides , d' une telle enfance , qu' on l' aurait pris , serré dans son veston de velours marron , pour un jeune homme à les boucles poudrées .","lui-même , dans ce NC de NCmod , VIMP , avec DETPOSS NCCOR et DETPOSS NCCOR de NCmod , de un NC ADJ bien que il VSUBI de le NC , le NC si ADJ , le NC si ADV , le NCCOR PPAS ADJ , de un tel NCmod , que on le avoir PPAS , PPAS dans DETPOSS NC de NCmod ADJCOL , pour un ADJ NC à le NCmod ADJ ."
