id,titre,phrase,motifs_phrase
1,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"À le milieu de le grand silence , et dans le désert de l' avenue , les voitures de maraîchers montaient vers Paris , avec les cahots rythmés de leurs roues , dont les échos battaient les façades de les maisons , endormies à les deux bords , derrière les lignes confuses de les ormes .","à le milieu de le ADJ NCmod , et dans le NC de le NCmod , le NCs de NCmod VIMP vers NP , avec le NC PPAS de DETPOSS NC , dont le NCs VIMP le NCo de le NCmod , PPAS à le NUM NC , ADVLIEU le NC ADJ de le NCmod ."
2,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Un tombereau de choux et un tombereau de pois , à le pont de Neuilly , s' étaient joints à les huit voitures de navets et de carottes qui descendaient de Nanterre ; et les chevaux allaient tout seuls , la tête basse , de leur allure continue et paresseuse , que la montée ralentissait encore .","un NCs de NCmod et un NC de NCmod , à le NC de NP , se être PPAS à le NUM NC de NCmod et de NC qui VIMP de NP ; et le NCs aller tout ADJ , le NCCOR ADJ , de lui NCMAN ADJ et ADJ , que le NCs VIMP encore ."
3,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"En haut , sur la charge de les légumes , allongés à plat ventre , couverts de leur limousine à petites raies noires et grises , les charretiers sommeillaient , les guides à les poignets .","en NC , sur le NC de le NCmod , PPAS à ADJ NCCOR , PPAS de lui NC à ADJ NCmod ADJ et ADJCOL , le NCs VIMP , le NCo à le NCCOR ."
4,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Un bec de gaz , à le sortir d' une nappe d' ombre , éclairait les clous d' un soulier , la manche bleue d' une blouse , le bout d' une casquette , entrevus dans cette floraison énorme de les bouquets rouges de les carottes , de les bouquets blancs de les navets , de les verdures débordantes de les pois et de les choux .","un NCs de NCmod , à le NCmod de un NCmod de NCmod , VCOND le NCo de un NCmod , le NC ADJCOL de un NCmod , le NC de un NCmod , VCOG dans ce NC ADJ de le NCmod ADJCOL de le NCmod , de le NC ADJCOL de le NCmod , de le NC ADJ de le NCmod et de le NC ."
5,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Et , sur la route , sur les routes voisines , en avant et en arrière , de les ronflements lointains de charrois annonçaient de les convois pareils , tout un arrivage traversant les ténèbres et le gros sommeil de deux heures de le matin , berçant la ville noire de le bruit de cette nourriture qui passait .","et , sur le NC , sur le NCmod ADJ , en PHASE et en NC , de le NCs ADJ de NCmod VIMP de le NC ADJ , tout un NCmod PPRES le NCo et le ADJ NC de NUM NCT de le NCT , PPRES le NCo ADJ de le NCmod de ce NCmod qui VIMP ."
6,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Balthazar , le cheval de Mme François , une bête trop grasse , tenait la tête de la file .","NP , le NC de madame NP , un NC trop ADJ , VIMP le NCCOR de le NCmod ."
7,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Il marchait , dormant à demi , dodelinant de les oreilles , lorsque , à la hauteur de la rue de Longchamp , un sursaut de peur le planta net sur ses quatre pieds .","il VIMP , PPRES à ADJ , PPRES de le NCCOR , lorsque , à le NC de le NCmod de NP , un NC de NCSENT le NC ADJ sur DETPOSS NUM NCCOR ."
8,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Les autres bêtes vinrent donner de la tête contre le cul de les voitures , et la file s' arrêta , avec la secousse de les ferrailles , à le milieu de les jurements de les charretiers réveillés .","le autre NCs venir INF de le NCCOR contre le NCCOR de le NCmod , et le NCs se VPS , avec le NC de le NCmod , à le milieu de le NCmod de le NCmod PPAS ."
9,Zola/1873_3_Le_ventre_de_Paris._clean.txt,"Mme François , adossée à une planchette contre ses légumes , regardait , ne voyait rien , dans la maigre lueur jetée à gauche par la petite lanterne carrée , qui n' éclairait guère qu' un de les flancs luisants de Balthazar .","madame NP , PPAS à un NC contre DETPOSS NCmod , VCOG , ne VCOG rien , dans le ADJ NC PPAS à NC par le ADJ NC ADJ , qui ne VCOND guère que un de le NCmod ADJ de NP ."
10,Zola/1873_3_Le_ventre_de_Paris._clean.txt,Eh !,INTJ !
