id,titre,phrase,motifs_phrase
1,1888_Eekhoud_nouvelle_Carthage_N.txt,Georges Eekhoud LA NOUVELLE CARTHAGE ( 1888 ) PREMIÈRE PARTIE : RÉGINA I .,NP NP NP NP NP ( NUM ) NP NP : NP NUM .
2,1888_Eekhoud_nouvelle_Carthage_N.txt,LE JARDIN M. Guillaume Dobouziez régla les funérailles de Jacques Paridael de façon à mériter l' approbation de son monde et l' admiration de les petites gens .,le NP monsieur NP NP VPS le NCo de NP NP de façon à INF le NCSENT de DETPOSS NCmod et le NCSENT de le ADJ NCmod .
3,1888_Eekhoud_nouvelle_Carthage_N.txt,« Cela s' appelle bien faire les choses !,""" cela se PRES bien faire le chose !"
4,1888_Eekhoud_nouvelle_Carthage_N.txt,» ne pouvait manquer d' opiner la galerie .,""" ne pouvoir INF de INF le NCo ."
5,1888_Eekhoud_nouvelle_Carthage_N.txt,"Il n' aurait pas exigé mieux pour lui-même : service de deuxième classe ( mais , hormis les croque-morts , qui s' y connaît assez pour discerner la nuance entre la première qualité et la suivante ?","il ne avoir pas PPAS mieux pour soi-même : NC de ADJ NCmod ( mais , hormis le NC , qui se y PRES ADV pour VCOG le NCo entre le ADJ NCmod et le NC ?"
6,1888_Eekhoud_nouvelle_Carthage_N.txt,) ; messe en plain-chant ; pas d' absoute ( inutile de prolonger ces cérémonies crispantes pour les intéressés et fastidieuses pour les indifférents ) ; autant de mètres de tentures noires larmées et frangées de blanc ; autant de livres de cire jaune .,) ; NC en NCmod ; pas de NC ( ADJ de INF ce NCo ADJ pour le NC et NC pour le NC ) ; autant de NC de NCmod ADJ PPAS et PPAS de ADJCOL ; autant de NC de NCmod ADJCOL .
7,1888_Eekhoud_nouvelle_Carthage_N.txt,"De son vivant , feu Paridael n' aurait jamais espéré pareilles obsèques , le pauvre diable !","de DETPOSS NC , ADJ NP ne avoir ADVTEMPS VCOG pareille NCo , le NP ADJ !"
8,1888_Eekhoud_nouvelle_Carthage_N.txt,"Quarante-cinq ans , droit , mais grisonnant déjà , nerveux et sec , compassé , sanglé militairement dans sa redingote , le ruban rouge à la boutonnière , M. Guillaume Dobouziez marchait derrière le petit Laurent , son pupille , unique enfant de le défunt , plongé dans une douleur aiguë et hystérique .","NUM NCT , NC , mais PPRES déjà , ADJ et ADJ , PPAS , PPAS ADV dans DETPOSS NC , le NCo ADJCOL à le NC , monsieur NP NP VIMP ADVLIEU le ADJ NP , DETPOSS NC , ADJ NC de le NCmod , PPAS dans un NCSENT ADJ et ADJ ."
9,1888_Eekhoud_nouvelle_Carthage_N.txt,Laurent n' avait cessé de sangloter depuis la mortuaire .,NP ne avoir VASP de INF depuis le NC .
10,1888_Eekhoud_nouvelle_Carthage_N.txt,Il fut plus pitoyable encore à l' église .,il être plus ADJ encore à le NC .
11,1888_Eekhoud_nouvelle_Carthage_N.txt,Les regrets sonnés à le clocher et surtout les tintements saccadés de la clochette de le chœur imprimaient de les secousses convulsives à tout son petit être .,le NCSENT PPAS à le NC et surtout le NC PPAS de le NC de le NCmod VIMP de le NC ADJ à tout DETPOSS ADJ être .
12,1888_Eekhoud_nouvelle_Carthage_N.txt,"Cette affliction ostensible impatienta même le cousin Guillaume , ancien officier , un dur à cuire , ennemi de l' exagération .","ce NCSENT ADJ VSENT même le NCo NP , ADJ NC , un ADJ à INF , NC de le NCmod ."
13,1888_Eekhoud_nouvelle_Carthage_N.txt,"– Allons , Laurent , tiens -toi , sapristi !","– NP , NP , ADJ soi , sapristi !"
14,1888_Eekhoud_nouvelle_Carthage_N.txt,… Sois raisonnable !,… ADV ADJ !
15,1888_Eekhoud_nouvelle_Carthage_N.txt,… Lève -toi !,… NP soi !
16,1888_Eekhoud_nouvelle_Carthage_N.txt,… Assieds -toi !,… NC soi !
17,1888_Eekhoud_nouvelle_Carthage_N.txt,… Marche !,… NC !
18,1888_Eekhoud_nouvelle_Carthage_N.txt,ne cessait -il de lui dire à mi-voix .,ne VASP il de lui VDIC à NC .
19,1888_Eekhoud_nouvelle_Carthage_N.txt,Peine perdue .,NCSENT PPAS .
