id,titre,phrase,motifs_phrase
1,1890_Alexis_L'Education-amoureuse_N.txt,Paul Alexis L' Éducation amoureuse A LA MÉMOIRE DE DURANTY Mort à quarante-sept ans Le 9 avril 1880 PAUVRE IMPOPULAIRE ET FIER CÉSAR PANAFIEU Notre globe lui-même est peut-être une fusée un peu plus durable que les autres .,NP NP le NC ADJ à NP NP de Duranty NCmod à NUM NCT le NUM MOIS NUM NP NP NP NP NP NP DETPOSS NCs soi-même être peut-être un NC un peu plus ADJ que le autre .
2,1890_Alexis_L'Education-amoureuse_N.txt,H. DE BALZAC .,ADV de NP .
3,1890_Alexis_L'Education-amoureuse_N.txt,"Fragments de le journal d' un demi-fou , fêlé et lucide ; sensations et rêvasseries d' un inoffensif original , que le siège de Paris acheva sans doute de détraquer .","NC de le NCmod de un NCmod , PPAS et ADJ ; NCSENT et NC de un NCmod ADJ , que le NCs de NP VASP sans NCSENT de INF ."
4,1890_Alexis_L'Education-amoureuse_N.txt,Papiers retrouvés dans la poche de la vareuse d' un fédéré ( grand !,papiers PPAS dans le NC de le NCmod de un NCmod ( ADJ !
5,1890_Alexis_L'Education-amoureuse_N.txt,maigre !,ADJ !
6,1890_Alexis_L'Education-amoureuse_N.txt,profil osseux !,NC ADJ !
7,1890_Alexis_L'Education-amoureuse_N.txt,"type à la Don Quichotte / ) tué à côté de Gustave Flourens , le jour de la grande sortie de la Commune contre Versailles .","NC à le NP NP / ) PPAS à NC de NP NP , le NCT de le ADJ NCmod de le NP contre NP ."
8,1890_Alexis_L'Education-amoureuse_N.txt,"Conforme à le manuscrit authentique , qui subsiste , troué par une balle , encore maculé de sang et de boue .","NC à le NCmod ADJ , qui PRES , PPAS par un NC , encore PPAS de NCCOR et de NC ."
9,1890_Alexis_L'Education-amoureuse_N.txt,I Les voici .,NUM le NC .
10,1890_Alexis_L'Education-amoureuse_N.txt,De toute la nuit je n' ai pu fermer l' œil ; je les entendais venir .,de tout le NCT je ne avoir pouvoir INF le NCo ; je le VCOG venir .
11,1890_Alexis_L'Education-amoureuse_N.txt,J' ignore quelle surexcitation avait décuplé mon ouïe .,je VCOG quel NCSENT avoir PPAS DETPOSS NCo .
12,1890_Alexis_L'Education-amoureuse_N.txt,"De mon lit , où j' attendais en vain le sommeil , je les entendais comme si j' avais passé ma nuit à errer dans la banlieue , bien plus loin que les remparts et les forts , gravissant les collines pour sonder l' horizon , puis collant mon oreille contre la poussière de les routes pour saisir les lointains ébranlements de le sol .","de DETPOSS NC , où je VIMP en ADJ le NCo , je le VCOG comme si je avoir PPAS DETPOSS NCT à INF dans le NC , bien plus ADVLIEU que le NC et le fort , PPRES le NCo pour INF le NCo , puis PPRES DETPOSS NCCOR contre le NCmod de le NCmod pour INF le ADJ NCo de le NCmod ."
13,1890_Alexis_L'Education-amoureuse_N.txt,"Mes tempes brûlantes s' enfonçaient en vain dans l' oreiller , je ne pouvais éviter l' obsession de ces pas d' hommes et de chevaux , qui me retentissaient dans le cerveau .","DETPOSS NCCOR ADJ se VIMP en ADJ dans le NC , je ne pouvoir INF le NCSENT de ce pas de NCmod et de NC , qui me VIMP dans le NCCOR ."
14,1890_Alexis_L'Education-amoureuse_N.txt,"Pendant d' interminables heures , j' ai subi les progrès , lents mais continus , d' un océan humain qui montait sourdement et submergeait la contrée .","PHASE un ADJ NCT , je avoir PPAS le NCo , NC mais NC , de un NCmod ADJ qui VIMP ADV et VIMP le NCo ."
15,1890_Alexis_L'Education-amoureuse_N.txt,"Et , ce qui me paraît plus étrange encore , j' entendais si nettement que je finissais par voir ce que j' entendais .","et , ce qui me paraître plus ADJ encore , je VCOG si ADVINT que je VIMP par VCOG ce que je VCOG ."
16,1890_Alexis_L'Education-amoureuse_N.txt,"De les flocons de poussière surgissaient d' abord , obscurcissant la nuit .","de le NCs de NCmod VIMP de NC , PPRES le NCT ."
17,1890_Alexis_L'Education-amoureuse_N.txt,"Puis , de ces nuages , il sortait d' interminables colonnes , de les masses vivantes qui s' allongeaient sans cesse , en serpentant sur les hauteurs et dans les vallées , comme de gigantesques reptiles noirs .","puis , de ce NC , il VIMP de ADJ NCo , de le NCmod ADJ qui se VIMP sans NC , en PPRES sur le NC et dans le NC , comme un ADJ NCmod ADJ ."
18,1890_Alexis_L'Education-amoureuse_N.txt,"Et aucun détail ne m' échappait ; les jambes marchaient en cadence ; quand les roues de les canons s' enfonçaient dans les ornières , j' entendais grincer de les essieux ; les mitrailleuses , dans les endroits pierreux , sautaient fréquemment , secouées par de les cahots ; de les silhouettes de cavaliers , drapés dans de les manteaux , défilaient : parfois , quelque rayon de lune faisait luire un canon de fusil ; de les sabots de cheval heurtant les cailloux , il jaillissait de les étincelles .","et aucun NCs ne se VIMP ; le NCCOR VIMP en NC ; quand le NCs de le NCmod se VIMP dans le NC , je VCOG INF de le NC ; le NCs , dans le NCmod ADJ , VIMP ADVTEMPS , PPAS par un le NC ; de le NC de NCmod , PPAS dans de le NC , VIMP : ADVTEMPS , quelque NC de NCmod faire INF un NCo de NCmod ; de le NC de NCmod VSENT le NCo , il VIMP de le NC ."
19,1890_Alexis_L'Education-amoureuse_N.txt,"Vers le matin , ces détails sont devenus confus .","vers le NCT , ce NCs être devenir ADJ ."
20,1890_Alexis_L'Education-amoureuse_N.txt,"De tout ce fracas d' armées en marche , il ne m' est resté dans le cerveau qu' une sensation lourde de fatigue , un écrasement .","de tout ce NC de NCmod en NCmod , il ne lui être PPAS dans le NCCOR que un NCSENT ADJ de NCSENT , un NC ."
21,1890_Alexis_L'Education-amoureuse_N.txt,"Je suis tombé dans une sorte de somnolence , où j' entendais encore le battement de mes artères contre les parois de mon crâne .","je être PPAS dans un sorte de NCmod , où je VCOG encore le NCo de DETPOSS NCmod contre le NCmod de DETPOSS NCmod ."
22,1890_Alexis_L'Education-amoureuse_N.txt,"À le jour , enfin , mon cauchemar n' était plus qu' une violente migraine .","à le NCT , PHASE , DETPOSS NCs ne être plus que un ADJ NC ."
23,1890_Alexis_L'Education-amoureuse_N.txt,"A sept heures , en descendant à la pharmacie , j' ai trouvé mon aide , qui venait d' ouvrir , en train de lire un journal de le matin .","à NUM NCT , en PPRES à le NC , je avoir PPAS DETPOSS NCo , qui venir de INF , en NC de INF un NCo de le NCT ."
24,1890_Alexis_L'Education-amoureuse_N.txt,— Vous ne savez pas ?,— vous ne VCOG pas ?
25,1890_Alexis_L'Education-amoureuse_N.txt,m' a -t -il dit .,lui avoir t il VDIC .
26,1890_Alexis_L'Education-amoureuse_N.txt,"A partir de ce soir , défense de sortir de Paris ... Toutes les lignes coupées ... Les lettres ne partent plus pour la province ... Le Petit Journal assure que de les uhlans ont été vus près de Joinville-le-Pont .","à INF de ce NCT , NC de INF de NP ... tout le NC ADJ ... le NCs ne PRES plus pour le NC ... le ADJ NCs PRES que de le NCspas avoir être VCOG ADVLIEU de NP ."
27,1890_Alexis_L'Education-amoureuse_N.txt,Je m' attendais à ces nouvelles .,je se VIMP à ce NC .
28,1890_Alexis_L'Education-amoureuse_N.txt,L' hallucination de mon insommie me laissait la conviction de n' avoir entendu et vu que de les réalités .,le NCs de DETPOSS NCmod me laisser le NCo de ne avoir VCOG et PPAS que de le NC .
29,1890_Alexis_L'Education-amoureuse_N.txt,Mais je ne me soucie nullement de cette surnaturelle faculté .,mais je ne me PRES nullement de ce ADJ NC .
30,1890_Alexis_L'Education-amoureuse_N.txt,Je suis trop pâle aujourd'hui ; mes yeux restent cernés .,je être trop ADJ ADVT ; DETPOSS NCCOR PRES ADJ .
31,1890_Alexis_L'Education-amoureuse_N.txt,Plusieurs nuits pareilles altèreraient ma constitution .,plusieurs NCT ADJ VCOND DETPOSS NCo .
32,1890_Alexis_L'Education-amoureuse_N.txt,"Et , dans l' accablement qui succède à toute crise violente , on ne se sent plus capable de rien .","et , dans le NCSENT qui PRES à tout NC ADJ , on ne se sentir plus ADJ de rien ."
33,1890_Alexis_L'Education-amoureuse_N.txt,"Moi , je n' ai pas de temps à perdre : mon laboratoire me réclame .","soi , je ne avoir pas un temps à INF : DETPOSS NCs me PRES ."
34,1890_Alexis_L'Education-amoureuse_N.txt,"La pharmacie , « ce bras droit de la médecine et de la chirurgie » , comme l' appelait tout le long de son cours notre vieux professeur , ne va guère chômer pendant le siège de Paris .","le NCs , "" ce NCCOR ADJ de le NCmod et de le NC "" , comme le VIMP tout le NC de DETPOSS NCmod DETPOSS ADJ NC , ne aller guère INF PHASE le NC de NP ."
35,1890_Alexis_L'Education-amoureuse_N.txt,"Cette nuit , je veux absolument dormir .","ce NCT , je vouloir ADVINT INF ."
36,1890_Alexis_L'Education-amoureuse_N.txt,"Je viens , par précaution , de verser dans mon thé quelques gouttes de laudanum .","je venir , par NC , de INF dans DETPOSS NC quelque NCo de NCmod ."
37,1890_Alexis_L'Education-amoureuse_N.txt,II La dose n' était pas assez forte .,NUM le NCs ne être pas ADV fort .
38,1890_Alexis_L'Education-amoureuse_N.txt,Le laudanum ne m' a procuré que quelques instants de sommeil .,le NCs ne le avoir PPAS que quelque NC de NCmod .
39,1890_Alexis_L'Education-amoureuse_N.txt,"Dès minuit , mon esprit s' est dégagé de l' anéantissement factice où je l' avais contraint de s' abîmer .","dès NC , DETPOSS NCs se être PPAS de le NC ADJ où je le avoir PPAS de se INF ."
40,1890_Alexis_L'Education-amoureuse_N.txt,"Mes yeux n' ont pu se refermer , et les hallucinations de la veille m' ont encore fatigué jusqu' à le matin .","DETPOSS NCCOR ne avoir pouvoir se INF , et le NCs de le NCmod lui avoir encore VSENT jusque à le NCT ."
41,1890_Alexis_L'Education-amoureuse_N.txt,"J' ai revu les évolutions d' une multitude , l' approche d' une marée humaine .","je avoir VCOG le NCo de un NCmod , le NC de un NCmod ADJ ."
42,1890_Alexis_L'Education-amoureuse_N.txt,Les mêmes piétinements d' hommes et de chevaux ont bourdonné dans ma tête .,le même NCs de NCmod et de NC avoir PPAS dans DETPOSS NCCOR .
43,1890_Alexis_L'Education-amoureuse_N.txt,"Les roues grinçaient toujours , de les essieux se lamentaient , les fourgons s' entrechoquaient .","le NCs VIMP ADVTEMPS , de le NCs se VIMP , le NCs se VIMP ."
44,1890_Alexis_L'Education-amoureuse_N.txt,"Mille cliquetis de ferrailles , d' innombrables froissements de baïonnettes m' ont de nouveau agacé l' oreille .","NUM NCs de NCmod , de ADJ NC de NCmod lui avoir de ADJ NC le NCCOR ."
45,1890_Alexis_L'Education-amoureuse_N.txt,"Mais , le flot ayant beaucoup monté depuis vingt-quatre heures , le vacarme était plus strident .","mais , le NCs avoir beaucoup PPAS depuis NUM NCT , le NCs être plus ADJ ."
46,1890_Alexis_L'Education-amoureuse_N.txt,Je voyais mieux et de plus près .,je VCOG mieux et de plus ADVLIEU .
47,1890_Alexis_L'Education-amoureuse_N.txt,"Le formidable serpent , surgi la veille de l' horizon , avait prodigieusement déroulé ses anneaux .","le ADJ NCs , PPAS le NCo de le NCmod , avoir ADV PPAS DETPOSS NCo ."
48,1890_Alexis_L'Education-amoureuse_N.txt,"Maintenant , je distinguais tout à fait les bataillons , les escadrons , le défilé interminable de l' artillerie et de le train .","ADVT , je VIMP tout à NC le NCo , le NC , le NC ADJ de le NCmod et de le NC ."
49,1890_Alexis_L'Education-amoureuse_N.txt,"Et , comme pour éclairer cette tumultueuse marche , de les forêts entières brûlaient à les quatre coins de l' horizon .","et , comme pour INF ce ADJ NCo , de le NCs ADJ VIMP à le NUM NC de le NCmod ."
50,1890_Alexis_L'Education-amoureuse_N.txt,"D' invisibles géants brandissaient sur le passage de ces foules de les torches majestueuses , d' où s' élevaient de les tourbillons de fumée rouge qui ensanglantaient la contrée .","un ADJ NCs VIMP sur le NC de ce NCmod de le NCmod ADJ , de où se VIMP de le NC de NCmod ADJCOL qui VIMP le NCo ."
51,1890_Alexis_L'Education-amoureuse_N.txt,"De les langues de flamme , jaillissant jusqu' à le ciel , allèrent lécher les nuages .","de le NCCOR de NCmod , PPRES jusque à le NC , aller INF le NCo ."
52,1890_Alexis_L'Education-amoureuse_N.txt,"Hommes et chevaux s' agitaient dans une fournaise , dont j' entendais distinctement crépiter les étincelles .","NCs et NC se VIMP dans un NC , dont je VCOG ADV INF le NCo ."
53,1890_Alexis_L'Education-amoureuse_N.txt,Je sentais passer sur ma joue l' haleine ardente de ces brasiers .,je VIMP INF sur DETPOSS NCCOR le NCo ADJ de ce NCmod .
54,1890_Alexis_L'Education-amoureuse_N.txt,"C' est un supplice de passer ainsi de les heures à se retourner dans son lit , rêvant tout éveillé .","ce être un NCSENT de INF ainsi de le NCT à se INF dans DETPOSS NC , PPRES tout PPAS ."
