id,titre,phrase,motifs_phrase
1,1886_Marguerite_Jours-d'epreuve_N.txt,"PAUL MARGUERITTE JOURS D' ÉPREUVE MOEURS BOURGEOISES PARIS ERNEST KOLB , ÉDITEUR À MAURICE BOUCHOR Sèvres-Paris , 1886 .","NP NP ADV de NP NP NP NP NP NP , NP à NP NP NP , NUM ."
2,1886_Marguerite_Jours-d'epreuve_N.txt,PREMIÈRE PARTIE I - L' Amour !,NP NP NUM - le NCSENT !
3,1886_Marguerite_Jours-d'epreuve_N.txt,— Peu de chose! pensa André .,— peu de chose! DETPOSS NP .
4,1886_Marguerite_Jours-d'epreuve_N.txt,"- De les joies à fleur de peau , de les chagrins à fleur d' âme , le rêve d' une Elvire et l' étreinte de les filles , un besoin de pleurer , l' envie de rire , et de le vague à l' âme par les nuits d' été; bref , une déception immense .","- de le NCSENT à NCmod de NCCOR , de le NCSENT à NCmod de NCmod , le NC de un NP et le NC de le NCmod , un NC de INF , le NC de INF , et de le NC à le NCmod par le NCT de été; INTJ , un NCSENT ADJ ."
5,1886_Marguerite_Jours-d'epreuve_N.txt,"- Pourtant ai-je assez aspiré , naïvement , à les douleurs et à les voluptés de l' Amour , tel que le chantent les poètes et que le subissent les hommes , l' Amour pour qui l' on vole , l' on trahit , l' on tue , et qu' attestent et glorifient les chefs -d' oeuvre de l' art .","- pourtant ADJ ADV PPAS , ADV , à le NCSENT et à le NC de le NCSENT , tel que le PRES le NCo et que le PRES le NCo , le NCSENT pour qui l' on PRES , l' on PRES , l' on PRES , et que PRES et PRES le NCo -un NCmod de le NCmod ."
6,1886_Marguerite_Jours-d'epreuve_N.txt,- Existe -t -il seulement ?,- PRES t il seulement ?
7,1886_Marguerite_Jours-d'epreuve_N.txt,"- Ne ressemble -t -il pas à ce livre qu' Hamlet feuillette : - Que lisez -vous là , monseigneur ?","- ne PRES t il pas à ce NC que NP ADJ : - que PRES vous ADVLIEU , NC ?"
8,1886_Marguerite_Jours-d'epreuve_N.txt,- De les mots !,- de le NCo !
9,1886_Marguerite_Jours-d'epreuve_N.txt,De les mots !,de le NC !
10,1886_Marguerite_Jours-d'epreuve_N.txt,"- Qu' importe , si ces mots recèlent une force magique , la vertu d' un charme qui enlève l' homme à les mesquines réalités , et l' enivre ?","- que PRES , si ce NCs PRES un NCSENT ADJ , le NC de un NCmod qui PRES le NCo à le ADJ NC , et le NC ?"
11,1886_Marguerite_Jours-d'epreuve_N.txt,"- Mais pourquoi ne la rencontrai-je jamais , cette ivresse ?","- mais pourquoi ne le NC ADVTEMPS , ce NCSENT ?"
12,1886_Marguerite_Jours-d'epreuve_N.txt,- Sécheresse de le coeur ?— Non .,- NP de le NCCOR ?— non .
13,1886_Marguerite_Jours-d'epreuve_N.txt,Malchance ?,NP ?
14,1886_Marguerite_Jours-d'epreuve_N.txt,— Peut-être .,— peut-être .
15,1886_Marguerite_Jours-d'epreuve_N.txt,"- De mes rares bonnes fortunes , il ne me reste que de l' indifférence , ou de les regrets , et dans ce que j' ai éprouvé de meilleur , pas une joie pleine … Ainsi ressassait -il le néant de sa vie , morne , regardant de son bureau un grand mur en moellons rugueux , qui barrait le ciel , le jour , et comme la vie splénétique de l' employé .","- de DETPOSS NC ADJ ADJ , il ne me PRES que de le VSENT , ou de le NCSENT , et dans ce que je avoir VSENT de meilleur , pas un NCSENT ADJ … ainsi VIMP il le NCo de DETPOSS NCmod , ADJ , VCOG de DETPOSS NC un ADJ NC en NCmod ADJ , qui VCOND le NCo , le NCT , et comme le NC ADJ de le NCmod ."
16,1886_Marguerite_Jours-d'epreuve_N.txt,De les monceaux de paperasses s' écroulaient devant lui .,de le NCs de NCmod se VIMP ADVLIEU lui .
17,1886_Marguerite_Jours-d'epreuve_N.txt,"D' énormes bûches , dans la cheminée , pétillaient toutes rouges , empourprant le visage d' un vieil homme , courbé sur de les registres .","un ADJ NCs , dans le NCmod , VIMP tout ADJCOL , PPRES le NCCOR de un ADJ NCmod , PPAS sur de le NC ."
18,1886_Marguerite_Jours-d'epreuve_N.txt,"Les cartons , le long de le mur , sentaient la poussière .","le NCs , le NCmod de le NCmod , VIMP le NCo ."
19,1886_Marguerite_Jours-d'epreuve_N.txt,"André s' étira , les doigts crispés , avec un bâillement de bête en cage , et brusque s' accouda , regardant devant lui , sans voir : - Eh bien !","NP se VF , le NCCOR PPAS , avec un NC de NCmod en NCmod , et brusque se VPS , VCOG ADVLIEU lui , sans VCOG : - INTJ bien !"
20,1886_Marguerite_Jours-d'epreuve_N.txt,"il faut , si l' on n' aime pas , avoir l' illusion d' aimer .","il PRES , si l' on ne VSENT pas , avoir le NCo de VSENT ."
21,1886_Marguerite_Jours-d'epreuve_N.txt,"Vivre sans femme , sans une douce et continue présence , cela se peut -il ?","NC sans NCmod , sans un NC et PRES NCo , cela se pouvoir il ?"
22,1886_Marguerite_Jours-d'epreuve_N.txt,"Quelle tristesse , le célibat !","quel NCSENT , le NC !"
23,1886_Marguerite_Jours-d'epreuve_N.txt,"Et posséder de les maîtresses de rencontre , espacer les jours et compter les heures , c' est être seul; on s' en lasse .","et INF de le NC de NCmod , INF le NCT et INF le NCT , ce être être seul; on se en PRES ."
24,1886_Marguerite_Jours-d'epreuve_N.txt,"- Plus tôt , plus tard , l' habitude enfin s' impose , qui rive la chaîne .","- plus tôt , plus tard , le NCs PHASE se PRES , qui PRES le NCo ."
25,1886_Marguerite_Jours-d'epreuve_N.txt,Pourquoi pas tout de suite ?,pourquoi pas tout de NC ?
26,1886_Marguerite_Jours-d'epreuve_N.txt,"— Mariage , concubinage : même chose .","— NP , NC : même chose ."
27,1886_Marguerite_Jours-d'epreuve_N.txt,"L' un , jeune et libre , mais menaçant de représailles futures , de fausses hontes .","le un , ADJ et ADJ , mais VDIC de NC ADJ , de ADJ NC ."
28,1886_Marguerite_Jours-d'epreuve_N.txt,"L' autre grave , comme tout devoir et toute responsabilité , mais gros de joies intimes , conjugales , paternelles .","le autre NC , comme tout devoir et tout NC , mais ADJ de NCSENT ADJ , ADJ , ADJ ."
29,1886_Marguerite_Jours-d'epreuve_N.txt,"Ah! la femme , l' entendre , la frôler , la chérir , dans le bruissement de ses robes et la grâce de ses gestes , manger , vivre et dormir avec elle , à tout prix , demain , André l' exigera .","Ah! le NCs , le VCOG , le INF , le VSENT , dans le NC de DETPOSS NCmod et le NC de DETPOSS NCmod , INF , INF et INF avec il , à tout NC , ADVT , NP le VF ."
30,1886_Marguerite_Jours-d'epreuve_N.txt,Depuis longtemps cette résolution couvait en lui .,depuis longtemps ce NCs VIMP en lui .
31,1886_Marguerite_Jours-d'epreuve_N.txt,Sa mère en aurait un grand chagrin .,DETPOSS NCs en avoir un ADJ NCSENT .
32,1886_Marguerite_Jours-d'epreuve_N.txt,"Seule , maladive et jalouse , elle l' aimait d' une affection dévouée , étroite et égoïste aussi .","ADJ , ADJ et ADJ , il le VSENT de un NCSENT PPAS , ADJ et PRES aussi ."
33,1886_Marguerite_Jours-d'epreuve_N.txt,- Mais que faire ?,- mais que faire ?
34,1886_Marguerite_Jours-d'epreuve_N.txt,se demanda -t -il .,se VPS t il .
35,1886_Marguerite_Jours-d'epreuve_N.txt,"Si l' on ne doit pas attendre de l' amour la joie de passions fortes , d' émotions violentes , de le moins lui peut -on demander la douceur de les intimités , le quotidien côte-à-côte , par lequel on supporte mieux les chagrins de la vie ; et ils ont tellement accablé André , que la solitude lui fait horreur .","si l' on ne devoir pas INF de le NCSENT le NCSENT de NCSENT fort , de NCSENT ADJ , de le moins lui pouvoir on INF le NCo de le NCmod , le NC ADJ , par lequel on PRES mieux le NCSENT de le NCmod ; et il avoir ADVINT VSENT NP , que le NCs lui faire NCo ."
36,1886_Marguerite_Jours-d'epreuve_N.txt,Il veut quelqu'un à qui parler .,il vouloir quelqu'un à qui INF .
37,1886_Marguerite_Jours-d'epreuve_N.txt,Sa vie de sensations et de sentiments rentrés l' étouffe .,DETPOSS NC de NCSENT et de NCSENT PPAS le NCo .
38,1886_Marguerite_Jours-d'epreuve_N.txt,"Devant ce mur qui lui coupe la vue , et qui peu à peu a pris pour lui un sens hostile et symbolique , il éprouve un furieux besoin de s' évader , hors d' ici , et de lui-même .","ADVLIEU ce NC qui lui PRES le NCo , et qui peu à peu avoir PPAS pour lui un NCo ADJ et ADJ , il VSENT un ADJ NCo de se INF , ADV de ADVLIEU , et de soi-même ."
39,1886_Marguerite_Jours-d'epreuve_N.txt,"Il a vingt-cinq ans , porte un de les vieux noms de France : de le Guaspre de Mercy , est grand et fort , quoiqu' anémié , assez beau , malgré la tristesse de les yeux et le pli tombant de la bouche .","il avoir NUM NCT , PRES un de le ADJ NCmod de NP : de le NP de NP , être ADJ et fort , quoique PPAS , ADV ADJ , malgré le NCSENT de le NCCOR et le NC PPRES de le NCCOR ."
40,1886_Marguerite_Jours-d'epreuve_N.txt,"Bachelier , s' il n' était paresseux , il aurait , comme tant d' autres , licences et doctorats .","NC , si il ne être ADJ , il avoir , comme tant de autre , NC et NC ."
41,1886_Marguerite_Jours-d'epreuve_N.txt,"D' intelligence saine , de goûts délicats , malgré l' étroitesse de quelques idées , il est quelqu'un , de par la probité de son caractère .","de NC ADJ , de NC ADJ , malgré le NCmod de quelque NCmod , il être quelqu'un , de par le NC de DETPOSS NCmod ."
42,1886_Marguerite_Jours-d'epreuve_N.txt,"Il pourrait être haut placé , et ne serait point déplacé .","il pouvoir être ADV PPAS , et ne être ADV PPAS ."
43,1886_Marguerite_Jours-d'epreuve_N.txt,"Il l' est , dans ce bureau .","il le être , dans ce NC ."
