id,titre,phrase,motifs_phrase
1,Daudet/rois_en_exil copie_clean.txt,Frédérique dormait depuis le matin .,NP VIMP depuis le NCT .
2,Daudet/rois_en_exil copie_clean.txt,"Un sommeil de fièvre et de fatigue où le rêve était fait de toutes ses détresses de reine exilée et déchue , un sommeil que le fracas , les angoisses d' un siège de deux mois secouaient encore , traversé de visions sanglantes et guerrières , de sanglots , de frissons , de détentes nerveuses , et dont elle ne sortit que par un sursaut d' épouvante .","un NC de VSENT et de NCSENT où le NCspas être faire de tout DETPOSS NCSENT de NCmod PPAS et PPAS , un NC que le NCmod , le NCSENT de un NCmod de NUM NCT VIMP encore , PPAS de NC ADJ et ADJ , de NC , de NCSENT , de NCSENT ADJ , et dont il ne VPS que par un NC de NCmod ."
3,Daudet/rois_en_exil copie_clean.txt,Zara ?,NP ?
4,Daudet/rois_en_exil copie_clean.txt,… Où est Zara?… criait -elle .,… où être NP VDIC il .
5,Daudet/rois_en_exil copie_clean.txt,"Une de ses femmes s' approcha de le lit , la rassura doucement : S .","Une de DETPOSS NCmod se VPS de le NC , le VSENT ADVMAN : NP ."
6,Daudet/rois_en_exil copie_clean.txt,A .,à .
7,Daudet/rois_en_exil copie_clean.txt,"R. le comte de Zara dormait , bien tranquille , dans sa chambre ; Mme Éléonore était auprès de lui .","ADV le NCs de NP VIMP , bien ADJ , dans DETPOSS NC ; madame NP être ADV de lui ."
8,Daudet/rois_en_exil copie_clean.txt,Et le roi ?,et le NC ?
9,Daudet/rois_en_exil copie_clean.txt,Sorti depuis midi dans une de les voitures de l' hôtel .,PPAS depuis NC dans un de le NCmod de le NCmod .
10,Daudet/rois_en_exil copie_clean.txt,Tout seul ?,tout ADJ ?
11,Daudet/rois_en_exil copie_clean.txt,Non .,non .
