id,titre,phrase,motifs_phrase
1,Zola/1888_16_Le_reve._clean.txt,"Pendant le rude hiver de 1860 , l' Oise gela , de grandes neiges couvrirent les plaines de la basse Picardie ; et il en vint surtout une bourrasque de le nord-est , qui ensevelit presque Beaumont , le jour de la Noël .","PHASE le ADJ NC de NUM , le NP gela , un ADJ NC VPS le NCo de le NCmod NP ; et il en venir surtout un NCo de le NCmod , qui VPS presque NP , le NCT de le NP ."
2,Zola/1888_16_Le_reve._clean.txt,"La neige , s' étant mise à tomber dès le matin , redoubla vers le soir , s' amassa durant toute la nuit .","le NCs , se être mettre à INF dès le NCT , VPS vers le NCT , se VPS durant tout le NCT ."
3,Zola/1888_16_Le_reve._clean.txt,"Dans la ville haute , rue de les Orfèvres , à le bout de laquelle se trouve comme enclavée la façade nord de le transept de la cathédrale , elle s' engouffrait , poussée par le vent , et allait battre la porte Sainte-Agnès , l' antique porte romane , presque déjà gothique , très ornée de sculptures sous la nudité de le pignon .","dans le NC ADJ , NCs de le NP , à le NCmod de lequel se PRES comme NC le NCo NCmod de le NCmod de le NCmod , il se VCOND , PPAS par le NC , et aller INF le NCo NP , le ADJ NC ADJ , presque déjà ADJ , très PPAS de NC sous le NCmod de le NCmod ."
4,Zola/1888_16_Le_reve._clean.txt,"Le lendemain , à l' aube , il y en eut là près de trois pieds .","le NC , à le NCmod , il y en avoir ADVLIEU ADVLIEU de NUM NCCOR ."
5,Zola/1888_16_Le_reve._clean.txt,"La rue dormait encore , emparessée par la fête de la veille .","le NCs VIMP encore , PPAS par le NC de le NCmod ."
6,Zola/1888_16_Le_reve._clean.txt,Six heures sonnèrent .,NUM NCT VPS .
7,Zola/1888_16_Le_reve._clean.txt,"Dans les ténèbres , que bleuissait la chute lente et entêtée de les flocons , seule une forme indécise vivait , une fillette de neuf ans , qui , réfugiée sous les voussures de la porte , y avait passé la nuit à grelotter , en s' abritant de son mieux .","dans le NC , que VIMP le NCs ADJ et ADJ de le NCmod , ADJ un NC ADJ VIMP , un NCs de NUM NCT , qui , PPAS sous le NC de le NCmod , y avoir PPAS le NCT à INF , en se PPRES de DETPOSS mieux ."
8,Zola/1888_16_Le_reve._clean.txt,"Elle était vêtue de loques , la tête enveloppée d' un lambeau de foulard , les pieds nus dans de gros souliers d' homme .","il être PPAS de NC , le NCCOR PPAS de un NCmod de NCmod , le NCCOR ADJ dans un ADJ NCmod de NCmod ."
9,Zola/1888_16_Le_reve._clean.txt,"Sans doute elle n' avait échoué là qu' après avoir longtemps battu la ville , car elle y était tombée de lassitude .","sans NCSENT il ne avoir PPAS ADVLIEU que PHASE avoir longtemps PPAS le NCo , car il y être PPAS de NCSENT ."
10,Zola/1888_16_Le_reve._clean.txt,"Pour elle , c' était le bout de la terre , plus personne ni plus rien , l' abandon dernier , la faim qui ronge , le froid qui tue ; et , dans sa faiblesse , étouffée par le poids lourd de son cœur , elle cessait de lutter , il ne lui restait que le recul physique , l' instinct de changer de place , de s' enfoncer dans ces vieilles pierres , lorsqu' une rafale faisait tourbillonner la neige .","pour il , ce être le NC de le NCmod , plus PRES ni plus rien , le NC ADJ , le NC qui VSENT , le NC qui PRES ; et , dans DETPOSS NC , PPAS par le NC ADJ de DETPOSS NCmod , il VASP de INF , il ne lui VIMP que le NC ADJ , le NC de INF de NC , de se INF dans ce ADJ NC , lorsque un NC faire INF le NCo ."
11,Zola/1888_16_Le_reve._clean.txt,"Les heures , les heures coulaient .","le NCT , le NCT VIMP ."
12,Zola/1888_16_Le_reve._clean.txt,"Longtemps , entre le double vantail de les deux baies jumelles , elle s' était adossée à le trumeau , dont le pilier porte une statue de sainte Agnès , la martyre de treize ans , une petite fille comme elle , avec la palme et un agneau à ses pieds .","longtemps , entre le ADJ NC de le NUM NCmod ADJ , il se être PPAS à le NC , dont le NCs PRES un NCo de NCmod NP , le NC de NUM NCT , un ADJ NC comme il , avec le NC et un NC à DETPOSS NCCOR ."
13,Zola/1888_16_Le_reve._clean.txt,"Et , dans le tympan , au-dessus de le linteau , toute la légende de la vierge enfant , fiancée à Jésus , se déroule , en haut relief , d' une foi naïve : ses cheveux qui s' allongèrent et la vêtirent , lorsque le gouverneur , dont elle refusait le fils , l' envoya nue à les mauvais lieux ; les flammes de le bûcher qui , s' écartant de ses membres , brûlèrent les bourreaux , dès qu' ils eurent allumé le bois ; les miracles de ses ossements , Constance , fille de l' empereur , guérie de la lèpre , et les miracles d' une de ses figures peintes , le prêtre Paulin , tourmenté de le besoin de prendre femme , présentant , sur le conseil de le pape , l' anneau orné d' une émeraude à l' image , qui tendit le doigt , puis le rentra , gardant l' anneau qu' on y voit encore , ce qui délivra Paulin .","et , dans le NC , ADVLIEU de le NC , tout le NCs de le ADJ NCmod , PPAS à NP , se PRES , en NC NCmod , de un NC ADJ : DETPOSS NCCOR qui se PRES et le VPS , lorsque le NC , dont il VIMP le NCo , le NC ADJ à le ADJ NCmod ; le NC de le NCmod qui , se PPRES de DETPOSS NC , VPS le NCo , dès que il avoir PPAS le NCo ; le NC de DETPOSS NCmod , NP , NC de le NCmod , NC de le NCmod , et le NC de un de DETPOSS NCCOR ADJ , le NC NP , VSENT de le NC de INF NCo , PPRES , sur le NC de le NCmod , le NC PPAS de un ADJCOL à le NCmod , qui VPS le NCCOR , puis le VPS , PPRES le NCo que on y VCOG encore , ce qui VF NP ."
14,Zola/1888_16_Le_reve._clean.txt,"À le sommet de le tympan , dans une gloire , Agnès est enfin reçue à le ciel , où son fiancé Jésus l' épouse , toute petite et si jeune , en lui donnant le baiser de les éternelles délices .","à le NC de le NCmod , dans un NCmod , NP être PHASE PPAS à le NC , où DETPOSS NCs NP le NC , tout ADJ et si ADJ , en lui PPRES le NCo de le NCmod ADJ ."
15,Zola/1888_16_Le_reve._clean.txt,"Mais , lorsque le vent enfilait la rue , la neige fouettait de face , de les paquets blancs menaçaient de barrer le seuil ; et l' enfant , alors , se garait sur les côtés , contre les vierges posées au-dessus de le stylobate de l' ébrasement .","mais , lorsque le NCs VIMP le NCo , le NCs VIMP de NC , de le NCmod ADJCOL VIMP de INF le NCo ; et le NC , alors , se VCOND sur le NC , contre le NCmod PPAS ADVLIEU de le NC de le NCmod ."
16,Zola/1888_16_Le_reve._clean.txt,"Ce sont les compagnes d' Agnès , les saintes qui lui servent d' escorte : trois à sa droite , Dorothée , nourrie en prison de pain miraculeux , Barbe , qui vécut dans une tour , Geneviève , dont la virginité sauva Paris ; et trois à sa gauche , Agathe , les mamelles tordues et arrachées , Christine , torturée par son père , et qui lui jeta de sa chair à le visage , Cécile , qui fut aimée d' un ange .","ce être le NC de NP , le NC qui lui PRES de NC : NUM à DETPOSS NCmod , NP , NC en NCmod de NCmod ADJ , NP , qui VPS dans un NC , NP , dont le NCs VPS NP ; et NUM à DETPOSS NCmod , NP , le NCo PPAS et PPAS , NP , PPAS par DETPOSS NC , et qui lui VPS de DETPOSS NCCOR à le NCCOR , NP , qui être VSENT de un NC ."
17,Zola/1888_16_Le_reve._clean.txt,"Au-dessus d' elles , de les vierges encore , trois rangs serrés de vierges montent avec les arcs de les claveaux , garnissent les trois voussures d' une floraison de chairs triomphantes et chastes , en bas martyrisées , broyées dans les tourments , en haut accueillies par un vol de chérubins , ravies d' extase à le milieu de la cour céleste .","ADVLIEU de il , de le NC encore , NUM NCs PPAS de NC PRES avec le NC de le NCmod , PRES le NUM NCo de un NCmod de NCCOR ADJ et ADJ , en ADJ NCmod , PPAS dans le NCSENT , en NC PPAS par un NC de NCmod , NC de NCSENT à le milieu de le NCmod ADJ ."
18,Zola/1888_16_Le_reve._clean.txt,"Et rien ne la protégeait plus , depuis longtemps , lorsque huit heures sonnèrent et que le jour grandit .","et rien ne le VIMP plus , depuis longtemps , lorsque NUM NCT VPS et que le NCT ADJ ."
19,Zola/1888_16_Le_reve._clean.txt,"La neige , si elle ne l' eût foulée , lui serait allée à les épaules .","le NCs , si il ne le avoir PPAS , lui être aller à le NCCOR ."
20,Zola/1888_16_Le_reve._clean.txt,"L' antique porte , derrière elle , s' en trouvait tapissée , comme tendue d' hermine , toute blanche ainsi qu' un reposoir , à le bas de la façade grise , si nue et si lisse , que pas un flocon ne s' y accrochait .","le ADJ NC , ADVLIEU il , se en VIMP PPAS , comme NC de NCmod , tout ADJ ainsi que un NC , à le NC de le NCmod ADJ , si ADJ et si ADJ , que pas un NCs ne se y VIMP ."
21,Zola/1888_16_Le_reve._clean.txt,"Les grandes saintes de l' ébrasement surtout en étaient vêtues , de leurs pieds blancs à leurs cheveux blancs , éclatantes de candeur .","le ADJ NC de le NCmod surtout en être PPAS , de DETPOSS NCCOR ADJCOL à DETPOSS NCCOR ADJCOL , NC de NCmod ."
22,Zola/1888_16_Le_reve._clean.txt,"Plus haut , les scènes de le tympan , les petites saintes de les voussures s' enlevaient en arêtes vives , dessinées d' un trait de clarté sur le fond sombre ; et cela jusqu' à le ravissement final , à le mariage d' Agnès , que les archanges semblaient célébrer sous une pluie de roses blanches .","plus ADV , le NCs de le NCmod , le ADJ NC de le NCmod se VIMP en NC ADJ , PPAS de un NC de NCmod sur le NCmod ADJ ; et cela jusque à le NCSENT ADJ , à le NC de NP , que le NCs VIMP INF sous un NC de ADJCOL ADJCOL ."
23,Zola/1888_16_Le_reve._clean.txt,"Debout sur son pilier , avec sa palme blanche , son agneau blanc , la statue de la vierge enfant avait la pureté blanche , le corps de neige immaculé , dans cette raideur immobile de le froid , qui glaçait autour d' elle le mystique élancement de la virginité victorieuse .","ADV sur DETPOSS NC , avec DETPOSS NCmod ADJCOL , DETPOSS NCs ADJCOL , le NC de le ADJ NCmod avoir le NCo ADJCOL , le NCCOR de NCmod PPAS , dans ce NC ADJ de le NCmod , qui VIMP ADV de il le ADJ NCo de le NCmod ADJ ."
24,Zola/1888_16_Le_reve._clean.txt,"Et , à ses pieds , l' autre , l' enfant misérable , blanche de neige , elle aussi , raidie et blanche à croire qu' elle devenait de pierre , ne se distinguait plus de les grandes vierges .","et , à DETPOSS NCCOR , le autre , le NC ADJ , ADJCOL de NC , il aussi , PRES et PRES à VCOG que il devenir de NC , ne se VCOG plus de le ADJ NC ."
25,Zola/1888_16_Le_reve._clean.txt,"Cependant , le long de les façades endormies , une persienne qui se rabattit en claquant lui fit lever les yeux .","cependant , le NCmod de le NCmod ADJ , un NC qui se PRES en PPRES lui faire INF le NCCOR ."
26,Zola/1888_16_Le_reve._clean.txt,"C' était , à sa droite , à le premier étage de la maison qui touchait à la cathédrale .","ce être , à DETPOSS NC , à le ADJ NCmod de le NCmod qui VIMP à le NC ."
27,Zola/1888_16_Le_reve._clean.txt,"Une femme , très belle , une brune forte , d' environ quarante ans , venait de se pencher là; et , malgré la gelée terrible , elle laissa une minute son bras nu dehors , ayant vu remuer l' enfant .","un NCs , très ADJ , un NC fort , de environ NUM NCT , venir de se INF là; et , malgré le NC ADJ , il laisser un NCT DETPOSS NCCOR PPAS ADV , avoir VCOG INF le NCo ."
28,Zola/1888_16_Le_reve._clean.txt,Une surprise apitoyée attrista son calme visage .,un NCSENT VSENT VSENT DETPOSS NCSENT NCCOR .
29,Zola/1888_16_Le_reve._clean.txt,"Puis , dans un frisson , elle referma la fenêtre .","puis , dans un NCSENT , il VPS le NCo ."
30,Zola/1888_16_Le_reve._clean.txt,"Elle emportait la vision rapide , sous le lambeau de foulard , d' une gamine blonde , avec de les yeux couleur de violette ; la face allongée , le col surtout très long , d' une élégance de lis , sur de les épaules tombantes ; mais bleuie de froid , ses petites mains et ses petits pieds à moitié morts , n' ayant plus de vivant que la buée légère de son haleine .","il VIMP le NCo ADJ , sous le NC de NCmod , de un NC ADJCOL , avec de le NCCOR NCmod de NCmod ; le NC PPAS , le NC surtout très ADJ , de un NCmod de NCmod , sur un le NCCOR ADJ ; mais PPAS de NC , DETPOSS ADJ NCCOR et DETPOSS ADJ NCCOR à NCmod ADJ , ne avoir plus de PPRES que le NC ADJ de DETPOSS NCmod ."
31,Zola/1888_16_Le_reve._clean.txt,"L' enfant , machinale , était restée les yeux en l' air , regardant la maison , une étroite maison à un seul étage , très ancienne , bâtie vers la fin de le quinzième siècle .","le NCs , ADJ , être PPAS le NCCOR en le NCMAN , VCOG le NCo , un ADJ NC à un ADJ NCmod , très ADJ , PPAS vers le NC de le ADJ NCT ."
