id,titre,phrase,motifs_phrase
1,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Edmond de Goncourt , Jules de Goncourt Sœur Philomène La salle est haute et vaste .","NP de NP , NP de NP NP NP le NC être ADJ et ADJ ."
2,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Elle est longue , et se prolonge dans une ombre où elle s' enfonce sans finir .","il être ADJ , et se PRES dans un NC où il se PRES sans VASP ."
3,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,Il fait nuit .,il faire NCT .
4,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,Deux poêles jettent par leur porte ouverte une lueur rouge .,NUM NCs PRES par lui NC PPAS un NCo ADJCOL .
5,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"De distance en distance de les veilleuses , dont la petite flamme décroît à l' œil , laissent tomber une traînée de feu sur le carreau luisant .","de NC en NCmod de le NCmod , dont le ADJ NCs PRES à le NC , laisser INF un NCo de NCmod sur le NCmod ADJ ."
6,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Sous leurs lueurs douteuses et vacillantes , les rideaux blanchissent confusément à droite et à gauche contre les murs , de les lits s' éclairent vaguement , de les files de lits apparaissent à demi que la nuit laisse deviner .","sous DETPOSS NC ADJ et ADJ , le NCs PRES ADVMAN à NC et à NC contre le NC , de le NCmod se PRES ADV , de le NC de NCmod PRES à ADJ que le NCT laisser VCOG ."
7,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"A un bout de la salle , dans les profondeurs noires , quelque chose semble pâlir , qui a l' apparence d' une vierge de plâtre .","à un NC de le NCmod , dans le NC ADJ , quelque chose sembler INF , qui avoir le NCo de un NCmod de NCmod ."
8,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"L' air est tiède , d' une tiédeur moite .","le NCMAN être ADJ , de un NC ADJ ."
9,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,"Il est chargé d' une odeur fade , d' un gout écœurant de cérat échauffé et de graine de lin bouillie .","il être PPAS de un NC ADJ , de un NCmod ADJ de NCmod ADJ et de NC de NCmod bouillie ."
10,Goncourt/Sœur Philomène - Edmond de Goncourt & Jules de Goncourt_clean.txt,Tout se tait .,tout se VIMP .
