id,titre,phrase,motifs_phrase
1,Daudet/le_Nabab copie_clean.txt,"Debout sur le perron de son petit hôtel de la rue de Lisbonne , rasé de frais , l' œil brillant , la lèvre entrouverte d' aise , ses longs cheveux vaguement grisonnants épandus sur un vaste collet d' habit , carrée d' épaules , robuste et sain comme un chêne , l' illustre docteur irlandais Robert Jenkins , chevalier de le Medjidjié et de l' ordre distingué de Charles III d' Espagne , membre de plusieurs sociétés savantes ou bienfaisantes , président fondateur de l' œuvre de Bethléem , Jenkins enfin , le Jenkins de les perles Jenkins à base arsenicale , c'est-à-dire le médecin à la mode de l' année 1864 , l' homme le plus occupé de Paris , s' apprêtait à monter en voiture , un matin de la fin de novembre , quand une croisée s' ouvrit à le premier étage sur la cour intérieure de l' hôtel , et une voix de femme demanda timidement : Rentrerez -vous déjeuner , Robert ?","ADV sur le NC de DETPOSS ADJ NCmod de le NCmod de NP , PPAS de NC , le NCs ADJ , le NCCOR ADJ de NCmod , DETPOSS ADJ NCCOR ADV ADJ NC sur un ADJ NCmod de NCmod , NC de NCCOR , ADJ et ADJ comme un NC , le ADJ NC ADJ NP NP , NC de le NP et de le NC PPAS de NP NUM de NP , NC de plusieurs NCmod ADJ ou ADJ , NC ADJ de le NCmod de NP , NP PHASE , le NP de le NCmod ADJ à NCmod ADJ , ADV le NC à le NCmod de le NCT NUM , le NC le plus PPAS de NP , se VIMP à INF en NC , un NCT de le NCmod de NCmod , quand un NCs se VPS à le ADJ NC sur le NC ADJ de le NCmod , et un NCMAN de NCmod VPS ADVMAN : PRES le INF , NP ?"
2,Daudet/le_Nabab copie_clean.txt,Oh !,INTJ !
3,Daudet/le_Nabab copie_clean.txt,"de quel bon et loyal sourire s' éclaira tout à coup cette belle tête de savant et d' apôtre , et dans le tendre bonjour que ses yeux envoyèrent là-haut vers le chaud peignoir blanc entrevu derrière les tentures soulevées comme on devinait bien une de ces passions conjugales tranquilles et sûres , que l' habitude resserre de toute la souplesse et la solidité de ses liens .","de quel ADJ et ADJ NCMAN se VF tout à NC ce ADJ NCCOR de NCmod et de NC , et dans le ADJ NC que DETPOSS NCCOR VPS ADVLIEU vers le NC ADJ ADJCOL VCOG ADVLIEU le NC PPAS comme on VCOG bien un de ce NCSENT ADJ ADJ et ADJ , que le NC ADJ de tout le NCmod et le NC de DETPOSS NCmod ."
4,Daudet/le_Nabab copie_clean.txt,"Non , madame Jenkins ... Il aimait à lui donner ainsi publiquement son titre d' épouse légitime , comme s' il eût trouvé là une intime satisfaction , une sorte d' acquit de conscience envers la femme qui lui rendait la vie si riante ... Non , ne m' attendez pas ce matin .","non , madame NP ... il VSENT à lui INF ainsi ADV DETPOSS NCo de NCmod ADJ , comme si il avoir PPAS ADVLIEU un ADJ NCSENT , un sorte de NCmod de NCmod envers le NCmod qui lui VIMP le NCo si ADJ ... non , ne le IMP pas ce NCT ."
5,Daudet/le_Nabab copie_clean.txt,Je déjeune place Vendôme .,je ADJ NC NP .
6,Daudet/le_Nabab copie_clean.txt,Ah !,INTJ !
7,Daudet/le_Nabab copie_clean.txt,"oui ... le Nabab , dit la belle Mme Jenkins avec une nuance très marquée de respect pour ce personnage de les Mille et une Nuits dont tout Paris parlait depuis un mois ; puis , après un peu d' hésitation , bien tendrement , tout bas , entre les lourdes tapisseries , elle chuchota rien que pour le docteur : Surtout n' oubliez pas ce que vous m' avez promis .","oui ... le NP , VDIC le ADJ madame NP avec un NCmod très PPAS de NC pour ce NCmod de le NUM et NUM NC dont tout NP VIMP depuis un NCT ; puis , PHASE un peu de NCmod , bien ADVMAN , tout NC , entre le ADJ NCmod , il VDIC rien que pour le NC : surtout ne VCOG pas ce que vous lui avoir PPAS ."
8,Daudet/le_Nabab copie_clean.txt,"C' était vraisemblablement quelque chose de bien difficile à tenir , car à le rappel de cette promesse les sourcils de l' apôtre se froncèrent , son sourire se pétrifia , toute sa figure prit une expression d' incroyable dureté ; mais ce fut l' affaire d' un instant .","ce être ADV quelque chose de bien ADJ à INF , car à le NC de ce NCmod le NCCOR de le NCmod se VPS , DETPOSS NCMAN se VSENT , tout DETPOSS NCCOR VPS un NCo de ADJ NCmod ; mais ce être le NC de un NCmod ."
9,Daudet/le_Nabab copie_clean.txt,"À le chevet de leurs riches malades , ces physionomies de médecins à la mode deviennent expertes à mentir .","à le NC de DETPOSS ADJ NCmod , ce NCs de NCmod à le NCmod devenir ADV à INF ."
10,Daudet/le_Nabab copie_clean.txt,"Avec son air le plus tendre , le plus cordial , il répondit en montrant une rangée de dents éblouissantes : Ce que j' ai promis sera fait , madame Jenkins .","avec DETPOSS NCMAN le plus ADJ , le plus ADJ , il VDIC en PPRES un NCo de NCCOR ADJ : ce que je avoir PPAS être faire , madame NP ."
