id,titre,phrase,motifs_phrase
1,1885_Metenier_La-Chair_N.txt,"Oscar Méténier La Chair LA CHAIR — Madame Massabielle , je vous amène un pensionnaire !","NP NP le NP NP NP — madame ADJ , je vous PRES un NCo !"
2,1885_Metenier_La-Chair_N.txt,"Mme Massabielle , une grosse femme de cinquante ans environ , à la lèvre supérieure ombragée par un duvet très noir , à les bras surchargés de bijoux , considéra un instant le jeune homme qu' on lui présentait .","madame ADJ , un ADJ NCs de NUM NCT environ , à le NCCOR ADJ PPAS par un NCCOR très ADJ , à le NCCOR PPAS de NC , VPS un NCo le ADJ NCo que on lui VIMP ."
3,1885_Metenier_La-Chair_N.txt,"Satisfaite sans doute de cet examen préliminaire , elle fléchit lourdement sur sa base , sans parvenir à courber sa taille opulente devant le nouveau venu .","PPAS sans NCSENT de ce NC ADJ , il VSENT ADVMAN sur DETPOSS NC , sans INF à INF DETPOSS NCo ADJ ADVLIEU le ADJ NC ."
4,1885_Metenier_La-Chair_N.txt,"— Madame Massabielle , continua l' abbé Bernadet , je vous présente M. le vicomte de Vitresac , un compatriote , qui vient à Paris faire son droit , J' ai dirigé son instruction jusqu' à ce jour , mais M. le vicomte vient de passer ses examens .","— madame NP , VPS le NCo NP , je vous PRES monsieur le NC de NP , un NC , qui venir à NP faire DETPOSS NCo , je avoir PPAS DETPOSS NCo jusque à ce NCT , mais monsieur le NCmod venir de INF DETPOSS NCo ."
5,1885_Metenier_La-Chair_N.txt,Sa famille m' a chargé de le conduire jusqu' à Paris .,DETPOSS NCs lui avoir PPAS de le INF jusque à NP .
6,1885_Metenier_La-Chair_N.txt,"Je vous le recommande , Madame Massabielle , c' est une âme d' élite , j' espère que vous aurez pour lui les soins les plus dévoués .","je vous le PRES , madame ADJ , ce être un NC de NCmod , je VCOG que vous avoir pour lui le NCo le plus ADJ ."
7,1885_Metenier_La-Chair_N.txt,"— Les soins d' une mère , Monsieur l' abbé !","— le NCs de un NCmod , monsieur le NC !"
8,1885_Metenier_La-Chair_N.txt,gémit Mme Massabielle de sa voix de contralto .,VPS NCo ADJ de DETPOSS NCMAN de NCmod .
9,1885_Metenier_La-Chair_N.txt,Monsieur le vicomte pourra se croire ici à le sein de sa famille .,monsieur le NC pouvoir se VCOG ADVLIEU à le NC de DETPOSS NCmod .
10,1885_Metenier_La-Chair_N.txt,"Vous connaissez ma maison , Monsieur l' abbé !","vous PRES DETPOSS NCo , monsieur le NC !"
11,1885_Metenier_La-Chair_N.txt,"Ce n' est pas d' aujourd'hui , Dieu merci , que sa réputation est faite !","ce ne être pas de ADVT , NP INTJ , que DETPOSS NCspas être faire !"
