id,titre,phrase,motifs_phrase
1,1885_Maupassant_Bel-Ami_N.txt,"Guy de Maupassant Bel-Ami Première partie I Quand la caissière lui eut rendu la monnaie de sa pièce de cent sous , Georges Duroy sortit de le restaurant .","NP de NP NP ADJ NC NUM quand le NCs lui avoir PPAS le NCo de DETPOSS NC de NUM NCmod , NP NP VPS de le NC ."
2,1885_Maupassant_Bel-Ami_N.txt,"Comme il portait beau , par nature et par pose d' ancien sous-officier , il cambra sa taille , frisa sa moustache d' un geste militaire et familier , et jeta sur les dîneurs attardés un regard rapide et circulaire , un de ces regards de joli garçon , qui s' étendent comme de les coups d' épervier .","comme il VIMP ADJ , par NC et par NC de ADJ NC , il VPS DETPOSS NCo , VPS DETPOSS NCCOR de un NCmod ADJ et ADJ , et VPS sur le NC PPAS un NCMAN ADJ et ADJ , un de ce NCMAN de ADJ NCmod , qui se PRES comme de le NC de NCmod ."
3,1885_Maupassant_Bel-Ami_N.txt,"Les femmes avaient levé la tête vers lui , trois petites ouvrières , une maîtresse de musique entre deux âges , mal peignée , négligée , coiffée d' un chapeau toujours poussiéreux et vêtue toujours d' une robe de travers , et deux bourgeoises avec leurs maris , habituées de cette gargote à prix fixe .","le NCs avoir PPAS le NCCOR vers lui , NUM ADJ NCs , un NC de NCmod entre NUM NC , mal PPAS , PPAS , PPAS de un NC ADVTEMPS ADJ et PPAS ADVTEMPS de un NC de travers , et NUM NCmod avec DETPOSS NC , PPAS de ce NC à NCmod ADJ ."
4,1885_Maupassant_Bel-Ami_N.txt,"Lorsqu' il fut sur le trottoir , il demeura un instant immobile , se demandant ce qu' il allait faire .","lorsque il être sur le NC , il VPS un NC ADJ , se PPRES ce que il aller faire ."
5,1885_Maupassant_Bel-Ami_N.txt,"On était à le 28 juin , et il lui restait juste en poche trois francs quarante pour finir le mois .","on être à le NUM MOIS , et il lui VIMP ADV en PRES NUM NCo NUM pour VASP le NCT ."
6,1885_Maupassant_Bel-Ami_N.txt,"Cela représentait deux dîners sans déjeuners , ou deux déjeuners sans dîners , à le choix .","cela VIMP NUM NCo sans NCmod , ou NUM NC sans NCmod , à le NCmod ."
7,1885_Maupassant_Bel-Ami_N.txt,"Il réfléchit que les repas de le matin étant de vingt-deux sous , à le lieu de trente que coûtaient ceux de le soir , il lui resterait , en se contentant de les déjeuners , un franc vingt centimes de boni , ce qui représentait encore deux collations à le pain et à le saucisson , plus deux bocks sur le boulevard .","il PRES que le NCs de le NCT être de NUM NC , à le NC de NUM que VIMP celui de le NCT , il lui VCOND , en se VSENT de le NC , un NC NUM NC de NCmod , ce qui VIMP encore NUM NC à le NCmod et à le NC , plus NUM NC sur le NCmod ."
8,1885_Maupassant_Bel-Ami_N.txt,C' était là sa grande dépense et son grand plaisir de les nuits ; et il se mit à descendre la rue Notre-Dame-de-Lorette .,ce être ADVLIEU DETPOSS ADJ PRES et DETPOSS ADJ NCSENT de le NCT ; et il se mettre à INF le NCo NP .
9,1885_Maupassant_Bel-Ami_N.txt,"Il marchait ainsi qu' à le temps où il portait l' uniforme de les hussards , la poitrine bombée , les jambes un peu entrouvertes comme s' il venait de descendre de cheval ; et il avançait brutalement dans la rue pleine de monde , heurtant les épaules , poussant les gens pour ne point se déranger de sa route .","il VIMP ainsi que à le temps où il VIMP le NC de le NCmod , le NCs ADJ , le NCCOR un peu ADJ comme si il venir de INF de NC ; et il VIMP ADVMAN dans le NC ADJ de NCmod , VSENT le NCCOR , PPRES le NCo pour ne ADV se VSENT de DETPOSS NC ."
10,1885_Maupassant_Bel-Ami_N.txt,"Il inclinait légèrement sur l' oreille son chapeau à haute forme assez défraîchi , et battait le pavé de son talon .","il VIMP ADVINT sur le NCCOR DETPOSS NC à ADJ NCmod ADV PPAS , et VIMP le NC de DETPOSS NCCOR ."
