id,titre,phrase,motifs_phrase
1,Daudet/numa_roumestan copie_clean.txt,"Ce dimanche -là , un dimanche de juillet chauffé à blanc , il y avait , à l' occasion de le concours régional , une grande fête de jour à les arènes d' Aps-en-Provence .","ce ADVT ADVLIEU , un ADVT de MOIS PPAS à ADJCOL , il y avoir , à le NC de le NCmod ADJ , un ADJ NCo de NCT à le NCmod de NP ."
2,Daudet/numa_roumestan copie_clean.txt,"Toute la ville était venue : les tisserands de le Chemin-Neuf , l' aristocratie de le quartier de la Calade , même de le monde de Beaucaire .","tout le NCs être venir : le NCs de le NP , le NC de le NCmod de le NP , même de le NCmod de NP ."
3,Daudet/numa_roumestan copie_clean.txt,Cinquante mille personnes à le moins !,NC NUM NCmod à le moins !
4,Daudet/numa_roumestan copie_clean.txt,disait le Forum dans sa chronique de le lendemain ; mais on doit tenir compte de l' enflure méridionale .,VDIC le NP dans DETPOSS NC de le NCmod ; mais on devoir INF NCo de le NC ADJ .
5,Daudet/numa_roumestan copie_clean.txt,"Le vrai , c' est qu' une foule énorme s' étageait , s' écrasait sur les gradins brûlés de le vieil amphithéâtre , comme à le beau temps de les Antonins , et que la fête de les comices n' était pour rien dans ce débordement de peuple .","le vrai , ce être que un NCs ADJ se VIMP , se VIMP sur le NC VSENT de le ADJ NCmod , comme à le ADJ temps de le NP , et que le NCs de le NCmod ne être pour rien dans ce NC de NCmod ."
6,Daudet/numa_roumestan copie_clean.txt,"Il fallait autre chose que les courses landaises , les luttes pour hommes et demi-hommes , les jeux de l' étrange-chat et de le saut sur l' outre , les concours de flûtets et de tambourins , spectacles locaux plus usés que la pierre rousse de les arènes , pour rester deux heures debout sur ces dalles flambantes , deux heures dans ce soleil tuant , aveuglant , à respirer de la flamme et de la poussière à odeur de poudre , à braver les ophtalmies , les insolations , les fièvres pernicieuses , tous les dangers , toutes les tortures de ce qu' on appelle là-bas une fête de jour .","il VIMP autre chose que le NC ADJ , le NC pour NCmod et NC , le NC de le NCmod et de le NC sur le ADV , le NCmod de NCmod et de NC , NC ADJ plus ADJ que le NC ADJCOL de le NCmod , pour INF NUM NCT ADV sur ce NC ADJ , NUM NCT dans ce NCmod PPRES , PPRES , à INF de le NC et de le NC à NC de NCmod , à INF le NCo , le NC , le VSENT ADJ , tout le NCo , tout le NC de ce que on PRES ADVLIEU un NC de NCT ."
7,Daudet/numa_roumestan copie_clean.txt,"Le grand attrait de le concours , c' était Numa Roumestan .","le ADJ NC de le NCmod , ce être NP NP ."
8,Daudet/numa_roumestan copie_clean.txt,Ah !,INTJ !
9,Daudet/numa_roumestan copie_clean.txt,"le proverbe qui dit : Nul n' est prophète ... est certainement vrai de les artistes , de les poètes , dont les compatriotes sont toujours les derniers à reconnaître la supériorité , toute idéale en somme et sans effets visibles ; mais il ne saurait s' appliquer à les hommes d' État , à les célébrités politiques ou industrielles , à ces fortes gloires de rapport qui se monnayent en faveurs , en influences , se reflètent en bénédictions de toutes sortes sur la ville et sur l' habitant .","le NCs qui VDIC : NP ne être NC ... être ADVINT vrai de le NC , de le NC , dont le NCs être ADVTEMPS le NC à VCOG le NCo , tout NC en NCmod et sans NC ADJ ; mais il ne VCOND se INF à le NC de NP , à le NC ADJ ou ADJ , à ce fort NC de NCmod qui se PRES en NC , en NC , se PRES en NC de tout sorte sur le NCmod et sur le NC ."
10,Daudet/numa_roumestan copie_clean.txt,"Voilà dix ans que Numa , le grand Numa , le député leader de toutes les droites , est prophète en terre de Provence , dix ans que , pour ce fils illustre , la ville d' Aps a les tendresses , les effusions d' une mère , et d' une mère de le Midi , à manifestations , à cris , à caresses gesticulantes .","voilà NUM NCT que NP , le ADJ NP , le NC NC de tout le NCmod , être ADJ en NC de NP , NUM NCT que , pour ce NCs PRES , le NCs de NP avoir le NCSENT , le NC de un NCmod , et de un NC de le NCmod , à NC , à NC , à NC ADJ ."
