id,titre,phrase,motifs_phrase
1,Zola/1874_4_La_conquete_de_Plassans._clean.txt,Désirée battit de les mains .,PPAS NC de le NCCOR .
2,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"C' était une enfant de quatorze ans , forte pour son âge , et qui avait un rire de petite fille de cinq ans .","ce être un NC de NUM NCT , ADJ pour DETPOSS NC , et qui VIMP un NCMAN de ADJ NCmod de NUM NCT ."
3,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Maman , maman !","NP , NC !"
4,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"cria -t -elle , vois ma poupée !","VDIC t il , ADV DETPOSS NCo !"
5,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Elle avait pris à sa mère un chiffon , dont elle travaillait depuis un quart d' heure à faire une poupée , en le roulant et en l' étranglant par un bout , à l' aide d' un brin de fil .","il avoir PPAS à DETPOSS NC un NC , dont il VIMP depuis un NC de NCT à faire un NCo , en le NC et en le NC par un NC , à le NCmod de un NCmod de NCmod ."
6,Zola/1874_4_La_conquete_de_Plassans._clean.txt,Marthe leva les yeux de le bas qu' elle raccommodait avec de les délicatesses de broderie .,NP PRES le NCCOR de le NCmod que il VIMP avec de le NCSENT de NCmod .
7,Zola/1874_4_La_conquete_de_Plassans._clean.txt,Elle sourit à Désirée .,il VPS à NP .
8,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"C' est un poupon , ça !","ce être un NC , ça !"
9,Zola/1874_4_La_conquete_de_Plassans._clean.txt,dit -elle .,VDIC il .
10,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Tiens , fais une poupée .","ADJ , faire un NCo ."
11,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Tu sais , il faut qu' elle ait une jupe , comme une dame .","je VCOG , il PRES que il avoir un NCo , comme un NCmod ."
12,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Elle lui donna une rognure d' indienne qu' elle trouva dans sa table à ouvrage ; puis elle se remit à son bas , soigneusement .","il lui VPS un NCo de ADJ que il VPS dans DETPOSS NC à NCmod ; puis il se VPS à DETPOSS NC , ADV ."
13,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Elles étaient toutes deux assises , à un bout de l' étroite terrasse , la fille sur un tabouret , à les pieds de la mère .","il être tout NUM NC , à un NC de le ADJ NCmod , le NC sur un NCmod , à le NCCOR de le NCmod ."
14,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Le soleil couchant , un soleil de septembre , chaud encore , les baignait d' une lumière tranquille ; tandis que , devant elles , le jardin , déjà dans une ombre grise , s' endormait .","le NCs ADJ , un NC de MOIS , NC encore , le VIMP de un ADJ NC ; PHASE que , ADVLIEU il , le NCs , déjà dans un NC ADJ , se VIMP ."
15,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Pas un bruit , au-dehors , ne montait de ce coin désert de la ville .","pas un NCs , ADV , ne VIMP de ce NC ADJ de le NCmod ."
16,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Cependant , elles travaillèrent dix grandes minutes en silence .","cependant , il VPS NUM ADJ NCT en NC ."
17,Zola/1874_4_La_conquete_de_Plassans._clean.txt,Désirée se donnait une peine infinie pour faire une jupe à sa poupée .,NP se VIMP un NCSENT ADJ pour faire un NCo à DETPOSS NC .
18,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Par moments , Marthe levait la tête , regardait l' enfant avec une tendresse un peu triste .","par NC , NP VIMP le NCCOR , VCOG le NCo avec un NCSENT un peu ADJ ."
19,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Comme elle la voyait très embarrassée : Attends , reprit -elle ; je vais lui mettre les bras , moi .","comme il le VCOG très VSENT : NP , VPS il ; je aller lui mettre le NCCOR , soi ."
20,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Elle prenait la poupée , lorsque deux grands garçons de dix-sept et dix-huit ans descendirent le perron .","il VIMP le NCo , lorsque NUM ADJ NCs de NUM et NUM NCT VPS le NCo ."
21,Zola/1874_4_La_conquete_de_Plassans._clean.txt,Ils vinrent embrasser Marthe .,il venir INF NP .
22,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"Ne nous gronde pas , maman , dit gaiement Octave .","ne nous PRES pas , NC , VDIC NCo NP ."
23,Zola/1874_4_La_conquete_de_Plassans._clean.txt,"C' est moi qui ai mené Serge à la musique ... Il y avait un monde , sur le cours Sauvaire !","ce être soi qui avoir PPAS NP à le NC ... il y avoir un NCo , sur le NC NP !"
